index_1based,timestamp,sut_version,value
1,2021-09-01 02:09:23,515219,828.0
2,2021-09-01 12:09:22,515219,825.0
3,2021-09-01 12:09:22,515219,900.0
4,2021-09-01 12:09:44,515219,886.0
5,2021-09-01 12:09:57,515219,824.0
6,2021-09-01 04:09:06,515220,830.0
7,2021-09-01 05:09:10,515220,889.0
8,2021-09-01 06:09:46,515220,833.0
9,2021-09-01 07:09:18,515220,854.0
10,2021-09-01 08:09:10,515222,828.0
11,2021-09-01 01:09:07,515224,815.0
12,2021-09-01 01:09:15,515224,859.0
13,2021-09-01 01:09:45,515224,882.0
14,2021-09-01 01:09:51,515224,792.0
15,2021-09-01 02:09:15,515224,868.0
16,2021-09-01 11:09:18,515224,881.0
17,2021-09-01 11:09:36,515224,834.0
18,2021-09-01 11:09:38,515224,824.0
19,2021-09-01 11:09:49,515224,822.0
20,2021-09-01 12:09:00,515224,834.0
21,2021-09-01 12:09:22,515224,805.0
22,2021-09-01 12:09:40,515224,932.0
23,2021-09-01 01:09:16,515225,853.0
24,2021-09-01 01:09:17,515225,821.0
25,2021-09-01 01:09:26,515225,827.0
26,2021-09-01 02:09:50,515225,833.0
27,2021-09-01 03:09:27,515228,822.0
28,2021-09-01 04:09:02,515228,839.0
29,2021-09-01 04:09:15,515228,827.0
30,2021-09-01 04:09:39,515228,871.0
31,2021-09-01 04:09:15,515230,804.0
32,2021-09-01 10:09:44,515238,872.0
33,2021-09-02 12:09:57,515240,859.0
34,2021-09-02 05:09:49,515242,836.0
35,2021-09-02 06:09:04,515242,853.0
36,2021-09-02 06:09:32,515242,803.0
37,2021-09-02 07:09:09,515242,813.0
38,2021-09-02 07:09:11,515242,845.0
39,2021-09-02 08:09:24,515243,846.0
40,2021-09-02 09:09:12,515243,837.0
41,2021-09-02 09:09:20,515243,856.0
42,2021-09-02 10:09:41,515243,859.0
43,2021-09-02 11:09:00,515243,842.0
44,2021-09-02 11:09:26,515243,915.0
45,2021-09-02 01:09:55,515244,814.0
46,2021-09-02 11:09:02,515244,872.0
47,2021-09-02 12:09:09,515244,862.0
48,2021-09-02 12:09:18,515244,847.0
49,2021-09-02 12:09:35,515244,853.0
50,2021-09-02 12:09:42,515244,801.0
51,2021-09-02 02:09:27,515246,833.0
52,2021-09-02 03:09:49,515246,820.0
53,2021-09-02 03:09:22,515247,846.0
54,2021-09-02 03:09:56,515248,838.0
55,2021-09-02 04:09:20,515248,869.0
56,2021-09-02 06:09:04,515251,861.0
57,2021-09-02 06:09:40,515251,859.0
58,2021-09-02 07:09:07,515252,795.0
59,2021-09-02 07:09:29,515252,868.0
60,2021-09-02 07:09:47,515254,806.0
61,2021-09-02 08:09:08,515254,798.0
62,2021-09-02 09:09:34,515257,843.0
63,2021-09-02 09:09:55,515257,819.0
64,2021-09-03 01:09:19,515260,837.0
65,2021-09-03 01:09:59,515260,817.0
66,2021-09-03 02:09:16,515260,802.0
67,2021-09-03 12:09:03,515260,832.0
68,2021-09-03 06:09:51,515262,862.0
69,2021-09-03 07:09:17,515262,818.0
70,2021-09-03 09:09:35,515263,833.0
71,2021-09-03 09:09:41,515263,839.0
72,2021-09-03 09:09:43,515263,856.0
73,2021-09-03 10:09:02,515263,826.0
74,2021-09-03 10:09:51,515263,840.0
75,2021-09-03 10:09:55,515264,916.0
76,2021-09-03 12:09:45,515265,787.0
77,2021-09-03 01:09:07,515266,809.0
78,2021-09-03 01:09:28,515266,809.0
79,2021-09-03 03:09:28,515268,829.0
80,2021-09-03 04:09:17,515268,876.0
81,2021-09-03 04:09:39,515268,814.0
82,2021-09-03 05:09:21,515268,842.0
83,2021-09-03 04:09:10,515269,818.0
84,2021-09-03 05:09:32,515269,834.0
85,2021-09-03 06:09:56,515272,894.0
86,2021-09-03 07:09:02,515272,851.0
87,2021-09-03 10:09:36,515275,793.0
88,2021-09-03 11:09:14,515277,847.0
89,2021-09-04 01:09:33,515277,832.0
90,2021-09-04 01:09:48,515277,863.0
91,2021-09-04 02:09:21,515277,829.0
92,2021-09-04 12:09:30,515277,840.0
93,2021-09-04 12:09:49,515277,835.0
94,2021-09-04 02:09:17,515278,885.0
95,2021-09-04 06:09:42,515279,843.0
96,2021-09-04 06:09:49,515279,853.0
97,2021-09-04 06:09:55,515279,835.0
98,2021-09-04 10:09:39,515281,897.0
99,2021-09-05 05:09:26,515282,770.0
100,2021-09-05 05:09:32,515282,862.0
101,2021-09-05 07:09:46,515282,861.0
102,2021-09-05 08:09:03,515282,793.0
103,2021-09-06 06:09:42,515282,816.0
104,2021-09-06 06:09:48,515282,861.0
105,2021-09-06 08:09:03,515282,794.0
106,2021-09-06 08:09:42,515282,831.0
107,2021-09-06 09:09:28,515282,867.0
108,2021-09-06 09:09:55,515282,805.0
109,2021-09-06 10:09:44,515282,906.0
110,2021-09-06 10:09:46,515282,866.0
111,2021-09-06 11:09:15,515282,892.0
112,2021-09-06 11:09:31,515282,826.0
113,2021-09-06 11:09:40,515282,824.0
114,2021-09-06 11:09:48,515282,867.0
115,2021-09-06 12:09:09,515282,886.0
116,2021-09-06 12:09:12,515282,788.0
117,2021-09-06 12:09:38,515282,901.0
118,2021-09-06 12:09:41,515282,884.0
119,2021-09-06 12:09:30,515283,848.0
120,2021-09-06 01:09:11,515284,776.0
121,2021-09-06 01:09:53,515285,891.0
122,2021-09-06 02:09:13,515285,825.0
123,2021-09-06 03:09:09,515286,803.0
124,2021-09-06 03:09:22,515286,813.0
125,2021-09-06 03:09:49,515286,875.0
126,2021-09-06 06:09:45,515290,836.0
127,2021-09-06 06:09:47,515290,829.0
128,2021-09-06 07:09:25,515291,844.0
129,2021-09-06 08:09:23,515292,811.0
130,2021-09-06 09:09:04,515293,796.0
131,2021-09-06 09:09:35,515293,838.0
132,2021-09-06 10:09:51,515293,778.0
133,2021-09-06 09:09:39,515294,803.0
134,2021-09-06 09:09:56,515294,781.0
135,2021-09-06 10:09:03,515294,818.0
136,2021-09-06 10:09:54,515295,791.0
137,2021-09-06 11:09:30,515295,778.0
