index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:26,515219,582.0
2,2021-09-01 01:09:58,515219,591.0
3,2021-09-01 02:09:03,515219,701.0
4,2021-09-01 12:09:25,515219,574.0
5,2021-09-01 04:09:17,515220,585.0
6,2021-09-01 05:09:45,515220,585.0
7,2021-09-01 06:09:04,515220,589.0
8,2021-09-01 08:09:28,515222,713.0
9,2021-09-01 09:09:07,515222,702.0
10,2021-09-01 01:09:12,515224,581.0
11,2021-09-01 01:09:19,515224,589.0
12,2021-09-01 01:09:33,515224,675.0
13,2021-09-01 02:09:05,515224,563.0
14,2021-09-01 02:09:06,515224,689.0
15,2021-09-01 02:09:39,515224,568.0
16,2021-09-01 11:09:34,515224,595.0
17,2021-09-01 11:09:44,515224,640.0
18,2021-09-01 11:09:44,515224,666.0
19,2021-09-01 12:09:05,515224,682.0
20,2021-09-01 12:09:12,515224,701.0
21,2021-09-01 12:09:12,515224,600.0
22,2021-09-01 01:09:29,515225,683.0
23,2021-09-01 01:09:38,515225,582.0
24,2021-09-01 02:09:04,515225,569.0
25,2021-09-01 03:09:55,515228,687.0
26,2021-09-01 04:09:32,515230,563.0
27,2021-09-01 10:09:51,515238,632.0
28,2021-09-02 01:09:00,515240,659.0
29,2021-09-02 12:09:19,515240,583.0
30,2021-09-02 05:09:19,515242,570.0
31,2021-09-02 06:09:05,515242,689.0
32,2021-09-02 06:09:21,515242,586.0
33,2021-09-02 08:09:47,515243,592.0
34,2021-09-02 09:09:00,515243,581.0
35,2021-09-02 09:09:05,515243,597.0
36,2021-09-02 09:09:16,515243,582.0
37,2021-09-02 11:09:31,515243,605.0
38,2021-09-02 12:09:00,515243,576.0
39,2021-09-02 01:09:13,515244,586.0
40,2021-09-02 12:09:04,515244,596.0
41,2021-09-02 12:09:13,515244,578.0
42,2021-09-02 12:09:36,515244,641.0
43,2021-09-02 12:09:51,515244,594.0
44,2021-09-02 02:09:46,515246,616.0
45,2021-09-02 03:09:48,515247,580.0
46,2021-09-02 03:09:15,515248,584.0
47,2021-09-02 06:09:51,515251,595.0
48,2021-09-02 07:09:02,515251,565.0
49,2021-09-02 07:09:25,515251,585.0
50,2021-09-02 07:09:42,515252,566.0
51,2021-09-02 07:09:55,515254,583.0
52,2021-09-02 09:09:27,515257,578.0
53,2021-09-03 01:09:00,515260,580.0
54,2021-09-03 01:09:57,515260,587.0
55,2021-09-03 12:09:59,515260,593.0
56,2021-09-03 06:09:14,515262,604.0
57,2021-09-03 07:09:40,515262,577.0
58,2021-09-03 09:09:22,515263,577.0
59,2021-09-03 09:09:40,515263,573.0
60,2021-09-03 09:09:43,515263,570.0
61,2021-09-03 10:09:11,515263,572.0
62,2021-09-03 10:09:45,515263,584.0
63,2021-09-03 10:09:00,515264,595.0
64,2021-09-03 12:09:22,515265,574.0
65,2021-09-03 01:09:17,515266,566.0
66,2021-09-03 02:09:54,515266,624.0
67,2021-09-03 03:09:33,515268,624.0
68,2021-09-03 04:09:55,515268,594.0
69,2021-09-03 05:09:24,515268,570.0
70,2021-09-03 04:09:33,515269,587.0
71,2021-09-03 06:09:37,515272,690.0
72,2021-09-03 10:09:09,515275,659.0
73,2021-09-03 11:09:25,515275,576.0
74,2021-09-03 11:09:39,515277,594.0
75,2021-09-04 01:09:29,515277,596.0
76,2021-09-04 01:09:32,515277,618.0
77,2021-09-04 12:09:25,515277,578.0
78,2021-09-04 12:09:49,515277,582.0
79,2021-09-04 12:09:59,515277,678.0
80,2021-09-04 02:09:03,515278,587.0
81,2021-09-04 06:09:02,515279,578.0
82,2021-09-04 06:09:27,515279,643.0
83,2021-09-04 10:09:12,515281,606.0
84,2021-09-05 05:09:30,515282,596.0
85,2021-09-05 05:09:31,515282,612.0
86,2021-09-05 07:09:12,515282,604.0
87,2021-09-05 08:09:45,515282,701.0
88,2021-09-06 06:09:24,515282,605.0
89,2021-09-06 08:09:43,515282,683.0
