index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:54,531193,60.6
2,2021-09-01 05:09:08,531193,58.8
3,2021-09-01 06:09:07,531193,60.0
4,2021-09-01 06:09:11,531193,58.8
5,2021-09-01 06:09:19,531193,59.82
6,2021-09-01 06:09:29,531193,59.8
7,2021-09-01 07:09:38,531193,58.6
8,2021-09-01 07:09:47,531193,60.0
9,2021-09-01 08:09:22,531194,60.8
10,2021-09-01 10:09:44,531195,60.6
11,2021-09-01 02:09:42,531197,61.58
12,2021-09-01 02:09:59,531197,58.18
13,2021-09-01 03:09:21,531197,60.0
14,2021-09-01 03:09:33,531197,60.26
15,2021-09-01 03:09:25,531199,59.42
16,2021-09-01 04:09:53,531199,61.8
17,2021-09-01 05:09:09,531199,59.6
18,2021-09-01 08:09:50,531204,61.2
19,2021-09-01 11:09:57,531205,59.42
20,2021-09-02 05:09:27,531206,60.0
21,2021-09-02 06:09:04,531206,59.82
22,2021-09-02 06:09:59,531206,59.6
23,2021-09-02 08:09:04,531206,60.0
24,2021-09-02 08:09:46,531206,60.82
25,2021-09-02 01:09:40,531208,59.98
26,2021-09-02 09:09:26,531208,58.62
27,2021-09-02 10:09:13,531208,58.36
28,2021-09-02 10:09:23,531208,55.6
29,2021-09-02 11:09:31,531208,59.38
30,2021-09-02 12:09:33,531208,60.8
31,2021-09-02 01:09:07,531209,57.4
32,2021-09-02 02:09:37,531210,57.4
33,2021-09-02 04:09:38,531212,59.4
34,2021-09-02 04:09:41,531212,60.4
35,2021-09-02 04:09:55,531212,59.0
36,2021-09-02 06:09:36,531212,58.6
37,2021-09-02 05:09:25,531213,60.58
38,2021-09-02 06:09:44,531213,61.6
39,2021-09-02 11:09:44,531217,59.6
40,2021-09-03 01:09:58,531217,58.4
41,2021-09-03 02:09:57,531217,59.8
42,2021-09-03 06:09:51,531218,58.38
43,2021-09-03 09:09:23,531218,60.6
44,2021-09-03 09:09:26,531218,61.0
45,2021-09-03 09:09:29,531218,60.38
