index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:11,531193,1.834
2,2021-09-01 06:09:02,531193,1.834
3,2021-09-01 06:09:10,531193,1.823
4,2021-09-01 06:09:39,531193,1.829
5,2021-09-01 07:09:58,531193,1.848
6,2021-09-01 08:09:01,531193,1.854
7,2021-09-01 08:09:28,531194,1.882
8,2021-09-01 11:09:33,531195,1.818
9,2021-09-01 02:09:55,531197,1.864
10,2021-09-01 03:09:09,531197,1.856
11,2021-09-01 04:09:49,531199,1.814
12,2021-09-01 05:09:36,531199,1.834
13,2021-09-01 09:09:10,531204,1.848
14,2021-09-01 11:09:47,531205,1.804
15,2021-09-02 06:09:14,531206,1.836
16,2021-09-02 06:09:59,531206,1.844
17,2021-09-02 07:09:39,531206,1.85
18,2021-09-02 08:09:51,531206,1.826
19,2021-09-02 01:09:03,531208,1.854
20,2021-09-02 09:09:56,531208,1.856
21,2021-09-02 10:09:48,531208,1.832
22,2021-09-02 12:09:43,531208,1.858
23,2021-09-02 02:09:23,531209,1.818
24,2021-09-02 03:09:18,531210,1.84
25,2021-09-02 04:09:06,531212,1.884
26,2021-09-02 04:09:42,531212,1.846
27,2021-09-02 05:09:16,531212,1.828
28,2021-09-02 06:09:20,531213,1.87
29,2021-09-02 06:09:28,531213,1.837
30,2021-09-03 01:09:42,531217,1.804
31,2021-09-03 02:09:32,531217,1.88
32,2021-09-03 12:09:11,531217,1.808
33,2021-09-03 07:09:36,531218,1.866
34,2021-09-03 09:09:10,531218,1.83
35,2021-09-03 10:09:21,531218,1.826
36,2021-09-03 10:09:32,531218,1.824
37,2021-09-03 01:09:40,531221,1.862
38,2021-09-03 01:09:54,531221,1.866
39,2021-09-03 03:09:10,531221,1.828
40,2021-09-03 12:09:15,531221,1.808
41,2021-09-03 02:09:29,531223,1.874
42,2021-09-03 07:09:44,531230,1.83
43,2021-09-03 08:09:40,531230,1.846
44,2021-09-03 11:09:19,531234,1.798
45,2021-09-04 01:09:55,531234,1.868
46,2021-09-05 05:09:12,531234,1.802
47,2021-09-05 08:09:06,531234,1.846
48,2021-09-06 07:09:10,531234,1.836
49,2021-09-06 08:09:18,531236,1.866
50,2021-09-06 08:09:52,531236,1.864
51,2021-09-06 11:09:49,531237,1.844
52,2021-09-06 12:09:20,531238,1.897
53,2021-09-06 02:09:08,531239,1.804
54,2021-09-06 03:09:22,531240,1.858
55,2021-09-06 04:09:41,531240,1.862
56,2021-09-06 04:09:44,531240,1.858
57,2021-09-06 05:09:28,531244,1.818
58,2021-09-06 07:09:54,531244,1.841
59,2021-09-06 08:09:47,531244,1.86
60,2021-09-06 08:09:57,531244,1.854
61,2021-09-06 11:09:32,531246,1.87
62,2021-09-07 12:09:35,531246,1.842
63,2021-09-07 06:09:18,531247,1.884
64,2021-09-07 06:09:20,531247,1.864
65,2021-09-07 06:09:35,531247,1.874
66,2021-09-07 07:09:46,531247,1.862
67,2021-09-07 08:09:27,531247,1.84
68,2021-09-07 10:09:23,531247,1.818
69,2021-09-07 10:09:57,531247,1.874
70,2021-09-07 10:09:59,531248,1.814
71,2021-09-07 12:09:24,531249,1.854
72,2021-09-07 12:09:45,531249,1.878
73,2021-09-07 01:09:09,531250,1.856
74,2021-09-07 01:09:19,531250,1.85
75,2021-09-07 03:09:14,531251,1.842
76,2021-09-07 03:09:28,531252,1.872
77,2021-09-07 04:09:03,531252,1.814
78,2021-09-07 08:09:26,531257,1.864
79,2021-09-07 08:09:59,531257,1.87
80,2021-09-07 10:09:16,531258,1.851
81,2021-09-07 10:09:37,531258,1.848
82,2021-09-07 11:09:18,531258,1.874
83,2021-09-07 11:09:51,531258,1.887
84,2021-09-08 12:09:04,531259,1.846
85,2021-09-08 06:09:00,531260,1.854
86,2021-09-08 06:09:16,531260,1.866
87,2021-09-08 06:09:50,531260,1.88
88,2021-09-08 01:09:03,531264,1.85
89,2021-09-08 01:09:11,531264,1.85
90,2021-09-08 01:09:56,531264,1.848
91,2021-09-08 02:09:06,531264,1.848
92,2021-09-08 04:09:31,531267,1.846
93,2021-09-08 05:09:31,531267,1.842
94,2021-09-08 05:09:54,531267,1.862
95,2021-09-08 10:09:36,531267,1.82
96,2021-09-08 11:09:04,531269,1.853
97,2021-09-08 11:09:16,531269,1.836
98,2021-09-08 11:09:29,531269,1.852
99,2021-09-08 11:09:46,531269,1.816
100,2021-09-09 12:09:55,531269,1.84
101,2021-09-09 02:09:28,531270,1.826
102,2021-09-09 06:09:39,531270,1.866
103,2021-09-09 10:09:25,531270,1.848
104,2021-09-09 11:09:33,531270,1.836
105,2021-09-09 11:09:39,531270,1.828
106,2021-09-09 11:09:57,531270,1.888
107,2021-09-09 01:09:37,531271,1.884
108,2021-09-09 01:09:35,531272,1.832
109,2021-09-09 02:09:08,531272,1.856
110,2021-09-09 02:09:27,531272,1.85
111,2021-09-09 04:09:32,531274,1.846
112,2021-09-09 05:09:04,531275,1.936
113,2021-09-09 06:09:10,531276,1.846
114,2021-09-09 06:09:11,531276,1.864
115,2021-09-09 07:09:53,531278,1.862
116,2021-09-09 08:09:43,531279,1.866
117,2021-09-09 08:09:29,531280,1.856
118,2021-09-09 09:09:33,531280,1.865
119,2021-09-10 12:09:33,531284,1.845
120,2021-09-10 02:09:06,531285,1.852
121,2021-09-10 03:09:48,531285,1.852
122,2021-09-10 01:09:42,531286,1.832
123,2021-09-10 01:09:50,531286,1.854
124,2021-09-10 02:09:33,531286,1.849
125,2021-09-10 03:09:05,531286,1.891
126,2021-09-10 03:09:43,531286,1.858
127,2021-09-10 03:09:54,531286,1.836
128,2021-09-10 04:09:10,531286,1.86
129,2021-09-10 04:09:31,531286,1.85
130,2021-09-10 05:09:24,531286,1.876
131,2021-09-10 06:09:03,531286,1.85
132,2021-09-10 06:09:12,531286,1.84
133,2021-09-10 06:09:36,531286,1.84
134,2021-09-10 07:09:27,531286,1.83
135,2021-09-10 07:09:33,531286,1.83
136,2021-09-10 10:09:57,531286,1.868
137,2021-09-10 11:09:37,531286,1.842
138,2021-09-10 05:09:53,531287,1.878
139,2021-09-10 06:09:50,531287,1.837
140,2021-09-10 08:09:31,531289,1.829
141,2021-09-13 05:09:06,531291,1.848
142,2021-09-11 12:09:03,531293,1.842
143,2021-09-11 12:09:39,531294,1.832
144,2021-09-11 01:09:27,531295,1.86
145,2021-09-11 02:09:29,531298,1.842
146,2021-09-11 04:09:48,531299,1.86
147,2021-09-11 05:09:24,531299,1.854
148,2021-09-11 08:09:56,531299,1.846
149,2021-09-12 03:09:39,531300,1.829
150,2021-09-12 06:09:18,531300,1.852
151,2021-09-13 05:09:07,531300,1.838
152,2021-09-13 07:09:58,531301,1.852
153,2021-09-13 11:09:09,531301,1.872
154,2021-09-13 11:09:59,531301,1.836
155,2021-09-13 12:09:34,531301,1.849
156,2021-09-14 04:09:01,531306,1.864
157,2021-09-14 05:09:43,531307,1.86
158,2021-09-14 06:09:38,531307,1.858
159,2021-09-14 09:09:34,531307,1.83
160,2021-09-14 09:09:45,531307,1.83
161,2021-09-14 10:09:00,531307,1.877
162,2021-09-14 11:09:21,531308,1.84
163,2021-09-14 11:09:57,531311,1.872
164,2021-09-15 12:09:45,531313,1.848
165,2021-09-15 03:09:11,531318,1.853
166,2021-09-15 04:09:18,531319,1.828
167,2021-09-15 08:09:49,531320,1.828
168,2021-09-15 02:09:01,531321,1.834
169,2021-09-15 02:09:19,531321,1.818
170,2021-09-15 03:09:09,531321,1.85
171,2021-09-15 03:09:12,531321,2.014
172,2021-09-15 03:09:45,531321,1.854
