index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:55,531193,10.6
2,2021-09-01 06:09:18,531193,12.0
3,2021-09-01 06:09:28,531193,10.98
4,2021-09-01 06:09:33,531193,10.82
5,2021-09-01 07:09:07,531193,11.0
6,2021-09-01 07:09:24,531193,11.38
7,2021-09-01 08:09:25,531194,10.4
8,2021-09-01 11:09:27,531195,11.0
9,2021-09-01 02:09:39,531197,10.82
10,2021-09-01 02:09:58,531197,10.8
11,2021-09-01 04:09:35,531199,11.76
12,2021-09-01 04:09:39,531199,11.4
13,2021-09-01 09:09:58,531204,10.6
14,2021-09-01 10:09:28,531204,11.58
15,2021-09-01 11:09:45,531205,12.42
16,2021-09-02 12:09:38,531205,11.0
17,2021-09-02 06:09:00,531206,10.8
18,2021-09-02 06:09:23,531206,10.56
19,2021-09-02 07:09:29,531206,10.38
20,2021-09-02 08:09:05,531206,10.8
21,2021-09-02 01:09:36,531208,10.42
22,2021-09-02 09:09:02,531208,12.44
23,2021-09-02 10:09:06,531208,12.02
24,2021-09-02 11:09:53,531208,10.22
25,2021-09-02 12:09:32,531208,11.8
26,2021-09-02 02:09:04,531209,10.2
27,2021-09-02 02:09:31,531210,10.78
28,2021-09-02 04:09:14,531212,11.6
29,2021-09-02 04:09:29,531212,12.6
30,2021-09-02 04:09:51,531212,12.0
31,2021-09-02 05:09:09,531212,13.18
32,2021-09-02 05:09:31,531213,12.42
33,2021-09-02 06:09:15,531213,12.98
34,2021-09-02 07:09:39,531213,12.38
35,2021-09-02 08:09:09,531213,12.6
36,2021-09-02 08:09:26,531213,11.98
37,2021-09-03 01:09:40,531217,12.78
38,2021-09-03 02:09:42,531217,13.38
39,2021-09-03 02:09:46,531217,12.0
40,2021-09-03 03:09:54,531217,12.18
41,2021-09-03 12:09:08,531217,12.36
42,2021-09-03 07:09:11,531218,12.6
43,2021-09-03 09:09:05,531218,13.18
44,2021-09-03 09:09:57,531218,11.42
45,2021-09-03 10:09:48,531218,12.18
46,2021-09-03 10:09:49,531218,13.6
47,2021-09-03 10:09:52,531218,13.62
48,2021-09-03 01:09:07,531221,12.4
49,2021-09-03 01:09:23,531221,11.02
50,2021-09-03 01:09:23,531221,12.6
51,2021-09-03 03:09:05,531221,11.18
52,2021-09-03 12:09:33,531221,12.58
53,2021-09-03 02:09:04,531223,11.4
54,2021-09-03 03:09:04,531223,11.4
55,2021-09-03 07:09:41,531230,10.8
56,2021-09-03 08:09:52,531230,11.62
57,2021-09-03 11:09:32,531234,11.4
58,2021-09-04 01:09:40,531234,13.2
59,2021-09-05 05:09:31,531234,9.98
60,2021-09-05 08:09:18,531234,10.6
61,2021-09-06 07:09:23,531234,12.22
62,2021-09-06 08:09:16,531236,11.6
