index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:28,531193,2.028
2,2021-09-01 05:09:43,531193,2.146
3,2021-09-01 06:09:11,531193,2.164
4,2021-09-01 06:09:14,531193,2.112
5,2021-09-01 06:09:15,531193,2.044
6,2021-09-01 06:09:26,531193,2.153
7,2021-09-01 07:09:17,531193,2.169
8,2021-09-01 07:09:54,531193,2.174
9,2021-09-01 08:09:06,531194,2.027
10,2021-09-01 11:09:18,531195,2.119
11,2021-09-01 02:09:13,531197,1.997
12,2021-09-01 02:09:40,531197,2.051
13,2021-09-01 03:09:14,531199,2.01799
14,2021-09-01 04:09:01,531199,2.11
15,2021-09-01 04:09:31,531199,2.153
16,2021-09-01 09:09:51,531204,2.027
17,2021-09-01 11:09:18,531205,2.015
18,2021-09-02 06:09:27,531206,2.10199
19,2021-09-02 06:09:35,531206,2.056
20,2021-09-02 07:09:48,531206,2.103
21,2021-09-02 08:09:07,531206,2.04999
22,2021-09-02 09:09:54,531206,1.995
23,2021-09-02 01:09:31,531208,2.073
24,2021-09-02 02:09:14,531208,2.153
25,2021-09-02 09:09:09,531208,2.023
26,2021-09-02 10:09:56,531208,2.09399
27,2021-09-02 12:09:06,531208,2.076
28,2021-09-02 01:09:07,531209,2.119
29,2021-09-02 02:09:07,531210,2.043
30,2021-09-02 04:09:02,531212,2.079
31,2021-09-02 04:09:30,531212,2.06999
32,2021-09-02 04:09:54,531212,2.04
33,2021-09-02 05:09:51,531212,2.088
34,2021-09-02 05:09:49,531213,2.05799
35,2021-09-02 06:09:21,531213,2.052
36,2021-09-02 06:09:24,531213,2.165
37,2021-09-02 07:09:09,531213,2.033
38,2021-09-02 07:09:21,531213,2.116
39,2021-09-02 11:09:17,531217,2.035
40,2021-09-03 01:09:02,531217,2.004
41,2021-09-03 02:09:41,531217,2.02599
42,2021-09-03 07:09:16,531218,2.124
43,2021-09-03 07:09:33,531218,2.03799
44,2021-09-03 09:09:08,531218,2.104
45,2021-09-03 09:09:46,531218,2.064
46,2021-09-03 09:09:57,531218,2.09399
47,2021-09-03 01:09:35,531221,2.121
48,2021-09-03 01:09:50,531221,2.117
49,2021-09-03 02:09:27,531221,2.121
50,2021-09-03 12:09:55,531221,2.173
51,2021-09-03 12:09:59,531221,2.164
52,2021-09-03 02:09:12,531223,2.003
53,2021-09-03 07:09:10,531230,2.04999
54,2021-09-03 08:09:36,531230,2.081
55,2021-09-03 10:09:29,531234,2.06199
56,2021-09-04 01:09:08,531234,2.146
57,2021-09-05 05:09:00,531234,2.005
58,2021-09-05 08:09:13,531234,2.137
59,2021-09-06 07:09:19,531234,2.065
60,2021-09-06 08:09:38,531234,2.029
61,2021-09-06 08:09:04,531236,2.077
62,2021-09-06 08:09:14,531236,2.17899
63,2021-09-06 09:09:45,531236,2.08
64,2021-09-06 11:09:18,531237,2.192
65,2021-09-06 11:09:49,531238,2.067
66,2021-09-06 12:09:08,531238,2.059
67,2021-09-06 01:09:02,531239,2.096
68,2021-09-06 02:09:11,531239,2.067
69,2021-09-06 03:09:01,531240,2.17899
70,2021-09-06 03:09:06,531240,2.12
71,2021-09-06 03:09:49,531240,2.11
72,2021-09-06 04:09:33,531240,2.069
73,2021-09-06 05:09:05,531244,2.06199
74,2021-09-06 07:09:44,531244,2.032
75,2021-09-06 07:09:58,531244,2.019
76,2021-09-06 08:09:29,531244,2.056
77,2021-09-06 11:09:04,531246,2.057
78,2021-09-06 11:09:46,531246,2.05799
79,2021-09-07 06:09:00,531247,2.068
80,2021-09-07 06:09:12,531247,2.067
81,2021-09-07 06:09:54,531247,2.08999
82,2021-09-07 07:09:00,531247,2.072
83,2021-09-07 07:09:43,531247,2.045
84,2021-09-07 08:09:32,531247,2.064
85,2021-09-07 08:09:56,531247,2.09799
86,2021-09-07 09:09:47,531247,2.032
87,2021-09-07 09:09:52,531247,2.13499
88,2021-09-07 10:09:26,531247,2.076
89,2021-09-07 11:09:13,531247,2.067
90,2021-09-07 11:09:23,531247,2.132
91,2021-09-07 11:09:32,531247,2.011
92,2021-09-07 09:09:36,531248,2.04
93,2021-09-07 01:09:26,531249,2.00199
94,2021-09-07 02:09:33,531249,2.15
95,2021-09-07 03:09:07,531249,2.047
96,2021-09-07 03:09:45,531249,2.128
97,2021-09-07 12:09:09,531249,2.083
98,2021-09-07 01:09:03,531250,2.09799
99,2021-09-07 01:09:59,531250,2.077
100,2021-09-07 02:09:23,531251,2.048
101,2021-09-07 04:09:11,531251,2.14299
102,2021-09-07 03:09:09,531252,2.152
103,2021-09-07 03:09:11,531252,2.03799
104,2021-09-07 04:09:00,531252,2.081
105,2021-09-07 04:09:20,531252,2.051
106,2021-09-07 05:09:12,531252,2.053
107,2021-09-07 05:09:29,531252,2.02999
108,2021-09-07 07:09:52,531257,2.06199
109,2021-09-07 08:09:11,531257,2.04999
110,2021-09-07 08:09:59,531257,2.04999
111,2021-09-07 10:09:02,531258,2.099
112,2021-09-07 10:09:19,531258,2.14299
113,2021-09-07 11:09:26,531258,2.059
114,2021-09-07 11:09:43,531258,2.039
115,2021-09-08 12:09:04,531259,2.067
116,2021-09-08 06:09:16,531260,2.045
117,2021-09-08 06:09:37,531260,2.104
118,2021-09-08 06:09:41,531260,2.01399
119,2021-09-08 06:09:53,531260,2.015
120,2021-09-08 07:09:17,531260,2.041
121,2021-09-08 07:09:44,531260,2.08199
122,2021-09-08 01:09:28,531264,2.088
123,2021-09-08 01:09:33,531264,2.097
124,2021-09-08 01:09:41,531264,2.023
125,2021-09-08 01:09:42,531264,2.09399
126,2021-09-08 02:09:34,531264,2.079
127,2021-09-08 02:09:51,531264,2.031
128,2021-09-08 03:09:03,531264,2.043
129,2021-09-08 03:09:12,531264,2.056
130,2021-09-08 03:09:47,531264,2.165
131,2021-09-08 03:09:57,531264,2.107
132,2021-09-08 04:09:02,531267,2.041
133,2021-09-08 04:09:31,531267,2.036
134,2021-09-08 05:09:06,531267,2.079
135,2021-09-08 05:09:09,531267,2.138
136,2021-09-08 09:09:32,531267,2.041
137,2021-09-08 09:09:37,531267,2.091
138,2021-09-08 10:09:40,531267,2.164
139,2021-09-08 10:09:21,531269,2.158
140,2021-09-08 11:09:15,531269,2.028
141,2021-09-08 11:09:16,531269,2.148
142,2021-09-08 11:09:26,531269,2.10199
143,2021-09-08 11:09:29,531269,2.032
144,2021-09-08 11:09:42,531269,2.07799
145,2021-09-08 11:09:52,531269,2.13099
146,2021-09-09 12:09:06,531269,2.097
147,2021-09-09 02:09:05,531270,2.083
148,2021-09-09 03:09:46,531270,2.032
149,2021-09-09 05:09:14,531270,2.077
150,2021-09-09 06:09:04,531270,2.173
151,2021-09-09 10:09:11,531270,2.099
152,2021-09-09 10:09:40,531270,2.056
153,2021-09-09 11:09:15,531270,2.095
154,2021-09-09 11:09:36,531270,2.035
155,2021-09-09 11:09:43,531270,2.099
156,2021-09-09 12:09:00,531270,2.04999
157,2021-09-09 12:09:10,531270,2.118
158,2021-09-09 01:09:29,531271,2.045
159,2021-09-09 01:09:26,531272,2.096
160,2021-09-09 01:09:59,531272,2.04599
161,2021-09-09 02:09:03,531272,2.041
162,2021-09-09 03:09:03,531272,2.108
163,2021-09-09 04:09:53,531274,2.06
164,2021-09-09 05:09:48,531274,2.02599
165,2021-09-09 05:09:06,531275,2.06
166,2021-09-09 05:09:08,531276,2.12
167,2021-09-09 05:09:19,531276,1.986
168,2021-09-09 07:09:13,531278,2.114
169,2021-09-09 08:09:51,531279,2.023
170,2021-09-09 08:09:31,531280,2.035
171,2021-09-09 08:09:48,531280,2.05799
172,2021-09-09 09:09:31,531280,2.0
173,2021-09-09 11:09:57,531284,2.04599
174,2021-09-10 12:09:41,531284,2.037
175,2021-09-10 01:09:38,531285,2.011
176,2021-09-10 02:09:14,531285,2.045
177,2021-09-10 01:09:08,531286,2.072
178,2021-09-10 01:09:09,531286,2.047
179,2021-09-10 02:09:14,531286,2.10199
180,2021-09-10 02:09:20,531286,2.016
181,2021-09-10 02:09:20,531286,2.173
182,2021-09-10 02:09:42,531286,2.109
183,2021-09-10 03:09:29,531286,2.21099
184,2021-09-10 03:09:35,531286,2.1
185,2021-09-10 03:09:43,531286,2.03799
186,2021-09-10 03:09:53,531286,2.032
187,2021-09-10 03:09:59,531286,2.048
188,2021-09-10 04:09:25,531286,2.118
189,2021-09-10 04:09:51,531286,2.064
190,2021-09-10 04:09:53,531286,2.00999
191,2021-09-10 04:09:56,531286,1.994
192,2021-09-10 04:09:57,531286,2.06199
193,2021-09-10 05:09:30,531286,2.024
194,2021-09-10 05:09:49,531286,2.084
195,2021-09-10 06:09:01,531286,2.04999
196,2021-09-10 06:09:24,531286,2.05799
197,2021-09-10 06:09:43,531286,2.077
198,2021-09-10 06:09:58,531286,2.031
199,2021-09-10 07:09:22,531286,2.093
200,2021-09-10 07:09:24,531286,2.031
201,2021-09-10 07:09:33,531286,2.01799
202,2021-09-10 07:09:43,531286,2.055
203,2021-09-10 08:09:12,531286,2.035
204,2021-09-10 08:09:13,531286,2.06
205,2021-09-10 08:09:20,531286,2.27
206,2021-09-10 10:09:16,531286,2.04199
207,2021-09-10 10:09:42,531286,2.118
208,2021-09-10 12:09:48,531286,2.103
209,2021-09-10 05:09:45,531287,2.057
210,2021-09-10 05:09:59,531287,2.08599
211,2021-09-10 07:09:07,531289,2.088
212,2021-09-13 04:09:35,531291,2.176
213,2021-09-11 01:09:44,531293,2.052
214,2021-09-11 12:09:17,531293,2.055
215,2021-09-11 01:09:49,531294,2.043
216,2021-09-11 01:09:04,531295,2.032
217,2021-09-11 02:09:06,531295,2.144
218,2021-09-11 02:09:51,531298,2.045
219,2021-09-11 03:09:46,531299,2.049
220,2021-09-11 05:09:00,531299,2.109
221,2021-09-11 05:09:55,531299,2.069
222,2021-09-11 08:09:34,531299,2.00999
223,2021-09-12 03:09:34,531300,2.01799
224,2021-09-12 05:09:34,531300,2.019
225,2021-09-13 05:09:35,531300,2.068
226,2021-09-13 06:09:06,531300,2.087
227,2021-09-13 01:09:34,531301,2.027
228,2021-09-13 06:09:31,531301,2.15
229,2021-09-13 07:09:40,531301,2.068
230,2021-09-13 11:09:05,531301,2.087
231,2021-09-13 11:09:42,531301,2.02199
232,2021-09-13 12:09:48,531301,2.189
233,2021-09-14 04:09:53,531306,2.083
234,2021-09-14 04:09:54,531307,2.104
235,2021-09-14 06:09:47,531307,2.041
236,2021-09-14 07:09:20,531307,2.071
237,2021-09-14 08:09:27,531307,2.087
238,2021-09-14 08:09:52,531307,2.248
239,2021-09-14 09:09:20,531307,2.097
240,2021-09-14 09:09:40,531307,2.21499
241,2021-09-14 10:09:10,531307,2.08999
242,2021-09-14 11:09:27,531307,2.101
243,2021-09-14 10:09:48,531308,2.053
244,2021-09-14 11:09:47,531311,2.064
245,2021-09-15 12:09:06,531313,2.063
246,2021-09-15 03:09:17,531318,2.07799
