index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:54,515218,13800.0
2,2021-09-01 01:09:27,515219,10480.0
3,2021-09-01 01:09:35,515219,9160.0
4,2021-09-01 01:09:36,515219,12350.0
5,2021-09-01 01:09:51,515219,10650.0
6,2021-09-01 12:09:28,515219,18601.0
7,2021-09-01 12:09:52,515219,18490.0
8,2021-09-01 12:09:58,515219,13030.0
9,2021-09-01 03:09:31,515220,10690.0
10,2021-09-01 04:09:43,515220,12841.0
11,2021-09-01 05:09:01,515220,11339.0
12,2021-09-01 05:09:49,515220,13569.0
13,2021-09-01 08:09:49,515222,12962.0
14,2021-09-01 01:09:12,515224,12300.0
15,2021-09-01 10:09:03,515224,11181.0
16,2021-09-01 10:09:44,515224,11110.0
17,2021-09-01 11:09:27,515224,11880.0
18,2021-09-01 11:09:58,515224,14042.0
19,2021-09-01 12:09:12,515224,11280.0
20,2021-09-01 12:09:20,515224,11338.0
21,2021-09-01 12:09:30,515224,11508.0
22,2021-09-01 12:09:50,515224,12230.0
23,2021-09-01 12:09:55,515224,11929.0
24,2021-09-01 01:09:04,515225,12120.0
25,2021-09-01 01:09:22,515225,12420.0
26,2021-09-01 01:09:41,515225,10828.0
27,2021-09-01 02:09:33,515225,10909.0
28,2021-09-01 02:09:43,515225,11580.0
29,2021-09-01 03:09:27,515228,17939.0
30,2021-09-01 04:09:11,515228,13081.0
31,2021-09-01 04:09:02,515230,13559.0
32,2021-09-01 05:09:10,515230,12929.0
33,2021-09-01 09:09:45,515238,13481.0
34,2021-09-01 11:09:38,515240,10810.0
35,2021-09-02 05:09:27,515242,12711.0
36,2021-09-02 05:09:40,515242,12210.0
37,2021-09-02 05:09:51,515242,12490.0
38,2021-09-02 06:09:34,515242,11839.0
39,2021-09-02 07:09:57,515243,12819.0
40,2021-09-02 09:09:37,515243,10730.0
41,2021-09-02 09:09:48,515243,11340.0
42,2021-09-02 11:09:21,515243,12091.0
43,2021-09-02 11:09:39,515243,11432.0
44,2021-09-02 11:09:07,515244,11150.0
45,2021-09-02 11:09:46,515244,10510.0
46,2021-09-02 12:09:00,515244,12620.0
47,2021-09-02 12:09:09,515244,11671.0
48,2021-09-02 12:09:35,515244,12260.0
49,2021-09-02 02:09:52,515246,17710.0
50,2021-09-02 03:09:08,515246,12782.0
51,2021-09-02 02:09:01,515247,12909.0
52,2021-09-02 03:09:26,515248,11460.0
53,2021-09-02 05:09:56,515251,12900.0
54,2021-09-02 06:09:33,515251,10870.0
55,2021-09-02 06:09:24,515252,13280.0
56,2021-09-02 07:09:13,515254,11490.0
57,2021-09-02 08:09:14,515257,10660.0
58,2021-09-03 01:09:05,515260,11200.0
59,2021-09-03 12:09:07,515260,11978.0
60,2021-09-03 12:09:59,515260,10541.0
61,2021-09-03 05:09:07,515262,13259.0
62,2021-09-03 07:09:14,515262,10580.0
63,2021-09-03 09:09:06,515263,12989.0
64,2021-09-03 09:09:08,515263,12040.0
65,2021-09-03 09:09:30,515263,12659.0
66,2021-09-03 09:09:57,515263,11410.0
67,2021-09-03 09:09:07,515264,9939.0
68,2021-09-03 12:09:53,515265,10172.0
69,2021-09-03 01:09:32,515266,11569.0
70,2021-09-03 12:09:22,515266,10541.0
71,2021-09-03 03:09:54,515268,12281.0
72,2021-09-03 03:09:58,515268,12210.0
73,2021-09-03 04:09:41,515269,10330.0
74,2021-09-03 05:09:43,515272,11020.0
75,2021-09-03 10:09:11,515275,10490.0
76,2021-09-03 11:09:09,515277,12679.0
77,2021-09-03 11:09:20,515277,14110.0
78,2021-09-04 01:09:24,515277,10981.0
79,2021-09-04 01:09:49,515277,11240.0
80,2021-09-04 01:09:54,515277,12510.0
81,2021-09-04 12:09:44,515277,11461.0
82,2021-09-04 12:09:46,515277,10799.0
83,2021-09-04 02:09:39,515278,12880.0
84,2021-09-04 03:09:10,515278,21350.0
85,2021-09-04 05:09:16,515279,12048.0
86,2021-09-04 05:09:34,515279,12800.0
87,2021-09-04 10:09:20,515281,12949.0
88,2021-09-05 04:09:06,515282,12330.0
89,2021-09-05 07:09:20,515282,10229.0
90,2021-09-06 05:09:52,515282,12340.0
91,2021-09-06 08:09:30,515282,13681.0
92,2021-09-06 08:09:57,515282,12962.0
93,2021-09-06 08:09:57,515282,10940.0
94,2021-09-06 10:09:50,515282,21370.0
95,2021-09-06 11:09:14,515282,12221.0
96,2021-09-06 11:09:24,515282,11760.0
97,2021-09-06 11:09:25,515282,11830.0
98,2021-09-06 11:09:37,515282,11861.0
99,2021-09-06 12:09:29,515282,11759.0
100,2021-09-06 12:09:22,515283,12970.0
101,2021-09-06 01:09:58,515284,11930.0
102,2021-09-06 01:09:45,515285,12290.0
103,2021-09-06 03:09:05,515286,11030.0
104,2021-09-06 03:09:09,515286,11101.0
105,2021-09-06 03:09:35,515286,11299.0
106,2021-09-06 05:09:03,515290,11810.0
107,2021-09-06 06:09:40,515290,11960.0
108,2021-09-06 07:09:26,515291,10410.0
109,2021-09-06 08:09:42,515292,12019.0
110,2021-09-06 08:09:38,515293,12781.0
111,2021-09-06 09:09:26,515293,12050.0
112,2021-09-06 09:09:12,515294,13330.0
113,2021-09-06 09:09:23,515294,10151.0
114,2021-09-06 09:09:32,515294,11769.0
115,2021-09-06 10:09:41,515294,11290.0
116,2021-09-06 10:09:53,515295,12849.0
117,2021-09-06 11:09:04,515295,12940.0
118,2021-09-07 12:09:07,515296,11570.0
119,2021-09-07 01:09:53,515297,11780.0
120,2021-09-07 05:09:04,515303,12689.0
121,2021-09-07 06:09:47,515303,10931.0
122,2021-09-07 05:09:32,515304,13311.0
123,2021-09-07 06:09:14,515304,11930.0
124,2021-09-07 06:09:53,515304,11229.0
125,2021-09-07 08:09:20,515304,11971.0
126,2021-09-07 10:09:00,515308,22790.0
127,2021-09-07 10:09:13,515308,12630.0
128,2021-09-07 11:09:03,515308,10430.0
