index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:03,515219,142908.89
2,2021-09-01 01:09:06,515219,72525.02
3,2021-09-01 01:09:16,515219,121372.15
4,2021-09-01 02:09:31,515219,73386.56
5,2021-09-01 02:09:41,515219,118746.56
6,2021-09-01 12:09:29,515219,73757.38
7,2021-09-01 12:09:30,515219,72937.01
8,2021-09-01 12:09:39,515219,129006.6
9,2021-09-01 12:09:40,515219,119518.96
10,2021-09-01 12:09:53,515219,71795.57
11,2021-09-01 04:09:13,515220,72317.17
12,2021-09-01 04:09:23,515220,114771.63
13,2021-09-01 05:09:19,515220,72160.71
14,2021-09-01 05:09:29,515220,144407.09
15,2021-09-01 06:09:03,515220,140203.3
16,2021-09-01 06:09:53,515220,72529.97
17,2021-09-01 07:09:26,515220,72528.74
18,2021-09-01 07:09:36,515220,131457.65
19,2021-09-01 08:09:19,515222,70464.69
20,2021-09-01 08:09:29,515222,131040.41
21,2021-09-01 01:09:04,515224,111271.53
22,2021-09-01 01:09:09,515224,122804.39
23,2021-09-01 01:09:15,515224,72258.04
24,2021-09-01 01:09:22,515224,70972.7
25,2021-09-01 01:09:25,515224,132304.87
26,2021-09-01 01:09:32,515224,116990.31
27,2021-09-01 01:09:54,515224,72993.39
28,2021-09-01 01:09:59,515224,70162.67
29,2021-09-01 02:09:23,515224,72270.13
30,2021-09-01 02:09:33,515224,144736.25
31,2021-09-01 11:09:08,515224,143088.77
32,2021-09-01 11:09:27,515224,70610.22
33,2021-09-01 11:09:36,515224,136718.39
34,2021-09-01 11:09:44,515224,71863.4
35,2021-09-01 11:09:44,515224,72133.42
36,2021-09-01 11:09:53,515224,123333.48
37,2021-09-01 11:09:54,515224,150191.01
38,2021-09-01 11:09:58,515224,72397.78
39,2021-09-01 12:09:09,515224,69708.77
40,2021-09-01 12:09:19,515224,152367.29
41,2021-09-01 12:09:30,515224,71262.78
42,2021-09-01 12:09:40,515224,159774.92
43,2021-09-01 12:09:47,515224,73363.57
44,2021-09-01 12:09:57,515224,121257.6
45,2021-09-01 01:09:24,515225,69793.35
46,2021-09-01 01:09:26,515225,71945.75
47,2021-09-01 01:09:33,515225,71937.67
48,2021-09-01 01:09:34,515225,146905.59
49,2021-09-01 01:09:36,515225,153270.0
50,2021-09-01 01:09:43,515225,144829.98
51,2021-09-01 02:09:08,515225,118647.36
52,2021-09-01 02:09:58,515225,70375.8
53,2021-09-01 03:09:36,515228,72427.44
54,2021-09-01 03:09:46,515228,128314.64
55,2021-09-01 04:09:09,515228,72722.56
56,2021-09-01 04:09:19,515228,122439.44
57,2021-09-01 04:09:24,515228,72228.17
58,2021-09-01 04:09:33,515228,141342.55
59,2021-09-01 04:09:47,515228,71740.59
60,2021-09-01 04:09:57,515228,131612.45
61,2021-09-01 04:09:24,515230,71977.52
62,2021-09-01 04:09:34,515230,107890.67
63,2021-09-01 10:09:01,515238,130898.13
64,2021-09-01 10:09:52,515238,73486.16
65,2021-09-02 12:09:07,515240,72596.77
66,2021-09-02 12:09:17,515240,124249.28
67,2021-09-02 05:09:07,515242,147019.91
68,2021-09-02 05:09:57,515242,71326.59
69,2021-09-02 06:09:12,515242,72364.07
70,2021-09-02 06:09:22,515242,139996.89
71,2021-09-02 06:09:40,515242,73232.72
72,2021-09-02 06:09:49,515242,128513.99
73,2021-09-02 07:09:18,515242,73903.97
74,2021-09-02 07:09:18,515242,72439.13
75,2021-09-02 07:09:28,515242,143891.99
76,2021-09-02 07:09:28,515242,119525.55
77,2021-09-02 08:09:33,515243,73188.08
78,2021-09-02 08:09:43,515243,110632.77
79,2021-09-02 09:09:21,515243,72272.83
80,2021-09-02 09:09:29,515243,71874.43
81,2021-09-02 09:09:31,515243,159458.01
82,2021-09-02 09:09:39,515243,115596.57
83,2021-09-02 10:09:00,515243,150857.08
84,2021-09-02 10:09:50,515243,73089.31
85,2021-09-02 11:09:07,515243,72634.14
86,2021-09-02 11:09:17,515243,108650.97
87,2021-09-02 11:09:35,515243,74568.28
88,2021-09-02 11:09:45,515243,128293.26
89,2021-09-02 01:09:04,515244,73174.24
90,2021-09-02 01:09:14,515244,128829.9
91,2021-09-02 11:09:08,515244,73547.2
92,2021-09-02 11:09:18,515244,127909.92
93,2021-09-02 12:09:19,515244,73158.69
94,2021-09-02 12:09:27,515244,71715.15
95,2021-09-02 12:09:28,515244,114806.15
96,2021-09-02 12:09:37,515244,111713.9
97,2021-09-02 12:09:44,515244,73447.65
98,2021-09-02 12:09:49,515244,71175.72
99,2021-09-02 12:09:54,515244,158413.94
100,2021-09-02 12:09:59,515244,148802.25
101,2021-09-02 02:09:36,515246,72474.21
102,2021-09-02 02:09:46,515246,153344.01
103,2021-09-02 03:09:08,515246,122102.0
104,2021-09-02 03:09:58,515246,73017.28
105,2021-09-02 03:09:30,515247,73572.96
