index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:08,531193,72.28416299819946
2,2021-09-01 06:09:30,531193,72.48868298530579
3,2021-09-01 06:09:35,531193,73.05221104621887
4,2021-09-01 06:09:54,531193,72.56003379821777
5,2021-09-01 07:09:06,531193,71.7021861076355
6,2021-09-01 08:09:15,531193,72.40023684501648
7,2021-09-01 08:09:30,531194,72.72850489616394
8,2021-09-01 11:09:45,531195,71.87956595420837
9,2021-09-01 02:09:10,531197,72.27503490447998
10,2021-09-01 03:09:57,531197,73.56922817230225
11,2021-09-01 04:09:52,531199,72.39786505699158
12,2021-09-01 05:09:13,531199,71.87610101699829
13,2021-09-01 09:09:06,531204,72.44360113143921
14,2021-09-01 11:09:19,531205,72.38000297546387
15,2021-09-02 06:09:01,531206,71.83337116241455
16,2021-09-02 06:09:39,531206,72.36180019378662
17,2021-09-02 07:09:34,531206,72.22115683555603
18,2021-09-02 08:09:25,531206,72.94840002059937
19,2021-09-02 02:09:05,531208,72.18649888038635
20,2021-09-02 10:09:11,531208,71.64345097541809
21,2021-09-02 10:09:36,531208,72.75937414169312
22,2021-09-02 12:09:36,531208,72.25279188156128
23,2021-09-02 02:09:41,531209,72.50701785087585
24,2021-09-02 03:09:52,531210,71.44029092788696
25,2021-09-02 04:09:21,531212,71.9369421005249
26,2021-09-02 04:09:34,531212,73.06198596954346
27,2021-09-02 05:09:37,531212,72.74990510940552
28,2021-09-02 06:09:22,531213,71.95698380470276
29,2021-09-02 07:09:17,531213,71.96195697784424
30,2021-09-03 01:09:27,531217,72.27699208259583
31,2021-09-03 02:09:06,531217,72.17255091667175
32,2021-09-03 12:09:05,531217,72.07842302322388
33,2021-09-03 07:09:57,531218,72.861154794693
34,2021-09-03 09:09:06,531218,71.90709209442139
35,2021-09-03 10:09:32,531218,71.59891605377197
36,2021-09-03 10:09:43,531218,72.54749798774719
37,2021-09-03 01:09:18,531221,71.86426901817322
38,2021-09-03 01:09:48,531221,72.62471508979797
39,2021-09-03 03:09:47,531221,72.14467787742615
40,2021-09-03 12:09:08,531221,72.39384007453918
41,2021-09-03 02:09:17,531223,72.5757520198822
42,2021-09-03 08:09:32,531230,72.33307409286499
43,2021-09-03 08:09:40,531230,72.80070900917053
44,2021-09-03 11:09:30,531234,73.11544799804688
45,2021-09-04 01:09:34,531234,72.73703598976135
46,2021-09-05 05:09:51,531234,72.67448902130127
47,2021-09-05 08:09:34,531234,72.7739610671997
48,2021-09-06 07:09:54,531234,72.37532186508179
49,2021-09-06 08:09:26,531236,72.49109292030334
50,2021-09-06 08:09:49,531236,72.38075184822083
51,2021-09-06 11:09:23,531237,72.0771210193634
52,2021-09-06 12:09:23,531238,72.16858887672424
53,2021-09-06 02:09:47,531239,72.81036496162415
54,2021-09-06 03:09:25,531240,72.45202994346619
55,2021-09-06 04:09:10,531240,71.15649199485779
56,2021-09-06 04:09:11,531240,71.71235489845276
57,2021-09-06 05:09:46,531244,72.07910299301147
58,2021-09-06 07:09:03,531244,72.18010401725769
59,2021-09-06 08:09:33,531244,73.16932082176208
60,2021-09-06 08:09:59,531244,72.03637599945068
61,2021-09-06 11:09:18,531246,72.3043520450592
62,2021-09-07 12:09:36,531246,72.04613184928894
63,2021-09-07 06:09:00,531247,71.83067393302917
64,2021-09-07 06:09:15,531247,72.31815505027771
65,2021-09-07 06:09:49,531247,71.89478611946106
66,2021-09-07 07:09:00,531247,72.07610487937927
67,2021-09-07 08:09:09,531247,71.99863600730896
68,2021-09-07 10:09:08,531247,72.98509502410889
69,2021-09-07 10:09:31,531247,72.09834909439087
70,2021-09-07 10:09:44,531248,73.41862607002258
71,2021-09-07 01:09:40,531249,71.66520810127258
72,2021-09-07 12:09:03,531249,73.81204605102539
73,2021-09-07 01:09:52,531250,71.68732500076294
74,2021-09-07 02:09:26,531250,71.70639204978943
75,2021-09-07 03:09:14,531251,71.6350519657135
76,2021-09-07 03:09:31,531252,72.97121715545654
77,2021-09-07 04:09:01,531252,71.78144717216492
78,2021-09-07 08:09:23,531257,71.81677293777466
79,2021-09-07 08:09:45,531257,71.75900077819824
80,2021-09-07 10:09:01,531258,71.81482911109924
81,2021-09-07 10:09:47,531258,71.9905481338501
82,2021-09-07 11:09:44,531258,71.65732502937317
83,2021-09-08 12:09:02,531258,74.57099080085754
84,2021-09-08 12:09:45,531259,72.31680178642273
85,2021-09-08 06:09:23,531260,71.35894393920898
86,2021-09-08 06:09:53,531260,72.43397998809814
87,2021-09-08 06:09:58,531260,71.45984292030334
88,2021-09-08 01:09:16,531264,71.20907092094421
89,2021-09-08 01:09:47,531264,72.82480812072754
90,2021-09-08 02:09:17,531264,71.46792697906494
91,2021-09-08 02:09:54,531264,72.12953591346741
92,2021-09-08 05:09:12,531267,71.37531208992004
93,2021-09-08 05:09:23,531267,71.76588487625122
94,2021-09-08 05:09:42,531267,72.54271483421326
