index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:53,531193,304.2
2,2021-09-01 02:09:02,531193,271.8
3,2021-09-01 05:09:47,531193,277.4
4,2021-09-01 06:09:04,531193,267.2
5,2021-09-01 06:09:25,531193,260.0
6,2021-09-01 06:09:54,531193,255.8
7,2021-09-01 07:09:24,531193,301.6
8,2021-09-01 08:09:18,531193,272.8
9,2021-09-01 08:09:14,531194,268.8
10,2021-09-01 10:09:19,531195,291.2
11,2021-09-01 02:09:13,531197,275.2
12,2021-09-01 02:09:26,531197,262.0
13,2021-09-01 03:09:15,531199,269.0
14,2021-09-01 04:09:47,531199,281.0
15,2021-09-01 08:09:44,531204,292.0
16,2021-09-01 11:09:43,531205,258.6
17,2021-09-02 05:09:01,531206,284.2
18,2021-09-02 06:09:01,531206,281.0
19,2021-09-02 06:09:39,531206,278.6
20,2021-09-02 08:09:10,531206,272.6
21,2021-09-02 01:09:07,531208,296.0
22,2021-09-02 09:09:42,531208,309.8
23,2021-09-02 10:09:27,531208,294.8
24,2021-09-02 10:09:47,531208,258.2
25,2021-09-02 11:09:20,531208,274.0
26,2021-09-02 11:09:35,531208,274.6
27,2021-09-02 01:09:20,531209,270.0
28,2021-09-02 02:09:38,531210,290.6
29,2021-09-02 03:09:01,531210,264.2
30,2021-09-02 04:09:00,531212,294.2
31,2021-09-02 04:09:22,531212,265.2
32,2021-09-02 04:09:54,531212,287.2
33,2021-09-02 05:09:31,531212,264.0
34,2021-09-02 05:09:41,531213,272.4
35,2021-09-02 06:09:24,531213,261.6
36,2021-09-02 11:09:10,531217,281.4
37,2021-09-03 01:09:45,531217,279.6
38,2021-09-03 02:09:38,531217,267.0
39,2021-09-03 06:09:25,531218,262.8
40,2021-09-03 09:09:17,531218,263.2
41,2021-09-03 09:09:39,531218,287.4
42,2021-09-03 09:09:53,531218,307.8
43,2021-09-03 10:09:40,531218,278.6
44,2021-09-03 02:09:03,531221,284.2
45,2021-09-03 12:09:06,531221,281.0
46,2021-09-03 12:09:33,531221,289.6
47,2021-09-03 12:09:54,531221,294.4
48,2021-09-03 02:09:47,531223,230.2
49,2021-09-03 07:09:21,531230,275.0
50,2021-09-03 08:09:10,531230,322.8
