index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:54,531193,55.506
2,2021-09-01 06:09:47,531193,55.022
3,2021-09-01 06:09:52,531193,54.06
4,2021-09-01 06:09:55,531193,56.258
5,2021-09-01 07:09:03,531193,55.28
6,2021-09-01 07:09:42,531193,55.68
7,2021-09-01 08:09:40,531194,54.298
8,2021-09-01 11:09:16,531195,55.918
9,2021-09-01 02:09:39,531197,55.82
10,2021-09-01 03:09:20,531197,54.458
11,2021-09-01 04:09:20,531199,54.7
12,2021-09-01 04:09:34,531199,55.38
13,2021-09-01 09:09:55,531204,56.002
14,2021-09-01 11:09:44,531205,54.98
15,2021-09-02 06:09:16,531206,54.402
16,2021-09-02 06:09:46,531206,55.876
17,2021-09-02 07:09:20,531206,54.02
18,2021-09-02 08:09:26,531206,54.718
19,2021-09-02 01:09:45,531208,54.378
20,2021-09-02 09:09:40,531208,54.06
21,2021-09-02 10:09:31,531208,56.282
22,2021-09-02 12:09:23,531208,54.9
23,2021-09-02 02:09:06,531209,54.882
24,2021-09-02 02:09:57,531210,55.738
25,2021-09-02 04:09:28,531212,55.04
26,2021-09-02 04:09:54,531212,54.16
27,2021-09-02 04:09:55,531212,55.96
28,2021-09-02 05:09:12,531213,54.596
29,2021-09-02 06:09:03,531213,55.56
30,2021-09-03 01:09:25,531217,55.02
31,2021-09-03 02:09:18,531217,54.84
32,2021-09-03 12:09:52,531217,56.622
33,2021-09-03 07:09:51,531218,55.0
34,2021-09-03 09:09:46,531218,56.34
35,2021-09-03 09:09:52,531218,56.138
36,2021-09-03 10:09:39,531218,54.842
37,2021-09-03 01:09:23,531221,55.66
38,2021-09-03 01:09:40,531221,56.382
39,2021-09-03 03:09:53,531221,55.138
40,2021-09-03 12:09:57,531221,55.78
41,2021-09-03 02:09:43,531223,55.1
42,2021-09-03 07:09:27,531230,54.322
43,2021-09-03 08:09:26,531230,55.362
44,2021-09-03 11:09:03,531234,55.638
45,2021-09-04 01:09:14,531234,55.902
46,2021-09-05 05:09:57,531234,54.86
47,2021-09-05 08:09:55,531234,53.88
48,2021-09-06 07:09:22,531234,55.342
49,2021-09-06 08:09:36,531236,55.68
50,2021-09-06 08:09:59,531236,55.316
51,2021-09-06 11:09:35,531237,56.12
52,2021-09-06 12:09:33,531238,54.38
53,2021-09-06 01:09:51,531239,55.34
54,2021-09-06 03:09:10,531240,54.938
55,2021-09-06 03:09:22,531240,54.558
56,2021-09-06 03:09:29,531240,55.88
57,2021-09-06 05:09:46,531244,54.92
58,2021-09-06 07:09:36,531244,55.0
59,2021-09-06 08:09:07,531244,54.658
60,2021-09-06 08:09:43,531244,54.8
61,2021-09-06 11:09:18,531246,54.182
62,2021-09-06 11:09:56,531246,56.158
63,2021-09-07 06:09:04,531247,56.222
64,2021-09-07 06:09:06,531247,55.46
65,2021-09-07 06:09:50,531247,55.262
66,2021-09-07 07:09:31,531247,54.44
67,2021-09-07 08:09:12,531247,55.138
68,2021-09-07 09:09:10,531247,57.178
69,2021-09-07 10:09:11,531247,55.198
70,2021-09-07 11:09:50,531247,54.262
71,2021-09-07 10:09:43,531248,56.118
72,2021-09-07 12:09:07,531249,54.7
73,2021-09-07 12:09:28,531249,55.1
74,2021-09-07 01:09:04,531250,55.242
75,2021-09-07 01:09:52,531250,55.902
76,2021-09-07 03:09:31,531251,54.6
77,2021-09-07 03:09:44,531252,55.602
78,2021-09-07 03:09:47,531252,56.922
79,2021-09-07 04:09:30,531252,54.78
80,2021-09-07 05:09:49,531252,56.202
81,2021-09-07 07:09:17,531257,55.804
82,2021-09-07 08:09:12,531257,55.998
83,2021-09-07 10:09:21,531258,55.684
84,2021-09-07 10:09:56,531258,57.278
85,2021-09-07 11:09:01,531258,55.56
86,2021-09-07 11:09:30,531258,55.98
87,2021-09-07 11:09:33,531258,56.202
88,2021-09-08 12:09:44,531258,54.096
89,2021-09-08 12:09:58,531258,55.216
90,2021-09-08 12:09:22,531259,56.744
91,2021-09-08 06:09:02,531260,55.762
92,2021-09-08 06:09:34,531260,56.602
93,2021-09-08 06:09:38,531260,54.782
94,2021-09-08 01:09:40,531264,56.184
95,2021-09-08 01:09:47,531264,55.622
96,2021-09-08 01:09:49,531264,55.638
97,2021-09-08 01:09:56,531264,55.522
98,2021-09-08 04:09:15,531267,56.34
99,2021-09-08 04:09:38,531267,56.5
100,2021-09-08 05:09:16,531267,54.78
101,2021-09-08 10:09:22,531267,57.06
102,2021-09-08 11:09:56,531267,55.298
103,2021-09-08 11:09:01,531269,54.456
104,2021-09-08 11:09:11,531269,56.418
105,2021-09-08 11:09:27,531269,56.002
106,2021-09-08 11:09:51,531269,56.68
107,2021-09-09 12:09:37,531269,55.858
108,2021-09-09 01:09:07,531270,55.6
109,2021-09-09 02:09:11,531270,54.858
110,2021-09-09 06:09:16,531270,56.438
111,2021-09-09 10:09:07,531270,57.382
112,2021-09-09 11:09:09,531270,55.722
113,2021-09-09 11:09:16,531270,56.858
114,2021-09-09 11:09:24,531270,57.5
115,2021-09-09 11:09:36,531270,56.58
116,2021-09-09 01:09:51,531271,57.16
117,2021-09-09 02:09:50,531271,56.46
118,2021-09-09 01:09:22,531272,55.98
119,2021-09-09 02:09:13,531272,55.68
120,2021-09-09 02:09:47,531272,56.984
121,2021-09-09 04:09:47,531274,56.324
122,2021-09-09 05:09:12,531275,54.896
123,2021-09-09 06:09:16,531276,56.76
124,2021-09-09 06:09:50,531276,56.44
125,2021-09-09 07:09:41,531278,55.42
126,2021-09-09 08:09:56,531279,55.36
127,2021-09-09 08:09:15,531280,57.28
128,2021-09-09 08:09:15,531280,55.278
129,2021-09-09 09:09:37,531280,55.156
130,2021-09-09 11:09:16,531284,55.858
131,2021-09-10 02:09:24,531285,56.68
132,2021-09-10 02:09:48,531285,56.584
133,2021-09-10 03:09:16,531285,55.198
134,2021-09-10 04:09:21,531285,54.878
135,2021-09-10 04:09:40,531285,54.36
136,2021-09-10 01:09:29,531286,55.02
137,2021-09-10 01:09:32,531286,56.418
138,2021-09-10 02:09:52,531286,55.0
139,2021-09-10 03:09:17,531286,55.322
140,2021-09-10 03:09:24,531286,55.78
141,2021-09-10 03:09:31,531286,57.198
142,2021-09-10 03:09:55,531286,54.6
143,2021-09-10 04:09:16,531286,54.462
144,2021-09-10 04:09:33,531286,56.718
145,2021-09-10 04:09:59,531286,56.658
146,2021-09-10 05:09:08,531286,55.62
147,2021-09-10 06:09:17,531286,56.298
148,2021-09-10 06:09:43,531286,56.458
149,2021-09-10 06:09:58,531286,56.92
150,2021-09-10 07:09:07,531286,54.882
151,2021-09-10 07:09:47,531286,55.962
152,2021-09-10 10:09:21,531286,55.88
153,2021-09-10 10:09:43,531286,56.618
154,2021-09-10 05:09:06,531287,57.46
155,2021-09-10 05:09:38,531287,54.18
156,2021-09-10 07:09:14,531287,55.52
157,2021-09-10 07:09:17,531289,55.3
158,2021-09-13 05:09:38,531291,56.818
159,2021-09-11 12:09:45,531293,56.702
160,2021-09-11 12:09:16,531294,56.478
161,2021-09-11 01:09:12,531295,54.882
162,2021-09-11 02:09:14,531298,56.178
163,2021-09-11 04:09:03,531299,56.302
164,2021-09-11 05:09:09,531299,55.7
165,2021-09-11 08:09:39,531299,56.762
166,2021-09-12 03:09:23,531300,54.838
167,2021-09-12 06:09:58,531300,56.24
168,2021-09-13 05:09:57,531300,54.58
169,2021-09-13 07:09:27,531301,56.522
170,2021-09-13 11:09:40,531301,56.1
171,2021-09-13 11:09:55,531301,55.702
172,2021-09-13 12:09:02,531301,54.818
173,2021-09-14 11:09:03,531301,56.64
174,2021-09-14 11:09:23,531301,55.28
175,2021-09-14 11:09:42,531301,54.96
176,2021-09-14 04:09:48,531306,54.322
177,2021-09-14 05:09:26,531307,55.642
178,2021-09-14 06:09:23,531307,55.082
179,2021-09-14 08:09:31,531307,55.98
180,2021-09-14 09:09:16,531307,55.958
181,2021-09-14 09:09:20,531307,56.46
182,2021-09-14 11:09:39,531308,55.178
183,2021-09-14 11:09:16,531311,55.602
184,2021-09-15 12:09:30,531313,55.44
185,2021-09-15 03:09:52,531318,55.598
186,2021-09-15 04:09:01,531319,56.56
187,2021-09-15 08:09:31,531320,56.438
188,2021-09-15 01:09:41,531321,55.66
189,2021-09-15 02:09:04,531321,55.2
190,2021-09-15 03:09:30,531321,55.722
191,2021-09-15 03:09:37,531321,55.362
192,2021-09-15 03:09:53,531321,54.498
193,2021-09-15 03:09:53,531321,54.86
194,2021-09-15 04:09:08,531321,54.66
195,2021-09-15 04:09:20,531321,55.38
196,2021-09-15 04:09:27,531321,55.484
197,2021-09-15 04:09:44,531321,56.138
198,2021-09-15 06:09:03,531321,55.22
199,2021-09-15 06:09:10,531321,55.442
200,2021-09-15 06:09:30,531321,54.702
201,2021-09-15 06:09:53,531321,55.2
202,2021-09-15 06:09:54,531321,55.16
203,2021-09-15 07:09:39,531323,55.6
204,2021-09-15 08:09:01,531323,55.42
205,2021-09-15 08:09:26,531323,54.642
206,2021-09-15 09:09:02,531323,56.898
207,2021-09-15 09:09:58,531323,56.902
208,2021-09-15 10:09:02,531323,54.36
209,2021-09-16 01:09:08,531324,55.682
210,2021-09-16 01:09:51,531325,55.624
211,2021-09-15 11:09:41,531326,56.74
212,2021-09-16 03:09:00,531329,54.54
213,2021-09-16 03:09:41,531330,56.362
214,2021-09-16 06:09:10,531333,56.338
215,2021-09-16 07:09:24,531334,55.882
216,2021-09-16 08:09:29,531334,55.28
217,2021-09-16 08:09:36,531334,55.622
218,2021-09-16 09:09:55,531335,55.602
219,2021-09-16 12:09:08,531335,56.22
220,2021-09-16 01:09:05,531336,55.658
221,2021-09-16 01:09:22,531336,56.56
222,2021-09-16 01:09:47,531336,55.5
223,2021-09-16 04:09:02,531336,55.444
224,2021-09-16 08:09:01,531336,56.24
225,2021-09-16 10:09:23,531336,55.842
226,2021-09-16 06:09:35,531337,54.96
227,2021-09-16 06:09:45,531337,56.338
228,2021-09-16 07:09:25,531337,55.984
229,2021-09-16 07:09:28,531337,56.358
230,2021-09-16 07:09:42,531337,56.06
231,2021-09-16 08:09:30,531337,55.582
232,2021-09-16 11:09:05,531340,55.898
233,2021-09-16 09:09:38,531341,55.322
234,2021-09-16 10:09:04,531341,56.122
235,2021-09-17 12:09:18,531344,56.56
236,2021-09-16 11:09:10,531345,55.758
237,2021-09-16 11:09:58,531345,55.24
238,2021-09-16 11:09:55,531346,56.038
239,2021-09-17 01:09:02,531346,54.198
240,2021-09-17 12:09:16,531346,54.878
241,2021-09-17 06:09:34,531349,55.322
242,2021-09-17 06:09:35,531349,55.982
243,2021-09-17 01:09:10,531350,57.982
244,2021-09-17 01:09:42,531350,55.278
245,2021-09-17 01:09:48,531350,54.02
246,2021-09-17 02:09:22,531350,54.878
247,2021-09-17 02:09:51,531350,58.222
248,2021-09-17 03:09:43,531350,55.582
249,2021-09-17 03:09:49,531350,55.258
250,2021-09-17 03:09:52,531350,55.02
251,2021-09-17 05:09:06,531350,56.442
252,2021-09-17 05:09:37,531350,56.8
253,2021-09-17 12:09:36,531350,56.818
254,2021-09-17 06:09:39,531351,55.838
255,2021-09-17 09:09:11,531358,54.662
256,2021-09-17 09:09:34,531358,55.442
257,2021-09-18 12:09:33,531359,55.038
258,2021-09-18 09:09:38,531364,55.404
259,2021-09-19 05:09:57,531364,55.382
260,2021-09-20 06:09:53,531364,55.52
261,2021-09-20 10:09:34,531364,56.056
262,2021-09-20 11:09:04,531364,55.38
263,2021-09-20 11:09:11,531364,55.938
264,2021-09-20 12:09:42,531365,56.558
265,2021-09-20 12:09:51,531365,55.458
266,2021-09-20 02:09:19,531366,54.722
267,2021-09-20 03:09:51,531366,55.66
268,2021-09-20 05:09:11,531366,56.8
269,2021-09-20 06:09:28,531366,55.18
270,2021-09-20 06:09:47,531366,55.882
271,2021-09-20 06:09:39,531367,57.022
272,2021-09-20 08:09:44,531367,56.08
