index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:28,531193,33730.0
2,2021-09-01 02:09:09,531193,33530.0
3,2021-09-01 05:09:43,531193,34250.0
4,2021-09-01 06:09:04,531193,32880.0
5,2021-09-01 06:09:06,531193,33112.0
6,2021-09-01 06:09:35,531193,33810.0
7,2021-09-01 06:09:38,531193,33150.0
8,2021-09-01 07:09:08,531193,33450.0
9,2021-09-01 07:09:09,531193,33280.0
10,2021-09-01 08:09:43,531193,32701.0
11,2021-09-01 08:09:28,531194,32600.0
12,2021-09-01 11:09:45,531195,34121.0
13,2021-09-01 02:09:41,531197,31580.0
14,2021-09-01 02:09:44,531197,31770.0
15,2021-09-01 03:09:16,531199,31600.0
16,2021-09-01 04:09:17,531199,33110.0
17,2021-09-01 04:09:34,531199,32300.0
18,2021-09-01 08:09:24,531204,31820.0
19,2021-09-01 11:09:34,531205,33570.0
20,2021-09-02 12:09:41,531205,31668.0
21,2021-09-02 05:09:34,531206,31659.0
22,2021-09-02 06:09:20,531206,31279.0
23,2021-09-02 07:09:07,531206,31099.0
24,2021-09-02 07:09:13,531206,32170.0
25,2021-09-02 08:09:22,531206,30922.0
26,2021-09-02 01:09:55,531208,32001.0
27,2021-09-02 02:09:16,531208,32210.0
28,2021-09-02 09:09:17,531208,32090.0
29,2021-09-02 10:09:57,531208,31689.0
30,2021-09-02 12:09:01,531208,31840.0
31,2021-09-02 01:09:09,531209,32069.0
32,2021-09-02 02:09:43,531210,32070.0
33,2021-09-02 04:09:19,531212,32970.0
34,2021-09-02 04:09:44,531212,31939.0
35,2021-09-02 04:09:58,531212,31710.0
36,2021-09-02 05:09:21,531213,32160.0
37,2021-09-02 06:09:09,531213,31811.0
38,2021-09-02 06:09:20,531213,31931.0
39,2021-09-02 11:09:18,531217,31631.0
40,2021-09-03 01:09:40,531217,31720.0
41,2021-09-03 02:09:16,531217,31840.0
42,2021-09-03 06:09:29,531218,31660.0
43,2021-09-03 09:09:01,531218,30889.0
44,2021-09-03 09:09:27,531218,32229.0
45,2021-09-03 09:09:30,531218,31481.0
46,2021-09-03 10:09:30,531218,32300.0
47,2021-09-03 01:09:13,531221,32030.0
48,2021-09-03 01:09:25,531221,31390.0
49,2021-09-03 01:09:49,531221,31250.0
