index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:22,515219,13.8567
2,2021-09-01 02:09:28,515219,13.7712
3,2021-09-01 02:09:33,515219,13.8333
4,2021-09-01 12:09:21,515219,13.6502
5,2021-09-01 12:09:52,515219,13.4766
6,2021-09-01 12:09:53,515219,13.7908
7,2021-09-01 03:09:45,515220,13.9235
8,2021-09-01 05:09:11,515220,13.6455
9,2021-09-01 06:09:32,515220,13.8221
10,2021-09-01 08:09:53,515222,13.6859
11,2021-09-01 01:09:23,515224,13.5824
12,2021-09-01 01:09:39,515224,13.956
13,2021-09-01 01:09:47,515224,13.5523
14,2021-09-01 02:09:29,515224,13.7394
15,2021-09-01 11:09:08,515224,13.5967
16,2021-09-01 11:09:10,515224,13.8321
17,2021-09-01 11:09:30,515224,13.5179
18,2021-09-01 11:09:58,515224,13.5619
19,2021-09-01 12:09:34,515224,13.4593
20,2021-09-01 12:09:35,515224,13.7315
21,2021-09-01 12:09:35,515224,13.8048
22,2021-09-01 12:09:57,515224,13.6604
23,2021-09-01 01:09:02,515225,13.8401
24,2021-09-01 01:09:24,515225,13.672
25,2021-09-01 01:09:53,515225,13.7342
26,2021-09-01 03:09:19,515228,13.9867
27,2021-09-01 04:09:57,515230,13.6879
28,2021-09-01 09:09:15,515238,13.5393
29,2021-09-02 12:09:45,515240,14.0181
30,2021-09-02 05:09:06,515242,13.7511
31,2021-09-02 06:09:27,515242,13.6945
32,2021-09-02 06:09:45,515242,13.6575
33,2021-09-02 07:09:30,515242,13.7009
34,2021-09-02 01:09:37,515243,13.8365
35,2021-09-02 01:09:50,515243,13.6389
36,2021-09-02 08:09:12,515243,13.562
37,2021-09-02 09:09:24,515243,13.5462
38,2021-09-02 09:09:29,515243,13.5281
39,2021-09-02 09:09:41,515243,13.8711
40,2021-09-02 10:09:04,515243,13.5466
41,2021-09-02 11:09:24,515243,13.4733
42,2021-09-02 11:09:56,515243,13.684
43,2021-09-02 12:09:58,515243,13.61
44,2021-09-02 01:09:55,515244,13.6026
45,2021-09-02 11:09:40,515244,13.6102
46,2021-09-02 12:09:01,515244,13.6438
47,2021-09-02 12:09:16,515244,13.4125
48,2021-09-02 12:09:30,515244,13.7198
49,2021-09-02 12:09:35,515244,14.0292
50,2021-09-02 02:09:13,515246,13.9309
51,2021-09-02 03:09:11,515247,13.4317
52,2021-09-02 04:09:40,515247,13.7147
53,2021-09-02 03:09:40,515248,13.5753
54,2021-09-02 05:09:17,515251,13.8589
55,2021-09-02 06:09:30,515251,13.6935
56,2021-09-02 06:09:46,515251,13.711
57,2021-09-02 06:09:05,515252,13.6589
58,2021-09-02 07:09:22,515254,13.7015
59,2021-09-02 08:09:26,515254,13.8051
60,2021-09-02 09:09:56,515257,13.7812
61,2021-09-03 01:09:24,515260,13.9489
62,2021-09-03 12:09:26,515260,13.9897
63,2021-09-03 12:09:27,515260,13.8845
64,2021-09-03 05:09:36,515262,13.6129
65,2021-09-03 07:09:05,515262,13.6199
66,2021-09-03 08:09:00,515262,13.8995
67,2021-09-03 08:09:03,515262,13.7053
68,2021-09-03 08:09:22,515262,13.7129
69,2021-09-03 09:09:02,515263,13.7564
70,2021-09-03 09:09:07,515263,13.8787
71,2021-09-03 09:09:12,515263,13.6709
72,2021-09-03 09:09:50,515263,13.632
73,2021-09-03 10:09:54,515263,13.9392
74,2021-09-03 10:09:25,515264,13.73
75,2021-09-03 12:09:48,515265,13.7863
76,2021-09-03 01:09:22,515266,13.6118
77,2021-09-03 01:09:42,515266,13.7856
78,2021-09-03 03:09:02,515268,13.7168
79,2021-09-03 04:09:20,515268,13.8948
80,2021-09-03 04:09:50,515268,13.8312
81,2021-09-03 04:09:59,515269,13.7945
82,2021-09-03 06:09:02,515272,13.6083
83,2021-09-03 10:09:32,515275,13.8448
84,2021-09-03 11:09:05,515277,13.8502
85,2021-09-04 01:09:00,515277,13.935
86,2021-09-04 01:09:55,515277,13.6878
87,2021-09-04 02:09:11,515277,13.4065
88,2021-09-04 12:09:13,515277,13.7977
89,2021-09-04 12:09:50,515277,13.4726
90,2021-09-04 02:09:29,515278,13.6021
91,2021-09-04 06:09:20,515279,13.8283
92,2021-09-04 06:09:47,515279,13.762
93,2021-09-04 10:09:39,515281,13.5736
94,2021-09-05 05:09:57,515282,13.8678
95,2021-09-05 07:09:38,515282,13.6385
96,2021-09-06 06:09:28,515282,14.0732
97,2021-09-06 08:09:06,515282,13.9636
98,2021-09-06 08:09:06,515282,13.5215
99,2021-09-06 09:09:44,515282,13.5768
100,2021-09-06 10:09:55,515282,13.5859
101,2021-09-06 11:09:13,515282,13.6332
102,2021-09-06 11:09:14,515282,14.0602
103,2021-09-06 11:09:43,515282,13.7664
104,2021-09-06 12:09:02,515282,14.0483
105,2021-09-06 12:09:18,515282,13.7403
106,2021-09-06 12:09:21,515282,13.4796
107,2021-09-06 12:09:14,515283,13.7765
108,2021-09-06 01:09:05,515284,13.9717
109,2021-09-06 01:09:07,515285,13.6728
110,2021-09-06 03:09:03,515286,13.4379
111,2021-09-06 03:09:28,515286,13.9569
112,2021-09-06 03:09:56,515286,13.7764
113,2021-09-06 06:09:17,515290,13.866
114,2021-09-06 06:09:54,515290,13.7533
115,2021-09-06 07:09:21,515291,13.5512
116,2021-09-06 08:09:36,515291,13.9222
117,2021-09-06 08:09:50,515292,13.807
118,2021-09-06 09:09:32,515293,13.7539
119,2021-09-06 09:09:56,515293,13.8191
120,2021-09-06 09:09:20,515294,13.7606
121,2021-09-06 09:09:59,515294,13.7871
122,2021-09-06 10:09:03,515294,13.898
123,2021-09-06 11:09:11,515294,13.5217
124,2021-09-06 10:09:09,515295,13.9053
125,2021-09-06 11:09:59,515295,13.8993
126,2021-09-07 12:09:10,515296,13.7206
127,2021-09-07 02:09:59,515297,13.7595
128,2021-09-07 05:09:29,515303,13.6164
129,2021-09-07 05:09:48,515304,13.929
130,2021-09-07 06:09:11,515304,13.507
131,2021-09-07 08:09:39,515304,14.0371
132,2021-09-07 10:09:00,515308,13.7547
133,2021-09-07 10:09:55,515308,13.969
134,2021-09-07 11:09:22,515308,14.1388
135,2021-09-07 01:09:24,515309,13.652
136,2021-09-07 01:09:52,515309,13.7767
137,2021-09-07 02:09:00,515309,13.7241
138,2021-09-07 02:09:04,515309,13.739
139,2021-09-07 02:09:07,515309,13.6426
140,2021-09-07 02:09:13,515309,13.7358
141,2021-09-07 02:09:20,515309,13.6232
142,2021-09-07 02:09:23,515310,13.4929
143,2021-09-07 02:09:27,515310,13.6633
144,2021-09-07 02:09:14,515311,13.7531
145,2021-09-07 02:09:33,515311,13.716
146,2021-09-07 03:09:16,515311,13.6957
147,2021-09-07 03:09:31,515311,13.6149
148,2021-09-07 04:09:06,515311,13.4061
149,2021-09-07 05:09:26,515313,13.7462
150,2021-09-07 06:09:34,515313,13.6681
151,2021-09-07 06:09:36,515313,13.3835
