index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:19,531193,73001.0
2,2021-09-01 02:09:53,531193,75430.0
3,2021-09-01 06:09:01,531193,72869.0
4,2021-09-01 06:09:23,531193,73170.0
5,2021-09-01 06:09:39,531193,73200.0
6,2021-09-01 07:09:21,531193,72660.0
7,2021-09-01 07:09:30,531193,72750.0
8,2021-09-01 08:09:15,531193,72040.0
9,2021-09-01 09:09:07,531193,72929.0
10,2021-09-01 08:09:27,531194,73089.0
11,2021-09-01 09:09:40,531194,72390.0
12,2021-09-01 11:09:09,531195,73419.0
13,2021-09-01 02:09:16,531197,72131.0
14,2021-09-01 03:09:22,531197,73038.0
15,2021-09-01 04:09:16,531199,72660.0
16,2021-09-01 05:09:16,531199,72511.0
17,2021-09-01 09:09:07,531204,72811.0
18,2021-09-01 11:09:27,531205,72759.0
19,2021-09-02 06:09:15,531206,72432.0
20,2021-09-02 06:09:20,531206,72081.0
21,2021-09-02 07:09:14,531206,72188.0
22,2021-09-02 07:09:49,531206,72430.0
23,2021-09-02 08:09:10,531206,72499.0
24,2021-09-02 01:09:58,531208,72339.0
25,2021-09-02 09:09:52,531208,73340.0
26,2021-09-02 10:09:39,531208,72550.0
27,2021-09-02 12:09:17,531208,73680.0
28,2021-09-02 02:09:24,531209,72881.0
29,2021-09-02 03:09:07,531210,72658.0
30,2021-09-02 04:09:10,531212,72550.0
31,2021-09-02 04:09:19,531212,72811.0
32,2021-09-02 05:09:28,531212,74620.0
33,2021-09-02 05:09:55,531212,72210.0
34,2021-09-02 06:09:15,531213,72680.0
35,2021-09-02 06:09:32,531213,72210.0
36,2021-09-03 01:09:09,531217,74859.0
37,2021-09-03 01:09:15,531217,72630.0
38,2021-09-03 01:09:43,531217,73351.0
39,2021-09-03 01:09:55,531217,72499.0
40,2021-09-03 02:09:49,531217,72369.0
41,2021-09-03 12:09:04,531217,73120.0
42,2021-09-03 07:09:42,531218,73239.0
43,2021-09-03 09:09:15,531218,73131.0
44,2021-09-03 10:09:00,531218,73019.0
45,2021-09-03 10:09:59,531218,72210.0
46,2021-09-03 01:09:09,531221,71760.0
47,2021-09-03 01:09:46,531221,72521.0
48,2021-09-03 03:09:59,531221,74200.0
49,2021-09-03 12:09:00,531221,72299.0
50,2021-09-03 02:09:12,531223,72110.0
51,2021-09-03 07:09:54,531230,72719.0
52,2021-09-03 08:09:23,531230,72730.0
53,2021-09-03 11:09:52,531234,72530.0
54,2021-09-04 01:09:42,531234,73020.0
55,2021-09-05 05:09:05,531234,73349.0
56,2021-09-05 08:09:58,531234,71821.0
57,2021-09-06 07:09:19,531234,73120.0
58,2021-09-06 08:09:33,531236,72599.0
59,2021-09-06 08:09:45,531236,72979.0
60,2021-09-06 11:09:47,531237,72769.0
61,2021-09-06 12:09:43,531238,74028.0
62,2021-09-06 12:09:56,531238,72770.0
63,2021-09-06 01:09:13,531239,73681.0
64,2021-09-06 03:09:08,531240,73640.0
65,2021-09-06 04:09:07,531240,72290.0
66,2021-09-06 04:09:22,531240,72600.0
67,2021-09-06 04:09:50,531240,72560.0
68,2021-09-06 05:09:00,531240,74520.0
69,2021-09-06 05:09:59,531240,74679.0
70,2021-09-06 05:09:16,531244,72970.0
71,2021-09-06 07:09:52,531244,73051.0
72,2021-09-06 08:09:07,531244,73701.0
73,2021-09-06 08:09:18,531244,73340.0
74,2021-09-06 10:09:36,531244,73462.0
75,2021-09-06 11:09:32,531246,72480.0
76,2021-09-07 12:09:36,531246,72300.0
77,2021-09-07 06:09:29,531247,73340.0
78,2021-09-07 06:09:32,531247,73581.0
79,2021-09-07 06:09:45,531247,73180.0
80,2021-09-07 07:09:54,531247,73871.0
81,2021-09-07 08:09:53,531247,72880.0
82,2021-09-07 09:09:00,531247,72150.0
83,2021-09-07 09:09:20,531247,72550.0
84,2021-09-07 09:09:48,531247,74349.0
85,2021-09-07 10:09:40,531247,73080.0
86,2021-09-07 11:09:31,531247,72859.0
87,2021-09-07 10:09:51,531248,72220.0
88,2021-09-07 01:09:30,531249,72549.0
89,2021-09-07 12:09:20,531249,72089.0
90,2021-09-07 01:09:21,531250,72879.0
91,2021-09-07 01:09:22,531250,72381.0
92,2021-09-07 03:09:28,531251,73320.0
93,2021-09-07 03:09:48,531252,73079.0
94,2021-09-07 04:09:14,531252,74231.0
95,2021-09-07 04:09:30,531252,72901.0
96,2021-09-07 08:09:38,531257,72391.0
97,2021-09-07 08:09:55,531257,72299.0
98,2021-09-07 10:09:23,531258,72790.0
99,2021-09-07 10:09:23,531258,73259.0
100,2021-09-07 11:09:00,531258,72420.0
101,2021-09-07 11:09:21,531258,72741.0
102,2021-09-07 11:09:25,531258,71870.0
103,2021-09-07 11:09:44,531258,74359.0
104,2021-09-08 01:09:08,531259,72171.0
105,2021-09-08 06:09:02,531260,72710.0
106,2021-09-08 06:09:33,531260,72331.0
107,2021-09-08 06:09:38,531260,72071.0
108,2021-09-08 07:09:13,531260,73700.0
109,2021-09-08 01:09:08,531264,72920.0
110,2021-09-08 01:09:23,531264,73039.0
111,2021-09-08 01:09:52,531264,72230.0
112,2021-09-08 02:09:15,531264,73709.0
113,2021-09-08 02:09:16,531264,73260.0
114,2021-09-08 02:09:47,531264,73819.0
115,2021-09-08 02:09:51,531264,74040.0
116,2021-09-08 04:09:22,531267,73321.0
117,2021-09-08 04:09:56,531267,73210.0
118,2021-09-08 05:09:10,531267,71472.0
119,2021-09-08 05:09:58,531267,74621.0
120,2021-09-08 10:09:35,531267,73952.0
121,2021-09-08 11:09:05,531269,72420.0
122,2021-09-08 11:09:14,531269,72631.0
123,2021-09-08 11:09:14,531269,73649.0
124,2021-09-08 11:09:41,531269,73052.0
125,2021-09-09 12:09:38,531269,72190.0
126,2021-09-09 02:09:09,531270,72762.0
127,2021-09-09 03:09:26,531270,71769.0
128,2021-09-09 06:09:07,531270,72460.0
129,2021-09-09 07:09:27,531270,71910.0
130,2021-09-09 10:09:30,531270,72911.0
131,2021-09-09 11:09:15,531270,72810.0
132,2021-09-09 11:09:53,531270,73791.0
133,2021-09-09 12:09:28,531270,72349.0
134,2021-09-09 12:09:57,531270,74230.0
135,2021-09-09 01:09:32,531271,72179.0
136,2021-09-09 01:09:03,531272,72690.0
137,2021-09-09 02:09:52,531272,72720.0
138,2021-09-09 02:09:56,531272,73090.0
139,2021-09-09 04:09:53,531274,72789.0
140,2021-09-09 05:09:37,531275,72561.0
141,2021-09-09 06:09:59,531275,73020.0
142,2021-09-09 06:09:10,531276,73970.0
143,2021-09-09 06:09:18,531276,72049.0
144,2021-09-09 06:09:35,531276,72910.0
145,2021-09-09 07:09:42,531276,71990.0
146,2021-09-09 07:09:05,531278,73260.0
147,2021-09-09 08:09:11,531279,72561.0
148,2021-09-09 08:09:16,531280,72631.0
149,2021-09-09 08:09:33,531280,72499.0
150,2021-09-10 12:09:10,531284,73030.0
151,2021-09-10 12:09:25,531284,73011.0
152,2021-09-10 02:09:38,531285,72919.0
153,2021-09-10 03:09:09,531285,72880.0
154,2021-09-10 01:09:06,531286,72091.0
155,2021-09-10 01:09:53,531286,72620.0
156,2021-09-10 02:09:05,531286,73590.0
157,2021-09-10 03:09:08,531286,73010.0
