index_1based,timestamp,sut_version,value
1,2021-09-01 10:09:15,515214,824.2102272727274
2,2021-09-01 12:09:40,515218,806.6534090909091
3,2021-09-01 01:09:08,515219,798.3522727272726
4,2021-09-01 02:09:03,515219,818.6363636363636
5,2021-09-01 12:09:13,515219,806.8693181818182
6,2021-09-01 12:09:24,515219,805.2897727272726
7,2021-09-01 12:09:47,515219,814.9375
8,2021-09-01 03:09:38,515220,811.5284090909092
9,2021-09-01 05:09:31,515220,810.5568181818182
10,2021-09-01 06:09:58,515220,805.9090909090909
11,2021-09-01 08:09:20,515222,797.4488636363636
12,2021-09-01 01:09:01,515224,807.3352272727273
13,2021-09-01 01:09:26,515224,792.3806818181818
14,2021-09-01 01:09:34,515224,792.3238636363636
15,2021-09-01 02:09:09,515224,810.7386363636364
16,2021-09-01 11:09:00,515224,811.5340909090909
17,2021-09-01 11:09:37,515224,816.8181818181819
18,2021-09-01 11:09:39,515224,826.25
19,2021-09-01 11:09:43,515224,808.2386363636364
20,2021-09-01 12:09:01,515224,802.8409090909091
21,2021-09-01 12:09:17,515224,802.840909090909
22,2021-09-01 12:09:55,515224,804.9375
23,2021-09-01 01:09:05,515225,816.2556818181819
24,2021-09-01 01:09:08,515225,823.9204545454545
25,2021-09-01 01:09:26,515225,843.2954545454545
26,2021-09-01 02:09:26,515225,810.340909090909
27,2021-09-01 02:09:59,515225,837.784090909091
28,2021-09-01 03:09:13,515228,824.0340909090909
29,2021-09-01 04:09:19,515228,814.0909090909091
30,2021-09-01 04:09:57,515230,814.2613636363635
31,2021-09-01 05:09:47,515230,800.8011363636365
32,2021-09-01 10:09:24,515238,805.4545454545456
33,2021-09-02 01:09:09,515240,792.9545454545455
34,2021-09-02 12:09:23,515240,810.3920454545455
35,2021-09-02 05:09:04,515242,810.5113636363636
36,2021-09-02 06:09:06,515242,810.4488636363636
37,2021-09-02 06:09:13,515242,812.0511363636364
38,2021-09-02 06:09:23,515242,815.1761363636364
39,2021-09-02 08:09:01,515243,811.4829545454544
40,2021-09-02 09:09:47,515243,817.6761363636365
41,2021-09-02 09:09:51,515243,815.6193181818181
42,2021-09-02 10:09:13,515243,803.7443181818181
43,2021-09-02 11:09:33,515243,819.7670454545456
44,2021-09-02 11:09:59,515243,805.0625
45,2021-09-02 12:09:59,515243,826.3579545454545
46,2021-09-02 01:09:01,515244,807.4431818181818
47,2021-09-02 11:09:11,515244,820.6136363636365
48,2021-09-02 12:09:22,515244,809.2613636363635
49,2021-09-02 12:09:23,515244,820.0
50,2021-09-02 12:09:41,515244,792.3409090909091
51,2021-09-02 12:09:49,515244,822.5568181818181
52,2021-09-02 12:09:50,515244,803.5284090909091
53,2021-09-02 02:09:03,515246,811.5852272727274
54,2021-09-02 03:09:06,515247,809.4318181818182
55,2021-09-02 03:09:42,515248,815.1704545454545
56,2021-09-02 05:09:15,515251,829.0852272727274
57,2021-09-02 06:09:51,515251,801.590909090909
58,2021-09-02 07:09:05,515251,837.0454545454545
59,2021-09-02 06:09:12,515252,812.1647727272727
60,2021-09-02 07:09:34,515254,802.5568181818182
61,2021-09-02 08:09:54,515257,846.7613636363635
62,2021-09-02 09:09:16,515257,790.5681818181818
63,2021-09-03 01:09:03,515260,814.9431818181819
64,2021-09-03 01:09:33,515260,801.9318181818181
65,2021-09-03 01:09:52,515260,801.0284090909091
66,2021-09-03 12:09:09,515260,802.2159090909092
67,2021-09-03 12:09:54,515260,804.8920454545455
68,2021-09-03 05:09:42,515262,814.7727272727274
69,2021-09-03 07:09:16,515262,800.3409090909091
70,2021-09-03 09:09:19,515263,816.0227272727273
71,2021-09-03 09:09:33,515263,810.625
72,2021-09-03 09:09:44,515263,818.9204545454545
73,2021-09-03 09:09:47,515263,805.0568181818181
74,2021-09-03 10:09:57,515264,802.5
75,2021-09-03 01:09:15,515265,819.3806818181818
76,2021-09-03 12:09:35,515265,802.9488636363635
77,2021-09-03 01:09:03,515266,803.0113636363636
78,2021-09-03 01:09:43,515266,803.6874999999999
79,2021-09-03 03:09:43,515268,803.4659090909091
80,2021-09-03 03:09:58,515268,798.3579545454544
81,2021-09-03 04:09:12,515268,801.3068181818182
