index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:57,531193,0.199452
2,2021-09-01 06:09:14,531193,0.192585
3,2021-09-01 06:09:51,531193,0.206636
4,2021-09-01 06:09:51,531193,0.225161
5,2021-09-01 07:09:12,531193,0.212207
6,2021-09-01 07:09:37,531193,0.21019
7,2021-09-01 08:09:47,531193,0.214185
8,2021-09-01 08:09:42,531194,0.196087
9,2021-09-01 11:09:49,531195,0.204328
10,2021-09-01 02:09:17,531197,0.192833
11,2021-09-01 03:09:53,531197,0.202743
12,2021-09-01 03:09:56,531197,0.233969
13,2021-09-01 04:09:50,531199,0.245673
14,2021-09-01 05:09:00,531199,0.19613
15,2021-09-01 05:09:21,531199,0.276182
16,2021-09-01 05:09:23,531199,0.209772
17,2021-09-01 09:09:27,531204,0.206446
18,2021-09-01 10:09:27,531204,0.251885
19,2021-09-01 11:09:53,531205,0.187225
20,2021-09-02 12:09:51,531205,0.246548
21,2021-09-02 06:09:07,531206,0.203632
22,2021-09-02 06:09:14,531206,0.223677
23,2021-09-02 07:09:41,531206,0.20144
24,2021-09-02 08:09:39,531206,0.197511
25,2021-09-02 02:09:03,531208,0.195721
26,2021-09-02 09:09:44,531208,0.197559
27,2021-09-02 10:09:33,531208,0.205832
28,2021-09-02 11:09:34,531208,0.232479
29,2021-09-02 12:09:51,531208,0.197023
30,2021-09-02 02:09:45,531209,0.20215
31,2021-09-02 03:09:37,531210,0.195985
32,2021-09-02 04:09:02,531212,0.206775
33,2021-09-02 04:09:24,531212,0.188564
34,2021-09-02 05:09:36,531212,0.218623
35,2021-09-02 06:09:24,531213,0.210824
36,2021-09-02 06:09:39,531213,0.278304
37,2021-09-02 07:09:02,531213,0.20614
38,2021-09-02 07:09:59,531213,0.199248
39,2021-09-02 08:09:42,531213,0.23937
40,2021-09-02 08:09:43,531213,0.191861
41,2021-09-03 01:09:36,531217,0.202958
42,2021-09-03 02:09:14,531217,0.207971
43,2021-09-03 03:09:08,531217,0.229943
44,2021-09-03 12:09:27,531217,0.26297
45,2021-09-03 12:09:52,531217,0.242202
46,2021-09-03 07:09:56,531218,0.201327
47,2021-09-03 09:09:28,531218,0.213609
48,2021-09-03 10:09:27,531218,0.197604
49,2021-09-03 10:09:44,531218,0.231366
50,2021-09-03 11:09:13,531218,0.181499
51,2021-09-03 01:09:24,531221,0.221461
52,2021-09-03 01:09:37,531221,0.224945
53,2021-09-03 02:09:49,531221,0.205354
54,2021-09-03 03:09:03,531221,0.222574
55,2021-09-03 04:09:09,531221,0.268294
56,2021-09-03 04:09:39,531221,0.233506
57,2021-09-03 04:09:46,531221,0.238901
58,2021-09-03 06:09:03,531221,0.263778
59,2021-09-03 06:09:17,531221,0.252237
60,2021-09-03 06:09:18,531221,0.207879
61,2021-09-03 06:09:43,531221,0.229029
62,2021-09-03 12:09:28,531221,0.211509
63,2021-09-03 02:09:01,531223,0.214954
64,2021-09-03 04:09:26,531223,0.20209
65,2021-09-03 08:09:16,531230,0.206064
66,2021-09-03 08:09:53,531230,0.198028
67,2021-09-03 09:09:54,531230,0.206628
68,2021-09-03 10:09:17,531230,0.2114
69,2021-09-03 10:09:25,531230,0.200304
70,2021-09-03 11:09:06,531234,0.197458
71,2021-09-04 01:09:35,531234,0.171848
72,2021-09-05 05:09:36,531234,0.204019
73,2021-09-05 08:09:47,531234,0.201449
