index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:02,531193,41.8649
2,2021-09-01 06:09:20,531193,41.9197
3,2021-09-01 06:09:56,531193,41.8609
4,2021-09-01 06:09:56,531193,42.0599
5,2021-09-01 07:09:18,531193,41.6425
6,2021-09-01 07:09:42,531193,42.0446
7,2021-09-01 08:09:53,531193,42.0489
8,2021-09-01 08:09:48,531194,41.7678
9,2021-09-01 11:09:54,531195,41.8299
10,2021-09-01 02:09:23,531197,41.7192
11,2021-09-01 03:09:01,531197,41.555
12,2021-09-01 03:09:59,531197,41.7712
13,2021-09-01 04:09:55,531199,42.0046
14,2021-09-01 05:09:05,531199,41.6811
15,2021-09-01 05:09:27,531199,41.5955
16,2021-09-01 05:09:29,531199,41.5551
17,2021-09-01 09:09:33,531204,41.4837
18,2021-09-01 10:09:34,531204,41.3278
19,2021-09-01 11:09:59,531205,42.0553
20,2021-09-02 12:09:57,531205,41.8779
21,2021-09-02 06:09:13,531206,41.689
22,2021-09-02 06:09:20,531206,41.4998
23,2021-09-02 07:09:46,531206,41.6924
24,2021-09-02 08:09:44,531206,41.7343
25,2021-09-02 02:09:09,531208,41.8227
26,2021-09-02 10:09:37,531208,41.843
27,2021-09-02 10:09:49,531208,41.7158
28,2021-09-02 11:09:41,531208,41.4767
29,2021-09-02 12:09:58,531208,42.0464
30,2021-09-02 02:09:50,531209,41.7077
31,2021-09-02 03:09:42,531210,41.7475
32,2021-09-02 04:09:08,531212,41.3514
33,2021-09-02 04:09:30,531212,41.5986
34,2021-09-02 05:09:42,531212,41.8869
35,2021-09-02 06:09:29,531213,41.6539
36,2021-09-02 06:09:44,531213,41.3301
37,2021-09-02 07:09:04,531213,41.8388
38,2021-09-02 07:09:07,531213,41.6896
39,2021-09-02 08:09:47,531213,41.5117
40,2021-09-02 08:09:48,531213,41.5881
41,2021-09-03 01:09:34,531217,41.7647
42,2021-09-03 01:09:41,531217,41.539
43,2021-09-03 02:09:20,531217,41.909
44,2021-09-03 03:09:13,531217,41.1182
45,2021-09-03 12:09:57,531217,41.8207
46,2021-09-03 07:09:02,531218,42.1133
47,2021-09-03 09:09:33,531218,41.6827
48,2021-09-03 10:09:32,531218,41.6486
49,2021-09-03 10:09:51,531218,41.8424
50,2021-09-03 11:09:19,531218,41.5124
51,2021-09-03 01:09:30,531221,42.2119
52,2021-09-03 01:09:42,531221,41.8456
53,2021-09-03 02:09:54,531221,41.8546
54,2021-09-03 03:09:08,531221,41.9909
55,2021-09-03 04:09:15,531221,41.9628
56,2021-09-03 04:09:45,531221,41.7682
57,2021-09-03 04:09:52,531221,41.8583
58,2021-09-03 06:09:09,531221,41.658
59,2021-09-03 06:09:22,531221,41.5991
60,2021-09-03 06:09:23,531221,41.4723
61,2021-09-03 06:09:49,531221,41.6623
62,2021-09-03 12:09:33,531221,41.6958
63,2021-09-03 03:09:06,531223,42.1653
64,2021-09-03 04:09:32,531223,41.6264
65,2021-09-03 08:09:21,531230,41.6104
66,2021-09-03 08:09:59,531230,41.4443
67,2021-09-03 09:09:59,531230,41.8002
68,2021-09-03 10:09:24,531230,41.584
69,2021-09-03 10:09:30,531230,41.6757
70,2021-09-03 11:09:12,531234,41.5989
71,2021-09-04 01:09:40,531234,41.4764
