index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:02,531193,429366.0
2,2021-09-01 06:09:20,531193,427796.0
3,2021-09-01 06:09:56,531193,425194.0
4,2021-09-01 06:09:57,531193,429092.0
5,2021-09-01 07:09:18,531193,432576.0
6,2021-09-01 07:09:42,531193,427370.0
7,2021-09-01 08:09:53,531193,426364.0
8,2021-09-01 08:09:48,531194,428598.0
9,2021-09-01 11:09:54,531195,429376.0
10,2021-09-01 02:09:23,531197,431792.0
11,2021-09-01 03:09:01,531197,431854.0
12,2021-09-01 03:09:59,531197,430976.0
13,2021-09-01 04:09:55,531199,427744.0
14,2021-09-01 05:09:05,531199,431602.0
15,2021-09-01 05:09:27,531199,432728.0
16,2021-09-01 05:09:29,531199,432676.0
17,2021-09-01 09:09:33,531204,433806.0
18,2021-09-01 10:09:34,531204,435778.0
19,2021-09-01 11:09:59,531205,426416.0
20,2021-09-02 12:09:57,531205,430008.0
21,2021-09-02 06:09:13,531206,430860.0
22,2021-09-02 06:09:20,531206,433112.0
23,2021-09-02 07:09:46,531206,431348.0
24,2021-09-02 08:09:45,531206,431366.0
25,2021-09-02 02:09:09,531208,428264.0
26,2021-09-02 10:09:38,531208,428750.0
27,2021-09-02 10:09:49,531208,430718.0
28,2021-09-02 11:09:41,531208,433798.0
29,2021-09-02 12:09:58,531208,425960.0
30,2021-09-02 02:09:50,531209,431330.0
31,2021-09-02 03:09:42,531210,430268.0
32,2021-09-02 04:09:08,531212,435726.0
33,2021-09-02 04:09:30,531212,431994.0
34,2021-09-02 05:09:42,531212,429216.0
35,2021-09-02 06:09:29,531213,430820.0
36,2021-09-02 06:09:44,531213,436416.0
37,2021-09-02 07:09:05,531213,430202.0
38,2021-09-02 07:09:07,531213,431230.0
39,2021-09-02 08:09:47,531213,434174.0
40,2021-09-02 08:09:48,531213,432580.0
41,2021-09-03 01:09:34,531217,429702.0
42,2021-09-03 01:09:41,531217,433138.0
43,2021-09-03 02:09:20,531217,428636.0
44,2021-09-03 03:09:14,531217,438348.0
45,2021-09-03 12:09:57,531217,429400.0
46,2021-09-03 07:09:02,531218,426626.0
47,2021-09-03 09:09:33,531218,430924.0
48,2021-09-03 10:09:32,531218,432296.0
49,2021-09-03 10:09:51,531218,429312.0
50,2021-09-03 11:09:19,531218,433878.0
51,2021-09-03 01:09:30,531221,423298.0
52,2021-09-03 01:09:42,531221,429650.0
53,2021-09-03 02:09:54,531221,429434.0
54,2021-09-03 03:09:08,531221,427004.0
55,2021-09-03 04:09:15,531221,428580.0
56,2021-09-03 04:09:45,531221,429688.0
57,2021-09-03 04:09:52,531221,429582.0
58,2021-09-03 06:09:09,531221,429316.0
59,2021-09-03 06:09:22,531221,431868.0
60,2021-09-03 06:09:23,531221,433158.0
61,2021-09-03 06:09:49,531221,432456.0
62,2021-09-03 12:09:33,531221,432188.0
63,2021-09-03 03:09:06,531223,425324.0
64,2021-09-03 04:09:32,531223,432046.0
65,2021-09-03 08:09:21,531230,432652.0
66,2021-09-03 08:09:59,531230,434666.0
67,2021-09-03 09:09:59,531230,430482.0
68,2021-09-03 10:09:24,531230,429950.0
69,2021-09-03 10:09:30,531230,431510.0
70,2021-09-03 11:09:12,531234,430990.0
71,2021-09-04 01:09:40,531234,433630.0
72,2021-09-05 05:09:41,531234,429760.0
73,2021-09-05 08:09:53,531234,434960.0
74,2021-09-06 07:09:56,531234,432392.0
75,2021-09-06 08:09:49,531236,432242.0
76,2021-09-06 08:09:59,531236,429160.0
77,2021-09-06 09:09:50,531236,435030.0
78,2021-09-06 11:09:03,531237,429688.0
79,2021-09-06 01:09:51,531238,434920.0
80,2021-09-06 12:09:45,531238,426388.0
81,2021-09-06 02:09:08,531239,433182.0
82,2021-09-06 02:09:40,531239,430414.0
83,2021-09-06 04:09:29,531240,432210.0
84,2021-09-06 04:09:39,531240,432984.0
85,2021-09-06 04:09:50,531240,434224.0
86,2021-09-06 05:09:48,531244,430306.0
87,2021-09-06 07:09:37,531244,432470.0
88,2021-09-06 08:09:31,531244,431940.0
89,2021-09-06 09:09:07,531244,432116.0
90,2021-09-06 09:09:27,531244,433870.0
91,2021-09-06 09:09:34,531244,440044.0
92,2021-09-06 11:09:25,531246,433038.0
93,2021-09-07 12:09:51,531246,431012.0
94,2021-09-07 06:09:38,531247,429224.0
95,2021-09-07 06:09:46,531247,433774.0
96,2021-09-07 06:09:50,531247,433682.0
97,2021-09-07 07:09:20,531247,429914.0
98,2021-09-07 08:09:08,531247,432770.0
99,2021-09-07 09:09:41,531247,431618.0
100,2021-09-07 10:09:36,531247,431824.0
101,2021-09-07 10:09:29,531248,429780.0
102,2021-09-07 01:09:14,531249,431436.0
103,2021-09-07 12:09:53,531249,430300.0
104,2021-09-07 01:09:46,531250,432052.0
105,2021-09-07 01:09:47,531250,432884.0
106,2021-09-07 02:09:52,531250,434990.0
107,2021-09-07 03:09:03,531251,431780.0
108,2021-09-07 03:09:52,531252,432190.0
109,2021-09-07 04:09:47,531252,432796.0
110,2021-09-07 05:09:35,531252,432256.0
111,2021-09-07 08:09:32,531257,430650.0
112,2021-09-07 09:09:16,531257,434314.0
113,2021-09-07 09:09:38,531257,431202.0
114,2021-09-07 10:09:04,531258,428912.0
115,2021-09-07 10:09:49,531258,431358.0
116,2021-09-07 11:09:35,531258,433980.0
117,2021-09-08 12:09:15,531258,432072.0
118,2021-09-08 12:09:46,531259,432538.0
119,2021-09-08 06:09:20,531260,432330.0
120,2021-09-08 06:09:28,531260,429840.0
121,2021-09-08 06:09:31,531260,431814.0
122,2021-09-08 07:09:22,531260,434472.0
123,2021-09-08 01:09:17,531264,432580.0
124,2021-09-08 01:09:51,531264,433188.0
125,2021-09-08 02:09:18,531264,429392.0
126,2021-09-08 02:09:26,531264,431150.0
127,2021-09-08 05:09:34,531267,428432.0
128,2021-09-08 05:09:35,531267,429420.0
129,2021-09-08 05:09:42,531267,431074.0
130,2021-09-08 06:09:56,531267,435748.0
131,2021-09-08 10:09:15,531267,427564.0
132,2021-09-08 11:09:04,531267,429286.0
133,2021-09-08 11:09:01,531269,430578.0
134,2021-09-08 11:09:07,531269,429852.0
135,2021-09-08 11:09:17,531269,434514.0
136,2021-09-08 11:09:19,531269,431846.0
137,2021-09-09 12:09:02,531269,430992.0
138,2021-09-09 01:09:00,531270,433842.0
139,2021-09-09 01:09:09,531270,431286.0
140,2021-09-09 01:09:39,531270,431028.0
141,2021-09-09 02:09:45,531270,429084.0
142,2021-09-09 03:09:35,531270,429912.0
