index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:22,515219,87627.5
2,2021-09-01 02:09:27,515219,86649.0
3,2021-09-01 02:09:33,515219,87245.5
4,2021-09-01 12:09:21,515219,88545.5
5,2021-09-01 12:09:51,515219,87967.0
6,2021-09-01 12:09:53,515219,87200.5
7,2021-09-01 03:09:45,515220,86905.5
8,2021-09-01 05:09:11,515220,87056.0
9,2021-09-01 06:09:32,515220,88050.5
10,2021-09-01 08:09:53,515222,86349.5
11,2021-09-01 01:09:23,515224,87996.5
12,2021-09-01 01:09:39,515224,85846.5
13,2021-09-01 01:09:47,515224,88759.0
14,2021-09-01 02:09:29,515224,88071.5
15,2021-09-01 11:09:08,515224,88267.0
16,2021-09-01 11:09:10,515224,87155.5
17,2021-09-01 11:09:30,515224,88616.0
18,2021-09-01 11:09:58,515224,88448.5
19,2021-09-01 12:09:34,515224,88599.5
20,2021-09-01 12:09:35,515224,88091.5
21,2021-09-01 12:09:35,515224,87147.0
22,2021-09-01 12:09:57,515224,88088.0
23,2021-09-01 01:09:01,515225,86447.5
24,2021-09-01 01:09:24,515225,88027.5
25,2021-09-01 01:09:53,515225,88018.0
26,2021-09-01 03:09:19,515228,87216.0
27,2021-09-01 04:09:57,515230,88270.5
28,2021-09-01 09:09:15,515238,87593.5
29,2021-09-02 12:09:45,515240,86661.0
30,2021-09-02 05:09:06,515242,88147.5
31,2021-09-02 06:09:27,515242,87224.5
32,2021-09-02 06:09:45,515242,87908.0
33,2021-09-02 07:09:30,515242,87128.5
34,2021-09-02 01:09:37,515243,87857.5
35,2021-09-02 01:09:50,515243,87355.5
36,2021-09-02 08:09:12,515243,88145.0
37,2021-09-02 09:09:24,515243,87915.0
38,2021-09-02 09:09:29,515243,88114.5
39,2021-09-02 09:09:41,515243,88199.5
40,2021-09-02 10:09:04,515243,87151.5
41,2021-09-02 11:09:24,515243,88125.0
42,2021-09-02 11:09:56,515243,87016.5
43,2021-09-02 12:09:58,515243,87145.5
44,2021-09-02 01:09:55,515244,88776.5
45,2021-09-02 11:09:40,515244,87085.5
46,2021-09-02 12:09:01,515244,86389.0
47,2021-09-02 12:09:16,515244,87550.0
