index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:15,515219,8449.675
2,2021-09-01 01:09:47,515219,7362.835
3,2021-09-01 02:09:51,515219,8616.121
4,2021-09-01 12:09:14,515219,6643.956
5,2021-09-01 04:09:07,515220,8611.396
6,2021-09-01 05:09:34,515220,8268.472
7,2021-09-01 06:09:54,515220,7391.065
8,2021-09-01 08:09:15,515222,7540.101
9,2021-09-01 09:09:54,515222,6939.38
10,2021-09-01 01:09:00,515224,6832.031
11,2021-09-01 01:09:07,515224,8778.994
12,2021-09-01 01:09:20,515224,8107.998
13,2021-09-01 02:09:26,515224,7576.07
14,2021-09-01 02:09:53,515224,9103.934
15,2021-09-01 02:09:54,515224,6973.775
16,2021-09-01 11:09:22,515224,8590.833
17,2021-09-01 11:09:32,515224,6761.011
18,2021-09-01 11:09:32,515224,6316.959
19,2021-09-01 12:09:00,515224,8332.091
20,2021-09-01 12:09:51,515224,5829.134
21,2021-09-01 12:09:59,515224,7146.383
22,2021-09-01 01:09:16,515225,6399.575
23,2021-09-01 01:09:25,515225,8525.312
24,2021-09-01 02:09:51,515225,8206.352
25,2021-09-01 03:09:42,515228,6527.114
26,2021-09-01 04:09:20,515230,6999.766
27,2021-09-01 10:09:38,515238,7511.542
28,2021-09-02 01:09:49,515240,9253.073
29,2021-09-02 12:09:08,515240,7470.197
30,2021-09-02 05:09:08,515242,6025.472
31,2021-09-02 06:09:11,515242,7893.069
32,2021-09-02 06:09:50,515242,6999.334
33,2021-09-02 08:09:35,515243,8429.059
34,2021-09-02 09:09:04,515243,7950.581
35,2021-09-02 09:09:47,515243,7473.995
36,2021-09-02 09:09:53,515243,7741.448
37,2021-09-02 11:09:19,515243,8529.847
38,2021-09-02 11:09:48,515243,6536.35
39,2021-09-02 12:09:01,515244,6995.668
40,2021-09-02 12:09:03,515244,7314.018
41,2021-09-02 12:09:23,515244,7463.648
42,2021-09-02 12:09:38,515244,8856.051
43,2021-09-02 12:09:53,515244,9378.678
44,2021-09-02 02:09:35,515246,7683.393
45,2021-09-02 03:09:36,515247,7904.046
46,2021-09-02 03:09:03,515248,7575.977
47,2021-09-02 06:09:38,515251,7555.723
48,2021-09-02 07:09:13,515251,7918.755
49,2021-09-02 07:09:45,515251,7583.403
50,2021-09-02 07:09:30,515252,7041.62
51,2021-09-02 07:09:44,515254,8827.521
52,2021-09-02 09:09:16,515257,7107.098
53,2021-09-03 01:09:46,515260,7535.06
54,2021-09-03 01:09:48,515260,7706.374
55,2021-09-03 12:09:47,515260,8436.799
56,2021-09-03 06:09:02,515262,7625.405
57,2021-09-03 07:09:27,515262,7472.791
58,2021-09-03 09:09:11,515263,8621.803
59,2021-09-03 09:09:27,515263,6874.166
