index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:26,515219,10036345.0
2,2021-09-01 01:09:58,515219,9999466.0
3,2021-09-01 02:09:03,515219,9365579.0
4,2021-09-01 12:09:25,515219,10090650.0
5,2021-09-01 04:09:17,515220,10028553.0
6,2021-09-01 05:09:45,515220,10029060.0
7,2021-09-01 06:09:05,515220,10007151.0
8,2021-09-01 08:09:28,515222,9284164.0
9,2021-09-01 09:09:07,515222,9348428.0
10,2021-09-01 01:09:12,515224,10034693.0
11,2021-09-01 01:09:19,515224,10005635.0
12,2021-09-01 01:09:33,515224,9518373.0
13,2021-09-01 02:09:05,515224,10142873.0
14,2021-09-01 02:09:06,515224,9439744.0
15,2021-09-01 02:09:39,515224,10121460.0
16,2021-09-01 11:09:34,515224,9975378.0
17,2021-09-01 11:09:44,515224,9727029.0
18,2021-09-01 11:09:44,515224,9576517.0
19,2021-09-01 12:09:05,515224,9475454.0
20,2021-09-01 12:09:12,515224,9361502.0
21,2021-09-01 12:09:12,515224,9951016.0
22,2021-09-01 01:09:29,515225,9476835.0
23,2021-09-01 01:09:38,515225,10049184.0
24,2021-09-01 02:09:04,515225,10111563.0
25,2021-09-01 03:09:55,515228,9447576.0
26,2021-09-01 04:09:32,515230,10142905.0
27,2021-09-01 10:09:51,515238,9771220.0
28,2021-09-02 01:09:00,515240,9616786.0
29,2021-09-02 12:09:19,515240,10044160.0
30,2021-09-02 05:09:19,515242,10111105.0
31,2021-09-02 06:09:05,515242,9434436.0
32,2021-09-02 06:09:21,515242,10022940.0
33,2021-09-02 08:09:47,515243,9992143.0
34,2021-09-02 09:09:00,515243,10054245.0
35,2021-09-02 09:09:05,515243,9968702.0
36,2021-09-02 09:09:16,515243,10047938.0
37,2021-09-02 11:09:31,515243,9928174.0
38,2021-09-02 12:09:00,515243,10077070.0
39,2021-09-02 01:09:14,515244,10023064.0
40,2021-09-02 12:09:04,515244,9975591.0
41,2021-09-02 12:09:13,515244,10067187.0
42,2021-09-02 12:09:36,515244,9723584.0
43,2021-09-02 12:09:51,515244,9978174.0
44,2021-09-02 02:09:46,515246,9860218.0
45,2021-09-02 03:09:48,515247,10052154.0
46,2021-09-02 03:09:16,515248,10033742.0
47,2021-09-02 06:09:51,515251,9971225.0
48,2021-09-02 07:09:02,515251,10141958.0
49,2021-09-02 07:09:25,515251,10026199.0
50,2021-09-02 07:09:42,515252,10132273.0
51,2021-09-02 07:09:55,515254,10041471.0
52,2021-09-02 09:09:27,515257,10069746.0
53,2021-09-03 01:09:00,515260,10055294.0
54,2021-09-03 01:09:57,515260,10018284.0
55,2021-09-03 12:09:59,515260,9989473.0
56,2021-09-03 06:09:14,515262,9928559.0
57,2021-09-03 07:09:40,515262,10069082.0
58,2021-09-03 09:09:22,515263,10074271.0
59,2021-09-03 09:09:40,515263,10096247.0
60,2021-09-03 09:09:43,515263,10111819.0
61,2021-09-03 10:09:11,515263,10103801.0
62,2021-09-03 10:09:45,515263,10034455.0
63,2021-09-03 10:09:00,515264,9978796.0
64,2021-09-03 12:09:22,515265,10086787.0
65,2021-09-03 01:09:17,515266,10128356.0
66,2021-09-03 02:09:54,515266,9817827.0
67,2021-09-03 03:09:34,515268,9820180.0
68,2021-09-03 04:09:55,515268,9972531.0
69,2021-09-03 05:09:24,515268,10112596.0
70,2021-09-03 04:09:33,515269,10021276.0
71,2021-09-03 06:09:37,515272,9425915.0
72,2021-09-03 10:09:09,515275,9615881.0
73,2021-09-03 11:09:25,515275,10076932.0
74,2021-09-03 11:09:39,515277,9978535.0
75,2021-09-04 01:09:30,515277,9972332.0
76,2021-09-04 01:09:32,515277,9855437.0
77,2021-09-04 12:09:26,515277,10066057.0
78,2021-09-04 12:09:49,515277,10044193.0
79,2021-09-04 12:09:59,515277,9507023.0
80,2021-09-04 02:09:03,515278,10021845.0
81,2021-09-04 06:09:02,515279,10067765.0
82,2021-09-04 06:09:27,515279,9714094.0
83,2021-09-04 10:09:12,515281,9914934.0
84,2021-09-05 05:09:30,515282,9969120.0
85,2021-09-05 05:09:31,515282,9889066.0
86,2021-09-05 07:09:12,515282,9926639.0
87,2021-09-05 08:09:45,515282,9364684.0
88,2021-09-06 06:09:24,515282,9927446.0
89,2021-09-06 08:09:43,515282,9472696.0
90,2021-09-06 09:09:12,515282,10068412.0
91,2021-09-06 09:09:37,515282,9993579.0
92,2021-09-06 10:09:56,515282,9969038.0
93,2021-09-06 11:09:14,515282,9999742.0
94,2021-09-06 11:09:16,515282,9404424.0
95,2021-09-06 11:09:26,515282,10022801.0
96,2021-09-06 12:09:46,515282,10009308.0
97,2021-09-06 12:09:52,515282,10021351.0
98,2021-09-06 01:09:47,515283,10064068.0
99,2021-09-06 01:09:48,515284,10006123.0
100,2021-09-06 02:09:38,515285,10056031.0
101,2021-09-06 03:09:02,515286,10023269.0
102,2021-09-06 03:09:31,515286,10005356.0
103,2021-09-06 04:09:42,515286,9562181.0
104,2021-09-06 06:09:29,515290,10062343.0
105,2021-09-06 06:09:51,515290,10019634.0
106,2021-09-06 07:09:55,515291,10048427.0
107,2021-09-06 08:09:26,515292,9524841.0
108,2021-09-06 09:09:04,515293,9790725.0
109,2021-09-06 09:09:36,515293,10016237.0
110,2021-09-06 10:09:36,515293,10046038.0
111,2021-09-06 09:09:35,515294,9410877.0
112,2021-09-06 09:09:53,515294,9903154.0
113,2021-09-06 10:09:41,515294,9530492.0
114,2021-09-06 10:09:47,515295,9660267.0
115,2021-09-06 11:09:33,515295,9775231.0
116,2021-09-07 12:09:47,515296,9666321.0
117,2021-09-07 02:09:34,515297,9354450.0
118,2021-09-07 03:09:25,515297,9470511.0
119,2021-09-07 06:09:04,515303,10078989.0
120,2021-09-07 06:09:21,515304,10001649.0
121,2021-09-07 07:09:40,515304,9645107.0
122,2021-09-07 07:09:44,515304,10015235.0
123,2021-09-07 08:09:16,515304,9424180.0
124,2021-09-07 08:09:44,515304,9370983.0
125,2021-09-07 10:09:16,515308,9400682.0
126,2021-09-07 10:09:32,515308,9997072.0
127,2021-09-07 01:09:06,515309,9341937.0
128,2021-09-07 01:09:28,515309,9444439.0
