index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:01,531193,347421.0
2,2021-09-01 05:09:26,531193,358700.0
3,2021-09-01 06:09:11,531193,351311.0
4,2021-09-01 06:09:28,531193,341871.0
5,2021-09-01 06:09:54,531193,336147.0
6,2021-09-01 07:09:32,531193,341700.0
7,2021-09-01 08:09:14,531194,321838.0
8,2021-09-01 11:09:36,531195,335452.0
9,2021-09-01 12:09:41,531195,335099.0
10,2021-09-01 02:09:47,531197,360142.0
11,2021-09-01 02:09:59,531197,347224.0
12,2021-09-01 04:09:17,531199,336203.0
13,2021-09-01 04:09:51,531199,335643.0
14,2021-09-01 05:09:45,531199,331558.0
15,2021-09-01 09:09:36,531204,315558.0
16,2021-09-01 11:09:01,531205,328588.0
17,2021-09-02 05:09:11,531206,343271.0
18,2021-09-02 06:09:18,531206,341581.0
19,2021-09-02 07:09:10,531206,345485.0
20,2021-09-02 08:09:54,531206,330662.0
21,2021-09-02 01:09:50,531208,336946.0
22,2021-09-02 09:09:27,531208,357030.0
23,2021-09-02 10:09:16,531208,317192.0
24,2021-09-02 10:09:35,531208,314444.0
25,2021-09-02 12:09:55,531208,323805.0
26,2021-09-02 01:09:49,531209,356926.0
27,2021-09-02 02:09:32,531210,317897.0
28,2021-09-02 04:09:01,531212,336337.0
29,2021-09-02 04:09:18,531212,369850.0
30,2021-09-02 04:09:42,531212,323991.0
31,2021-09-02 05:09:42,531213,335035.0
32,2021-09-02 06:09:41,531213,339242.0
33,2021-09-02 11:09:43,531217,335009.0
34,2021-09-03 01:09:07,531217,329282.0
35,2021-09-03 02:09:31,531217,354068.0
36,2021-09-03 02:09:39,531217,353137.0
37,2021-09-03 06:09:31,531218,347192.0
38,2021-09-03 09:09:06,531218,324269.0
39,2021-09-03 09:09:38,531218,356969.0
40,2021-09-03 09:09:44,531218,326473.0
41,2021-09-03 02:09:40,531221,358739.0
42,2021-09-03 12:09:17,531221,334632.0
43,2021-09-03 12:09:43,531221,354469.0
44,2021-09-03 12:09:59,531221,350911.0
45,2021-09-03 02:09:32,531223,340929.0
46,2021-09-03 07:09:40,531230,316179.0
47,2021-09-03 08:09:50,531230,358237.0
