index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:48,531193,13.301365852355957
2,2021-09-01 05:09:26,531193,13.311254024505615
3,2021-09-01 06:09:16,531193,13.29366397857666
4,2021-09-01 06:09:28,531193,13.329515933990479
5,2021-09-01 07:09:03,531193,13.294924259185791
6,2021-09-01 07:09:04,531193,12.845865726470947
7,2021-09-01 07:09:18,531193,13.395328044891357
8,2021-09-01 08:09:22,531194,13.402101993560791
9,2021-09-01 09:09:25,531194,13.290666103363037
10,2021-09-01 11:09:23,531195,13.332809925079346
11,2021-09-01 02:09:37,531197,13.021758079528809
12,2021-09-01 02:09:55,531197,13.365567684173584
13,2021-09-01 03:09:39,531197,13.377988338470459
14,2021-09-01 04:09:31,531199,13.566763877868652
15,2021-09-01 04:09:32,531199,13.342820167541504
16,2021-09-01 05:09:35,531199,13.124513626098633
17,2021-09-01 06:09:02,531199,12.801945686340332
18,2021-09-01 06:09:40,531199,12.79104995727539
19,2021-09-01 09:09:54,531204,13.330045700073242
20,2021-09-01 11:09:37,531205,13.343405723571777
21,2021-09-02 06:09:18,531206,13.422165870666504
22,2021-09-02 06:09:54,531206,13.432516098022461
23,2021-09-02 07:09:25,531206,13.228911876678467
24,2021-09-02 08:09:00,531206,13.416254043579102
25,2021-09-02 01:09:28,531208,13.357532024383545
26,2021-09-02 02:09:31,531208,13.268983840942383
27,2021-09-02 09:09:58,531208,13.508090019226074
28,2021-09-02 10:09:01,531208,13.68689775466919
29,2021-09-02 10:09:04,531208,13.211405754089355
30,2021-09-02 11:09:16,531208,13.049228191375732
31,2021-09-02 11:09:40,531208,13.04178762435913
32,2021-09-02 12:09:27,531208,13.279064178466797
33,2021-09-02 02:09:02,531209,13.314283847808838
34,2021-09-02 02:09:28,531210,13.262052059173584
35,2021-09-02 04:09:07,531212,13.263227939605713
36,2021-09-02 04:09:26,531212,13.357668399810791
37,2021-09-02 04:09:47,531212,13.301836013793945
38,2021-09-02 06:09:03,531212,13.20327615737915
39,2021-09-02 05:09:29,531213,13.28256607055664
40,2021-09-02 06:09:11,531213,13.283408164978027
41,2021-09-02 06:09:16,531213,12.995580196380615
42,2021-09-03 01:09:36,531217,13.26392412185669
43,2021-09-03 02:09:39,531217,13.302210330963135
44,2021-09-03 02:09:42,531217,13.221648216247559
45,2021-09-03 03:09:52,531217,12.786105632781982
46,2021-09-03 12:09:01,531217,13.1841139793396
47,2021-09-03 07:09:06,531218,13.32597017288208
48,2021-09-03 09:09:02,531218,12.542101860046387
49,2021-09-03 09:09:51,531218,13.150278091430664
50,2021-09-03 10:09:44,531218,13.181957721710205
51,2021-09-03 10:09:48,531218,13.45165205001831
52,2021-09-03 11:09:12,531218,13.121240139007568
53,2021-09-03 11:09:26,531218,12.967673778533936
54,2021-09-03 01:09:16,531221,13.238646030426025
55,2021-09-03 02:09:00,531221,13.270234107971191
56,2021-09-03 12:09:19,531221,13.13424825668335
57,2021-09-03 12:09:32,531221,13.427778244018555
58,2021-09-03 02:09:59,531223,13.2600417137146
59,2021-09-03 03:09:57,531223,13.380040168762207
60,2021-09-03 07:09:35,531230,13.548684120178223
61,2021-09-03 08:09:44,531230,13.391965866088867
62,2021-09-03 08:09:49,531230,13.485429763793945
63,2021-09-03 09:09:02,531230,13.502131938934326
64,2021-09-03 09:09:05,531230,13.169107913970947
65,2021-09-03 09:09:52,531230,13.252739906311035
66,2021-09-03 11:09:09,531234,13.560405731201172
67,2021-09-03 11:09:29,531234,13.382221698760986
68,2021-09-04 01:09:35,531234,13.47424030303955
69,2021-09-05 05:09:28,531234,13.408703804016113
70,2021-09-05 08:09:14,531234,13.62068796157837
71,2021-09-06 07:09:20,531234,13.383408069610596
72,2021-09-06 08:09:11,531236,13.441954135894775
73,2021-09-06 08:09:44,531236,13.422167778015137
74,2021-09-06 09:09:31,531236,13.442731857299805
75,2021-09-06 11:09:00,531237,13.817506313323975
76,2021-09-06 12:09:45,531237,13.394994258880615
77,2021-09-06 11:09:51,531238,13.423913955688477
78,2021-09-06 01:09:45,531239,13.411787986755371
79,2021-09-06 03:09:41,531240,13.374383926391602
80,2021-09-06 03:09:52,531240,13.386915683746338
81,2021-09-06 04:09:34,531240,13.353882312774658
82,2021-09-06 05:09:36,531244,13.271172046661377
83,2021-09-06 06:09:55,531244,13.494741916656494
84,2021-09-06 07:09:39,531244,13.317903995513916
85,2021-09-06 08:09:00,531244,13.261549949645996
86,2021-09-06 08:09:42,531244,13.208591938018799
87,2021-09-06 11:09:19,531246,13.389284133911133
88,2021-09-06 11:09:31,531246,13.355247974395752
89,2021-09-07 06:09:18,531247,13.324257850646973
90,2021-09-07 06:09:50,531247,13.15764570236206
91,2021-09-07 06:09:55,531247,13.85072374343872
92,2021-09-07 07:09:54,531247,13.437662124633789
93,2021-09-07 08:09:54,531247,13.353174209594727
94,2021-09-07 08:09:55,531247,13.197998046875
95,2021-09-07 09:09:39,531247,13.237046241760254
96,2021-09-07 10:09:42,531247,13.158554077148438
97,2021-09-07 10:09:54,531248,13.31514024734497
98,2021-09-07 01:09:43,531249,13.290097713470459
99,2021-09-07 02:09:54,531249,13.052380084991455
100,2021-09-07 12:09:28,531249,13.300440311431885
101,2021-09-07 01:09:11,531250,13.387951850891113
102,2021-09-07 01:09:51,531250,13.367717742919922
103,2021-09-07 02:09:06,531250,13.24983835220337
104,2021-09-07 03:09:57,531251,13.540552139282227
105,2021-09-07 03:09:11,531252,13.290637969970703
106,2021-09-07 03:09:19,531252,13.28695821762085
107,2021-09-07 07:09:40,531257,13.32015609741211
108,2021-09-07 08:09:05,531257,13.237855911254883
109,2021-09-07 10:09:14,531258,13.358464241027832
110,2021-09-07 10:09:53,531258,13.16287612915039
111,2021-09-07 11:09:25,531258,13.215384006500244
112,2021-09-07 11:09:29,531258,13.2601637840271
113,2021-09-07 11:09:43,531258,13.295284271240234
114,2021-09-08 12:09:48,531259,13.228456020355225
115,2021-09-08 06:09:16,531260,13.35704231262207
116,2021-09-08 06:09:40,531260,13.206611633300781
117,2021-09-08 06:09:43,531260,13.23882007598877
118,2021-09-08 07:09:40,531260,13.10699987411499
119,2021-09-08 07:09:47,531260,13.24191427230835
120,2021-09-08 01:09:15,531264,13.300188064575195
121,2021-09-08 01:09:51,531264,13.34129810333252
122,2021-09-08 01:09:52,531264,13.200133800506592
123,2021-09-08 01:09:57,531264,13.350868225097656
124,2021-09-08 02:09:45,531264,12.94653606414795
125,2021-09-08 04:09:45,531267,13.275268077850342
126,2021-09-08 04:09:52,531267,13.275239944458008
127,2021-09-08 05:09:28,531267,13.256983757019043
128,2021-09-08 06:09:44,531267,13.268157958984375
129,2021-09-08 10:09:42,531267,13.260351657867432
130,2021-09-08 11:09:06,531269,13.408025741577148
131,2021-09-08 11:09:19,531269,13.338491916656494
132,2021-09-08 11:09:28,531269,13.194910049438477
133,2021-09-08 11:09:47,531269,13.312972068786621
134,2021-09-09 12:09:49,531269,13.330336093902588
135,2021-09-09 02:09:36,531270,13.277479648590088
136,2021-09-09 06:09:32,531270,13.310882091522217
137,2021-09-09 10:09:14,531270,13.187997817993164
138,2021-09-09 11:09:10,531270,13.224698066711426
139,2021-09-09 11:09:52,531270,13.57067584991455
140,2021-09-09 11:09:56,531270,13.331373691558838
141,2021-09-09 12:09:09,531270,13.305788040161133
142,2021-09-09 01:09:57,531271,13.2255220413208
143,2021-09-09 01:09:48,531272,13.174606323242188
144,2021-09-09 02:09:40,531272,13.202290058135986
145,2021-09-09 02:09:48,531272,13.2537260055542
146,2021-09-09 02:09:48,531272,13.098573684692383
147,2021-09-09 04:09:28,531274,13.40982961654663
148,2021-09-09 05:09:16,531275,13.365992069244385
149,2021-09-09 06:09:01,531275,13.176977634429932
150,2021-09-09 05:09:41,531276,13.308039665222168
151,2021-09-09 06:09:20,531276,13.545573711395264
152,2021-09-09 07:09:18,531276,13.239464282989502
153,2021-09-09 07:09:49,531278,13.340889930725098
154,2021-09-09 08:09:54,531279,13.089201927185059
155,2021-09-09 08:09:02,531280,13.450699806213379
156,2021-09-09 08:09:17,531280,13.280128002166748
157,2021-09-09 11:09:47,531284,13.630105972290039
158,2021-09-10 01:09:44,531285,13.42172622680664
159,2021-09-10 02:09:40,531285,13.3225736618042
160,2021-09-10 01:09:47,531286,13.427318096160889
161,2021-09-10 01:09:47,531286,13.267948150634766
162,2021-09-10 02:09:13,531286,13.428903579711914
163,2021-09-10 03:09:04,531286,13.219552040100098
164,2021-09-10 03:09:04,531286,13.33567190170288
165,2021-09-10 03:09:09,531286,13.347405910491943
166,2021-09-10 03:09:57,531286,13.242337703704834
167,2021-09-10 04:09:23,531286,13.48944616317749
168,2021-09-10 05:09:31,531286,13.370068073272705
169,2021-09-10 06:09:02,531286,13.440492153167725
170,2021-09-10 06:09:25,531286,13.353134155273438
171,2021-09-10 06:09:43,531286,13.423677921295166
172,2021-09-10 06:09:57,531286,13.477250099182129
173,2021-09-10 07:09:31,531286,13.397501945495605
174,2021-09-10 10:09:04,531286,13.354727745056152
175,2021-09-10 10:09:38,531286,13.439335823059082
176,2021-09-10 05:09:45,531287,13.3331618309021
177,2021-09-10 05:09:58,531287,13.46494197845459
178,2021-09-10 07:09:04,531289,13.305089950561523
179,2021-09-13 04:09:03,531291,13.497687816619873
180,2021-09-11 12:09:15,531293,13.345469951629639
181,2021-09-11 12:09:47,531294,13.365628242492676
182,2021-09-11 01:09:09,531295,13.382066249847412
183,2021-09-11 02:09:07,531298,13.10063362121582
184,2021-09-11 03:09:11,531299,13.310537815093994
185,2021-09-11 05:09:13,531299,13.100261688232422
186,2021-09-11 08:09:50,531299,13.339813709259033
187,2021-09-12 03:09:21,531300,13.286206245422363
188,2021-09-12 04:09:42,531300,13.16604995727539
189,2021-09-12 06:09:14,531300,13.115071773529053
190,2021-09-12 06:09:52,531300,13.615551948547363
191,2021-09-13 05:09:18,531300,13.480192184448242
192,2021-09-13 06:09:58,531300,13.203302383422852
193,2021-09-13 01:09:24,531301,13.35108232498169
194,2021-09-13 07:09:12,531301,13.252979755401611
195,2021-09-13 11:09:16,531301,13.367669582366943
196,2021-09-13 11:09:50,531301,13.402909755706787
197,2021-09-14 04:09:16,531306,13.374497890472412
198,2021-09-14 04:09:12,531307,13.310219764709473
199,2021-09-14 06:09:12,531307,13.29468822479248
200,2021-09-14 08:09:39,531307,13.355040073394775
201,2021-09-14 08:09:53,531307,13.175414085388184
202,2021-09-14 09:09:46,531307,12.947060108184814
203,2021-09-14 09:09:55,531307,13.259445667266846
204,2021-09-14 10:09:05,531307,12.771250247955322
205,2021-09-14 10:09:58,531307,12.781126022338867
206,2021-09-14 10:09:57,531308,13.13273572921753
207,2021-09-14 11:09:52,531311,13.36261796951294
208,2021-09-15 12:09:58,531313,13.200273990631104
209,2021-09-15 03:09:08,531318,13.117361545562744
210,2021-09-15 04:09:32,531319,13.269515991210938
211,2021-09-15 07:09:53,531319,13.192505836486816
212,2021-09-15 08:09:41,531320,13.257028102874756
213,2021-09-15 02:09:13,531321,13.207337856292725
214,2021-09-15 02:09:51,531321,13.340542316436768
215,2021-09-15 03:09:05,531321,13.342840194702148
216,2021-09-15 03:09:07,531321,13.349257946014404
217,2021-09-15 03:09:12,531321,13.203546047210693
218,2021-09-15 03:09:45,531321,13.337621688842773
219,2021-09-15 04:09:25,531321,13.34168815612793
220,2021-09-15 04:09:29,531321,13.26154613494873
221,2021-09-15 04:09:37,531321,13.396636009216309
222,2021-09-15 04:09:53,531321,13.383115768432617
223,2021-09-15 06:09:01,531321,13.292518138885498
224,2021-09-15 06:09:26,531321,13.262406349182129
225,2021-09-15 06:09:39,531321,13.313374042510986
226,2021-09-15 06:09:40,531321,13.178701877593994
227,2021-09-15 06:09:46,531321,13.106681823730469
228,2021-09-15 06:09:56,531321,13.38687801361084
229,2021-09-15 07:09:14,531321,13.29548978805542
230,2021-09-15 07:09:37,531321,13.181004047393799
231,2021-09-15 08:09:08,531321,13.15160608291626
232,2021-09-15 08:09:55,531321,13.15532636642456
233,2021-09-15 09:09:56,531321,13.301209926605225
234,2021-09-15 07:09:16,531323,13.448729991912842
235,2021-09-15 07:09:20,531323,13.31344223022461
236,2021-09-15 07:09:35,531323,13.381407737731934
237,2021-09-15 09:09:17,531323,13.417651653289795
238,2021-09-15 09:09:25,531323,13.359711647033691
239,2021-09-15 10:09:08,531323,13.402024269104004
240,2021-09-15 11:09:19,531323,12.435105800628662
241,2021-09-15 11:09:48,531323,13.140101909637451
242,2021-09-15 09:09:56,531324,13.38100004196167
243,2021-09-16 02:09:03,531324,13.295653820037842
244,2021-09-16 01:09:51,531325,13.263782024383545
245,2021-09-15 11:09:38,531326,13.465229988098145
246,2021-09-16 12:09:40,531326,13.051784038543701
247,2021-09-16 02:09:52,531329,13.39928388595581
248,2021-09-16 04:09:49,531329,13.55073595046997
249,2021-09-16 03:09:43,531330,13.3368501663208
250,2021-09-16 05:09:18,531330,12.851276397705078
251,2021-09-16 07:09:29,531333,13.34015417098999
252,2021-09-16 07:09:26,531334,13.281492233276367
253,2021-09-16 07:09:52,531334,13.187746047973633
254,2021-09-16 08:09:11,531334,13.358707904815674
255,2021-09-16 10:09:33,531334,13.081562042236328
256,2021-09-16 04:09:43,531335,13.151490211486816
257,2021-09-16 04:09:51,531335,13.294525623321533
258,2021-09-16 08:09:01,531335,12.887987613677979
259,2021-09-16 08:09:50,531335,12.840312004089355
260,2021-09-16 09:09:29,531335,13.34492015838623
261,2021-09-16 12:09:39,531335,13.414246082305908
262,2021-09-16 01:09:08,531336,12.785694122314453
263,2021-09-16 01:09:58,531336,13.25947380065918
264,2021-09-16 04:09:03,531336,13.286578178405762
265,2021-09-16 05:09:12,531336,13.328936100006104
266,2021-09-16 07:09:52,531336,13.097494125366211
267,2021-09-16 08:09:05,531336,13.12962007522583
268,2021-09-16 10:09:03,531336,13.285694122314453
269,2021-09-16 10:09:35,531336,13.357458114624023
270,2021-09-16 10:09:42,531336,13.180496215820312
271,2021-09-16 12:09:52,531336,13.333728313446045
272,2021-09-16 06:09:32,531337,13.427409648895264
273,2021-09-16 06:09:34,531337,13.19474983215332
274,2021-09-16 06:09:55,531337,13.433233737945557
275,2021-09-16 09:09:08,531337,13.2390718460083
276,2021-09-16 09:09:41,531337,13.339531898498535
277,2021-09-16 09:09:44,531337,12.682471752166748
278,2021-09-16 10:09:12,531337,12.874780178070068
279,2021-09-16 10:09:30,531337,12.952643871307373
280,2021-09-16 10:09:37,531337,13.289971828460693
281,2021-09-16 11:09:40,531337,13.381534099578857
282,2021-09-17 01:09:04,531337,13.147801876068115
283,2021-09-17 01:09:42,531337,12.938116073608398
284,2021-09-17 12:09:20,531337,13.163802146911621
285,2021-09-16 09:09:58,531340,13.382261753082275
286,2021-09-17 02:09:00,531340,13.091307640075684
