index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:54,531193,1045919.311111
2,2021-09-01 05:09:17,531193,1039995.844444
3,2021-09-01 06:09:29,531193,1031782.6
4,2021-09-01 06:09:37,531193,1076022.711111
5,2021-09-01 06:09:54,531193,1084972.533333
6,2021-09-01 07:09:05,531193,999066.733333
7,2021-09-01 07:09:11,531193,1055977.155556
8,2021-09-01 08:09:14,531193,1036954.111111
9,2021-09-01 08:09:18,531193,1045112.8
10,2021-09-01 08:09:31,531193,1085926.155556
11,2021-09-01 08:09:53,531193,1041489.955556
12,2021-09-01 08:09:08,531194,1033734.022222
13,2021-09-01 11:09:23,531195,1054138.533333
14,2021-09-01 02:09:08,531197,1053807.022222
15,2021-09-01 02:09:45,531197,1044299.133333
16,2021-09-01 03:09:45,531197,1008501.511111
17,2021-09-01 03:09:57,531197,1063672.666667
18,2021-09-01 04:09:02,531197,1023331.977778
19,2021-09-01 04:09:04,531197,1094375.444444
20,2021-09-01 04:09:29,531199,1045516.066667
21,2021-09-01 04:09:43,531199,1012438.711111
22,2021-09-01 04:09:51,531199,1018864.711111
23,2021-09-01 09:09:36,531204,1021409.133333
24,2021-09-01 10:09:12,531204,1023174.066667
25,2021-09-01 11:09:35,531205,1143702.0
26,2021-09-02 12:09:06,531205,1097541.355556
27,2021-09-02 06:09:25,531206,1063062.933333
28,2021-09-02 06:09:34,531206,1078408.022222
29,2021-09-02 07:09:34,531206,1056299.266667
30,2021-09-02 07:09:57,531206,1069022.044444
31,2021-09-02 08:09:37,531206,1101319.977778
32,2021-09-02 08:09:40,531206,1039651.688889
33,2021-09-02 08:09:48,531206,1032644.644444
34,2021-09-02 08:09:54,531206,1017507.155556
35,2021-09-02 09:09:46,531206,1084072.666667
36,2021-09-02 01:09:40,531208,1030960.622222
37,2021-09-02 02:09:50,531208,1045834.133333
38,2021-09-02 09:09:06,531208,1004591.155556
39,2021-09-02 10:09:41,531208,1084751.222222
40,2021-09-02 12:09:31,531208,1014868.355556
41,2021-09-02 01:09:31,531209,1038676.244444
42,2021-09-02 02:09:49,531210,1060516.844444
43,2021-09-02 04:09:21,531210,1020637.844444
44,2021-09-02 04:09:27,531210,1054978.488889
45,2021-09-02 04:09:34,531210,982285.933333
46,2021-09-02 04:09:46,531212,1075178.755556
47,2021-09-02 04:09:47,531212,1006056.688889
48,2021-09-02 04:09:48,531212,1053385.622222
49,2021-09-02 05:09:00,531212,1072001.177778
50,2021-09-02 06:09:47,531212,1024178.733333
51,2021-09-02 05:09:13,531213,1065616.355556
52,2021-09-02 06:09:22,531213,1037651.844444
53,2021-09-02 06:09:43,531213,1002490.355556
54,2021-09-02 07:09:47,531213,1090808.755556
55,2021-09-03 01:09:21,531217,1027809.6
56,2021-09-03 02:09:12,531217,1039777.6
57,2021-09-03 02:09:20,531217,1024223.644444
58,2021-09-03 03:09:23,531217,1092925.711111
59,2021-09-03 12:09:04,531217,1038482.066667
60,2021-09-03 12:09:58,531217,1051426.244444
61,2021-09-03 06:09:44,531218,999671.044444
