index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:54,515218,1381.4727783203125
2,2021-09-01 01:09:26,515219,1104.1897773742676
3,2021-09-01 01:09:35,515219,1104.6539783477783
4,2021-09-01 01:09:36,515219,1102.0341873168945
5,2021-09-01 01:09:51,515219,1144.919204711914
6,2021-09-01 12:09:28,515219,1216.554594039917
7,2021-09-01 12:09:52,515219,1216.010570526123
8,2021-09-01 12:09:58,515219,1206.7003726959229
9,2021-09-01 03:09:31,515220,1108.829402923584
10,2021-09-01 04:09:43,515220,1289.6483898162842
11,2021-09-01 05:09:00,515220,1188.705587387085
12,2021-09-01 05:09:49,515220,1103.3649921417236
13,2021-09-01 08:09:49,515222,1119.8740005493164
14,2021-09-01 01:09:12,515224,1119.614601135254
15,2021-09-01 10:09:03,515224,1121.703815460205
16,2021-09-01 10:09:44,515224,1148.1610298156738
17,2021-09-01 11:09:27,515224,1120.2507972717285
18,2021-09-01 11:09:58,515224,1313.6163711547852
19,2021-09-01 12:09:12,515224,1122.6484298706055
20,2021-09-01 12:09:20,515224,1153.3782005310059
21,2021-09-01 12:09:30,515224,1157.458782196045
22,2021-09-01 12:09:50,515224,1188.263177871704
23,2021-09-01 12:09:55,515224,1212.415599822998
24,2021-09-01 01:09:04,515225,1301.1672019958496
25,2021-09-01 01:09:22,515225,1191.843032836914
26,2021-09-01 01:09:41,515225,1262.9786014556885
27,2021-09-01 02:09:33,515225,1233.9320182800293
28,2021-09-01 02:09:43,515225,1130.4261684417725
29,2021-09-01 03:09:27,515228,1161.5047931671143
30,2021-09-01 04:09:11,515228,1228.8568019866943
31,2021-09-01 04:09:02,515230,1429.558801651001
32,2021-09-01 05:09:10,515230,1257.8979969024658
33,2021-09-01 09:09:45,515238,1178.5496234893799
34,2021-09-01 11:09:38,515240,1092.7903652191162
35,2021-09-02 05:09:27,515242,1142.885398864746
36,2021-09-02 05:09:40,515242,1096.4327812194824
37,2021-09-02 05:09:51,515242,1278.587007522583
38,2021-09-02 06:09:34,515242,1158.255958557129
39,2021-09-02 07:09:57,515243,1149.8042106628418
40,2021-09-02 09:09:37,515243,1142.1639919281006
41,2021-09-02 09:09:48,515243,1093.6223983764648
42,2021-09-02 11:09:21,515243,1145.0927734375
43,2021-09-02 11:09:39,515243,1131.361198425293
44,2021-09-02 11:09:07,515244,1055.470609664917
45,2021-09-02 11:09:46,515244,1076.5618324279785
46,2021-09-02 12:09:00,515244,1119.4606304168701
47,2021-09-02 12:09:09,515244,1088.256597518921
