index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:09,515219,1281416.0
2,2021-09-01 01:09:37,515219,1298672.0
3,2021-09-01 12:09:09,515219,1301829.0
4,2021-09-01 12:09:18,515219,1296631.0
5,2021-09-01 12:09:46,515219,1299582.0
6,2021-09-01 03:09:02,515220,1303934.0
7,2021-09-01 04:09:27,515220,1300078.0
8,2021-09-01 06:09:01,515220,1307813.0
9,2021-09-01 08:09:29,515222,1301402.0
10,2021-09-01 01:09:23,515224,1298671.0
11,2021-09-01 02:09:24,515224,1298333.0
12,2021-09-01 10:09:04,515224,1294124.0
13,2021-09-01 10:09:32,515224,1302649.0
14,2021-09-01 11:09:28,515224,1301295.0
15,2021-09-01 11:09:43,515224,1295123.0
16,2021-09-01 12:09:08,515224,1277472.0
17,2021-09-01 12:09:13,515224,1299532.0
18,2021-09-01 12:09:45,515224,1304553.0
19,2021-09-01 12:09:53,515224,1216283.0
20,2021-09-01 01:09:00,515225,1296447.0
21,2021-09-01 01:09:29,515225,1305594.0
22,2021-09-01 01:09:40,515225,1280779.0
23,2021-09-01 03:09:57,515228,1191847.0
24,2021-09-01 04:09:51,515228,1305936.0
25,2021-09-01 04:09:45,515230,1305202.0
26,2021-09-01 09:09:19,515238,1198876.0
27,2021-09-01 10:09:45,515238,1300632.0
28,2021-09-01 11:09:51,515240,1297837.0
29,2021-09-02 05:09:10,515242,1266337.0
30,2021-09-02 05:09:40,515242,1296635.0
31,2021-09-02 05:09:51,515242,1294435.0
32,2021-09-02 06:09:39,515242,1298532.0
33,2021-09-02 08:09:11,515243,1295102.0
34,2021-09-02 09:09:20,515243,1300511.0
35,2021-09-02 09:09:25,515243,1297718.0
36,2021-09-02 11:09:06,515243,1285174.0
37,2021-09-02 11:09:14,515243,1278800.0
38,2021-09-02 01:09:13,515244,1292440.0
39,2021-09-02 01:09:18,515244,1302274.0
40,2021-09-02 01:09:58,515244,1300267.0
41,2021-09-02 11:09:13,515244,1037429.0
42,2021-09-02 12:09:04,515244,1039914.0
43,2021-09-02 12:09:14,515244,1301038.0
44,2021-09-02 12:09:23,515244,1295430.0
45,2021-09-02 12:09:34,515244,1041672.0
46,2021-09-02 12:09:53,515244,1301669.0
47,2021-09-02 02:09:14,515246,1310420.0
48,2021-09-02 03:09:24,515247,1301055.0
49,2021-09-02 03:09:53,515248,1070170.0
50,2021-09-02 04:09:49,515248,1303041.0
51,2021-09-02 05:09:10,515251,1301014.0
52,2021-09-02 06:09:12,515251,1259452.0
53,2021-09-02 06:09:36,515252,1302322.0
54,2021-09-02 07:09:24,515254,1309105.0
55,2021-09-02 08:09:56,515257,1300758.0
56,2021-09-03 01:09:12,515260,1229863.0
57,2021-09-03 01:09:32,515260,1302534.0
58,2021-09-03 01:09:44,515260,1301876.0
59,2021-09-03 12:09:47,515260,1302672.0
60,2021-09-03 12:09:48,515260,1296345.0
61,2021-09-03 05:09:07,515262,1290937.0
62,2021-09-03 07:09:57,515262,1296047.0
63,2021-09-03 09:09:08,515263,1302624.0
64,2021-09-03 09:09:15,515263,1297035.0
65,2021-09-03 09:09:33,515263,1280126.0
66,2021-09-03 09:09:35,515263,1197179.0
67,2021-09-03 10:09:00,515263,1298901.0
68,2021-09-03 09:09:34,515264,1300409.0
69,2021-09-03 12:09:49,515265,1302273.0
70,2021-09-03 01:09:39,515266,1303651.0
71,2021-09-03 12:09:58,515266,1270488.0
72,2021-09-03 03:09:03,515268,1305592.0
73,2021-09-03 03:09:23,515268,1298832.0
74,2021-09-03 04:09:34,515269,1302978.0
75,2021-09-03 06:09:04,515272,1300989.0
76,2021-09-03 10:09:18,515275,1282282.0
77,2021-09-03 11:09:20,515277,1294210.0
78,2021-09-04 01:09:04,515277,1301231.0
79,2021-09-04 01:09:40,515277,1282177.0
80,2021-09-04 12:09:13,515277,1302926.0
81,2021-09-04 12:09:34,515277,1294404.0
82,2021-09-04 02:09:31,515278,1298841.0
83,2021-09-04 05:09:08,515279,1299878.0
84,2021-09-04 06:09:01,515279,1303276.0
85,2021-09-04 10:09:47,515281,1300674.0
86,2021-09-05 04:09:56,515282,1305349.0
