index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:45,515219,1100032.0
2,2021-09-01 02:09:41,515219,1109969.0
3,2021-09-01 02:09:51,515219,1069809.0
4,2021-09-01 12:09:04,515219,1084090.0
5,2021-09-01 12:09:15,515219,1113759.0
6,2021-09-01 12:09:41,515219,1057283.0
7,2021-09-01 04:09:25,515220,1081332.0
8,2021-09-01 04:09:27,515220,1057122.0
9,2021-09-01 05:09:03,515220,1077923.0
10,2021-09-01 05:09:29,515220,1086073.0
11,2021-09-01 06:09:05,515220,1140394.0
12,2021-09-01 08:09:28,515222,1076070.0
13,2021-09-01 01:09:04,515224,1109388.0
14,2021-09-01 01:09:26,515224,1089173.0
15,2021-09-01 01:09:35,515224,1145761.0
16,2021-09-01 01:09:35,515224,1098348.0
17,2021-09-01 02:09:34,515224,1066492.0
18,2021-09-01 11:09:06,515224,1110092.0
19,2021-09-01 11:09:37,515224,1109318.0
20,2021-09-01 11:09:56,515224,1085427.0
21,2021-09-01 11:09:56,515224,1115520.0
22,2021-09-01 12:09:15,515224,1081188.0
23,2021-09-01 12:09:19,515224,1099643.0
24,2021-09-01 12:09:34,515224,1056106.0
25,2021-09-01 12:09:48,515224,1076860.0
26,2021-09-01 01:09:33,515225,1092219.0
27,2021-09-01 01:09:37,515225,1103840.0
28,2021-09-01 01:09:43,515225,1084400.0
29,2021-09-01 02:09:26,515225,1115223.0
30,2021-09-01 03:09:46,515228,1080999.0
31,2021-09-01 04:09:34,515230,1105129.0
32,2021-09-01 05:09:05,515230,1149439.0
33,2021-09-01 05:09:39,515230,1098617.0
34,2021-09-01 05:09:42,515230,1120147.0
35,2021-09-01 10:09:03,515238,1110265.0
36,2021-09-01 11:09:57,515238,1066383.0
37,2021-09-02 12:09:17,515240,1116795.0
38,2021-09-02 05:09:07,515242,1097520.0
39,2021-09-02 06:09:23,515242,1119418.0
40,2021-09-02 06:09:50,515242,1099678.0
41,2021-09-02 07:09:27,515242,1086163.0
42,2021-09-02 08:09:43,515243,1113134.0
43,2021-09-02 09:09:30,515243,1094644.0
44,2021-09-02 09:09:38,515243,1079324.0
45,2021-09-02 11:09:17,515243,1087017.0
46,2021-09-02 11:09:45,515243,1086101.0
47,2021-09-02 12:09:04,515243,1109208.0
48,2021-09-02 01:09:30,515244,1094311.0
49,2021-09-02 01:09:37,515244,1111495.0
50,2021-09-02 11:09:14,515244,1084057.0
51,2021-09-02 12:09:00,515244,1088106.0
52,2021-09-02 12:09:04,515244,1117638.0
53,2021-09-02 12:09:12,515244,1131384.0
54,2021-09-02 12:09:27,515244,1107349.0
55,2021-09-02 12:09:37,515244,1092373.0
56,2021-09-02 12:09:53,515244,1087866.0
57,2021-09-02 02:09:46,515246,1138237.0
58,2021-09-02 03:09:08,515246,1104490.0
59,2021-09-02 03:09:10,515246,1155411.0
60,2021-09-02 03:09:55,515246,1120586.0
61,2021-09-02 03:09:39,515247,1119988.0
62,2021-09-02 04:09:59,515247,1138968.0
63,2021-09-02 03:09:15,515248,1061823.0
64,2021-09-02 04:09:25,515248,1085975.0
65,2021-09-02 05:09:57,515251,1116610.0
66,2021-09-02 06:09:23,515251,1099060.0
67,2021-09-02 07:09:25,515252,1107165.0
68,2021-09-02 07:09:47,515252,1111126.0
69,2021-09-02 07:09:06,515254,1060342.0
70,2021-09-02 09:09:12,515257,1108449.0
71,2021-09-02 09:09:53,515257,1140170.0
72,2021-09-03 01:09:18,515260,1100022.0
73,2021-09-03 01:09:35,515260,1067080.0
74,2021-09-03 01:09:50,515260,1071411.0
75,2021-09-03 02:09:35,515260,1053809.0
76,2021-09-03 12:09:22,515260,1069176.0
77,2021-09-03 05:09:10,515262,1055027.0
78,2021-09-03 06:09:21,515262,1078900.0
79,2021-09-03 07:09:35,515262,1051860.0
80,2021-09-03 07:09:45,515262,1105718.0
81,2021-09-03 09:09:00,515263,1079795.0
82,2021-09-03 09:09:21,515263,1087528.0
83,2021-09-03 09:09:52,515263,1075088.0
84,2021-09-03 09:09:59,515263,1106240.0
85,2021-09-03 10:09:14,515264,1094417.0
86,2021-09-03 10:09:19,515264,1092235.0
87,2021-09-03 12:09:05,515265,1057909.0
88,2021-09-03 01:09:26,515266,1078370.0
89,2021-09-03 01:09:47,515266,1074251.0
90,2021-09-03 01:09:59,515266,1097129.0
91,2021-09-03 03:09:48,515268,1072427.0
92,2021-09-03 04:09:37,515268,1041737.0
93,2021-09-03 04:09:57,515268,1089306.0
94,2021-09-03 05:09:40,515268,1069933.0
95,2021-09-03 04:09:28,515269,1099373.0
96,2021-09-03 05:09:50,515269,1067013.0
97,2021-09-03 06:09:15,515272,1103442.0
98,2021-09-03 10:09:51,515275,1091370.0
99,2021-09-03 11:09:42,515275,1081044.0
100,2021-09-03 11:09:31,515277,1074955.0
101,2021-09-04 01:09:05,515277,1102538.0
102,2021-09-04 01:09:06,515277,1083438.0
103,2021-09-04 01:09:21,515277,1079410.0
104,2021-09-04 01:09:31,515277,1103518.0
105,2021-09-04 01:09:37,515277,1159124.0
106,2021-09-04 01:09:53,515277,1054475.0
107,2021-09-04 02:09:11,515277,1084884.0
108,2021-09-04 02:09:40,515277,1099315.0
109,2021-09-04 12:09:08,515277,1082132.0
110,2021-09-04 12:09:48,515277,1100985.0
111,2021-09-04 02:09:36,515278,1098027.0
112,2021-09-04 03:09:22,515278,1093801.0
113,2021-09-04 06:09:02,515279,1087886.0
114,2021-09-04 06:09:05,515279,1079220.0
115,2021-09-04 06:09:14,515279,1137788.0
116,2021-09-04 06:09:26,515279,1111971.0
117,2021-09-04 10:09:59,515281,1117125.0
118,2021-09-04 11:09:32,515281,1097616.0
119,2021-09-04 11:09:42,515281,1118583.0
120,2021-09-04 11:09:50,515281,1094000.0
121,2021-09-05 05:09:46,515282,1092225.0
122,2021-09-05 05:09:52,515282,1108527.0
123,2021-09-05 07:09:05,515282,1114846.0
124,2021-09-05 08:09:22,515282,1071922.0
125,2021-09-06 01:09:49,515282,1084803.0
126,2021-09-06 06:09:01,515282,1096421.0
127,2021-09-06 06:09:07,515282,1109308.0
128,2021-09-06 08:09:22,515282,1102090.0
129,2021-09-06 08:09:59,515282,1123069.0
130,2021-09-06 09:09:38,515282,1096520.0
131,2021-09-06 09:09:48,515282,1076445.0
132,2021-09-06 10:09:02,515282,1118674.0
133,2021-09-06 10:09:06,515282,1083873.0
134,2021-09-06 11:09:07,515282,1085733.0
135,2021-09-06 11:09:31,515282,1125696.0
136,2021-09-06 11:09:59,515282,1078528.0
137,2021-09-06 12:09:16,515282,1096148.0
138,2021-09-06 12:09:32,515282,1086281.0
139,2021-09-06 12:09:54,515282,1092935.0
140,2021-09-06 01:09:08,515283,1083950.0
141,2021-09-06 12:09:48,515283,1104068.0
142,2021-09-06 01:09:29,515284,1077242.0
143,2021-09-06 02:09:14,515284,1110215.0
144,2021-09-06 01:09:11,515285,1100709.0
145,2021-09-06 02:09:33,515285,1088991.0
146,2021-09-06 03:09:08,515286,1094592.0
147,2021-09-06 03:09:28,515286,1064550.0
148,2021-09-06 03:09:40,515286,1078264.0
149,2021-09-06 04:09:18,515286,1127122.0
150,2021-09-06 04:09:40,515286,1106395.0
151,2021-09-06 04:09:47,515286,1111107.0
152,2021-09-06 06:09:03,515290,1094217.0
153,2021-09-06 06:09:05,515290,1092313.0
154,2021-09-06 07:09:05,515290,1134791.0
155,2021-09-06 07:09:08,515290,1126800.0
156,2021-09-06 07:09:10,515290,1135737.0
157,2021-09-06 07:09:44,515291,1114154.0
158,2021-09-06 08:09:58,515291,1101046.0
159,2021-09-06 09:09:02,515291,1065988.0
160,2021-09-06 09:09:27,515291,1146455.0
161,2021-09-06 08:09:42,515292,1116689.0
162,2021-09-06 09:09:34,515292,1130606.0
163,2021-09-06 09:09:22,515293,1089764.0
164,2021-09-06 09:09:55,515293,1086302.0
165,2021-09-06 10:09:44,515293,1073708.0
166,2021-09-06 09:09:14,515294,1063205.0
167,2021-09-06 09:09:56,515294,1066985.0
168,2021-09-06 10:09:21,515294,1090254.0
169,2021-09-06 10:09:09,515295,1079517.0
170,2021-09-06 11:09:13,515295,1121611.0
171,2021-09-06 11:09:50,515295,1070951.0
172,2021-09-07 12:09:50,515295,1080812.0
173,2021-09-07 01:09:51,515296,1113674.0
174,2021-09-07 12:09:37,515296,1086693.0
175,2021-09-07 02:09:35,515297,1084347.0
176,2021-09-07 03:09:43,515297,1079963.0
177,2021-09-07 04:09:21,515297,1071171.0
178,2021-09-07 04:09:33,515297,1068000.0
179,2021-09-07 05:09:22,515303,1094885.0
180,2021-09-07 06:09:29,515303,1087150.0
181,2021-09-07 05:09:45,515304,1053502.0
182,2021-09-07 06:09:20,515304,1125384.0
183,2021-09-07 07:09:05,515304,1077071.0
184,2021-09-07 08:09:06,515304,1125959.0
185,2021-09-07 08:09:26,515304,1113577.0
186,2021-09-07 09:09:00,515304,1061816.0
187,2021-09-07 10:09:12,515308,1093379.0
188,2021-09-07 10:09:54,515308,1096416.0
189,2021-09-07 11:09:23,515308,1142632.0
190,2021-09-07 12:09:28,515308,1090061.0
191,2021-09-07 12:09:39,515308,1102570.0
192,2021-09-07 12:09:42,515308,1162169.0
193,2021-09-07 01:09:23,515309,1106313.0
194,2021-09-07 01:09:39,515309,1114038.0
195,2021-09-07 01:09:45,515309,1063341.0
196,2021-09-07 02:09:06,515309,1051963.0
197,2021-09-07 02:09:10,515309,1079695.0
198,2021-09-07 02:09:18,515309,1095443.0
199,2021-09-07 02:09:31,515309,1065277.0
200,2021-09-07 02:09:34,515309,1082547.0
201,2021-09-07 03:09:15,515309,1129316.0
202,2021-09-07 03:09:16,515309,1153626.0
203,2021-09-07 03:09:28,515309,1112073.0
204,2021-09-07 03:09:35,515309,1110336.0
205,2021-09-07 03:09:35,515309,1126888.0
206,2021-09-07 03:09:41,515309,1125432.0
207,2021-09-07 03:09:45,515309,1098893.0
208,2021-09-07 03:09:52,515309,1092100.0
209,2021-09-07 03:09:55,515309,1092719.0
210,2021-09-07 03:09:57,515309,1084131.0
211,2021-09-07 06:09:17,515309,1095926.0
212,2021-09-07 06:09:21,515309,1082120.0
213,2021-09-07 06:09:26,515309,1119084.0
214,2021-09-07 06:09:54,515309,1137343.0
215,2021-09-07 02:09:11,515310,1121240.0
216,2021-09-07 02:09:33,515310,1120542.0
217,2021-09-07 03:09:03,515310,1092783.0
218,2021-09-07 03:09:06,515310,1102848.0
219,2021-09-07 03:09:17,515310,1083216.0
220,2021-09-07 03:09:23,515310,1113041.0
221,2021-09-07 03:09:25,515310,1071202.0
222,2021-09-07 03:09:36,515310,1109039.0
223,2021-09-07 06:09:23,515310,1126605.0
224,2021-09-07 06:09:27,515310,1095425.0
225,2021-09-07 06:09:35,515310,1127685.0
226,2021-09-07 06:09:54,515310,1075396.0
227,2021-09-07 02:09:38,515311,1112114.0
228,2021-09-07 03:09:01,515311,1107097.0
229,2021-09-07 03:09:03,515311,1124901.0
230,2021-09-07 03:09:23,515311,1136054.0
231,2021-09-07 03:09:24,515311,1107861.0
232,2021-09-07 03:09:26,515311,1069233.0
233,2021-09-07 03:09:59,515311,1121142.0
234,2021-09-07 04:09:03,515311,1152027.0
235,2021-09-07 04:09:08,515311,1076734.0
236,2021-09-07 04:09:40,515311,1107106.0
237,2021-09-07 05:09:04,515311,1113206.0
238,2021-09-07 05:09:06,515311,1130890.0
239,2021-09-07 05:09:19,515311,1116771.0
240,2021-09-07 05:09:35,515311,1131981.0
241,2021-09-07 05:09:42,515311,1119959.0
242,2021-09-07 05:09:42,515311,1104929.0
243,2021-09-07 05:09:00,515313,1079112.0
244,2021-09-07 06:09:11,515313,1097564.0
245,2021-09-07 06:09:19,515313,1078456.0
246,2021-09-07 06:09:23,515313,1114491.0
247,2021-09-07 06:09:34,515313,1115486.0
248,2021-09-07 06:09:38,515313,1077395.0
249,2021-09-07 07:09:03,515313,1070759.0
250,2021-09-07 07:09:12,515313,1075981.0
251,2021-09-07 07:09:28,515313,1088362.0
252,2021-09-07 07:09:42,515313,1177238.0
253,2021-09-07 07:09:43,515313,1070465.0
254,2021-09-07 08:09:03,515313,1123166.0
255,2021-09-07 08:09:19,515313,1129385.0
256,2021-09-07 08:09:25,515313,1101823.0
257,2021-09-07 08:09:43,515313,1094810.0
258,2021-09-07 08:09:45,515313,1059387.0
259,2021-09-07 08:09:54,515313,1134595.0
260,2021-09-07 08:09:57,515313,1112489.0
261,2021-09-07 09:09:14,515313,1127059.0
262,2021-09-07 09:09:53,515313,1096794.0
263,2021-09-07 07:09:09,515314,1079643.0
264,2021-09-07 08:09:05,515314,1075362.0
265,2021-09-07 08:09:23,515314,1089944.0
266,2021-09-07 08:09:30,515314,1079860.0
267,2021-09-07 09:09:12,515314,1089833.0
268,2021-09-07 09:09:26,515314,1114706.0
269,2021-09-07 09:09:32,515314,1076178.0
270,2021-09-07 10:09:25,515314,1103153.0
271,2021-09-07 10:09:25,515314,1102911.0
272,2021-09-07 10:09:26,515314,1106053.0
273,2021-09-07 10:09:32,515314,1110873.0
274,2021-09-07 10:09:34,515314,1114809.0
275,2021-09-07 10:09:40,515314,1107192.0
276,2021-09-07 10:09:56,515314,1075093.0
277,2021-09-07 11:09:10,515314,1059040.0
278,2021-09-07 11:09:34,515314,1183541.0
279,2021-09-08 12:09:06,515314,1099929.0
280,2021-09-08 12:09:07,515314,1086674.0
281,2021-09-08 12:09:15,515314,1129663.0
