index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:42,531193,36682.44
2,2021-09-01 02:09:10,531193,42903.72
3,2021-09-01 05:09:49,531193,32293.48
4,2021-09-01 06:09:03,531193,30989.49
5,2021-09-01 06:09:24,531193,39695.14
6,2021-09-01 06:09:58,531193,37696.02
7,2021-09-01 07:09:29,531193,39728.26
8,2021-09-01 07:09:55,531193,37015.1
9,2021-09-01 08:09:08,531193,34769.31
10,2021-09-01 08:09:26,531194,27841.97
11,2021-09-01 09:09:25,531194,38997.0
12,2021-09-01 11:09:27,531195,41578.31
13,2021-09-01 12:09:02,531195,39151.2
14,2021-09-01 02:09:21,531197,35484.9
15,2021-09-01 02:09:45,531197,30534.35
16,2021-09-01 03:09:47,531197,31876.57
17,2021-09-01 03:09:50,531197,31073.27
18,2021-09-01 04:09:15,531199,40561.37
19,2021-09-01 04:09:31,531199,41981.53
20,2021-09-01 05:09:13,531199,39215.69
21,2021-09-01 05:09:13,531199,40771.39
22,2021-09-01 09:09:50,531204,38848.53
23,2021-09-01 10:09:36,531204,33053.48
24,2021-09-01 11:09:27,531205,30234.32
25,2021-09-02 06:09:30,531206,29678.87
26,2021-09-02 06:09:55,531206,32406.51
27,2021-09-02 07:09:00,531206,33162.0
28,2021-09-02 07:09:55,531206,32466.48
29,2021-09-02 08:09:27,531206,35323.21
30,2021-09-02 01:09:43,531208,40157.42
31,2021-09-02 09:09:03,531208,39563.22
32,2021-09-02 10:09:00,531208,39622.79
33,2021-09-02 11:09:02,531208,39315.9
34,2021-09-02 12:09:43,531208,34610.46
35,2021-09-02 02:09:07,531209,32147.11
36,2021-09-02 02:09:20,531209,36752.55
37,2021-09-02 02:09:50,531210,41312.07
38,2021-09-02 04:09:04,531212,38047.41
39,2021-09-02 04:09:12,531212,38002.58
40,2021-09-02 04:09:43,531212,36435.18
41,2021-09-02 05:09:17,531212,33189.51
42,2021-09-02 05:09:55,531212,38417.21
43,2021-09-02 05:09:56,531213,39132.82
44,2021-09-02 06:09:02,531213,30422.88
45,2021-09-02 06:09:05,531213,33282.3
46,2021-09-02 07:09:13,531213,44324.28
47,2021-09-03 01:09:24,531217,30033.64
48,2021-09-03 01:09:49,531217,31040.48
49,2021-09-03 02:09:42,531217,33127.94
50,2021-09-03 12:09:29,531217,40113.92
51,2021-09-03 07:09:14,531218,38684.72
52,2021-09-03 09:09:05,531218,37319.0
53,2021-09-03 09:09:23,531218,29946.4
54,2021-09-03 10:09:57,531218,39394.89
55,2021-09-03 01:09:30,531221,30778.7
56,2021-09-03 01:09:47,531221,44666.79
57,2021-09-03 01:09:59,531221,31485.15
58,2021-09-03 02:09:45,531221,31031.81
59,2021-09-03 02:09:54,531221,33073.16
60,2021-09-03 03:09:10,531221,43288.17
61,2021-09-03 12:09:28,531221,36420.58
62,2021-09-03 02:09:34,531223,30615.68
