index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:18,531193,27476.92
2,2021-09-01 02:09:56,531193,27518.83
3,2021-09-01 06:09:04,531193,23935.31
4,2021-09-01 06:09:23,531193,28746.15
5,2021-09-01 06:09:41,531193,25153.59
6,2021-09-01 07:09:10,531193,24679.82
7,2021-09-01 07:09:12,531193,28142.21
8,2021-09-01 07:09:14,531193,24944.61
9,2021-09-01 07:09:49,531193,26404.49
10,2021-09-01 08:09:16,531193,26302.35
11,2021-09-01 08:09:23,531193,24957.44
12,2021-09-01 08:09:32,531193,27728.52
13,2021-09-01 08:09:38,531193,27233.55
14,2021-09-01 08:09:41,531193,26444.87
15,2021-09-01 08:09:21,531194,27645.74
16,2021-09-01 09:09:03,531194,25135.26
17,2021-09-01 11:09:52,531195,23379.9
18,2021-09-01 12:09:40,531195,24914.85
19,2021-09-01 02:09:22,531197,24134.94
20,2021-09-01 03:09:31,531197,25777.22
21,2021-09-01 04:09:12,531199,31042.81
22,2021-09-01 05:09:38,531199,25738.94
23,2021-09-01 05:09:56,531199,24234.5
24,2021-09-01 09:09:44,531204,24703.99
25,2021-09-01 10:09:35,531204,24077.47
26,2021-09-01 11:09:04,531205,24454.37
27,2021-09-02 06:09:18,531206,25559.37
28,2021-09-02 06:09:47,531206,26154.66
29,2021-09-02 07:09:13,531206,25829.15
30,2021-09-02 07:09:13,531206,23915.79
31,2021-09-02 07:09:17,531206,24882.52
32,2021-09-02 08:09:12,531206,24773.12
33,2021-09-02 08:09:27,531206,28342.47
34,2021-09-02 08:09:45,531206,25208.0
35,2021-09-02 09:09:17,531206,23733.84
36,2021-09-02 01:09:15,531208,28339.73
37,2021-09-02 02:09:52,531208,24124.68
38,2021-09-02 09:09:33,531208,25193.57
39,2021-09-02 10:09:06,531208,29437.03
40,2021-09-02 10:09:47,531208,27219.96
41,2021-09-02 12:09:02,531208,26785.98
42,2021-09-02 02:09:39,531209,25820.15
43,2021-09-02 03:09:09,531209,23891.19
44,2021-09-02 03:09:46,531210,24320.59
45,2021-09-02 04:09:41,531210,27090.76
46,2021-09-02 04:09:22,531212,23904.99
47,2021-09-02 04:09:43,531212,28442.47
48,2021-09-02 05:09:15,531212,27600.2
49,2021-09-02 05:09:57,531212,24980.91
50,2021-09-02 06:09:15,531212,28372.86
51,2021-09-02 06:09:19,531212,25480.34
52,2021-09-03 11:09:00,531212,25457.85
53,2021-09-03 11:09:08,531212,27682.27
54,2021-09-02 05:09:24,531213,26296.85
