index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:11,531193,384210.35795753426
2,2021-09-01 06:09:13,531193,368851.2850274068
3,2021-09-01 06:09:26,531193,385128.36422204634
4,2021-09-01 06:09:59,531193,380235.94167817995
5,2021-09-01 07:09:01,531193,374553.9235638637
6,2021-09-01 08:09:37,531193,376778.393621246
7,2021-09-01 08:09:47,531194,378651.2584517928
8,2021-09-01 11:09:27,531195,375439.04465856793
9,2021-09-01 02:09:21,531197,378837.1064997438
10,2021-09-01 03:09:29,531197,377566.84088908107
11,2021-09-01 03:09:38,531197,378835.8898336041
12,2021-09-01 04:09:03,531199,377082.6259908482
13,2021-09-01 04:09:32,531199,364659.60491627146
14,2021-09-01 09:09:26,531204,372768.1587511152
15,2021-09-01 11:09:39,531205,381401.5988546333
16,2021-09-02 06:09:50,531206,378305.6220685637
17,2021-09-02 06:09:51,531206,363099.4494376828
18,2021-09-02 07:09:18,531206,379542.26962489035
19,2021-09-02 08:09:02,531206,374169.0156448718
20,2021-09-02 01:09:58,531208,375770.1927417194
21,2021-09-02 09:09:34,531208,372364.7593618922
22,2021-09-02 10:09:51,531208,377597.3259322339
23,2021-09-02 12:09:37,531208,379439.8914524332
24,2021-09-02 02:09:56,531209,367345.87840241275
25,2021-09-02 03:09:57,531210,377715.3741609514
26,2021-09-02 04:09:38,531212,383671.6517000761
27,2021-09-02 04:09:41,531212,366582.23686508485
28,2021-09-02 05:09:14,531212,374155.35918272124
29,2021-09-02 05:09:42,531213,380645.77760805667
30,2021-09-02 06:09:21,531213,369560.2961969886
31,2021-09-03 01:09:25,531217,377286.28558135655
32,2021-09-03 02:09:57,531217,363577.434661094
33,2021-09-03 12:09:47,531217,371169.22359356424
34,2021-09-03 07:09:46,531218,375528.01542441716
35,2021-09-03 09:09:28,531218,378271.5585540157
36,2021-09-03 10:09:03,531218,377383.90954426915
37,2021-09-03 10:09:43,531218,377453.27048671857
38,2021-09-03 01:09:56,531221,377437.8223407099
39,2021-09-03 01:09:56,531221,380822.1101219871
40,2021-09-03 03:09:54,531221,367022.10244088847
41,2021-09-03 12:09:10,531221,360415.0771298018
42,2021-09-03 02:09:44,531223,381602.221644974
43,2021-09-03 07:09:17,531230,378142.7933386896
44,2021-09-03 08:09:40,531230,378903.3844318771
45,2021-09-03 11:09:55,531234,362879.2499570627
46,2021-09-04 01:09:47,531234,373664.77173401223
47,2021-09-05 05:09:18,531234,370555.6750560016
48,2021-09-05 08:09:28,531234,369902.2937009022
49,2021-09-06 07:09:46,531234,364873.9947097203
50,2021-09-06 08:09:50,531236,371587.753089779
51,2021-09-06 08:09:59,531236,374094.4628831897
52,2021-09-06 11:09:24,531237,377277.5582912928
53,2021-09-06 12:09:47,531238,377197.14170064963
54,2021-09-06 01:09:04,531239,378050.5258846085
55,2021-09-06 03:09:13,531240,381851.87120810995
56,2021-09-06 04:09:38,531240,360670.9184359505
57,2021-09-06 04:09:46,531240,373377.43630721857
58,2021-09-06 05:09:24,531244,369564.3410359185
59,2021-09-06 07:09:01,531244,381202.6162878628
60,2021-09-06 08:09:07,531244,364449.1225486605
61,2021-09-06 08:09:11,531244,376933.3871576103
62,2021-09-06 11:09:16,531246,355724.7274303562
63,2021-09-07 12:09:41,531246,375203.4286793934
64,2021-09-07 12:09:49,531246,374435.8400628078
65,2021-09-07 06:09:21,531247,360873.0036345736
66,2021-09-07 06:09:22,531247,378889.72421127494
67,2021-09-07 06:09:52,531247,374329.8921804806
68,2021-09-07 08:09:04,531247,378284.7017973725
69,2021-09-07 08:09:10,531247,379130.18087465415
70,2021-09-07 09:09:11,531247,377413.35013811
71,2021-09-07 10:09:39,531247,372807.95318335755
72,2021-09-07 10:09:04,531248,377989.2868703579
73,2021-09-07 01:09:44,531249,372488.45454313507
74,2021-09-07 12:09:53,531249,372284.5524062943
75,2021-09-07 01:09:23,531250,373632.53235648246
76,2021-09-07 01:09:33,531250,361676.3460794982
77,2021-09-07 03:09:24,531251,361777.1849288456
78,2021-09-07 03:09:30,531252,368509.8920814898
79,2021-09-07 04:09:43,531252,374315.62921678735
80,2021-09-07 08:09:31,531257,361196.9638982825
81,2021-09-07 08:09:58,531257,382608.051568896
82,2021-09-07 10:09:02,531258,375309.66744080954
83,2021-09-07 10:09:57,531258,376953.4071152378
84,2021-09-07 11:09:07,531258,375050.5313188392
85,2021-09-07 11:09:40,531258,370413.84393995896
86,2021-09-08 12:09:05,531259,366154.32252271916
87,2021-09-08 06:09:06,531260,373087.7111890209
88,2021-09-08 06:09:24,531260,371043.4120393851
89,2021-09-08 06:09:47,531260,372050.0138250503
90,2021-09-08 07:09:04,531260,361266.30885398603
91,2021-09-08 01:09:05,531264,376263.036768708
92,2021-09-08 01:09:11,531264,374682.63580840157
93,2021-09-08 01:09:22,531264,382329.7549177372
94,2021-09-08 02:09:44,531264,373661.4437999822
95,2021-09-08 04:09:21,531267,362319.6671018222
96,2021-09-08 04:09:38,531267,372523.6667322781
97,2021-09-08 05:09:20,531267,377940.8109587646
98,2021-09-08 10:09:13,531267,372652.39638900856
99,2021-09-08 11:09:25,531269,364082.32015986816
100,2021-09-08 11:09:32,531269,368909.32265602547
101,2021-09-08 11:09:42,531269,376176.7715632767
102,2021-09-08 11:09:55,531269,375987.7638973556
103,2021-09-09 12:09:02,531269,377249.86884917435
104,2021-09-09 02:09:56,531270,374157.320073936
105,2021-09-09 06:09:09,531270,374669.98741934675
106,2021-09-09 10:09:35,531270,374350.75725952286
107,2021-09-09 11:09:06,531270,375455.7155810177
108,2021-09-09 11:09:40,531270,373295.97762232943
