index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:29,531193,0.636362
2,2021-09-01 06:09:00,531193,0.644995
3,2021-09-01 06:09:36,531193,0.884861
4,2021-09-01 07:09:15,531193,0.695168
5,2021-09-01 07:09:34,531193,0.681826
6,2021-09-01 07:09:57,531193,0.675928
7,2021-09-01 08:09:01,531193,0.895327
8,2021-09-01 08:09:28,531193,0.829002
9,2021-09-01 08:09:26,531194,0.662733
10,2021-09-01 11:09:34,531195,0.738307
11,2021-09-01 03:09:06,531197,0.701394
12,2021-09-01 03:09:29,531197,0.785795
13,2021-09-01 04:09:38,531199,0.758113
14,2021-09-01 05:09:39,531199,0.763862
15,2021-09-01 09:09:02,531204,0.770505
16,2021-09-01 11:09:36,531205,0.788259
17,2021-09-02 06:09:52,531206,0.789189
18,2021-09-02 06:09:56,531206,0.815725
19,2021-09-02 07:09:28,531206,0.73152
20,2021-09-02 09:09:18,531206,0.749195
21,2021-09-02 02:09:48,531208,0.887544
22,2021-09-02 10:09:15,531208,0.670797
23,2021-09-02 10:09:26,531208,0.806981
24,2021-09-02 12:09:47,531208,0.798883
25,2021-09-02 02:09:36,531209,0.67285
26,2021-09-02 03:09:24,531210,0.7011
27,2021-09-02 04:09:47,531212,0.758791
28,2021-09-02 04:09:52,531212,0.747922
29,2021-09-02 05:09:14,531212,0.734924
30,2021-09-02 06:09:00,531213,0.717137
31,2021-09-02 07:09:37,531213,0.763378
32,2021-09-03 01:09:08,531217,0.77021
33,2021-09-03 02:09:46,531217,0.763095
34,2021-09-03 12:09:25,531217,0.789086
35,2021-09-03 07:09:42,531218,0.755084
36,2021-09-03 10:09:10,531218,0.814251
37,2021-09-03 10:09:17,531218,0.766149
38,2021-09-03 10:09:34,531218,0.751872
39,2021-09-03 01:09:13,531221,0.723068
40,2021-09-03 01:09:14,531221,0.752201
41,2021-09-03 01:09:14,531221,0.730965
42,2021-09-03 03:09:42,531221,0.725232
43,2021-09-03 03:09:56,531223,0.894681
44,2021-09-03 08:09:26,531230,0.642922
45,2021-09-03 09:09:04,531230,0.728513
46,2021-09-03 11:09:43,531234,0.754477
47,2021-09-04 02:09:09,531234,0.614233
48,2021-09-05 06:09:13,531234,0.762951
49,2021-09-05 08:09:21,531234,0.736685
50,2021-09-06 08:09:35,531234,0.801944
51,2021-09-06 08:09:31,531236,0.697386
52,2021-09-06 09:09:26,531236,0.887137
53,2021-09-06 11:09:47,531237,0.718793
54,2021-09-06 12:09:27,531238,0.855112
55,2021-09-06 02:09:22,531239,0.694886
56,2021-09-06 04:09:26,531240,0.707976
57,2021-09-06 04:09:37,531240,0.805673
58,2021-09-06 04:09:57,531240,0.762833
59,2021-09-06 06:09:18,531244,0.823703
60,2021-09-06 08:09:01,531244,0.766838
61,2021-09-06 08:09:16,531244,0.826875
62,2021-09-06 09:09:36,531244,0.764831
63,2021-09-06 11:09:55,531246,0.741559
64,2021-09-07 12:09:32,531246,0.749649
65,2021-09-07 06:09:20,531247,0.767564
66,2021-09-07 07:09:24,531247,0.714218
67,2021-09-07 07:09:28,531247,0.716805
68,2021-09-07 07:09:52,531247,0.79004
69,2021-09-07 09:09:15,531247,0.794745
70,2021-09-07 09:09:53,531247,0.682052
71,2021-09-07 10:09:23,531247,0.812757
72,2021-09-07 10:09:54,531248,0.761192
73,2021-09-07 01:09:52,531249,0.648037
74,2021-09-07 12:09:40,531249,0.780921
75,2021-09-07 01:09:13,531250,0.808319
76,2021-09-07 01:09:29,531250,0.777858
77,2021-09-07 03:09:31,531251,0.754254
78,2021-09-07 03:09:35,531252,0.825095
79,2021-09-07 04:09:29,531252,0.776614
80,2021-09-07 08:09:06,531257,0.91645
81,2021-09-07 09:09:15,531257,0.755844
82,2021-09-07 10:09:40,531258,0.721095
83,2021-09-07 11:09:08,531258,0.757038
84,2021-09-07 11:09:35,531258,4.32437
85,2021-09-07 11:09:38,531258,1.63307
86,2021-09-08 12:09:48,531258,0.735865
87,2021-09-08 12:09:17,531259,0.743877
88,2021-09-08 06:09:02,531260,0.812742
89,2021-09-08 06:09:56,531260,0.76293
90,2021-09-08 07:09:51,531260,0.720762
91,2021-09-08 01:09:19,531264,0.778583
92,2021-09-08 02:09:05,531264,0.693486
