index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:25,531193,1878196.0
2,2021-09-01 06:09:33,531193,1902476.0
3,2021-09-01 06:09:55,531193,1877776.0
4,2021-09-01 07:09:10,531193,1911550.0
5,2021-09-01 07:09:31,531193,1859152.0
6,2021-09-01 07:09:54,531193,1915088.0
7,2021-09-01 08:09:23,531193,1857902.0
8,2021-09-01 08:09:57,531193,1855669.0
9,2021-09-01 08:09:23,531194,1923405.0
10,2021-09-01 11:09:30,531195,1871057.0
11,2021-09-01 03:09:03,531197,1889236.0
12,2021-09-01 03:09:25,531197,1910287.0
13,2021-09-01 04:09:34,531199,1889911.0
14,2021-09-01 05:09:36,531199,1857592.0
15,2021-09-01 09:09:59,531204,1949676.0
16,2021-09-01 11:09:32,531205,1854811.0
17,2021-09-02 06:09:49,531206,1894444.0
18,2021-09-02 06:09:52,531206,1899646.0
19,2021-09-02 07:09:25,531206,1897008.0
20,2021-09-02 09:09:14,531206,1900083.0
21,2021-09-02 02:09:45,531208,1912477.0
22,2021-09-02 10:09:12,531208,1894099.0
23,2021-09-02 10:09:24,531208,1914526.0
24,2021-09-02 12:09:44,531208,1975759.0
25,2021-09-02 02:09:34,531209,1978890.0
26,2021-09-02 03:09:21,531210,1948916.0
27,2021-09-02 04:09:43,531212,1938016.0
28,2021-09-02 05:09:10,531212,1933846.0
29,2021-09-02 05:09:48,531212,1902685.0
30,2021-09-02 06:09:56,531213,1857979.0
31,2021-09-02 07:09:33,531213,1897671.0
32,2021-09-03 01:09:05,531217,1850468.0
33,2021-09-03 02:09:41,531217,1898066.0
34,2021-09-03 12:09:21,531217,1898533.0
35,2021-09-03 07:09:39,531218,1900048.0
36,2021-09-03 10:09:07,531218,1890629.0
37,2021-09-03 10:09:13,531218,1933501.0
38,2021-09-03 10:09:31,531218,1947889.0
39,2021-09-03 01:09:10,531221,1913525.0
40,2021-09-03 01:09:10,531221,1884238.0
41,2021-09-03 01:09:10,531221,1898185.0
42,2021-09-03 03:09:39,531221,1803786.0
43,2021-09-03 03:09:52,531223,1899458.0
44,2021-09-03 08:09:24,531230,1937980.0
45,2021-09-03 09:09:01,531230,1861647.0
46,2021-09-03 11:09:41,531234,1931915.0
47,2021-09-04 02:09:06,531234,1862625.0
48,2021-09-05 06:09:10,531234,1955455.0
49,2021-09-05 08:09:17,531234,1868562.0
50,2021-09-06 08:09:32,531234,1888683.0
51,2021-09-06 08:09:28,531236,1899046.0
52,2021-09-06 09:09:22,531236,1889190.0
53,2021-09-06 11:09:45,531237,2001611.0
54,2021-09-06 12:09:23,531238,1921889.0
55,2021-09-06 02:09:18,531239,1847314.0
56,2021-09-06 04:09:23,531240,1964278.0
57,2021-09-06 04:09:33,531240,1925298.0
58,2021-09-06 04:09:53,531240,1877144.0
59,2021-09-06 06:09:14,531244,1920385.0
60,2021-09-06 08:09:12,531244,1887559.0
61,2021-09-06 08:09:57,531244,1891530.0
62,2021-09-06 09:09:32,531244,1874861.0
63,2021-09-06 11:09:52,531246,1926822.0
64,2021-09-07 12:09:28,531246,1954146.0
65,2021-09-07 06:09:16,531247,1839573.0
66,2021-09-07 07:09:20,531247,1889081.0
67,2021-09-07 07:09:26,531247,1900348.0
68,2021-09-07 07:09:47,531247,1874887.0
69,2021-09-07 09:09:11,531247,1865125.0
