index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:25,531193,1679143.0
2,2021-09-01 06:09:33,531193,1679986.0
3,2021-09-01 06:09:55,531193,1689397.0
4,2021-09-01 07:09:10,531193,1670801.0
5,2021-09-01 07:09:31,531193,1619116.0
6,2021-09-01 07:09:54,531193,1656946.0
7,2021-09-01 08:09:23,531193,1608518.0
8,2021-09-01 08:09:57,531193,1640714.0
9,2021-09-01 08:09:23,531194,1644850.0
10,2021-09-01 11:09:30,531195,1685529.0
11,2021-09-01 03:09:03,531197,1657028.0
12,2021-09-01 03:09:25,531197,1712738.0
13,2021-09-01 04:09:34,531199,1663356.0
14,2021-09-01 05:09:36,531199,1660692.0
15,2021-09-01 09:09:59,531204,1696687.0
16,2021-09-01 11:09:32,531205,1701304.0
17,2021-09-02 06:09:49,531206,1660912.0
18,2021-09-02 06:09:52,531206,1674666.0
19,2021-09-02 07:09:25,531206,1649715.0
20,2021-09-02 09:09:14,531206,1666893.0
21,2021-09-02 02:09:45,531208,1670743.0
22,2021-09-02 10:09:12,531208,1649320.0
23,2021-09-02 10:09:24,531208,1692982.0
24,2021-09-02 12:09:44,531208,1727947.0
25,2021-09-02 02:09:34,531209,1731347.0
26,2021-09-02 03:09:21,531210,1709086.0
27,2021-09-02 04:09:43,531212,1725629.0
28,2021-09-02 05:09:10,531212,1677270.0
29,2021-09-02 05:09:48,531212,1705578.0
30,2021-09-02 06:09:56,531213,1639804.0
31,2021-09-02 07:09:33,531213,1705215.0
32,2021-09-03 01:09:05,531217,1639381.0
33,2021-09-03 02:09:41,531217,1683642.0
34,2021-09-03 12:09:21,531217,1679198.0
35,2021-09-03 07:09:39,531218,1710427.0
36,2021-09-03 10:09:07,531218,1655504.0
37,2021-09-03 10:09:13,531218,1706952.0
38,2021-09-03 10:09:31,531218,1690476.0
39,2021-09-03 01:09:10,531221,1712562.0
40,2021-09-03 01:09:10,531221,1674930.0
41,2021-09-03 01:09:10,531221,1645284.0
42,2021-09-03 03:09:39,531221,1606042.0
43,2021-09-03 03:09:52,531223,1637488.0
44,2021-09-03 08:09:24,531230,1726113.0
45,2021-09-03 09:09:01,531230,1657310.0
46,2021-09-03 11:09:41,531234,1697423.0
47,2021-09-04 02:09:06,531234,1667221.0
48,2021-09-05 06:09:10,531234,1736092.0
49,2021-09-05 08:09:17,531234,1614261.0
50,2021-09-06 08:09:32,531234,1704534.0
51,2021-09-06 08:09:28,531236,1699740.0
52,2021-09-06 09:09:22,531236,1660854.0
53,2021-09-06 11:09:45,531237,1704497.0
54,2021-09-06 12:09:23,531238,1654892.0
55,2021-09-06 02:09:18,531239,1630571.0
56,2021-09-06 04:09:23,531240,1727404.0
57,2021-09-06 04:09:33,531240,1702328.0
58,2021-09-06 04:09:53,531240,1704771.0
59,2021-09-06 06:09:14,531244,1688781.0
60,2021-09-06 08:09:12,531244,1619453.0
61,2021-09-06 08:09:57,531244,1665919.0
62,2021-09-06 09:09:32,531244,1663989.0
63,2021-09-06 11:09:52,531246,1648631.0
64,2021-09-07 12:09:28,531246,1729228.0
65,2021-09-07 06:09:17,531247,1637652.0
66,2021-09-07 07:09:20,531247,1665416.0
67,2021-09-07 07:09:26,531247,1645912.0
68,2021-09-07 07:09:47,531247,1644694.0
69,2021-09-07 09:09:11,531247,1654442.0
70,2021-09-07 09:09:49,531247,1605267.0
71,2021-09-07 10:09:20,531247,1717898.0
72,2021-09-07 10:09:50,531248,1646229.0
73,2021-09-07 01:09:47,531249,1609393.0
74,2021-09-07 12:09:36,531249,1700110.0
75,2021-09-07 01:09:09,531250,1643642.0
76,2021-09-07 01:09:26,531250,1652118.0
77,2021-09-07 03:09:27,531251,1642555.0
78,2021-09-07 03:09:31,531252,1663804.0
79,2021-09-07 04:09:25,531252,1682126.0
80,2021-09-07 08:09:02,531257,1698383.0
81,2021-09-07 09:09:11,531257,1621005.0
82,2021-09-07 10:09:37,531258,1695488.0
83,2021-09-07 11:09:04,531258,1697318.0
84,2021-09-07 11:09:33,531258,1709365.0
85,2021-09-07 11:09:37,531258,1632766.0
86,2021-09-08 12:09:44,531258,1634664.0
87,2021-09-08 12:09:13,531259,1670884.0
88,2021-09-08 06:09:53,531260,1647382.0
89,2021-09-08 06:09:58,531260,1660408.0
90,2021-09-08 07:09:47,531260,1616624.0
91,2021-09-08 01:09:15,531264,1638296.0
92,2021-09-08 02:09:02,531264,1655579.0
93,2021-09-08 02:09:07,531264,1596919.0
94,2021-09-08 02:09:49,531264,1690583.0
95,2021-09-08 05:09:10,531267,1700071.0
96,2021-09-08 05:09:24,531267,1661623.0
97,2021-09-08 05:09:59,531267,1645123.0
98,2021-09-08 11:09:42,531267,1690498.0
99,2021-09-08 11:09:01,531269,1659870.0
100,2021-09-08 11:09:39,531269,1699703.0
101,2021-09-08 11:09:46,531269,1658087.0
102,2021-09-09 12:09:39,531269,1689728.0
103,2021-09-09 12:09:41,531269,1623184.0
104,2021-09-09 03:09:11,531270,1667545.0
105,2021-09-09 06:09:19,531270,1615378.0
106,2021-09-09 10:09:08,531270,1676758.0
107,2021-09-09 11:09:04,531270,1699541.0
108,2021-09-09 11:09:49,531270,1691948.0
109,2021-09-09 12:09:32,531270,1671954.0
110,2021-09-09 01:09:58,531271,1643761.0
111,2021-09-09 02:09:13,531272,1683136.0
112,2021-09-09 02:09:45,531272,1688803.0
113,2021-09-09 03:09:11,531272,1674228.0
114,2021-09-09 03:09:48,531272,1569291.0
115,2021-09-09 05:09:06,531274,1723783.0
116,2021-09-09 05:09:21,531275,1752709.0
117,2021-09-09 06:09:27,531276,1720848.0
118,2021-09-09 06:09:29,531276,1653144.0
119,2021-09-09 08:09:27,531278,1705327.0
120,2021-09-09 09:09:07,531279,1728600.0
121,2021-09-09 08:09:39,531280,1654192.0
122,2021-09-09 09:09:13,531280,1700310.0
123,2021-09-10 12:09:26,531284,1638502.0
124,2021-09-10 01:09:00,531285,1641243.0
125,2021-09-10 03:09:27,531285,1726193.0
126,2021-09-10 01:09:37,531286,1694784.0
127,2021-09-10 02:09:34,531286,1634337.0
128,2021-09-10 02:09:43,531286,1644974.0
129,2021-09-10 03:09:00,531286,1711795.0
130,2021-09-10 03:09:29,531286,1674467.0
131,2021-09-10 03:09:32,531286,1692228.0
132,2021-09-10 04:09:10,531286,1689118.0
133,2021-09-10 04:09:22,531286,1599427.0
134,2021-09-10 05:09:00,531286,1741539.0
135,2021-09-10 05:09:36,531286,1640684.0
136,2021-09-10 06:09:03,531286,1693274.0
137,2021-09-10 06:09:24,531286,1670172.0
138,2021-09-10 06:09:53,531286,1609710.0
139,2021-09-10 07:09:27,531286,1687767.0
140,2021-09-10 08:09:10,531286,1615984.0
141,2021-09-10 08:09:22,531286,1570443.0
142,2021-09-10 08:09:26,531286,1571252.0
143,2021-09-10 08:09:50,531286,1666216.0
144,2021-09-10 11:09:30,531286,1685284.0
145,2021-09-10 11:09:33,531286,1676103.0
146,2021-09-10 06:09:10,531287,1688430.0
147,2021-09-10 06:09:15,531287,1697460.0
148,2021-09-10 08:09:28,531289,1684043.0
