index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:07,515218,54176.0
2,2021-09-01 12:09:39,515218,52675.067415
3,2021-09-01 01:09:37,515219,52797.438202
4,2021-09-01 01:09:46,515219,52715.382022
5,2021-09-01 02:09:38,515219,52211.202247
6,2021-09-01 02:09:40,515219,52367.269662
7,2021-09-01 12:09:54,515219,52412.370786
8,2021-09-01 04:09:00,515220,52469.651685
9,2021-09-01 04:09:54,515220,51961.595505
10,2021-09-01 05:09:16,515220,52691.662921
11,2021-09-01 06:09:44,515220,52925.853932
12,2021-09-01 08:09:54,515222,51623.134831
13,2021-09-01 01:09:07,515224,52937.056179
14,2021-09-01 01:09:40,515224,51983.853932
15,2021-09-01 01:09:54,515224,51899.348314
16,2021-09-01 01:09:54,515224,53052.258426
17,2021-09-01 02:09:00,515224,53429.449438
18,2021-09-01 02:09:17,515224,52966.674157
19,2021-09-01 02:09:48,515224,53158.011235
20,2021-09-01 11:09:02,515224,52887.280898
21,2021-09-01 11:09:19,515224,52922.0
22,2021-09-01 11:09:27,515224,52495.629213
23,2021-09-01 12:09:49,515224,53231.426966
24,2021-09-01 12:09:50,515224,53089.83146
25,2021-09-01 01:09:13,515225,52062.719101
26,2021-09-01 01:09:58,515225,53112.404494
27,2021-09-01 02:09:34,515225,52990.146067
28,2021-09-01 03:09:32,515228,52464.955056
29,2021-09-01 05:09:11,515230,52611.730337
30,2021-09-01 10:09:13,515238,52821.674157
31,2021-09-02 12:09:49,515240,52133.505617
32,2021-09-02 05:09:51,515242,53191.348314
33,2021-09-02 06:09:45,515242,52642.88764
34,2021-09-02 06:09:57,515242,52660.764044
35,2021-09-02 08:09:17,515243,52936.764044
36,2021-09-02 09:09:25,515243,52709.146067
37,2021-09-02 09:09:46,515243,52952.168539
38,2021-09-02 09:09:50,515243,52989.516853
39,2021-09-02 11:09:10,515243,52067.134831
40,2021-09-02 12:09:32,515243,52545.325842
41,2021-09-02 01:09:58,515244,52259.719101
42,2021-09-02 12:09:11,515244,51967.516853
