index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:03,515218,3511587.0
2,2021-09-01 12:09:33,515218,3454916.0
3,2021-09-01 01:09:32,515219,3525988.0
4,2021-09-01 01:09:41,515219,3493042.0
5,2021-09-01 02:09:32,515219,3412819.0
6,2021-09-01 02:09:34,515219,3404325.0
7,2021-09-01 12:09:48,515219,3318142.0
8,2021-09-01 04:09:47,515220,3340356.0
9,2021-09-01 04:09:54,515220,3223353.0
10,2021-09-01 05:09:11,515220,3392849.0
11,2021-09-01 06:09:38,515220,3536821.0
12,2021-09-01 08:09:47,515222,3342178.0
13,2021-09-01 01:09:02,515224,3387360.0
14,2021-09-01 01:09:33,515224,3385150.0
15,2021-09-01 01:09:51,515224,3533185.0
16,2021-09-01 01:09:51,515224,3419293.0
17,2021-09-01 02:09:12,515224,3425278.0
18,2021-09-01 02:09:42,515224,3406095.0
19,2021-09-01 02:09:57,515224,3613701.0
20,2021-09-01 11:09:14,515224,3454363.0
21,2021-09-01 11:09:21,515224,3418796.0
22,2021-09-01 11:09:56,515224,3448616.0
23,2021-09-01 12:09:45,515224,3504663.0
24,2021-09-01 12:09:46,515224,3440019.0
25,2021-09-01 01:09:54,515225,3425439.0
26,2021-09-01 02:09:07,515225,3450361.0
27,2021-09-01 02:09:29,515225,3502769.0
28,2021-09-01 03:09:26,515228,3427090.0
29,2021-09-01 05:09:06,515230,3545512.0
30,2021-09-01 10:09:07,515238,3533605.0
31,2021-09-02 12:09:43,515240,3306331.0
32,2021-09-02 05:09:47,515242,3489579.0
33,2021-09-02 06:09:38,515242,3326245.0
34,2021-09-02 06:09:52,515242,3406509.0
35,2021-09-02 08:09:11,515243,3450625.0
36,2021-09-02 09:09:40,515243,3484313.0
37,2021-09-02 09:09:44,515243,3391698.0
38,2021-09-02 10:09:19,515243,3297144.0
39,2021-09-02 11:09:04,515243,3377907.0
40,2021-09-02 12:09:26,515243,3371850.0
41,2021-09-02 01:09:51,515244,3381702.0
42,2021-09-02 12:09:05,515244,3339457.0
43,2021-09-02 12:09:18,515244,3478441.0
44,2021-09-02 12:09:24,515244,3536950.0
45,2021-09-02 12:09:30,515244,3402579.0
46,2021-09-02 12:09:35,515244,3377939.0
47,2021-09-02 02:09:13,515246,3349063.0
48,2021-09-02 03:09:09,515247,3459419.0
49,2021-09-02 04:09:49,515248,3463377.0
50,2021-09-02 06:09:32,515251,3397082.0
51,2021-09-02 07:09:14,515251,3457180.0
52,2021-09-02 07:09:14,515252,3546344.0
53,2021-09-02 07:09:34,515254,3457682.0
54,2021-09-02 08:09:23,515254,3375576.0
55,2021-09-02 09:09:48,515257,3442184.0
56,2021-09-03 01:09:22,515260,3359538.0
57,2021-09-03 01:09:24,515260,3446756.0
58,2021-09-03 12:09:23,515260,3398369.0
59,2021-09-03 06:09:06,515262,3500351.0
60,2021-09-03 06:09:43,515262,3501063.0
61,2021-09-03 07:09:09,515262,3398117.0
62,2021-09-03 09:09:13,515263,3474027.0
63,2021-09-03 09:09:36,515263,3505783.0
64,2021-09-03 10:09:05,515263,3390341.0
65,2021-09-03 10:09:09,515263,3512207.0
66,2021-09-03 10:09:32,515264,3405671.0
67,2021-09-03 12:09:53,515265,3410714.0
68,2021-09-03 01:09:39,515266,3404783.0
69,2021-09-03 02:09:22,515266,3367836.0
70,2021-09-03 03:09:57,515268,3448493.0
71,2021-09-03 04:09:20,515268,3487661.0
72,2021-09-03 05:09:49,515269,3478218.0
73,2021-09-03 06:09:14,515272,3469919.0
74,2021-09-03 07:09:06,515272,3524579.0
75,2021-09-03 10:09:29,515275,3441361.0
76,2021-09-03 11:09:55,515277,3322800.0
77,2021-09-04 01:09:01,515277,3374160.0
78,2021-09-04 01:09:56,515277,3441369.0
79,2021-09-04 12:09:17,515277,3360006.0
80,2021-09-04 12:09:42,515277,3405642.0
81,2021-09-04 02:09:19,515278,3366398.0
82,2021-09-04 06:09:11,515279,3451227.0
83,2021-09-04 06:09:42,515279,3401227.0
84,2021-09-04 07:09:09,515279,3622049.0
85,2021-09-04 10:09:43,515281,3371031.0
86,2021-09-05 05:09:52,515282,3379963.0
87,2021-09-05 07:09:27,515282,3376244.0
88,2021-09-06 06:09:42,515282,3401026.0
89,2021-09-06 08:09:09,515282,3401929.0
90,2021-09-06 09:09:23,515282,3378893.0
91,2021-09-06 09:09:51,515282,3306681.0
92,2021-09-06 11:09:36,515282,3386701.0
93,2021-09-06 11:09:41,515282,3405451.0
94,2021-09-06 11:09:48,515282,3377392.0
95,2021-09-06 12:09:08,515282,3447069.0
96,2021-09-06 12:09:11,515282,3432946.0
97,2021-09-06 12:09:50,515282,3414187.0
98,2021-09-06 01:09:06,515283,3421394.0
99,2021-09-06 02:09:06,515284,3352199.0
100,2021-09-06 02:09:37,515284,3421369.0
101,2021-09-06 02:09:56,515285,3352452.0
102,2021-09-06 03:09:37,515286,3372086.0
103,2021-09-06 04:09:04,515286,3523660.0
104,2021-09-06 04:09:54,515286,3359872.0
105,2021-09-06 04:09:56,515286,3426087.0
106,2021-09-06 06:09:16,515290,3328013.0
107,2021-09-06 06:09:59,515290,3390395.0
108,2021-09-06 07:09:23,515291,3482761.0
109,2021-09-06 08:09:47,515292,3379404.0
110,2021-09-06 09:09:02,515293,3417180.0
111,2021-09-06 09:09:24,515293,3381331.0
112,2021-09-06 10:09:01,515294,3338528.0
113,2021-09-06 10:09:07,515294,3574105.0
114,2021-09-06 10:09:17,515294,3322280.0
115,2021-09-06 10:09:59,515294,3403457.0
116,2021-09-06 10:09:13,515295,3422760.0
117,2021-09-06 11:09:00,515295,3385615.0
118,2021-09-07 01:09:31,515295,3496342.0
119,2021-09-07 01:09:45,515295,3494820.0
120,2021-09-07 12:09:13,515295,3514058.0
121,2021-09-07 12:09:07,515296,3395153.0
122,2021-09-07 02:09:00,515297,3388806.0
123,2021-09-07 06:09:23,515303,3365355.0
124,2021-09-07 06:09:43,515304,3307374.0
125,2021-09-07 07:09:09,515304,3315953.0
126,2021-09-07 08:09:06,515304,3477993.0
127,2021-09-07 08:09:33,515304,3396997.0
128,2021-09-07 08:09:41,515304,3361171.0
129,2021-09-07 08:09:57,515304,3200000.0
130,2021-09-07 09:09:10,515304,3387317.0
131,2021-09-07 10:09:34,515308,3325275.0
132,2021-09-07 10:09:43,515308,3318141.0
133,2021-09-07 12:09:05,515308,3510412.0
134,2021-09-07 01:09:00,515309,3419934.0
135,2021-09-07 01:09:21,515309,3237761.0
136,2021-09-07 02:09:04,515309,3228039.0
137,2021-09-07 02:09:05,515309,3383804.0
138,2021-09-07 02:09:10,515309,3522218.0
139,2021-09-07 03:09:39,515309,3406450.0
140,2021-09-07 02:09:21,515310,3368520.0
141,2021-09-07 02:09:29,515310,3434366.0
142,2021-09-07 02:09:05,515311,3434999.0
143,2021-09-07 03:09:48,515311,3460653.0
144,2021-09-07 04:09:17,515311,3415749.0
