index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:03,515218,55.76
2,2021-09-01 12:09:33,515218,53.97
3,2021-09-01 01:09:32,515219,54.92
4,2021-09-01 01:09:41,515219,54.56
5,2021-09-01 02:09:32,515219,53.68
6,2021-09-01 02:09:34,515219,54.14
7,2021-09-01 12:09:48,515219,53.7
8,2021-09-01 04:09:47,515220,52.93
9,2021-09-01 04:09:54,515220,53.02
10,2021-09-01 05:09:11,515220,54.09
11,2021-09-01 06:09:38,515220,54.48
12,2021-09-01 08:09:47,515222,52.66
13,2021-09-01 01:09:02,515224,54.32
14,2021-09-01 01:09:33,515224,53.23
15,2021-09-01 01:09:51,515224,56.34
16,2021-09-01 01:09:51,515224,56.38
17,2021-09-01 02:09:12,515224,54.51
18,2021-09-01 02:09:42,515224,53.95
19,2021-09-01 02:09:57,515224,56.24
20,2021-09-01 11:09:14,515224,54.47
21,2021-09-01 11:09:21,515224,53.25
22,2021-09-01 11:09:56,515224,53.86
23,2021-09-01 12:09:45,515224,55.03
24,2021-09-01 12:09:46,515224,55.36
25,2021-09-01 01:09:54,515225,54.76
26,2021-09-01 02:09:07,515225,53.38
27,2021-09-01 02:09:29,515225,54.91
28,2021-09-01 03:09:26,515228,54.37
29,2021-09-01 05:09:06,515230,54.68
30,2021-09-01 10:09:07,515238,54.35
31,2021-09-02 12:09:43,515240,53.36
32,2021-09-02 05:09:47,515242,55.11
33,2021-09-02 06:09:38,515242,53.13
34,2021-09-02 06:09:52,515242,54.12
35,2021-09-02 08:09:11,515243,53.99
36,2021-09-02 09:09:40,515243,53.73
37,2021-09-02 09:09:44,515243,54.29
38,2021-09-02 10:09:19,515243,53.57
39,2021-09-02 11:09:05,515243,54.03
40,2021-09-02 12:09:27,515243,53.7
41,2021-09-02 01:09:51,515244,52.95
42,2021-09-02 12:09:05,515244,53.09
43,2021-09-02 12:09:18,515244,53.92
44,2021-09-02 12:09:24,515244,55.21
45,2021-09-02 12:09:30,515244,53.66
46,2021-09-02 12:09:36,515244,52.75
47,2021-09-02 02:09:13,515246,53.9
