index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:01,515219,105.0
2,2021-09-01 12:09:16,515219,99.0
3,2021-09-01 12:09:18,515219,104.0
4,2021-09-01 03:09:22,515220,98.0
5,2021-09-01 04:09:59,515220,101.0
6,2021-09-01 05:09:28,515220,98.0
7,2021-09-01 08:09:44,515222,98.0
8,2021-09-01 01:09:19,515224,101.0
9,2021-09-01 10:09:00,515224,100.0
10,2021-09-01 10:09:42,515224,100.0
11,2021-09-01 11:09:21,515224,100.0
12,2021-09-01 11:09:44,515224,104.0
13,2021-09-01 11:09:44,515224,99.0
14,2021-09-01 12:09:13,515224,100.0
15,2021-09-01 12:09:14,515224,100.0
16,2021-09-01 12:09:14,515224,99.0
17,2021-09-01 01:09:49,515225,97.0
18,2021-09-01 01:09:55,515225,101.0
19,2021-09-01 01:09:58,515225,96.0
20,2021-09-01 02:09:28,515228,100.0
21,2021-09-01 04:09:27,515230,102.0
22,2021-09-01 09:09:40,515238,103.0
23,2021-09-01 11:09:03,515240,100.0
24,2021-09-02 05:09:07,515242,103.0
25,2021-09-02 05:09:27,515242,96.0
26,2021-09-02 05:09:58,515242,100.0
27,2021-09-02 07:09:15,515243,104.0
28,2021-09-02 09:09:23,515243,102.0
29,2021-09-02 09:09:37,515243,101.0
30,2021-09-02 11:09:25,515243,100.0
31,2021-09-02 11:09:43,515243,100.0
32,2021-09-02 12:09:33,515243,100.0
33,2021-09-02 11:09:10,515244,114.0
34,2021-09-02 11:09:19,515244,100.0
35,2021-09-02 11:09:31,515244,102.0
36,2021-09-02 12:09:02,515244,99.0
37,2021-09-02 12:09:26,515244,100.0
38,2021-09-02 12:09:41,515244,100.0
39,2021-09-02 02:09:04,515246,99.0
40,2021-09-02 02:09:02,515247,100.0
41,2021-09-02 03:09:00,515248,101.0
42,2021-09-02 05:09:38,515251,100.0
43,2021-09-02 05:09:40,515251,98.0
44,2021-09-02 06:09:47,515252,101.0
45,2021-09-02 07:09:07,515254,104.0
46,2021-09-02 08:09:20,515257,96.0
47,2021-09-03 12:09:26,515260,101.0
48,2021-09-03 12:09:48,515260,101.0
49,2021-09-03 12:09:51,515260,103.0
50,2021-09-03 05:09:52,515262,98.0
51,2021-09-03 06:09:42,515262,104.0
52,2021-09-03 08:09:00,515263,100.0
53,2021-09-03 09:09:29,515263,100.0
54,2021-09-03 09:09:29,515263,101.0
55,2021-09-03 09:09:40,515263,100.0
56,2021-09-03 09:09:44,515264,101.0
57,2021-09-03 12:09:25,515265,100.0
58,2021-09-03 01:09:26,515266,98.0
59,2021-09-03 12:09:18,515266,101.0
60,2021-09-03 03:09:39,515268,109.0
61,2021-09-03 03:09:49,515268,97.0
62,2021-09-03 04:09:12,515268,101.0
63,2021-09-03 04:09:28,515269,103.0
64,2021-09-03 05:09:22,515272,100.0
65,2021-09-03 10:09:06,515275,98.0
66,2021-09-03 11:09:32,515277,101.0
67,2021-09-03 11:09:41,515277,102.0
68,2021-09-04 01:09:33,515277,105.0
69,2021-09-04 12:09:03,515277,103.0
70,2021-09-04 12:09:38,515277,104.0
71,2021-09-04 02:09:31,515278,105.0
72,2021-09-04 05:09:31,515279,100.0
73,2021-09-04 05:09:38,515279,98.0
74,2021-09-04 09:09:50,515281,108.0
75,2021-09-04 11:09:37,515281,97.0
76,2021-09-05 04:09:41,515282,99.0
77,2021-09-05 07:09:02,515282,99.0
78,2021-09-06 05:09:57,515282,99.0
79,2021-09-06 08:09:19,515282,101.0
80,2021-09-06 08:09:20,515282,103.0
81,2021-09-06 08:09:23,515282,107.0
82,2021-09-06 09:09:13,515282,101.0
83,2021-09-06 10:09:04,515282,102.0
84,2021-09-06 11:09:32,515282,104.0
85,2021-09-06 11:09:43,515282,105.0
86,2021-09-06 11:09:55,515282,99.0
87,2021-09-06 12:09:18,515282,106.0
88,2021-09-06 12:09:37,515283,101.0
89,2021-09-06 01:09:17,515284,101.0
90,2021-09-06 01:09:33,515285,100.0
91,2021-09-06 03:09:04,515286,98.0
92,2021-09-06 03:09:22,515286,101.0
93,2021-09-06 03:09:51,515286,96.0
94,2021-09-06 05:09:04,515290,98.0
95,2021-09-06 05:09:45,515290,101.0
96,2021-09-06 07:09:23,515291,99.0
97,2021-09-06 08:09:21,515292,97.0
98,2021-09-06 09:09:08,515293,100.0
99,2021-09-06 09:09:39,515293,101.0
100,2021-09-06 09:09:02,515294,100.0
101,2021-09-06 09:09:47,515294,104.0
102,2021-09-06 09:09:58,515294,100.0
103,2021-09-06 10:09:04,515295,98.0
104,2021-09-06 11:09:34,515295,100.0
105,2021-09-07 12:09:10,515296,100.0
106,2021-09-07 01:09:22,515297,101.0
107,2021-09-07 05:09:24,515303,101.0
108,2021-09-07 05:09:27,515304,101.0
109,2021-09-07 06:09:09,515304,103.0
110,2021-09-07 08:09:07,515304,107.0
111,2021-09-07 09:09:04,515304,104.0
112,2021-09-07 10:09:27,515308,102.0
113,2021-09-07 10:09:41,515308,109.0
114,2021-09-07 11:09:00,515308,100.0
115,2021-09-07 01:09:33,515309,103.0
116,2021-09-07 01:09:33,515309,99.0
117,2021-09-07 01:09:47,515309,98.0
118,2021-09-07 01:09:59,515309,101.0
119,2021-09-07 12:09:14,515309,97.0
120,2021-09-07 01:09:24,515310,104.0
121,2021-09-07 12:09:10,515310,100.0
122,2021-09-07 02:09:06,515311,99.0
123,2021-09-07 02:09:15,515311,99.0
124,2021-09-07 02:09:32,515311,102.0
125,2021-09-07 03:09:26,515311,97.0
126,2021-09-07 04:09:02,515313,99.0
127,2021-09-07 05:09:05,515313,99.0
128,2021-09-07 05:09:38,515313,102.0
129,2021-09-07 06:09:07,515313,100.0
130,2021-09-07 06:09:15,515313,98.0
131,2021-09-07 07:09:00,515313,100.0
132,2021-09-07 07:09:06,515314,102.0
133,2021-09-07 08:09:16,515314,97.0
134,2021-09-07 08:09:47,515314,102.0
135,2021-09-07 10:09:25,515314,101.0
136,2021-09-07 10:09:30,515314,103.0
137,2021-09-07 11:09:05,515317,100.0
138,2021-09-08 01:09:59,515318,100.0
139,2021-09-08 05:09:35,515318,101.0
140,2021-09-08 06:09:14,515318,102.0
141,2021-09-08 06:09:20,515318,99.0
142,2021-09-08 06:09:57,515318,108.0
143,2021-09-08 07:09:12,515318,101.0
144,2021-09-08 07:09:38,515318,99.0
145,2021-09-08 10:09:51,515318,98.0
146,2021-09-08 11:09:04,515318,106.0
147,2021-09-08 11:09:27,515318,101.0
148,2021-09-08 11:09:36,515318,100.0
149,2021-09-08 11:09:39,515318,98.0
150,2021-09-08 11:09:39,515318,100.0
151,2021-09-08 01:09:57,515320,97.0
152,2021-09-08 01:09:57,515320,103.0
153,2021-09-08 02:09:02,515321,98.0
154,2021-09-08 02:09:28,515321,97.0
155,2021-09-08 02:09:40,515321,99.0
156,2021-09-08 02:09:41,515321,99.0
157,2021-09-08 04:09:21,515323,99.0
158,2021-09-08 04:09:44,515323,93.0
159,2021-09-08 04:09:42,515324,102.0
160,2021-09-08 05:09:24,515324,105.0
161,2021-09-08 05:09:47,515324,106.0
162,2021-09-08 05:09:56,515325,96.0
163,2021-09-08 10:09:21,515325,98.0
164,2021-09-08 10:09:52,515325,97.0
165,2021-09-08 11:09:04,515326,97.0
166,2021-09-08 11:09:13,515326,99.0
167,2021-09-08 11:09:58,515327,97.0
168,2021-09-09 01:09:11,515334,98.0
169,2021-09-09 02:09:52,515335,101.0
170,2021-09-09 03:09:35,515336,96.0
171,2021-09-09 03:09:54,515336,98.0
172,2021-09-09 05:09:41,515337,95.0
173,2021-09-09 06:09:05,515338,96.0
174,2021-09-09 09:09:02,515341,101.0
175,2021-09-09 09:09:19,515341,98.0
176,2021-09-09 09:09:26,515341,98.0
177,2021-09-09 10:09:02,515341,97.0
178,2021-09-09 10:09:49,515341,99.0
179,2021-09-09 11:09:14,515341,98.0
180,2021-09-09 11:09:32,515341,97.0
181,2021-09-09 11:09:44,515341,102.0
182,2021-09-09 12:09:01,515341,102.0
183,2021-09-09 01:09:03,515342,108.0
184,2021-09-09 02:09:05,515342,98.0
185,2021-09-09 03:09:24,515344,103.0
186,2021-09-09 03:09:42,515344,101.0
187,2021-09-09 04:09:05,515344,96.0
188,2021-09-09 05:09:28,515345,102.0
189,2021-09-09 07:09:17,515347,100.0
190,2021-09-09 08:09:00,515348,100.0
191,2021-09-09 10:09:14,515350,101.0
192,2021-09-09 10:09:50,515350,99.0
193,2021-09-09 11:09:03,515351,95.0
194,2021-09-09 11:09:12,515351,96.0
195,2021-09-09 11:09:31,515351,103.0
196,2021-09-10 12:09:00,515352,100.0
197,2021-09-10 12:09:07,515352,99.0
198,2021-09-10 12:09:28,515352,103.0
199,2021-09-10 02:09:00,515356,98.0
200,2021-09-10 03:09:03,515356,99.0
201,2021-09-10 03:09:42,515356,99.0
202,2021-09-10 04:09:00,515357,99.0
203,2021-09-10 04:09:21,515358,101.0
204,2021-09-10 06:09:21,515362,108.0
205,2021-09-10 07:09:19,515362,103.0
206,2021-09-10 06:09:43,515364,104.0
207,2021-09-10 06:09:46,515364,101.0
208,2021-09-10 01:09:11,515366,106.0
209,2021-09-10 01:09:12,515366,108.0
210,2021-09-10 01:09:34,515366,101.0
211,2021-09-10 01:09:36,515366,100.0
212,2021-09-10 01:09:39,515366,100.0
213,2021-09-10 01:09:46,515366,106.0
214,2021-09-10 01:09:59,515366,97.0
215,2021-09-10 02:09:31,515366,101.0
216,2021-09-10 03:09:09,515366,101.0
217,2021-09-10 08:09:12,515366,105.0
