index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:21,515219,8.98
2,2021-09-01 01:09:25,515219,8.9
3,2021-09-01 01:09:28,515219,9.04
4,2021-09-01 12:09:15,515219,8.98
5,2021-09-01 12:09:41,515219,8.98
6,2021-09-01 12:09:49,515219,8.978
7,2021-09-01 03:09:48,515220,9.08
8,2021-09-01 04:09:10,515220,8.88
9,2021-09-01 04:09:41,515220,8.9
10,2021-09-01 06:09:51,515220,8.962
11,2021-09-01 08:09:15,515222,9.102
12,2021-09-01 01:09:38,515224,8.478
13,2021-09-01 02:09:38,515224,9.058
14,2021-09-01 10:09:33,515224,9.082
15,2021-09-01 11:09:19,515224,9.062
16,2021-09-01 11:09:22,515224,8.942
17,2021-09-01 11:09:37,515224,9.058
18,2021-09-01 11:09:56,515224,9.02
19,2021-09-01 12:09:15,515224,8.96
20,2021-09-01 12:09:39,515224,8.92
21,2021-09-01 12:09:47,515224,8.9
22,2021-09-01 12:09:47,515224,8.86
23,2021-09-01 12:09:50,515224,9.058
24,2021-09-01 12:09:55,515224,9.22
25,2021-09-01 01:09:13,515225,9.74
26,2021-09-01 01:09:20,515225,9.136
27,2021-09-01 01:09:40,515225,9.04
28,2021-09-01 02:09:42,515225,8.98
29,2021-09-01 03:09:39,515228,8.882
30,2021-09-01 03:09:49,515228,9.2
31,2021-09-01 04:09:28,515230,9.06
32,2021-09-01 09:09:29,515238,9.022
33,2021-09-01 11:09:17,515240,8.82
34,2021-09-02 05:09:19,515242,9.002
35,2021-09-02 05:09:27,515242,9.12
36,2021-09-02 05:09:49,515242,9.018
37,2021-09-02 08:09:54,515243,9.06
38,2021-09-02 09:09:32,515243,8.978
39,2021-09-02 09:09:55,515243,9.02
40,2021-09-02 11:09:17,515243,8.94
41,2021-09-02 11:09:25,515243,8.98
42,2021-09-02 11:09:16,515244,8.94
43,2021-09-02 12:09:04,515244,9.042
44,2021-09-02 12:09:11,515244,9.12
45,2021-09-02 12:09:21,515244,8.44
46,2021-09-02 12:09:23,515244,9.082
47,2021-09-02 12:09:36,515244,9.042
48,2021-09-02 02:09:40,515246,9.18
49,2021-09-02 02:09:35,515247,9.1
50,2021-09-02 04:09:34,515247,9.06
51,2021-09-02 03:09:54,515248,9.12
52,2021-09-02 05:09:41,515251,8.858
53,2021-09-02 06:09:17,515251,8.88
54,2021-09-02 06:09:18,515252,9.064
55,2021-09-02 07:09:59,515254,8.98
56,2021-09-02 08:09:24,515257,8.92
57,2021-09-03 01:09:54,515260,8.764
58,2021-09-03 12:09:18,515260,8.918
59,2021-09-03 12:09:25,515260,8.978
60,2021-09-03 12:09:34,515260,9.06
61,2021-09-03 05:09:40,515262,9.04
62,2021-09-03 07:09:26,515262,8.918
63,2021-09-03 09:09:35,515263,8.958
64,2021-09-03 09:09:46,515263,8.82
65,2021-09-03 09:09:55,515263,8.942
66,2021-09-03 09:09:55,515263,8.92
67,2021-09-03 09:09:03,515264,8.902
68,2021-09-03 12:09:17,515265,8.98
69,2021-09-03 01:09:40,515266,9.0
70,2021-09-03 12:09:28,515266,8.96
71,2021-09-03 03:09:01,515268,9.14
72,2021-09-03 03:09:58,515268,8.822
73,2021-09-03 04:09:59,515269,8.96
74,2021-09-03 05:09:44,515272,8.918
75,2021-09-03 10:09:09,515275,9.18
76,2021-09-03 11:09:29,515277,8.922
77,2021-09-04 01:09:20,515277,8.98
78,2021-09-04 01:09:35,515277,9.002
79,2021-09-04 12:09:12,515277,8.92
80,2021-09-04 12:09:17,515277,8.962
81,2021-09-04 02:09:01,515278,8.88
82,2021-09-04 05:09:39,515279,8.96
83,2021-09-04 06:09:03,515279,8.92
84,2021-09-04 10:09:35,515281,9.04
85,2021-09-05 04:09:54,515282,8.82
86,2021-09-05 07:09:58,515282,8.9
87,2021-09-06 01:09:01,515282,8.682
88,2021-09-06 05:09:38,515282,9.08
89,2021-09-06 08:09:07,515282,8.84
90,2021-09-06 08:09:10,515282,9.14
91,2021-09-06 08:09:28,515282,8.98
92,2021-09-06 10:09:18,515282,9.138
93,2021-09-06 11:09:50,515282,8.896
94,2021-09-06 11:09:53,515282,9.0
95,2021-09-06 11:09:58,515282,9.0
96,2021-09-06 12:09:01,515282,9.08
97,2021-09-06 12:09:12,515283,9.02
98,2021-09-06 01:09:12,515284,8.984
99,2021-09-06 01:09:43,515285,8.94
100,2021-09-06 02:09:30,515285,8.38
101,2021-09-06 03:09:18,515286,8.96
102,2021-09-06 03:09:31,515286,8.942
103,2021-09-06 03:09:40,515286,8.92
104,2021-09-06 04:09:34,515286,8.82
105,2021-09-06 06:09:05,515290,8.92
106,2021-09-06 06:09:13,515290,8.982
107,2021-09-06 07:09:35,515291,8.962
108,2021-09-06 08:09:48,515292,8.82
109,2021-09-06 08:09:08,515293,8.818
110,2021-09-06 09:09:39,515293,9.078
111,2021-09-06 09:09:11,515294,8.96
112,2021-09-06 09:09:35,515294,8.88
113,2021-09-06 09:09:49,515294,9.08
114,2021-09-06 10:09:48,515295,9.1
115,2021-09-06 11:09:38,515295,8.88
116,2021-09-07 12:09:13,515296,9.1
117,2021-09-07 02:09:09,515297,8.96
118,2021-09-07 05:09:49,515303,8.922
119,2021-09-07 06:09:41,515304,8.856
120,2021-09-07 06:09:46,515304,8.96
121,2021-09-07 06:09:52,515304,8.68
122,2021-09-07 08:09:08,515304,8.92
123,2021-09-07 10:09:13,515308,8.898
124,2021-09-07 10:09:14,515308,8.94
125,2021-09-07 01:09:30,515309,8.942
126,2021-09-07 01:09:53,515309,8.96
127,2021-09-07 01:09:55,515309,8.902
128,2021-09-07 02:09:56,515309,8.94
129,2021-09-07 12:09:13,515309,9.04
130,2021-09-07 01:09:26,515310,8.998
131,2021-09-07 02:09:36,515310,9.142
132,2021-09-07 02:09:00,515311,8.9
133,2021-09-07 02:09:56,515311,9.0
134,2021-09-07 03:09:15,515311,8.96
135,2021-09-07 03:09:55,515311,9.06
136,2021-09-07 05:09:14,515313,9.002
137,2021-09-07 05:09:18,515313,9.122
138,2021-09-07 06:09:22,515313,8.96
139,2021-09-07 06:09:39,515313,8.98
140,2021-09-07 07:09:17,515313,9.22
141,2021-09-07 07:09:31,515314,9.018
142,2021-09-07 08:09:03,515314,9.042
143,2021-09-07 08:09:53,515314,9.0
144,2021-09-07 10:09:18,515314,8.98
145,2021-09-07 10:09:56,515314,9.018
146,2021-09-07 11:09:54,515317,8.92
147,2021-09-08 01:09:45,515318,9.02
148,2021-09-08 06:09:04,515318,8.86
149,2021-09-08 06:09:18,515318,9.02
150,2021-09-08 06:09:37,515318,9.06
151,2021-09-08 06:09:48,515318,8.938
152,2021-09-08 07:09:13,515318,8.878
153,2021-09-08 10:09:41,515318,9.04
154,2021-09-08 11:09:16,515318,9.062
155,2021-09-08 11:09:21,515318,9.06
156,2021-09-08 11:09:22,515318,9.1
157,2021-09-08 11:09:27,515318,9.178
158,2021-09-08 11:09:47,515318,8.86
159,2021-09-08 11:09:48,515318,9.04
160,2021-09-08 02:09:16,515320,8.94
161,2021-09-08 02:09:34,515320,9.14
162,2021-09-08 02:09:32,515321,8.982
163,2021-09-08 02:09:39,515321,8.96
164,2021-09-08 02:09:43,515321,8.94
165,2021-09-08 02:09:48,515321,8.92
166,2021-09-08 03:09:23,515321,8.942
167,2021-09-08 04:09:42,515323,9.04
168,2021-09-08 05:09:56,515323,9.02
169,2021-09-08 04:09:05,515324,9.0
170,2021-09-08 05:09:36,515324,8.98
171,2021-09-08 05:09:52,515324,8.84
172,2021-09-08 06:09:16,515325,9.0
173,2021-09-08 10:09:46,515325,8.94
174,2021-09-08 10:09:48,515325,8.964
175,2021-09-08 11:09:46,515326,8.9
176,2021-09-08 11:09:51,515326,8.942
177,2021-09-08 11:09:42,515327,8.862
178,2021-09-09 02:09:25,515334,9.162
179,2021-09-09 03:09:09,515335,8.898
180,2021-09-09 03:09:46,515336,9.04
181,2021-09-09 03:09:56,515336,9.098
182,2021-09-09 06:09:28,515337,9.08
183,2021-09-09 07:09:13,515337,8.92
184,2021-09-09 07:09:45,515338,8.92
185,2021-09-09 09:09:12,515341,8.94
186,2021-09-09 09:09:16,515341,8.978
187,2021-09-09 09:09:21,515341,8.962
188,2021-09-09 10:09:56,515341,8.978
189,2021-09-09 11:09:09,515341,8.94
190,2021-09-09 11:09:15,515341,9.182
191,2021-09-09 11:09:42,515341,8.958
192,2021-09-09 11:09:43,515341,9.0
193,2021-09-09 12:09:42,515341,8.92
194,2021-09-09 01:09:54,515342,8.84
195,2021-09-09 03:09:40,515344,8.918
196,2021-09-09 04:09:02,515344,8.96
197,2021-09-09 04:09:07,515344,8.96
198,2021-09-09 04:09:38,515344,9.0
199,2021-09-09 05:09:23,515345,8.998
200,2021-09-09 07:09:43,515347,9.024
201,2021-09-09 09:09:57,515348,9.102
202,2021-09-09 10:09:32,515350,9.2
203,2021-09-09 10:09:52,515350,9.1
204,2021-09-09 11:09:36,515351,8.958
205,2021-09-09 11:09:50,515351,9.06
206,2021-09-09 11:09:55,515351,9.016
207,2021-09-10 12:09:55,515351,8.88
208,2021-09-10 12:09:07,515352,9.2
209,2021-09-10 12:09:36,515352,8.978
210,2021-09-10 12:09:52,515352,8.922
211,2021-09-10 02:09:09,515356,9.042
212,2021-09-10 03:09:55,515356,8.916
213,2021-09-10 03:09:57,515356,8.86
214,2021-09-10 04:09:45,515357,9.22
215,2021-09-10 05:09:19,515358,8.982
216,2021-09-10 06:09:58,515362,9.1
217,2021-09-10 07:09:02,515364,8.98
218,2021-09-10 07:09:22,515364,8.8
219,2021-09-10 01:09:16,515366,8.982
220,2021-09-10 01:09:26,515366,9.0
221,2021-09-10 01:09:32,515366,8.858
222,2021-09-10 01:09:33,515366,8.86
223,2021-09-10 01:09:48,515366,8.92
224,2021-09-10 02:09:08,515366,8.86
225,2021-09-10 02:09:39,515366,9.56
226,2021-09-10 02:09:54,515366,8.922
227,2021-09-10 02:09:58,515366,9.02
228,2021-09-10 03:09:03,515366,8.96
229,2021-09-10 08:09:19,515366,9.14
230,2021-09-10 09:09:16,515366,8.956
231,2021-09-10 10:09:26,515366,8.882
232,2021-09-10 02:09:01,515367,9.0
233,2021-09-10 02:09:19,515367,9.14
234,2021-09-10 02:09:57,515367,9.06
235,2021-09-10 04:09:28,515367,8.822
236,2021-09-10 03:09:44,515368,8.92
237,2021-09-10 05:09:13,515369,9.064
238,2021-09-10 05:09:39,515371,8.88
239,2021-09-10 05:09:31,515373,8.918
240,2021-09-13 04:09:43,515375,8.94
241,2021-09-10 09:09:26,515377,8.94
242,2021-09-10 11:09:35,515378,8.818
243,2021-09-10 11:09:57,515379,9.062
244,2021-09-11 12:09:04,515379,8.98
245,2021-09-11 01:09:22,515380,9.06
246,2021-09-11 12:09:49,515380,9.078
247,2021-09-11 01:09:36,515381,8.94
248,2021-09-11 01:09:52,515381,8.962
249,2021-09-13 04:09:27,515381,9.098
250,2021-09-13 06:09:13,515382,8.9
251,2021-09-11 02:09:55,515385,8.98
252,2021-09-11 06:09:25,515387,8.94
253,2021-09-11 12:09:11,515388,8.96
254,2021-09-11 08:09:06,515389,9.02
255,2021-09-12 05:09:33,515390,8.96
256,2021-09-12 03:09:10,515391,9.04
257,2021-09-12 04:09:09,515391,8.92
258,2021-09-13 04:09:12,515391,8.92
259,2021-09-13 05:09:11,515391,9.062
260,2021-09-13 05:09:40,515391,8.818
261,2021-09-13 06:09:07,515391,8.938
262,2021-09-13 06:09:17,515391,9.0
263,2021-09-13 07:09:00,515391,9.042
264,2021-09-13 07:09:05,515391,9.04
265,2021-09-13 07:09:05,515391,8.936
266,2021-09-13 08:09:15,515391,8.96
267,2021-09-13 01:09:38,515393,8.98
268,2021-09-13 10:09:40,515393,9.022
269,2021-09-13 11:09:21,515393,8.8
270,2021-09-13 11:09:48,515393,9.02
271,2021-09-13 12:09:15,515393,8.942
272,2021-09-13 06:09:54,515394,8.918
273,2021-09-13 11:09:25,515394,8.958
274,2021-09-13 12:09:49,515394,8.982
275,2021-09-14 08:09:45,515396,9.24
276,2021-09-14 09:09:04,515396,9.0
277,2021-09-14 12:09:50,515396,9.0
278,2021-09-14 01:09:39,515397,9.102
279,2021-09-14 01:09:45,515397,8.94
280,2021-09-14 02:09:02,515397,14.3
281,2021-09-14 07:09:49,515397,9.32
282,2021-09-14 11:09:44,515397,9.08
283,2021-09-13 03:09:09,515398,9.062
284,2021-09-14 07:09:16,515398,9.02
285,2021-09-14 09:09:24,515399,9.08
286,2021-09-14 09:09:58,515401,9.16
287,2021-09-14 02:09:25,515403,9.06
288,2021-09-14 08:09:36,515403,8.958
289,2021-09-14 08:09:40,515403,9.06
290,2021-09-14 09:09:14,515403,9.138
291,2021-09-14 11:09:02,515403,9.18
292,2021-09-14 11:09:35,515403,9.0
293,2021-09-14 11:09:57,515403,9.0
294,2021-09-14 05:09:25,515405,9.118
295,2021-09-14 06:09:11,515405,8.98
296,2021-09-14 07:09:08,515405,9.14
297,2021-09-14 07:09:16,515405,9.002
298,2021-09-14 07:09:20,515405,9.042
299,2021-09-14 08:09:10,515405,9.02
300,2021-09-14 09:09:00,515406,9.18
301,2021-09-14 09:09:14,515406,9.058
302,2021-09-14 09:09:18,515406,9.22
303,2021-09-14 09:09:26,515406,9.16
304,2021-09-14 10:09:26,515406,8.664
305,2021-09-14 10:09:30,515406,9.06
306,2021-09-14 10:09:38,515406,9.22
307,2021-09-14 10:09:52,515406,8.998
308,2021-09-14 10:09:54,515406,8.88
309,2021-09-14 11:09:39,515406,9.04
310,2021-09-14 10:09:05,515407,9.122
311,2021-09-14 07:09:35,515409,9.18
312,2021-09-14 11:09:08,515410,9.222
313,2021-09-14 11:09:36,515410,9.002
314,2021-09-14 11:09:50,515410,9.2
315,2021-09-14 11:09:58,515410,9.06
316,2021-09-15 12:09:19,515410,9.118
317,2021-09-15 12:09:53,515410,9.06
318,2021-09-15 12:09:41,515412,9.0
319,2021-09-15 02:09:59,515415,8.902
320,2021-09-15 03:09:49,515415,8.982
321,2021-09-15 03:09:37,515416,8.982
322,2021-09-15 03:09:40,515416,9.18
323,2021-09-15 03:09:53,515416,9.16
324,2021-09-15 04:09:46,515416,8.998
325,2021-09-15 01:09:00,515418,9.16
326,2021-09-15 01:09:20,515418,9.04
327,2021-09-15 02:09:04,515418,9.06
328,2021-09-15 02:09:37,515418,9.08
329,2021-09-15 02:09:50,515418,9.04
330,2021-09-15 02:09:56,515418,9.08
331,2021-09-15 03:09:31,515418,9.08
332,2021-09-15 06:09:38,515418,9.082
333,2021-09-15 08:09:58,515418,9.002
334,2021-09-15 09:09:43,515418,9.08
335,2021-09-15 04:09:33,515420,9.0
336,2021-09-15 06:09:11,515420,9.16
337,2021-09-15 06:09:23,515422,9.06
338,2021-09-15 06:09:55,515423,9.02
339,2021-09-15 10:09:34,515424,14.418
340,2021-09-15 07:09:06,515428,9.182
341,2021-09-15 07:09:12,515428,8.864
342,2021-09-15 07:09:13,515428,9.122
343,2021-09-15 08:09:57,515428,9.1
344,2021-09-15 09:09:32,515428,8.998
345,2021-09-15 08:09:21,515429,9.22
346,2021-09-15 08:09:48,515429,8.942
347,2021-09-15 09:09:06,515429,9.1
348,2021-09-15 11:09:04,515429,9.178
349,2021-09-15 11:09:32,515429,8.9
350,2021-09-15 09:09:14,515430,9.058
351,2021-09-15 09:09:23,515430,9.02
352,2021-09-15 09:09:07,515431,8.96
353,2021-09-16 01:09:17,515431,8.762
354,2021-09-15 10:09:42,515432,8.942
355,2021-09-16 01:09:09,515432,9.08
356,2021-09-16 02:09:08,515432,8.942
357,2021-09-16 02:09:15,515432,8.88
358,2021-09-16 02:09:16,515432,8.6
359,2021-09-16 02:09:22,515432,8.818
360,2021-09-16 01:09:17,515434,9.218
361,2021-09-16 01:09:49,515435,9.038
362,2021-09-16 02:09:17,515435,9.12
363,2021-09-16 03:09:01,515435,8.88
364,2021-09-16 01:09:57,515436,9.2
365,2021-09-16 02:09:12,515436,9.1
366,2021-09-16 02:09:58,515436,9.08
367,2021-09-16 03:09:20,515436,9.08
368,2021-09-16 03:09:50,515436,8.922
369,2021-09-16 04:09:18,515436,8.818
370,2021-09-16 04:09:21,515436,8.84
371,2021-09-16 02:09:24,515438,9.06
372,2021-09-16 02:09:17,515442,9.218
373,2021-09-16 05:09:19,515442,9.06
374,2021-09-16 06:09:26,515442,9.1
375,2021-09-16 06:09:38,515444,9.26
376,2021-09-16 08:09:22,515444,8.998
377,2021-09-16 08:09:00,515446,9.04
378,2021-09-16 08:09:13,515446,9.06
379,2021-09-16 08:09:23,515446,9.118
380,2021-09-16 09:09:02,515446,8.978
381,2021-09-16 09:09:12,515446,9.042
382,2021-09-16 09:09:58,515446,9.08
383,2021-09-16 11:09:32,515446,8.98
384,2021-09-16 01:09:33,515449,8.98
385,2021-09-16 01:09:41,515449,8.94
386,2021-09-16 01:09:50,515449,9.082
387,2021-09-16 05:09:12,515449,9.02
388,2021-09-16 05:09:44,515449,9.12
389,2021-09-16 05:09:47,515449,9.042
390,2021-09-16 07:09:06,515449,8.92
391,2021-09-16 08:09:07,515449,9.08
392,2021-09-16 08:09:18,515449,9.02
393,2021-09-16 10:09:13,515449,9.04
394,2021-09-16 06:09:00,515451,9.0
395,2021-09-16 06:09:16,515451,9.16
396,2021-09-16 06:09:20,515451,9.1
397,2021-09-16 06:09:41,515451,9.0
398,2021-09-16 08:09:25,515451,8.96
399,2021-09-16 08:09:34,515451,9.02
400,2021-09-16 10:09:15,515451,9.04
401,2021-09-16 10:09:43,515451,9.038
402,2021-09-16 11:09:14,515451,9.1
403,2021-09-16 09:09:09,515452,9.098
404,2021-09-16 09:09:26,515452,9.12
405,2021-09-16 11:09:20,515453,9.1
406,2021-09-16 11:09:30,515453,8.998
407,2021-09-17 12:09:40,515454,9.1
408,2021-09-16 09:09:41,515455,8.94
409,2021-09-17 12:09:47,515456,8.998
410,2021-09-16 11:09:51,515457,9.12
411,2021-09-17 12:09:11,515458,8.982
412,2021-09-17 12:09:15,515459,8.98
413,2021-09-17 12:09:01,515460,9.12
414,2021-09-17 03:09:33,515461,9.06
415,2021-09-17 12:09:40,515461,9.04
416,2021-09-17 04:09:04,515467,9.024
417,2021-09-17 06:09:22,515467,9.06
418,2021-09-17 07:09:14,515467,9.042
419,2021-09-17 07:09:20,515469,8.94
420,2021-09-17 07:09:38,515469,9.042
421,2021-09-17 08:09:04,515469,8.96
422,2021-09-17 08:09:55,515469,8.88
423,2021-09-17 08:09:56,515469,8.36
424,2021-09-17 01:09:40,515470,8.998
425,2021-09-17 01:09:43,515470,9.12
426,2021-09-17 09:09:34,515470,9.12
427,2021-09-17 10:09:37,515470,8.962
428,2021-09-17 10:09:55,515470,9.278
429,2021-09-17 11:09:26,515470,9.262
430,2021-09-17 11:09:37,515470,8.98
431,2021-09-17 12:09:12,515470,8.882
432,2021-09-17 12:09:36,515470,9.0
433,2021-09-17 12:09:57,515470,9.08
434,2021-09-17 01:09:42,515471,9.0
435,2021-09-17 01:09:04,515472,9.062
436,2021-09-17 02:09:05,515472,8.902
437,2021-09-17 02:09:21,515472,8.938
438,2021-09-17 02:09:52,515472,9.158
439,2021-09-17 03:09:17,515472,8.96
440,2021-09-17 03:09:25,515472,9.0
441,2021-09-17 03:09:33,515472,8.784
442,2021-09-17 03:09:43,515472,9.06
443,2021-09-17 04:09:06,515472,8.72
444,2021-09-17 02:09:14,515473,8.82
445,2021-09-17 04:09:16,515474,9.08
446,2021-09-17 05:09:11,515475,8.96
447,2021-09-17 05:09:12,515475,9.058
448,2021-09-17 05:09:52,515475,9.02
449,2021-09-17 05:09:16,515476,9.26
