index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:32,531193,12.054920196533203
2,2021-09-01 06:09:03,531193,12.814044952392578
3,2021-09-01 06:09:12,531193,12.408018112182617
4,2021-09-01 06:09:51,531193,12.896060943603516
5,2021-09-01 07:09:59,531193,12.196779251098633
6,2021-09-01 08:09:40,531193,12.459039688110352
7,2021-09-01 08:09:11,531194,12.483835220336914
8,2021-09-01 11:09:58,531195,13.16380500793457
9,2021-09-01 02:09:20,531197,11.91091537475586
10,2021-09-01 02:09:47,531197,12.794017791748047
11,2021-09-01 04:09:08,531199,12.015104293823242
12,2021-09-01 04:09:14,531199,17.158985137939453
13,2021-09-01 05:09:27,531199,13.391971588134766
14,2021-09-01 09:09:31,531204,12.228965759277344
15,2021-09-01 11:09:32,531205,12.38703727722168
16,2021-09-02 06:09:39,531206,12.40396499633789
17,2021-09-02 06:09:49,531206,12.310028076171875
18,2021-09-02 07:09:30,531206,12.721061706542969
19,2021-09-02 08:09:19,531206,11.693954467773438
20,2021-09-02 01:09:15,531208,12.252092361450195
21,2021-09-02 09:09:10,531208,12.042999267578125
22,2021-09-02 10:09:12,531208,11.996030807495117
23,2021-09-02 12:09:31,531208,12.386083602905273
24,2021-09-02 02:09:22,531209,12.368202209472656
25,2021-09-02 02:09:38,531210,13.571977615356445
26,2021-09-02 04:09:12,531212,13.094186782836914
27,2021-09-02 04:09:16,531212,12.722015380859375
28,2021-09-02 04:09:39,531212,12.852191925048828
29,2021-09-02 05:09:21,531213,12.248039245605469
30,2021-09-02 06:09:51,531213,12.616872787475586
31,2021-09-03 01:09:46,531217,12.17794418334961
32,2021-09-03 02:09:52,531217,11.934041976928711
33,2021-09-03 12:09:16,531217,13.471126556396484
34,2021-09-03 07:09:32,531218,11.976003646850586
35,2021-09-03 09:09:11,531218,12.051105499267578
36,2021-09-03 09:09:24,531218,11.983871459960938
37,2021-09-03 10:09:23,531218,11.986017227172852
38,2021-09-03 01:09:20,531221,12.20393180847168
39,2021-09-03 01:09:49,531221,11.750936508178711
40,2021-09-03 03:09:26,531221,12.923955917358398
41,2021-09-03 12:09:32,531221,12.367963790893555
42,2021-09-03 02:09:41,531223,13.013839721679688
43,2021-09-03 07:09:58,531230,12.217998504638672
44,2021-09-03 08:09:10,531230,11.963844299316406
45,2021-09-03 11:09:24,531234,12.675046920776367
46,2021-09-04 01:09:05,531234,12.197017669677734
47,2021-09-05 05:09:09,531234,15.582084655761719
48,2021-09-05 06:09:40,531234,12.540817260742188
49,2021-09-05 08:09:41,531234,12.434959411621094
50,2021-09-06 07:09:31,531234,12.295961380004883
51,2021-09-06 08:09:24,531236,12.663125991821289
52,2021-09-06 08:09:35,531236,12.318849563598633
53,2021-09-06 11:09:34,531237,12.82811164855957
54,2021-09-06 11:09:41,531238,12.85099983215332
55,2021-09-06 01:09:41,531239,12.154102325439453
56,2021-09-06 03:09:18,531240,12.835979461669922
57,2021-09-06 04:09:23,531240,14.503002166748047
58,2021-09-06 04:09:51,531240,12.314081192016602
59,2021-09-06 05:09:03,531244,222.2299575805664
60,2021-09-06 06:09:14,531244,12.842893600463867
61,2021-09-06 07:09:16,531244,13.068914413452148
62,2021-09-06 08:09:21,531244,12.457132339477539
63,2021-09-06 08:09:43,531244,13.05699348449707
64,2021-09-06 11:09:30,531246,13.196945190429688
65,2021-09-07 12:09:00,531246,11.920928955078125
66,2021-09-07 06:09:01,531247,12.629985809326172
67,2021-09-07 06:09:26,531247,12.267112731933594
68,2021-09-07 07:09:10,531247,13.123035430908203
69,2021-09-07 07:09:30,531247,17.91691780090332
70,2021-09-07 08:09:18,531247,12.637138366699219
71,2021-09-07 09:09:41,531247,13.11802864074707
72,2021-09-07 09:09:58,531247,12.011051177978516
73,2021-09-07 10:09:46,531247,12.710809707641602
74,2021-09-07 10:09:48,531248,11.818170547485352
75,2021-09-07 01:09:46,531249,12.398958206176758
76,2021-09-07 12:09:17,531249,17.956018447875977
77,2021-09-07 12:09:27,531249,12.002944946289062
78,2021-09-07 01:09:25,531250,12.315034866333008
79,2021-09-07 01:09:26,531250,12.653112411499023
80,2021-09-07 03:09:21,531251,11.970043182373047
81,2021-09-07 03:09:26,531252,11.883020401000977
82,2021-09-07 03:09:36,531252,12.282133102416992
83,2021-09-07 07:09:54,531257,12.20393180847168
84,2021-09-07 08:09:06,531257,12.141227722167969
85,2021-09-07 10:09:11,531258,12.353181838989258
86,2021-09-07 10:09:47,531258,12.710809707641602
87,2021-09-07 11:09:48,531258,12.515068054199219
88,2021-09-07 11:09:55,531258,11.729001998901367
89,2021-09-08 12:09:30,531259,11.837959289550781
90,2021-09-08 06:09:10,531260,12.300968170166016
91,2021-09-08 06:09:26,531260,12.981891632080078
92,2021-09-08 06:09:55,531260,12.66789436340332
93,2021-09-08 01:09:26,531264,12.387990951538086
94,2021-09-08 01:09:30,531264,13.094902038574219
95,2021-09-08 01:09:49,531264,12.585878372192383
96,2021-09-08 01:09:58,531264,12.52603530883789
97,2021-09-08 04:09:06,531267,12.146949768066406
98,2021-09-08 04:09:37,531267,13.150930404663086
99,2021-09-08 05:09:41,531267,12.675046920776367
100,2021-09-08 10:09:31,531267,12.237071990966797
101,2021-09-08 11:09:08,531269,116.09482765197754
102,2021-09-08 11:09:11,531269,12.185811996459961
103,2021-09-08 11:09:19,531269,12.480020523071289
104,2021-09-08 11:09:54,531269,12.304067611694336
105,2021-09-09 12:09:19,531269,11.27004623413086
106,2021-09-09 12:09:19,531269,12.139081954956055
107,2021-09-09 02:09:16,531270,12.363910675048828
108,2021-09-09 06:09:18,531270,12.334823608398438
109,2021-09-09 10:09:32,531270,11.64102554321289
110,2021-09-09 11:09:26,531270,11.980056762695312
111,2021-09-09 11:09:29,531270,11.909008026123047
112,2021-09-09 11:09:30,531270,12.636899948120117
113,2021-09-09 01:09:47,531271,13.273000717163086
114,2021-09-09 01:09:15,531272,12.315034866333008
115,2021-09-09 02:09:07,531272,12.651920318603516
116,2021-09-09 02:09:35,531272,12.547969818115234
117,2021-09-09 04:09:14,531274,12.810945510864258
118,2021-09-09 05:09:19,531275,12.276887893676758
119,2021-09-09 05:09:42,531276,13.256072998046875
120,2021-09-09 06:09:51,531276,12.299060821533203
121,2021-09-09 07:09:07,531278,12.012958526611328
122,2021-09-09 08:09:16,531279,12.79902458190918
123,2021-09-09 08:09:05,531280,12.418985366821289
124,2021-09-09 08:09:47,531280,12.468099594116211
125,2021-09-09 11:09:18,531284,12.273073196411133
126,2021-09-10 01:09:52,531285,11.892080307006836
127,2021-09-10 02:09:01,531285,11.739969253540039
128,2021-09-10 01:09:27,531286,12.041091918945312
129,2021-09-10 01:09:51,531286,12.230157852172852
130,2021-09-10 02:09:30,531286,13.17596435546875
131,2021-09-10 03:09:17,531286,13.144969940185547
132,2021-09-10 03:09:33,531286,11.983156204223633
133,2021-09-10 03:09:40,531286,12.315988540649414
134,2021-09-10 03:09:44,531286,15.172958374023438
135,2021-09-10 04:09:19,531286,12.499094009399414
136,2021-09-10 05:09:12,531286,12.192010879516602
137,2021-09-10 05:09:13,531286,11.695146560668945
138,2021-09-10 05:09:58,531286,12.643098831176758
139,2021-09-10 06:09:02,531286,12.130022048950195
140,2021-09-10 06:09:49,531286,14.028072357177734
141,2021-09-10 07:09:51,531286,12.03298568725586
142,2021-09-10 07:09:54,531286,11.955976486206055
143,2021-09-10 10:09:08,531286,12.325048446655273
144,2021-09-10 10:09:52,531286,11.526107788085938
145,2021-09-10 05:09:08,531287,12.646198272705078
146,2021-09-10 05:09:42,531287,12.454986572265625
147,2021-09-10 07:09:36,531289,11.744022369384766
148,2021-09-13 04:09:08,531291,12.230873107910156
149,2021-09-11 12:09:20,531293,11.912822723388672
150,2021-09-11 12:09:24,531294,12.44807243347168
151,2021-09-11 01:09:38,531295,13.389110565185547
152,2021-09-11 02:09:23,531298,12.35198974609375
153,2021-09-11 04:09:19,531299,13.020038604736328
154,2021-09-11 05:09:13,531299,11.65318489074707
155,2021-09-11 08:09:00,531299,14.280080795288086
156,2021-09-12 03:09:46,531300,12.605905532836914
157,2021-09-12 06:09:04,531300,12.709856033325195
158,2021-09-13 05:09:40,531300,13.06009292602539
159,2021-09-13 01:09:53,531301,12.574195861816406
160,2021-09-13 07:09:32,531301,11.774063110351562
161,2021-09-13 11:09:36,531301,12.445926666259766
162,2021-09-13 11:09:48,531301,12.290000915527344
163,2021-09-14 04:09:53,531306,13.659954071044922
164,2021-09-14 05:09:50,531307,12.007951736450195
165,2021-09-14 06:09:10,531307,12.157917022705078
166,2021-09-14 08:09:30,531307,12.634992599487305
167,2021-09-14 08:09:40,531307,110.52489280700684
168,2021-09-14 09:09:35,531307,12.612104415893555
169,2021-09-14 10:09:50,531307,12.609004974365234
170,2021-09-14 10:09:53,531308,12.371063232421875
171,2021-09-14 11:09:15,531311,12.253046035766602
172,2021-09-15 12:09:25,531313,12.769937515258789
173,2021-09-15 03:09:34,531318,12.23897933959961
174,2021-09-15 04:09:05,531319,12.218952178955078
175,2021-09-15 08:09:00,531320,11.976003646850586
176,2021-09-15 02:09:47,531321,12.633800506591797
177,2021-09-15 03:09:09,531321,12.263059616088867
178,2021-09-15 03:09:22,531321,12.215137481689453
179,2021-09-15 03:09:27,531321,12.887001037597656
180,2021-09-15 03:09:29,531321,12.21609115600586
181,2021-09-15 03:09:51,531321,11.893033981323242
182,2021-09-15 04:09:05,531321,11.893987655639648
183,2021-09-15 04:09:25,531321,16.312122344970703
184,2021-09-15 04:09:34,531321,12.185096740722656
185,2021-09-15 04:09:35,531321,13.437032699584961
186,2021-09-15 04:09:56,531321,12.392997741699219
187,2021-09-15 06:09:55,531321,12.768030166625977
188,2021-09-15 07:09:05,531321,12.36581802368164
189,2021-09-15 07:09:31,531321,12.853860855102539
190,2021-09-15 08:09:30,531321,13.116836547851562
191,2021-09-15 11:09:59,531321,11.211872100830078
192,2021-09-15 07:09:08,531323,12.794017791748047
193,2021-09-15 07:09:46,531323,12.453079223632812
194,2021-09-15 08:09:22,531323,14.337778091430664
195,2021-09-15 08:09:24,531323,12.644052505493164
196,2021-09-15 09:09:21,531323,12.309074401855469
197,2021-09-15 09:09:26,531323,12.804031372070312
198,2021-09-16 01:09:54,531324,13.132095336914062
199,2021-09-16 01:09:04,531325,12.024879455566406
200,2021-09-15 11:09:02,531326,12.642145156860352
201,2021-09-16 03:09:18,531329,12.495994567871094
202,2021-09-16 03:09:49,531330,11.755943298339844
203,2021-09-16 06:09:59,531333,12.090921401977539
204,2021-09-16 07:09:08,531334,110.7940673828125
205,2021-09-16 07:09:56,531334,12.187004089355469
206,2021-09-16 08:09:55,531334,12.367010116577148
207,2021-09-16 10:09:31,531334,12.489795684814453
208,2021-09-16 09:09:14,531335,12.703895568847656
209,2021-09-16 09:09:23,531335,11.642932891845703
210,2021-09-16 01:09:06,531336,12.06207275390625
211,2021-09-16 01:09:26,531336,12.440919876098633
212,2021-09-16 01:09:58,531336,14.210939407348633
213,2021-09-16 04:09:18,531336,12.121915817260742
214,2021-09-16 10:09:08,531336,12.617111206054688
215,2021-09-16 10:09:19,531336,12.318849563598633
216,2021-09-16 06:09:40,531337,12.660980224609375
217,2021-09-16 06:09:43,531337,12.239933013916016
218,2021-09-16 06:09:56,531337,16.02005958557129
219,2021-09-16 07:09:35,531337,12.19487190246582
220,2021-09-16 07:09:37,531337,12.330055236816406
221,2021-09-16 09:09:34,531337,12.228012084960938
222,2021-09-16 10:09:22,531337,12.189149856567383
223,2021-09-16 09:09:48,531340,13.345003128051758
224,2021-09-16 09:09:00,531341,12.993812561035156
225,2021-09-16 11:09:45,531341,11.934041976928711
226,2021-09-16 11:09:07,531344,11.322021484375
227,2021-09-16 11:09:11,531345,12.073993682861328
228,2021-09-16 11:09:47,531345,12.09115982055664
229,2021-09-17 01:09:03,531346,12.44497299194336
230,2021-09-17 12:09:06,531346,11.893987655639648
231,2021-09-17 12:09:54,531346,12.641191482543945
232,2021-09-17 06:09:22,531349,12.296915054321289
233,2021-09-17 06:09:32,531349,13.831853866577148
234,2021-09-17 01:09:07,531350,12.151956558227539
235,2021-09-17 01:09:18,531350,11.855125427246094
236,2021-09-17 01:09:22,531350,12.238025665283203
237,2021-09-17 02:09:43,531350,14.508962631225586
238,2021-09-17 03:09:45,531350,12.349128723144531
239,2021-09-17 05:09:06,531350,12.378931045532227
240,2021-09-17 05:09:29,531350,12.739896774291992
241,2021-09-17 12:09:41,531350,11.854887008666992
242,2021-09-17 06:09:48,531351,12.07590103149414
