index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:25,531193,0.0
2,2021-09-01 06:09:33,531193,0.0
3,2021-09-01 06:09:55,531193,0.0
4,2021-09-01 07:09:10,531193,0.0
5,2021-09-01 07:09:31,531193,0.0
6,2021-09-01 07:09:54,531193,0.0
7,2021-09-01 08:09:23,531193,0.0
8,2021-09-01 08:09:57,531193,0.0
9,2021-09-01 08:09:23,531194,0.0
10,2021-09-01 11:09:30,531195,0.0
11,2021-09-01 03:09:03,531197,0.0
12,2021-09-01 03:09:25,531197,0.0
13,2021-09-01 04:09:34,531199,0.0
14,2021-09-01 05:09:36,531199,0.0
15,2021-09-01 09:09:59,531204,0.0
16,2021-09-01 11:09:32,531205,0.0
17,2021-09-02 06:09:49,531206,0.0
18,2021-09-02 06:09:52,531206,0.0
19,2021-09-02 07:09:25,531206,0.0
20,2021-09-02 09:09:14,531206,0.0
21,2021-09-02 02:09:45,531208,0.0
22,2021-09-02 10:09:12,531208,0.0
23,2021-09-02 10:09:24,531208,0.0
24,2021-09-02 12:09:44,531208,0.0
25,2021-09-02 02:09:34,531209,0.0
26,2021-09-02 03:09:21,531210,0.0
27,2021-09-02 04:09:43,531212,0.0
28,2021-09-02 05:09:10,531212,0.0
29,2021-09-02 05:09:48,531212,0.0
30,2021-09-02 06:09:56,531213,0.0
31,2021-09-02 07:09:33,531213,0.0
32,2021-09-03 01:09:05,531217,0.0
33,2021-09-03 02:09:41,531217,0.0
34,2021-09-03 12:09:21,531217,0.0
35,2021-09-03 07:09:39,531218,0.0
36,2021-09-03 10:09:07,531218,0.0
37,2021-09-03 10:09:13,531218,0.0
38,2021-09-03 10:09:31,531218,0.0
39,2021-09-03 01:09:10,531221,0.0
40,2021-09-03 01:09:10,531221,0.0
41,2021-09-03 01:09:10,531221,0.0
42,2021-09-03 03:09:39,531221,0.0
43,2021-09-03 03:09:52,531223,0.0
44,2021-09-03 08:09:24,531230,0.0
45,2021-09-03 09:09:01,531230,0.0
46,2021-09-03 11:09:41,531234,0.0
47,2021-09-04 02:09:06,531234,0.0
48,2021-09-05 06:09:10,531234,0.0
49,2021-09-05 08:09:17,531234,0.0
50,2021-09-06 08:09:32,531234,0.0
51,2021-09-06 08:09:28,531236,0.0
52,2021-09-06 09:09:22,531236,0.0
53,2021-09-06 11:09:45,531237,0.0
54,2021-09-06 12:09:23,531238,0.0
55,2021-09-06 02:09:18,531239,0.0
56,2021-09-06 04:09:23,531240,0.0
57,2021-09-06 04:09:33,531240,0.0
58,2021-09-06 04:09:53,531240,0.0
59,2021-09-06 06:09:14,531244,0.0
60,2021-09-06 08:09:12,531244,0.0
61,2021-09-06 08:09:57,531244,0.0
62,2021-09-06 09:09:32,531244,0.0
63,2021-09-06 11:09:52,531246,0.0
64,2021-09-07 12:09:28,531246,0.0
65,2021-09-07 06:09:16,531247,0.0
66,2021-09-07 07:09:20,531247,0.0
67,2021-09-07 07:09:26,531247,0.0
68,2021-09-07 07:09:47,531247,0.0
69,2021-09-07 09:09:11,531247,0.0
70,2021-09-07 09:09:49,531247,0.0
71,2021-09-07 10:09:20,531247,0.0
72,2021-09-07 10:09:50,531248,0.0
73,2021-09-07 01:09:47,531249,0.0
74,2021-09-07 12:09:36,531249,0.0
75,2021-09-07 01:09:09,531250,0.0
76,2021-09-07 01:09:26,531250,0.0
77,2021-09-07 03:09:27,531251,0.0
78,2021-09-07 03:09:31,531252,0.0
79,2021-09-07 04:09:25,531252,0.0
80,2021-09-07 08:09:02,531257,0.0
81,2021-09-07 09:09:11,531257,0.0
82,2021-09-07 10:09:37,531258,0.0
83,2021-09-07 11:09:04,531258,0.0
84,2021-09-07 11:09:33,531258,0.0
85,2021-09-07 11:09:37,531258,0.0
86,2021-09-08 12:09:44,531258,0.0
87,2021-09-08 12:09:13,531259,0.0
88,2021-09-08 06:09:53,531260,0.0
89,2021-09-08 06:09:58,531260,0.0
90,2021-09-08 07:09:47,531260,0.0
91,2021-09-08 01:09:15,531264,0.0
92,2021-09-08 02:09:02,531264,0.0
93,2021-09-08 02:09:07,531264,0.0
94,2021-09-08 02:09:49,531264,0.0
95,2021-09-08 05:09:10,531267,0.0
96,2021-09-08 05:09:24,531267,0.0
97,2021-09-08 05:09:59,531267,0.0
