index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:10,531193,320.0
2,2021-09-01 05:09:07,531193,344.0
3,2021-09-01 06:09:02,531193,333.0
4,2021-09-01 06:09:15,531193,332.0
5,2021-09-01 06:09:51,531193,341.0
6,2021-09-01 07:09:16,531193,346.0
7,2021-09-01 08:09:38,531194,325.0
8,2021-09-01 10:09:51,531195,335.0
9,2021-09-01 02:09:37,531197,326.0
10,2021-09-01 02:09:38,531197,326.0
11,2021-09-01 03:09:59,531199,345.0
12,2021-09-01 04:09:39,531199,345.0
13,2021-09-01 08:09:07,531204,326.0
14,2021-09-01 11:09:50,531205,331.0
15,2021-09-02 12:09:22,531205,335.0
16,2021-09-02 05:09:36,531206,339.0
17,2021-09-02 06:09:10,531206,348.0
18,2021-09-02 06:09:46,531206,331.0
19,2021-09-02 08:09:27,531206,342.0
20,2021-09-02 01:09:57,531208,350.0
21,2021-09-02 02:09:58,531208,335.0
22,2021-09-02 09:09:27,531208,347.0
23,2021-09-02 10:09:03,531208,329.0
24,2021-09-02 12:09:14,531208,341.0
25,2021-09-02 01:09:29,531209,346.0
26,2021-09-02 02:09:51,531210,348.0
27,2021-09-02 04:09:17,531212,344.0
28,2021-09-02 04:09:27,531212,340.0
29,2021-09-02 04:09:59,531212,331.0
30,2021-09-02 05:09:07,531213,338.0
31,2021-09-02 06:09:45,531213,327.0
32,2021-09-02 11:09:53,531217,344.0
33,2021-09-03 01:09:50,531217,343.0
34,2021-09-03 02:09:56,531217,340.0
35,2021-09-03 06:09:12,531218,350.0
36,2021-09-03 07:09:39,531218,332.0
37,2021-09-03 09:09:46,531218,335.0
38,2021-09-03 09:09:50,531218,346.0
39,2021-09-03 09:09:52,531218,326.0
40,2021-09-03 01:09:46,531221,328.0
41,2021-09-03 02:09:40,531221,350.0
42,2021-09-03 03:09:44,531221,337.0
43,2021-09-03 12:09:13,531221,327.0
44,2021-09-03 12:09:35,531221,367.0
45,2021-09-03 12:09:43,531221,339.0
46,2021-09-03 02:09:32,531223,338.0
47,2021-09-03 07:09:22,531230,332.0
48,2021-09-03 08:09:31,531230,329.0
49,2021-09-03 08:09:34,531230,333.0
50,2021-09-03 09:09:27,531230,336.0
51,2021-09-03 10:09:28,531234,336.0
52,2021-09-04 01:09:30,531234,330.0
53,2021-09-05 05:09:27,531234,333.0
54,2021-09-05 07:09:52,531234,335.0
55,2021-09-06 07:09:04,531234,336.0
56,2021-09-06 07:09:02,531236,330.0
57,2021-09-06 08:09:25,531236,326.0
58,2021-09-06 10:09:38,531237,334.0
59,2021-09-06 11:09:07,531238,339.0
60,2021-09-06 01:09:13,531239,327.0
61,2021-09-06 03:09:08,531240,332.0
62,2021-09-06 03:09:24,531240,328.0
63,2021-09-06 03:09:48,531240,337.0
64,2021-09-06 05:09:53,531244,338.0
65,2021-09-06 07:09:34,531244,338.0
66,2021-09-06 07:09:57,531244,335.0
67,2021-09-06 08:09:11,531244,336.0
68,2021-09-06 11:09:40,531246,328.0
69,2021-09-06 11:09:42,531246,338.0
70,2021-09-07 12:09:32,531246,337.0
71,2021-09-07 06:09:06,531247,335.0
72,2021-09-07 06:09:54,531247,332.0
73,2021-09-07 06:09:58,531247,329.0
74,2021-09-07 07:09:43,531247,336.0
75,2021-09-07 08:09:16,531247,336.0
76,2021-09-07 09:09:38,531247,346.0
77,2021-09-07 09:09:44,531247,345.0
78,2021-09-07 09:09:51,531247,324.0
79,2021-09-07 09:09:53,531248,329.0
80,2021-09-07 11:09:31,531249,337.0
81,2021-09-07 12:09:15,531249,341.0
82,2021-09-07 01:09:57,531250,328.0
83,2021-09-07 12:09:06,531250,323.0
84,2021-09-07 02:09:13,531251,332.0
85,2021-09-07 02:09:02,531252,328.0
86,2021-09-07 03:09:07,531252,330.0
87,2021-09-07 07:09:53,531257,325.0
88,2021-09-07 08:09:08,531257,337.0
89,2021-09-07 10:09:35,531258,343.0
90,2021-09-07 10:09:56,531258,337.0
91,2021-09-07 11:09:37,531258,324.0
92,2021-09-07 11:09:50,531258,332.0
93,2021-09-07 11:09:58,531258,332.0
94,2021-09-08 12:09:00,531259,334.0
95,2021-09-08 05:09:09,531260,327.0
96,2021-09-08 05:09:54,531260,337.0
97,2021-09-08 06:09:25,531260,328.0
98,2021-09-08 01:09:13,531264,337.0
99,2021-09-08 01:09:56,531264,332.0
100,2021-09-08 01:09:59,531264,351.0
101,2021-09-08 02:09:55,531264,329.0
102,2021-09-08 12:09:08,531264,332.0
103,2021-09-08 04:09:20,531267,325.0
104,2021-09-08 04:09:31,531267,334.0
105,2021-09-08 04:09:58,531267,332.0
106,2021-09-08 09:09:33,531267,332.0
107,2021-09-08 10:09:39,531269,336.0
108,2021-09-08 10:09:39,531269,334.0
109,2021-09-08 11:09:06,531269,329.0
110,2021-09-08 11:09:30,531269,329.0
111,2021-09-08 11:09:41,531269,327.0
112,2021-09-09 02:09:46,531270,326.0
113,2021-09-09 05:09:07,531270,329.0
114,2021-09-09 09:09:37,531270,331.0
115,2021-09-09 10:09:52,531270,374.0
116,2021-09-09 11:09:03,531270,330.0
117,2021-09-09 11:09:41,531270,331.0
118,2021-09-09 11:09:51,531270,337.0
119,2021-09-09 01:09:52,531271,334.0
120,2021-09-09 01:09:26,531272,337.0
121,2021-09-09 01:09:38,531272,334.0
122,2021-09-09 02:09:54,531272,340.0
123,2021-09-09 04:09:41,531274,331.0
124,2021-09-09 05:09:06,531275,336.0
125,2021-09-09 05:09:08,531276,327.0
126,2021-09-09 05:09:38,531276,342.0
127,2021-09-09 07:09:49,531278,335.0
128,2021-09-09 08:09:41,531279,328.0
129,2021-09-09 08:09:28,531280,336.0
130,2021-09-09 08:09:43,531280,329.0
131,2021-09-09 11:09:00,531284,344.0
132,2021-09-10 02:09:22,531285,332.0
133,2021-09-10 02:09:47,531285,327.0
134,2021-09-10 01:09:21,531286,333.0
135,2021-09-10 01:09:57,531286,330.0
136,2021-09-10 01:09:57,531286,333.0
137,2021-09-10 02:09:36,531286,331.0
138,2021-09-10 02:09:48,531286,331.0
139,2021-09-10 03:09:07,531286,337.0
140,2021-09-10 03:09:43,531286,338.0
141,2021-09-10 04:09:17,531286,337.0
142,2021-09-10 05:09:10,531286,332.0
143,2021-09-10 05:09:35,531286,337.0
144,2021-09-10 05:09:43,531286,326.0
145,2021-09-10 06:09:00,531286,332.0
146,2021-09-10 06:09:48,531286,330.0
147,2021-09-10 07:09:00,531286,326.0
148,2021-09-10 07:09:44,531286,331.0
149,2021-09-10 10:09:00,531286,333.0
150,2021-09-10 10:09:26,531286,326.0
151,2021-09-10 05:09:10,531287,329.0
152,2021-09-10 05:09:25,531287,325.0
153,2021-09-10 07:09:24,531289,326.0
154,2021-09-13 04:09:11,531291,330.0
155,2021-09-11 12:09:31,531293,335.0
156,2021-09-11 12:09:27,531294,334.0
157,2021-09-11 01:09:04,531295,344.0
158,2021-09-11 02:09:54,531298,335.0
159,2021-09-11 03:09:10,531299,333.0
160,2021-09-11 05:09:47,531299,323.0
161,2021-09-11 07:09:55,531299,348.0
162,2021-09-12 02:09:14,531300,335.0
163,2021-09-12 05:09:58,531300,331.0
164,2021-09-13 05:09:03,531300,335.0
165,2021-09-13 06:09:11,531301,333.0
166,2021-09-13 10:09:41,531301,339.0
167,2021-09-13 10:09:48,531301,329.0
168,2021-09-13 12:09:55,531301,331.0
169,2021-09-14 12:09:11,531301,337.0
170,2021-09-14 04:09:25,531306,334.0
171,2021-09-14 04:09:45,531307,335.0
172,2021-09-14 06:09:28,531307,326.0
173,2021-09-14 08:09:01,531307,332.0
174,2021-09-14 08:09:44,531307,327.0
175,2021-09-14 09:09:26,531307,330.0
176,2021-09-14 10:09:49,531308,324.0
177,2021-09-14 11:09:25,531311,319.0
178,2021-09-15 01:09:43,531313,347.0
179,2021-09-15 12:09:04,531313,351.0
180,2021-09-15 02:09:02,531318,351.0
181,2021-09-15 04:09:17,531318,330.0
182,2021-09-15 04:09:35,531319,344.0
183,2021-09-15 08:09:44,531320,330.0
184,2021-09-15 01:09:07,531321,347.0
185,2021-09-15 02:09:00,531321,344.0
186,2021-09-15 02:09:22,531321,347.0
187,2021-09-15 03:09:33,531321,324.0
188,2021-09-15 03:09:39,531321,330.0
189,2021-09-15 03:09:46,531321,341.0
190,2021-09-15 03:09:48,531321,338.0
191,2021-09-15 04:09:07,531321,344.0
192,2021-09-15 04:09:13,531321,340.0
