index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:31,531193,1.05
2,2021-09-01 05:09:50,531193,1.0
3,2021-09-01 06:09:03,531193,0.99
4,2021-09-01 06:09:09,531193,1.04
5,2021-09-01 07:09:59,531193,0.93
6,2021-09-01 08:09:32,531193,0.99
7,2021-09-01 08:09:46,531193,0.95
8,2021-09-01 08:09:12,531194,0.98
9,2021-09-01 11:09:59,531195,1.04
10,2021-09-01 02:09:18,531197,1.0
11,2021-09-01 02:09:46,531197,1.09
12,2021-09-01 04:09:01,531199,1.07
13,2021-09-01 04:09:15,531199,1.04
14,2021-09-01 05:09:27,531199,1.06
15,2021-09-01 09:09:31,531204,1.08
16,2021-09-01 11:09:29,531205,1.04
17,2021-09-02 06:09:38,531206,0.97
18,2021-09-02 06:09:48,531206,1.0
19,2021-09-02 07:09:29,531206,1.07
20,2021-09-02 08:09:20,531206,0.97
21,2021-09-02 01:09:16,531208,1.02
22,2021-09-02 02:09:21,531208,0.99
23,2021-09-02 09:09:03,531208,0.97
24,2021-09-02 10:09:04,531208,1.0
25,2021-09-02 12:09:32,531208,1.0
26,2021-09-02 02:09:23,531209,1.05
27,2021-09-02 02:09:26,531210,0.96
28,2021-09-02 04:09:03,531212,1.03
29,2021-09-02 04:09:17,531212,1.02
30,2021-09-02 04:09:31,531212,1.05
31,2021-09-02 05:09:19,531213,1.03
32,2021-09-02 06:09:51,531213,0.98
33,2021-09-03 01:09:44,531217,1.08
34,2021-09-03 01:09:59,531217,1.04
35,2021-09-03 02:09:07,531217,1.05
36,2021-09-03 02:09:49,531217,1.0
37,2021-09-03 12:09:08,531217,0.99
38,2021-09-03 07:09:30,531218,1.0
39,2021-09-03 09:09:09,531218,1.0
40,2021-09-03 09:09:26,531218,1.03
41,2021-09-03 10:09:16,531218,0.99
42,2021-09-03 01:09:18,531221,0.98
43,2021-09-03 01:09:48,531221,0.96
44,2021-09-03 03:09:27,531221,0.98
45,2021-09-03 12:09:26,531221,0.98
46,2021-09-03 02:09:35,531223,1.02
47,2021-09-03 07:09:59,531230,0.98
48,2021-09-03 08:09:01,531230,0.99
49,2021-09-03 11:09:23,531234,1.04
50,2021-09-04 01:09:06,531234,1.06
51,2021-09-05 05:09:03,531234,0.98
52,2021-09-05 08:09:43,531234,1.01
53,2021-09-06 07:09:32,531234,0.98
54,2021-09-06 08:09:37,531234,1.0
55,2021-09-06 08:09:24,531236,0.98
56,2021-09-06 08:09:28,531236,0.98
57,2021-09-06 09:09:44,531236,1.0
58,2021-09-06 11:09:34,531237,1.03
59,2021-09-06 11:09:41,531238,1.06
60,2021-09-06 12:09:03,531238,0.99
61,2021-09-06 01:09:42,531239,1.06
62,2021-09-06 02:09:29,531239,1.01
63,2021-09-06 03:09:19,531240,1.0
64,2021-09-06 04:09:23,531240,1.0
65,2021-09-06 04:09:51,531240,1.07
66,2021-09-06 05:09:04,531244,1.04
67,2021-09-06 07:09:16,531244,1.03
68,2021-09-06 08:09:19,531244,1.08
69,2021-09-06 08:09:43,531244,1.09
70,2021-09-06 11:09:29,531246,1.03
71,2021-09-06 11:09:58,531246,1.04
72,2021-09-07 12:09:17,531246,1.06
73,2021-09-07 06:09:27,531247,1.01
74,2021-09-07 06:09:59,531247,1.05
75,2021-09-07 07:09:08,531247,0.99
76,2021-09-07 07:09:19,531247,1.0
77,2021-09-07 08:09:19,531247,0.96
78,2021-09-07 09:09:40,531247,1.02
79,2021-09-07 10:09:42,531247,1.05
80,2021-09-07 10:09:44,531248,1.0
81,2021-09-07 02:09:05,531249,1.0
82,2021-09-07 12:09:17,531249,0.96
83,2021-09-07 12:09:24,531249,1.04
84,2021-09-07 01:09:25,531250,1.07
85,2021-09-07 01:09:26,531250,1.09
86,2021-09-07 02:09:23,531250,1.05
87,2021-09-07 03:09:32,531250,1.01
88,2021-09-07 03:09:38,531250,0.98
89,2021-09-07 03:09:15,531251,1.01
90,2021-09-07 03:09:27,531252,1.05
91,2021-09-07 03:09:27,531252,1.06
92,2021-09-07 07:09:55,531257,1.04
93,2021-09-07 08:09:58,531257,1.07
94,2021-09-07 10:09:09,531258,0.94
95,2021-09-07 10:09:47,531258,1.02
96,2021-09-07 11:09:24,531258,1.02
97,2021-09-07 11:09:49,531258,1.01
98,2021-09-07 11:09:55,531258,1.0
99,2021-09-08 12:09:24,531259,1.03
100,2021-09-08 06:09:06,531260,0.99
101,2021-09-08 06:09:18,531260,0.94
102,2021-09-08 06:09:39,531260,0.95
103,2021-09-08 07:09:02,531260,1.01
104,2021-09-08 07:09:42,531260,0.98
105,2021-09-08 01:09:18,531264,1.09
106,2021-09-08 01:09:29,531264,0.97
107,2021-09-08 01:09:49,531264,1.01
108,2021-09-08 01:09:57,531264,1.0
109,2021-09-08 02:09:04,531264,1.01
110,2021-09-08 02:09:50,531264,0.95
111,2021-09-08 04:09:06,531267,1.0
112,2021-09-08 04:09:38,531267,1.07
113,2021-09-08 05:09:35,531267,1.01
114,2021-09-08 10:09:24,531267,0.99
115,2021-09-08 11:09:01,531269,1.05
116,2021-09-08 11:09:11,531269,1.07
117,2021-09-08 11:09:19,531269,1.01
118,2021-09-08 11:09:54,531269,1.04
119,2021-09-09 12:09:18,531269,0.99
120,2021-09-09 12:09:55,531269,1.02
121,2021-09-09 02:09:16,531270,1.03
122,2021-09-09 06:09:20,531270,1.03
123,2021-09-09 10:09:33,531270,1.04
124,2021-09-09 11:09:22,531270,0.97
125,2021-09-09 11:09:26,531270,0.97
126,2021-09-09 11:09:30,531270,1.01
127,2021-09-09 01:09:48,531271,1.0
128,2021-09-09 01:09:14,531272,0.99
129,2021-09-09 02:09:00,531272,1.04
130,2021-09-09 02:09:07,531272,1.0
131,2021-09-09 02:09:26,531272,1.0
132,2021-09-09 04:09:15,531274,1.03
133,2021-09-09 05:09:18,531275,0.95
134,2021-09-09 05:09:42,531276,0.98
135,2021-09-09 06:09:48,531276,1.05
136,2021-09-09 07:09:07,531278,1.0
137,2021-09-09 08:09:09,531279,1.04
138,2021-09-09 08:09:03,531280,1.02
139,2021-09-09 08:09:39,531280,1.0
140,2021-09-09 09:09:54,531280,1.04
141,2021-09-09 11:09:10,531284,1.01
142,2021-09-10 01:09:45,531285,1.04
143,2021-09-10 02:09:59,531285,1.08
144,2021-09-10 01:09:28,531286,1.0
145,2021-09-10 01:09:52,531286,1.06
146,2021-09-10 02:09:30,531286,1.05
147,2021-09-10 03:09:10,531286,1.09
148,2021-09-10 03:09:17,531286,0.98
149,2021-09-10 03:09:41,531286,1.02
150,2021-09-10 03:09:42,531286,1.03
151,2021-09-10 04:09:11,531286,1.01
152,2021-09-10 05:09:08,531286,1.01
153,2021-09-10 05:09:08,531286,0.92
154,2021-09-10 05:09:53,531286,1.08
155,2021-09-10 06:09:50,531286,1.02
156,2021-09-10 06:09:51,531286,1.02
157,2021-09-10 06:09:59,531286,1.05
158,2021-09-10 07:09:51,531286,1.02
159,2021-09-10 07:09:54,531286,1.04
160,2021-09-10 10:09:07,531286,1.03
161,2021-09-10 10:09:50,531286,1.02
162,2021-09-10 05:09:08,531287,1.03
163,2021-09-10 05:09:42,531287,0.95
164,2021-09-10 07:09:35,531289,0.99
165,2021-09-13 04:09:09,531291,1.08
166,2021-09-13 06:09:04,531291,1.06
167,2021-09-11 12:09:12,531293,1.02
168,2021-09-11 12:09:18,531294,0.98
169,2021-09-11 01:09:38,531295,0.98
170,2021-09-11 02:09:23,531298,1.03
171,2021-09-11 04:09:17,531299,1.01
172,2021-09-11 05:09:14,531299,1.0
173,2021-09-11 08:09:01,531299,1.0
174,2021-09-12 03:09:46,531300,1.05
175,2021-09-12 06:09:05,531300,0.95
176,2021-09-13 05:09:40,531300,1.05
177,2021-09-13 01:09:46,531301,1.01
178,2021-09-13 07:09:32,531301,1.05
179,2021-09-13 11:09:26,531301,1.0
180,2021-09-13 11:09:47,531301,1.03
181,2021-09-14 04:09:53,531306,1.03
182,2021-09-14 04:09:41,531307,1.01
183,2021-09-14 06:09:01,531307,0.98
184,2021-09-14 08:09:28,531307,1.0
185,2021-09-14 08:09:33,531307,1.11
186,2021-09-14 09:09:35,531307,1.05
187,2021-09-14 10:09:49,531307,1.07
188,2021-09-14 10:09:50,531307,1.0
189,2021-09-14 10:09:52,531308,1.02
190,2021-09-14 11:09:16,531311,1.05
191,2021-09-15 12:09:25,531313,1.06
192,2021-09-15 03:09:34,531318,0.99
193,2021-09-15 04:09:04,531319,1.02
194,2021-09-15 08:09:59,531320,1.03
195,2021-09-15 02:09:40,531321,1.11
196,2021-09-15 03:09:06,531321,1.0
197,2021-09-15 03:09:21,531321,0.98
198,2021-09-15 03:09:26,531321,1.05
199,2021-09-15 03:09:30,531321,1.01
200,2021-09-15 03:09:44,531321,1.02
201,2021-09-15 03:09:52,531321,1.03
202,2021-09-15 04:09:20,531321,1.02
203,2021-09-15 04:09:24,531321,1.03
204,2021-09-15 04:09:26,531321,1.06
205,2021-09-15 04:09:45,531321,1.01
206,2021-09-15 04:09:54,531321,1.02
207,2021-09-15 06:09:53,531321,1.02
208,2021-09-15 06:09:54,531321,0.96
209,2021-09-15 07:09:05,531321,0.98
210,2021-09-15 07:09:22,531321,1.08
211,2021-09-15 08:09:26,531321,1.04
212,2021-09-15 08:09:27,531321,1.0
213,2021-09-15 08:09:51,531321,1.02
214,2021-09-15 09:09:00,531321,1.0
215,2021-09-15 10:09:32,531321,1.02
216,2021-09-15 10:09:47,531321,0.95
217,2021-09-15 11:09:47,531321,1.03
218,2021-09-15 11:09:51,531321,0.96
219,2021-09-15 07:09:01,531323,1.01
220,2021-09-15 07:09:47,531323,1.04
221,2021-09-15 08:09:16,531323,0.97
222,2021-09-15 08:09:23,531323,1.02
223,2021-09-15 09:09:22,531323,1.01
224,2021-09-15 09:09:24,531323,1.02
225,2021-09-15 11:09:05,531323,1.05
226,2021-09-15 11:09:14,531323,0.97
227,2021-09-15 11:09:49,531323,0.97
228,2021-09-16 01:09:31,531323,0.94
229,2021-09-16 02:09:11,531323,1.0
230,2021-09-16 12:09:11,531323,0.99
231,2021-09-16 01:09:54,531324,1.04
232,2021-09-16 02:09:02,531324,1.06
233,2021-09-16 01:09:02,531325,0.94
234,2021-09-15 11:09:01,531326,1.0
235,2021-09-16 01:09:09,531326,1.0
236,2021-09-16 01:09:28,531326,1.03
237,2021-09-16 12:09:31,531326,1.0
238,2021-09-16 03:09:09,531329,1.04
239,2021-09-16 04:09:50,531329,1.06
240,2021-09-16 03:09:46,531330,1.01
241,2021-09-16 06:09:59,531333,1.08
242,2021-09-16 07:09:08,531334,0.95
243,2021-09-16 07:09:55,531334,0.97
244,2021-09-16 08:09:38,531334,0.97
245,2021-09-16 08:09:55,531334,1.05
246,2021-09-16 11:09:52,531334,1.03
247,2021-09-16 12:09:43,531334,1.0
248,2021-09-16 12:09:52,531334,1.0
249,2021-09-16 04:09:51,531335,0.98
250,2021-09-16 09:09:10,531335,1.03
251,2021-09-16 09:09:12,531335,0.99
252,2021-09-16 01:09:07,531336,0.96
253,2021-09-16 01:09:27,531336,1.02
254,2021-09-16 01:09:56,531336,1.1
255,2021-09-16 04:09:16,531336,1.02
256,2021-09-16 08:09:40,531336,1.09
257,2021-09-16 10:09:08,531336,1.06
258,2021-09-16 10:09:17,531336,1.04
259,2021-09-16 10:09:53,531336,1.04
260,2021-09-16 11:09:05,531336,1.03
261,2021-09-16 06:09:33,531337,1.05
262,2021-09-16 06:09:40,531337,1.01
263,2021-09-16 06:09:53,531337,1.02
264,2021-09-16 07:09:36,531337,1.0
265,2021-09-16 07:09:56,531337,1.07
266,2021-09-16 09:09:34,531337,1.06
267,2021-09-16 11:09:08,531337,1.02
268,2021-09-17 12:09:20,531337,1.02
269,2021-09-17 12:09:47,531337,1.08
270,2021-09-16 09:09:40,531340,0.96
271,2021-09-16 09:09:54,531341,0.99
272,2021-09-16 11:09:44,531341,1.04
273,2021-09-16 11:09:06,531344,1.06
274,2021-09-16 11:09:08,531345,1.07
275,2021-09-16 11:09:38,531345,0.99
276,2021-09-17 04:09:04,531345,1.01
277,2021-09-17 04:09:43,531345,0.95
278,2021-09-17 05:09:42,531345,0.98
279,2021-09-17 05:09:51,531345,0.97
280,2021-09-17 01:09:04,531346,0.99
281,2021-09-17 03:09:42,531346,1.01
282,2021-09-17 12:09:56,531346,0.99
283,2021-09-17 12:09:58,531346,1.03
284,2021-09-17 06:09:21,531349,1.01
285,2021-09-17 06:09:33,531349,1.03
286,2021-09-17 07:09:27,531349,1.01
287,2021-09-17 01:09:01,531350,1.05
288,2021-09-17 01:09:08,531350,1.02
289,2021-09-17 01:09:09,531350,1.04
290,2021-09-17 01:09:23,531350,1.02
291,2021-09-17 02:09:43,531350,1.07
292,2021-09-17 03:09:46,531350,1.05
293,2021-09-17 03:09:57,531350,1.07
294,2021-09-17 05:09:06,531350,1.02
295,2021-09-17 05:09:28,531350,0.98
296,2021-09-17 06:09:04,531350,1.05
297,2021-09-17 07:09:11,531350,0.94
298,2021-09-17 07:09:19,531350,0.99
299,2021-09-17 12:09:42,531350,1.0
