index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:10,531193,2730.0
2,2021-09-01 02:09:45,531193,2701.0
3,2021-09-01 06:09:00,531193,2790.0
4,2021-09-01 06:09:09,531193,2890.0
5,2021-09-01 06:09:44,531193,2940.0
6,2021-09-01 07:09:15,531193,2678.0
7,2021-09-01 07:09:16,531193,2830.0
8,2021-09-01 07:09:28,531193,2740.0
9,2021-09-01 07:09:38,531193,2779.0
10,2021-09-01 07:09:43,531193,2841.0
11,2021-09-01 08:09:33,531193,2930.0
12,2021-09-01 08:09:50,531193,2738.0
13,2021-09-01 08:09:56,531193,2900.0
14,2021-09-01 08:09:47,531194,2680.0
15,2021-09-01 11:09:47,531195,2879.0
16,2021-09-01 12:09:24,531195,2920.0
17,2021-09-01 02:09:05,531197,2841.0
18,2021-09-01 03:09:33,531197,2650.0
19,2021-09-01 03:09:51,531197,2668.0
20,2021-09-01 04:09:10,531197,2709.0
21,2021-09-01 04:09:05,531199,2849.0
22,2021-09-01 05:09:37,531199,2781.0
23,2021-09-01 05:09:37,531199,2900.0
24,2021-09-01 09:09:45,531204,2678.0
25,2021-09-01 10:09:15,531204,2880.0
26,2021-09-01 11:09:02,531205,2739.0
27,2021-09-02 12:09:34,531205,2830.0
28,2021-09-02 06:09:21,531206,2718.0
29,2021-09-02 06:09:24,531206,2730.0
30,2021-09-02 07:09:08,531206,2951.0
31,2021-09-02 07:09:08,531206,2900.0
32,2021-09-02 07:09:31,531206,2819.0
33,2021-09-02 08:09:39,531206,2699.0
34,2021-09-02 08:09:48,531206,2790.0
35,2021-09-02 09:09:15,531206,2930.0
36,2021-09-02 01:09:04,531208,2691.0
37,2021-09-02 01:09:14,531208,2861.0
38,2021-09-02 02:09:18,531208,2720.0
39,2021-09-02 09:09:31,531208,2690.0
40,2021-09-02 10:09:12,531208,2881.0
41,2021-09-02 10:09:24,531208,2660.0
42,2021-09-02 11:09:01,531208,3049.0
43,2021-09-02 11:09:24,531208,2890.0
44,2021-09-02 11:09:26,531208,2811.0
45,2021-09-02 12:09:06,531208,2641.0
46,2021-09-02 02:09:19,531209,2740.0
47,2021-09-02 03:09:58,531209,2870.0
48,2021-09-02 03:09:47,531210,2899.0
49,2021-09-02 04:09:52,531212,2889.0
50,2021-09-02 04:09:56,531212,2810.0
51,2021-09-02 05:09:27,531212,2739.0
52,2021-09-02 05:09:33,531212,2859.0
53,2021-09-02 05:09:36,531212,3030.0
54,2021-09-02 06:09:12,531212,2900.0
55,2021-09-02 06:09:53,531212,2741.0
56,2021-09-03 11:09:06,531212,2689.0
57,2021-09-03 11:09:14,531212,2750.0
58,2021-09-03 11:09:32,531212,2730.0
59,2021-09-03 11:09:55,531212,2789.0
60,2021-09-02 05:09:23,531213,3080.0
61,2021-09-02 06:09:02,531213,2871.0
62,2021-09-02 06:09:05,531213,2680.0
63,2021-09-03 01:09:33,531217,2771.0
64,2021-09-03 01:09:45,531217,2820.0
65,2021-09-03 02:09:09,531217,2820.0
66,2021-09-03 02:09:44,531217,2849.0
67,2021-09-03 03:09:41,531217,2730.0
68,2021-09-03 12:09:04,531217,2810.0
69,2021-09-03 07:09:14,531218,2740.0
70,2021-09-03 08:09:37,531218,2831.0
71,2021-09-03 09:09:09,531218,2720.0
72,2021-09-03 10:09:03,531218,2870.0
73,2021-09-03 10:09:18,531218,2840.0
74,2021-09-03 10:09:40,531218,2761.0
75,2021-09-03 11:09:02,531218,2760.0
76,2021-09-03 01:09:10,531221,2769.0
77,2021-09-03 01:09:21,531221,2919.0
78,2021-09-03 01:09:46,531221,2780.0
79,2021-09-03 01:09:54,531221,2750.0
80,2021-09-03 02:09:49,531221,2861.0
81,2021-09-03 03:09:15,531221,2649.0
82,2021-09-03 04:09:32,531221,2861.0
83,2021-09-03 12:09:55,531221,2870.0
84,2021-09-03 02:09:15,531223,2861.0
85,2021-09-03 03:09:38,531223,2760.0
86,2021-09-03 07:09:12,531230,2919.0
87,2021-09-03 08:09:01,531230,2960.0
88,2021-09-03 08:09:15,531230,2820.0
89,2021-09-03 09:09:29,531230,3040.0
90,2021-09-03 11:09:12,531234,2841.0
91,2021-09-04 01:09:52,531234,2759.0
92,2021-09-04 02:09:46,531234,2890.0
93,2021-09-04 12:09:55,531234,2860.0
94,2021-09-05 05:09:44,531234,2801.0
95,2021-09-05 06:09:24,531234,2739.0
96,2021-09-05 07:09:06,531234,2709.0
97,2021-09-05 07:09:16,531234,2770.0
98,2021-09-05 08:09:41,531234,2729.0
99,2021-09-05 09:09:51,531234,2819.0
100,2021-09-06 07:09:48,531234,2811.0
101,2021-09-06 08:09:52,531234,2910.0
102,2021-09-06 09:09:08,531234,2730.0
103,2021-09-06 09:09:21,531234,2761.0
104,2021-09-06 08:09:35,531236,2769.0
105,2021-09-06 08:09:42,531236,2871.0
106,2021-09-06 09:09:35,531236,2821.0
107,2021-09-06 09:09:41,531236,2709.0
108,2021-09-06 11:09:29,531237,2921.0
109,2021-09-06 01:09:58,531238,2890.0
110,2021-09-06 12:09:58,531238,2781.0
111,2021-09-06 01:09:03,531239,2759.0
112,2021-09-06 02:09:00,531239,2850.0
113,2021-09-06 03:09:15,531240,2950.0
114,2021-09-06 03:09:18,531240,2669.0
115,2021-09-06 04:09:34,531240,2670.0
116,2021-09-06 04:09:37,531240,2630.0
117,2021-09-06 05:09:35,531240,2710.0
118,2021-09-06 05:09:49,531240,2811.0
119,2021-09-06 06:09:21,531240,2670.0
120,2021-09-06 05:09:18,531244,2750.0
121,2021-09-06 06:09:51,531244,2790.0
122,2021-09-06 07:09:00,531244,2661.0
123,2021-09-06 08:09:07,531244,2740.0
124,2021-09-06 08:09:20,531244,2691.0
125,2021-09-06 08:09:42,531244,2599.0
126,2021-09-06 09:09:17,531244,3010.0
127,2021-09-06 09:09:40,531244,2809.0
128,2021-09-06 11:09:06,531246,2760.0
129,2021-09-07 01:09:14,531246,2660.0
130,2021-09-07 12:09:01,531246,2740.0
131,2021-09-07 12:09:19,531246,2759.0
132,2021-09-07 06:09:30,531247,2761.0
133,2021-09-07 06:09:40,531247,2791.0
134,2021-09-07 06:09:53,531247,2800.0
135,2021-09-07 07:09:08,531247,2681.0
136,2021-09-07 07:09:30,531247,2830.0
137,2021-09-07 08:09:01,531247,2840.0
138,2021-09-07 08:09:11,531247,2699.0
139,2021-09-07 08:09:22,531247,2750.0
140,2021-09-07 08:09:40,531247,2780.0
141,2021-09-07 08:09:44,531247,2778.0
142,2021-09-07 08:09:57,531247,2670.0
143,2021-09-07 09:09:46,531247,2800.0
144,2021-09-07 09:09:51,531247,2891.0
145,2021-09-07 10:09:42,531247,2801.0
146,2021-09-07 11:09:36,531247,2840.0
147,2021-09-07 11:09:52,531247,2710.0
148,2021-09-07 10:09:48,531248,2650.0
149,2021-09-07 01:09:39,531249,2781.0
150,2021-09-07 02:09:35,531249,2750.0
151,2021-09-07 12:09:23,531249,2860.0
152,2021-09-07 12:09:49,531249,2801.0
153,2021-09-07 01:09:37,531250,2780.0
154,2021-09-07 01:09:57,531250,2740.0
155,2021-09-07 02:09:59,531250,2780.0
156,2021-09-07 03:09:33,531251,2780.0
157,2021-09-07 04:09:09,531251,2931.0
158,2021-09-07 05:09:00,531251,2689.0
159,2021-09-07 05:09:41,531251,2809.0
160,2021-09-07 03:09:45,531252,2740.0
161,2021-09-07 04:09:27,531252,2820.0
162,2021-09-07 04:09:57,531252,2720.0
163,2021-09-07 08:09:01,531257,2660.0
164,2021-09-07 08:09:11,531257,2720.0
165,2021-09-07 08:09:17,531257,2680.0
166,2021-09-07 10:09:12,531257,2770.0
167,2021-09-07 10:09:26,531257,2740.0
168,2021-09-07 10:09:56,531257,2750.0
169,2021-09-07 10:09:45,531258,2620.0
170,2021-09-07 10:09:46,531258,2760.0
171,2021-09-07 11:09:14,531258,2720.0
172,2021-09-07 11:09:15,531258,2851.0
173,2021-09-07 11:09:35,531258,2740.0
174,2021-09-07 11:09:37,531258,2860.0
175,2021-09-08 01:09:34,531258,2690.0
176,2021-09-08 01:09:47,531258,2740.0
177,2021-09-08 12:09:30,531258,2730.0
178,2021-09-08 12:09:31,531258,2810.0
179,2021-09-08 12:09:58,531258,2758.0
180,2021-09-08 01:09:34,531259,2808.0
181,2021-09-08 12:09:51,531259,2760.0
182,2021-09-08 06:09:04,531260,2890.0
183,2021-09-08 06:09:06,531260,2730.0
184,2021-09-08 06:09:10,531260,2790.0
185,2021-09-08 07:09:03,531260,2760.0
186,2021-09-08 07:09:58,531260,2739.0
187,2021-09-08 08:09:01,531260,2770.0
188,2021-09-08 08:09:43,531260,2810.0
189,2021-09-08 01:09:32,531264,2770.0
190,2021-09-08 01:09:39,531264,2790.0
191,2021-09-08 01:09:48,531264,2541.0
192,2021-09-08 02:09:16,531264,2719.0
193,2021-09-08 02:09:21,531264,2831.0
194,2021-09-08 02:09:51,531264,2850.0
195,2021-09-08 03:09:14,531264,2781.0
196,2021-09-08 04:09:37,531267,2840.0
197,2021-09-08 04:09:46,531267,2760.0
198,2021-09-08 05:09:48,531267,2820.0
199,2021-09-08 10:09:53,531267,2630.0
200,2021-09-08 11:09:01,531269,2860.0
201,2021-09-08 11:09:03,531269,2791.0
202,2021-09-08 11:09:25,531269,2881.0
203,2021-09-08 11:09:34,531269,2780.0
204,2021-09-09 12:09:09,531269,2780.0
205,2021-09-09 12:09:12,531269,2731.0
206,2021-09-09 12:09:15,531269,2810.0
207,2021-09-09 02:09:57,531270,2710.0
208,2021-09-09 06:09:13,531270,2770.0
209,2021-09-09 06:09:29,531270,2609.0
210,2021-09-09 10:09:13,531270,2931.0
211,2021-09-09 11:09:00,531270,2751.0
212,2021-09-09 11:09:48,531270,2781.0
213,2021-09-09 11:09:53,531270,2801.0
214,2021-09-09 11:09:57,531270,2622.0
215,2021-09-09 12:09:33,531270,2680.0
216,2021-09-09 01:09:52,531271,2950.0
217,2021-09-09 02:09:49,531271,2900.0
218,2021-09-09 01:09:13,531272,2780.0
219,2021-09-09 02:09:09,531272,2770.0
220,2021-09-09 02:09:15,531272,2780.0
221,2021-09-09 03:09:01,531272,2700.0
222,2021-09-09 04:09:15,531274,2690.0
223,2021-09-09 05:09:19,531275,2880.0
224,2021-09-09 06:09:02,531275,2780.0
225,2021-09-09 06:09:18,531276,2730.0
226,2021-09-09 06:09:21,531276,2700.0
227,2021-09-09 07:09:27,531278,2701.0
228,2021-09-09 08:09:07,531279,2760.0
229,2021-09-10 01:09:06,531279,2730.0
230,2021-09-10 01:09:25,531279,2740.0
231,2021-09-10 01:09:33,531279,2800.0
232,2021-09-09 08:09:02,531280,2830.0
233,2021-09-09 08:09:21,531280,2670.0
234,2021-09-09 09:09:45,531280,2759.0
235,2021-09-09 11:09:08,531284,2900.0
236,2021-09-10 02:09:38,531285,2760.0
237,2021-09-10 02:09:51,531285,2800.0
238,2021-09-10 03:09:23,531285,2640.0
239,2021-09-10 01:09:09,531286,2730.0
240,2021-09-10 01:09:49,531286,3250.0
241,2021-09-10 02:09:00,531286,2710.0
242,2021-09-10 02:09:50,531286,2690.0
243,2021-09-10 02:09:53,531286,2790.0
244,2021-09-10 03:09:00,531286,2880.0
245,2021-09-10 03:09:05,531286,2851.0
246,2021-09-10 03:09:28,531286,2579.0
247,2021-09-10 03:09:30,531286,2711.0
248,2021-09-10 04:09:22,531286,2770.0
249,2021-09-10 04:09:24,531286,2791.0
250,2021-09-10 05:09:33,531286,2690.0
251,2021-09-10 05:09:35,531286,2841.0
252,2021-09-10 05:09:50,531286,2720.0
253,2021-09-10 06:09:24,531286,2880.0
254,2021-09-10 06:09:59,531286,2810.0
255,2021-09-10 07:09:00,531286,2589.0
