index_1based,timestamp,sut_version,value
1,2021-10-05 11:10:02,515757,6168323.0
2,2021-10-05 12:10:09,515757,6089078.0
3,2021-10-06 12:10:16,515770,6112646.0
4,2021-10-06 01:10:20,515772,6165631.0
5,2021-10-06 01:10:19,515779,6107725.0
6,2021-10-06 01:10:24,515779,5990517.0
7,2021-10-06 01:10:56,515779,6010107.0
8,2021-10-06 01:10:59,515779,6099445.0
9,2021-10-06 02:10:17,515779,6078238.0
10,2021-10-06 02:10:33,515779,6090960.0
11,2021-10-06 02:10:56,515779,6138704.0
12,2021-10-06 02:10:59,515779,6084274.0
13,2021-10-06 06:10:02,515779,6103516.0
14,2021-10-06 07:10:11,515779,6055241.0
15,2021-10-06 07:10:34,515779,6090271.0
16,2021-10-06 07:10:39,515779,6188292.0
17,2021-10-06 07:10:48,515779,5888376.0
18,2021-10-06 10:10:19,515779,6028701.0
19,2021-10-06 11:10:04,515779,6084619.0
20,2021-10-06 11:10:30,515779,6137858.0
21,2021-10-06 11:10:35,515779,5853323.0
22,2021-10-06 12:10:01,515779,5990195.0
23,2021-10-06 12:10:13,515779,6051897.0
24,2021-10-06 12:10:23,515779,6023593.0
25,2021-10-06 12:10:41,515779,5985915.0
26,2021-10-06 12:10:57,515779,6170919.0
27,2021-10-07 05:10:01,515779,5989019.0
28,2021-10-07 05:10:09,515779,6055311.0
29,2021-10-07 05:10:17,515779,6149128.0
30,2021-10-07 05:10:34,515779,6102131.0
31,2021-10-07 05:10:37,515779,5894999.0
32,2021-10-07 05:10:56,515779,6151128.0
33,2021-10-06 03:10:03,515780,6079046.0
34,2021-10-06 03:10:18,515780,6174144.0
35,2021-10-06 03:10:26,515780,6064567.0
36,2021-10-06 03:10:50,515780,5996720.0
37,2021-10-06 03:10:59,515780,5928309.0
38,2021-10-06 04:10:21,515780,6020926.0
39,2021-10-06 04:10:36,515780,5989498.0
40,2021-10-06 04:10:44,515780,6020141.0
41,2021-10-06 04:10:53,515780,6028500.0
42,2021-10-06 05:10:06,515780,5909249.0
43,2021-10-06 05:10:30,515780,6077506.0
44,2021-10-06 05:10:49,515780,6088035.0
45,2021-10-06 05:10:53,515780,6120164.0
46,2021-10-06 05:10:58,515780,6063389.0
47,2021-10-06 05:10:08,515781,6043758.0
48,2021-10-06 06:10:09,515781,6213587.0
49,2021-10-06 06:10:12,515781,6089225.0
50,2021-10-06 07:10:10,515781,6089107.0
51,2021-10-06 07:10:12,515781,6151600.0
52,2021-10-06 07:10:27,515781,5877230.0
53,2021-10-06 07:10:52,515781,6088001.0
54,2021-10-06 06:10:33,515783,5910760.0
55,2021-10-06 08:10:28,515783,6126535.0
56,2021-10-06 09:10:36,515783,6153097.0
57,2021-10-06 09:10:37,515783,6066038.0
58,2021-10-06 10:10:19,515784,6088583.0
59,2021-10-07 04:10:21,515785,6107039.0
60,2021-10-07 06:10:28,515785,6021822.0
61,2021-10-07 06:10:42,515787,6084718.0
62,2021-10-07 01:10:03,515791,5939707.0
63,2021-10-07 01:10:08,515791,6038490.0
64,2021-10-07 03:10:45,515791,6143226.0
65,2021-10-07 12:10:35,515791,6095413.0
66,2021-10-07 05:10:20,515797,6042489.0
67,2021-10-07 05:10:31,515797,6047330.0
68,2021-10-07 06:10:12,515797,5865510.0
69,2021-10-07 06:10:28,515797,6031187.0
70,2021-10-07 06:10:38,515797,5994188.0
71,2021-10-07 07:10:08,515797,6095045.0
72,2021-10-07 07:10:10,515797,6057927.0
73,2021-10-07 07:10:30,515797,6034007.0
74,2021-10-07 08:10:03,515797,6133610.0
75,2021-10-07 08:10:41,515797,6021689.0
76,2021-10-07 08:10:42,515797,6110357.0
77,2021-10-07 09:10:09,515797,6106064.0
78,2021-10-07 09:10:37,515797,6163995.0
79,2021-10-07 10:10:15,515797,6178507.0
80,2021-10-07 09:10:02,515798,6015837.0
81,2021-10-07 10:10:07,515798,6003220.0
82,2021-10-07 11:10:43,515798,6049308.0
83,2021-10-07 11:10:16,515799,6100786.0
84,2021-10-07 11:10:56,515799,6164901.0
85,2021-10-08 01:10:29,515799,6038543.0
86,2021-10-08 01:10:57,515799,5939032.0
87,2021-10-08 12:10:10,515799,5891547.0
