index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:19,515219,2195.0
2,2021-09-01 02:09:14,515219,3549.0
3,2021-09-01 02:09:25,515219,2027.0
4,2021-09-01 12:09:14,515219,2043.0
5,2021-09-01 12:09:38,515219,2069.0
6,2021-09-01 12:09:49,515219,2070.0
7,2021-09-01 04:09:01,515220,2057.0
8,2021-09-01 04:09:58,515220,2062.0
9,2021-09-01 05:09:02,515220,2059.0
10,2021-09-01 05:09:37,515220,2272.0
11,2021-09-01 06:09:39,515220,2080.0
12,2021-09-01 08:09:02,515222,2030.0
13,2021-09-01 01:09:00,515224,2014.0
14,2021-09-01 01:09:08,515224,2087.0
15,2021-09-01 01:09:08,515224,2122.0
16,2021-09-01 01:09:38,515224,2121.0
17,2021-09-01 02:09:08,515224,2020.0
18,2021-09-01 11:09:10,515224,2049.0
19,2021-09-01 11:09:29,515224,2037.0
20,2021-09-01 11:09:30,515224,2034.0
21,2021-09-01 11:09:40,515224,2027.0
22,2021-09-01 12:09:08,515224,2040.0
23,2021-09-01 12:09:21,515224,2031.0
24,2021-09-01 12:09:49,515224,2093.0
25,2021-09-01 12:09:52,515224,2042.0
26,2021-09-01 01:09:07,515225,2055.0
27,2021-09-01 01:09:10,515225,2033.0
28,2021-09-01 01:09:17,515225,2030.0
29,2021-09-01 02:09:59,515225,2056.0
30,2021-09-01 03:09:19,515228,2070.0
31,2021-09-01 04:09:08,515230,2046.0
32,2021-09-01 05:09:12,515230,2047.0
33,2021-09-01 05:09:15,515230,2023.0
34,2021-09-01 05:09:39,515230,2044.0
35,2021-09-01 10:09:37,515238,2073.0
36,2021-09-01 11:09:30,515238,2044.0
37,2021-09-02 12:09:50,515240,2073.0
38,2021-09-02 05:09:41,515242,2140.0
39,2021-09-02 06:09:23,515242,2061.0
40,2021-09-02 06:09:56,515242,2037.0
41,2021-09-02 07:09:01,515242,2050.0
42,2021-09-02 08:09:16,515243,2137.0
43,2021-09-02 09:09:03,515243,2045.0
44,2021-09-02 09:09:11,515243,2087.0
45,2021-09-02 11:09:19,515243,2060.0
46,2021-09-02 11:09:51,515243,2039.0
47,2021-09-02 12:09:37,515243,2047.0
48,2021-09-02 01:09:03,515244,2048.0
49,2021-09-02 01:09:11,515244,2040.0
50,2021-09-02 11:09:47,515244,2076.0
51,2021-09-02 12:09:00,515244,2050.0
52,2021-09-02 12:09:10,515244,2033.0
53,2021-09-02 12:09:26,515244,2081.0
54,2021-09-02 12:09:34,515244,2033.0
55,2021-09-02 12:09:37,515244,2040.0
56,2021-09-02 12:09:45,515244,2024.0
57,2021-09-02 02:09:20,515246,2067.0
58,2021-09-02 03:09:28,515246,2028.0
59,2021-09-02 03:09:41,515246,2413.0
60,2021-09-02 03:09:43,515246,2092.0
61,2021-09-02 03:09:12,515247,2058.0
62,2021-09-02 04:09:33,515247,2043.0
63,2021-09-02 03:09:49,515248,2622.0
64,2021-09-02 04:09:58,515248,2044.0
65,2021-09-02 05:09:31,515251,2045.0
66,2021-09-02 06:09:57,515251,2049.0
67,2021-09-02 07:09:21,515252,2040.0
68,2021-09-02 07:09:59,515252,2037.0
69,2021-09-02 07:09:39,515254,2029.0
70,2021-09-02 09:09:27,515257,2053.0
71,2021-09-02 09:09:46,515257,2106.0
72,2021-09-03 01:09:09,515260,2057.0
73,2021-09-03 01:09:24,515260,2033.0
74,2021-09-03 01:09:52,515260,2073.0
75,2021-09-03 02:09:09,515260,2045.0
76,2021-09-03 12:09:56,515260,2062.0
77,2021-09-03 05:09:44,515262,2119.0
78,2021-09-03 06:09:54,515262,2048.0
79,2021-09-03 07:09:09,515262,2437.0
