index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:12,515219,2169.0
2,2021-09-01 01:09:42,515219,2143.0
3,2021-09-01 02:09:46,515219,2199.0
4,2021-09-01 12:09:10,515219,2179.0
5,2021-09-01 04:09:04,515220,2210.0
6,2021-09-01 05:09:29,515220,2194.0
7,2021-09-01 06:09:49,515220,2159.0
8,2021-09-01 08:09:09,515222,2233.0
9,2021-09-01 09:09:49,515222,2161.0
10,2021-09-01 01:09:02,515224,2127.0
11,2021-09-01 01:09:14,515224,2152.0
12,2021-09-01 01:09:55,515224,2222.0
13,2021-09-01 02:09:20,515224,2090.0
14,2021-09-01 02:09:47,515224,2088.0
15,2021-09-01 02:09:49,515224,2148.0
16,2021-09-01 11:09:16,515224,2169.0
17,2021-09-01 11:09:27,515224,2157.0
18,2021-09-01 11:09:27,515224,2143.0
19,2021-09-01 11:09:47,515224,2136.0
20,2021-09-01 12:09:54,515224,2143.0
21,2021-09-01 12:09:54,515224,2192.0
22,2021-09-01 01:09:12,515225,2151.0
23,2021-09-01 01:09:21,515225,2199.0
24,2021-09-01 01:09:46,515225,2164.0
25,2021-09-01 03:09:38,515228,2182.0
26,2021-09-01 04:09:16,515230,2168.0
27,2021-09-01 09:09:34,515238,2159.0
28,2021-09-02 01:09:43,515240,2155.0
29,2021-09-02 12:09:03,515240,2188.0
30,2021-09-02 05:09:03,515242,2123.0
31,2021-09-02 06:09:05,515242,2162.0
32,2021-09-02 06:09:46,515242,2164.0
33,2021-09-02 08:09:30,515243,2159.0
34,2021-09-02 09:09:43,515243,2146.0
35,2021-09-02 09:09:48,515243,2152.0
36,2021-09-02 09:09:59,515243,2161.0
37,2021-09-02 11:09:15,515243,2202.0
38,2021-09-02 11:09:43,515243,2163.0
39,2021-09-02 12:09:19,515244,2228.0
40,2021-09-02 12:09:33,515244,2170.0
41,2021-09-02 12:09:48,515244,2155.0
42,2021-09-02 12:09:56,515244,2173.0
43,2021-09-02 12:09:59,515244,2191.0
44,2021-09-02 02:09:31,515246,2215.0
45,2021-09-02 03:09:31,515247,2192.0
46,2021-09-02 03:09:59,515248,2189.0
47,2021-09-02 06:09:34,515251,2237.0
48,2021-09-02 07:09:08,515251,2161.0
49,2021-09-02 07:09:40,515251,2099.0
50,2021-09-02 07:09:25,515252,2123.0
51,2021-09-02 07:09:39,515254,2152.0
52,2021-09-02 09:09:12,515257,2127.0
53,2021-09-03 01:09:41,515260,2203.0
54,2021-09-03 12:09:43,515260,2232.0
55,2021-09-03 12:09:44,515260,2163.0
56,2021-09-03 06:09:57,515262,2155.0
57,2021-09-03 07:09:23,515262,2166.0
58,2021-09-03 09:09:07,515263,2149.0
59,2021-09-03 09:09:21,515263,2143.0
60,2021-09-03 09:09:26,515263,2131.0
61,2021-09-03 09:09:30,515263,2197.0
62,2021-09-03 10:09:54,515263,2156.0
63,2021-09-03 10:09:43,515264,2240.0
64,2021-09-03 12:09:06,515265,2217.0
65,2021-09-03 01:09:00,515266,2187.0
66,2021-09-03 01:09:38,515266,2208.0
67,2021-09-03 03:09:18,515268,2204.0
68,2021-09-03 04:09:08,515268,2199.0
69,2021-09-03 04:09:39,515268,2203.0
70,2021-09-03 04:09:17,515269,2222.0
71,2021-09-03 06:09:19,515272,2164.0
72,2021-09-03 10:09:51,515275,2166.0
73,2021-09-03 11:09:07,515275,2121.0
74,2021-09-03 11:09:23,515277,2163.0
75,2021-09-04 01:09:12,515277,2196.0
