index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:31,531193,2790.0
2,2021-09-01 02:09:00,531193,2840.0
3,2021-09-01 02:09:39,531193,2900.0
4,2021-09-01 02:09:43,531193,2920.0
5,2021-09-01 05:09:42,531193,2840.0
6,2021-09-01 06:09:14,531193,2841.0
7,2021-09-01 06:09:22,531193,2959.0
8,2021-09-01 06:09:33,531193,2891.0
9,2021-09-01 06:09:37,531193,2861.0
10,2021-09-01 07:09:13,531193,2960.0
11,2021-09-01 07:09:17,531193,3010.0
12,2021-09-01 07:09:33,531193,2810.0
13,2021-09-01 07:09:44,531193,3179.0
14,2021-09-01 08:09:02,531193,2909.0
15,2021-09-01 08:09:42,531193,3079.0
16,2021-09-01 08:09:52,531194,2852.0
17,2021-09-01 09:09:44,531194,3140.0
18,2021-09-01 11:09:11,531195,2879.0
19,2021-09-01 12:09:04,531195,2842.0
20,2021-09-01 02:09:52,531197,2830.0
21,2021-09-01 02:09:56,531197,2849.0
22,2021-09-01 03:09:32,531199,2930.0
23,2021-09-01 04:09:40,531199,2842.0
24,2021-09-01 04:09:56,531199,2850.0
25,2021-09-01 05:09:52,531199,3028.0
26,2021-09-01 09:09:32,531204,2830.0
27,2021-09-01 10:09:36,531204,2902.0
28,2021-09-01 11:09:07,531205,2849.0
29,2021-09-02 12:09:40,531205,2909.0
30,2021-09-02 06:09:07,531206,2900.0
31,2021-09-02 06:09:08,531206,2841.0
32,2021-09-02 07:09:32,531206,2851.0
33,2021-09-02 07:09:41,531206,2789.0
34,2021-09-02 08:09:28,531206,2820.0
35,2021-09-02 08:09:51,531206,2820.0
36,2021-09-02 09:09:17,531206,2791.0
37,2021-09-02 01:09:30,531208,2830.0
38,2021-09-02 01:09:36,531208,2840.0
39,2021-09-02 01:09:56,531208,2860.0
40,2021-09-02 02:09:23,531208,3050.0
41,2021-09-02 02:09:59,531208,2820.0
42,2021-09-02 09:09:47,531208,2819.0
43,2021-09-02 10:09:22,531208,2930.0
44,2021-09-02 11:09:27,531208,2841.0
45,2021-09-02 12:09:47,531208,2980.0
46,2021-09-02 01:09:56,531209,2929.0
47,2021-09-02 02:09:15,531210,2979.0
48,2021-09-02 04:09:19,531210,2889.0
49,2021-09-02 04:09:16,531212,2840.0
50,2021-09-02 04:09:45,531212,2910.0
51,2021-09-02 04:09:46,531212,2889.0
52,2021-09-02 05:09:05,531212,2819.0
53,2021-09-02 05:09:23,531212,2800.0
54,2021-09-02 06:09:32,531212,2891.0
55,2021-09-02 05:09:21,531213,2880.0
56,2021-09-02 06:09:09,531213,2879.0
57,2021-09-02 06:09:34,531213,2850.0
58,2021-09-02 11:09:03,531217,2880.0
59,2021-09-03 01:09:10,531217,2839.0
