index_1based,timestamp,sut_version,value
1,2021-09-01 11:09:44,515213,566.0
2,2021-09-01 11:09:44,515213,567.0
3,2021-09-01 11:09:48,515213,569.0
4,2021-09-01 11:09:57,515213,563.0
5,2021-09-01 12:09:06,515218,669.0
6,2021-09-01 01:09:03,515219,665.0
7,2021-09-01 01:09:25,515219,671.0
8,2021-09-01 02:09:38,515219,671.0
9,2021-09-01 12:09:03,515219,683.0
10,2021-09-01 12:09:24,515219,668.0
11,2021-09-01 12:09:35,515219,668.0
12,2021-09-01 03:09:17,515220,671.0
13,2021-09-01 04:09:44,515220,672.0
14,2021-09-01 05:09:15,515220,667.0
15,2021-09-01 06:09:18,515220,667.0
16,2021-09-01 07:09:00,515220,676.0
17,2021-09-01 08:09:46,515222,669.0
18,2021-09-01 09:09:36,515222,668.0
19,2021-09-01 01:09:28,515224,664.0
20,2021-09-01 01:09:48,515224,621.0
21,2021-09-01 01:09:49,515224,672.0
22,2021-09-01 02:09:02,515224,628.0
23,2021-09-01 02:09:16,515224,631.0
24,2021-09-01 02:09:40,515224,666.0
25,2021-09-01 11:09:11,515224,665.0
26,2021-09-01 11:09:22,515224,668.0
27,2021-09-01 11:09:43,515224,671.0
28,2021-09-01 11:09:48,515224,667.0
29,2021-09-01 11:09:59,515224,672.0
30,2021-09-01 12:09:01,515224,671.0
31,2021-09-01 12:09:08,515224,668.0
32,2021-09-01 12:09:18,515224,678.0
33,2021-09-01 12:09:22,515224,630.0
34,2021-09-01 12:09:26,515224,664.0
35,2021-09-01 12:09:27,515224,671.0
36,2021-09-01 12:09:30,515224,676.0
37,2021-09-01 12:09:40,515224,667.0
38,2021-09-01 12:09:42,515224,673.0
39,2021-09-01 01:09:15,515225,664.0
40,2021-09-01 01:09:44,515225,672.0
41,2021-09-01 01:09:54,515225,553.0
42,2021-09-01 02:09:29,515225,556.0
43,2021-09-01 02:09:44,515225,670.0
44,2021-09-01 02:09:52,515225,667.0
45,2021-09-01 03:09:12,515228,667.0
46,2021-09-01 04:09:00,515230,669.0
47,2021-09-01 09:09:33,515238,562.0
48,2021-09-01 10:09:59,515238,567.0
49,2021-09-01 11:09:30,515238,563.0
50,2021-09-01 11:09:40,515238,572.0
51,2021-09-01 11:09:06,515240,558.0
52,2021-09-02 01:09:04,515240,549.0
53,2021-09-02 05:09:03,515242,559.0
54,2021-09-02 05:09:24,515242,563.0
55,2021-09-02 05:09:52,515242,551.0
56,2021-09-02 06:09:00,515242,558.0
57,2021-09-02 06:09:21,515242,549.0
58,2021-09-02 06:09:35,515242,552.0
59,2021-09-02 07:09:32,515242,554.0
60,2021-09-02 07:09:48,515242,561.0
61,2021-09-02 08:09:24,515243,553.0
62,2021-09-02 09:09:32,515243,551.0
63,2021-09-02 09:09:39,515243,549.0
64,2021-09-02 10:09:46,515243,556.0
65,2021-09-02 11:09:18,515243,553.0
66,2021-09-02 11:09:28,515243,550.0
67,2021-09-02 12:09:37,515243,555.0
68,2021-09-02 01:09:26,515244,554.0
69,2021-09-02 01:09:45,515244,557.0
70,2021-09-02 01:09:51,515244,557.0
71,2021-09-02 11:09:26,515244,556.0
72,2021-09-02 12:09:05,515244,551.0
73,2021-09-02 12:09:17,515244,561.0
74,2021-09-02 12:09:26,515244,545.0
75,2021-09-02 12:09:38,515244,622.0
76,2021-09-02 02:09:27,515246,557.0
77,2021-09-02 03:09:10,515246,546.0
78,2021-09-02 03:09:38,515247,554.0
79,2021-09-02 03:09:04,515248,550.0
