index_1based,timestamp,sut_version,value
1,2021-09-15 03:09:57,515416,2.556
2,2021-09-15 04:09:16,515416,1.669
3,2021-09-15 08:09:12,515429,1.421
4,2021-09-15 09:09:05,515429,1.422
5,2021-09-15 09:09:19,515429,1.431
6,2021-09-15 10:09:19,515429,2.412
7,2021-09-15 11:09:54,515429,1.401
8,2021-09-16 01:09:57,515429,1.398
9,2021-09-16 12:09:09,515429,1.487
10,2021-09-15 09:09:02,515430,1.573
11,2021-09-15 09:09:41,515430,1.817
12,2021-09-15 09:09:12,515431,1.383
13,2021-09-15 11:09:47,515431,1.375
14,2021-09-16 02:09:29,515431,1.543
15,2021-09-16 02:09:58,515431,1.752
16,2021-09-15 10:09:20,515432,1.805
17,2021-09-16 01:09:03,515432,1.835
18,2021-09-16 02:09:32,515432,1.629
19,2021-09-16 03:09:36,515432,1.437
20,2021-09-16 03:09:47,515432,1.398
21,2021-09-16 01:09:27,515434,1.577
22,2021-09-16 03:09:00,515434,1.834
23,2021-09-16 01:09:01,515435,3.471
24,2021-09-16 01:09:17,515435,1.454
25,2021-09-16 03:09:08,515435,1.529
26,2021-09-16 03:09:54,515435,1.45
27,2021-09-16 02:09:31,515436,1.446
28,2021-09-16 02:09:47,515436,1.453
29,2021-09-16 02:09:52,515436,1.825
30,2021-09-16 04:09:11,515436,1.473
31,2021-09-16 03:09:28,515438,1.522
32,2021-09-16 04:09:10,515438,2.817
33,2021-09-16 06:09:33,515438,1.784
34,2021-09-16 06:09:58,515438,1.788
35,2021-09-16 03:09:42,515442,1.769
36,2021-09-16 05:09:32,515442,1.606
37,2021-09-16 07:09:47,515444,1.524
38,2021-09-16 08:09:50,515444,1.785
39,2021-09-16 09:09:03,515446,1.723
40,2021-09-16 09:09:05,515446,1.554
41,2021-09-16 09:09:27,515446,1.556
42,2021-09-16 09:09:36,515446,1.535
43,2021-09-16 09:09:51,515446,1.633
44,2021-09-16 11:09:17,515446,1.846
45,2021-09-16 11:09:25,515446,1.443
46,2021-09-16 11:09:55,515446,1.738
47,2021-09-16 12:09:10,515446,1.476
48,2021-09-16 01:09:33,515449,1.504
49,2021-09-16 01:09:35,515449,1.449
50,2021-09-16 01:09:47,515449,1.999
51,2021-09-16 01:09:58,515449,1.543
52,2021-09-16 06:09:12,515449,1.972
53,2021-09-16 06:09:56,515449,1.388
54,2021-09-16 08:09:00,515449,1.507
55,2021-09-16 08:09:08,515449,1.392
56,2021-09-16 10:09:10,515449,1.414
57,2021-09-16 10:09:11,515449,1.647
58,2021-09-16 10:09:27,515449,1.467
59,2021-09-16 10:09:42,515449,1.454
60,2021-09-16 12:09:49,515449,1.553
61,2021-09-16 06:09:45,515451,1.406
62,2021-09-16 06:09:48,515451,1.34
63,2021-09-16 07:09:46,515451,1.423
64,2021-09-16 07:09:53,515451,2.941
65,2021-09-16 08:09:52,515451,1.459
66,2021-09-16 09:09:25,515451,1.862
67,2021-09-16 11:09:11,515451,1.547
68,2021-09-16 11:09:33,515451,1.551
69,2021-09-16 11:09:48,515451,1.937
70,2021-09-17 12:09:23,515451,1.562
71,2021-09-16 09:09:34,515452,1.608
72,2021-09-16 09:09:43,515452,1.43
73,2021-09-17 02:09:04,515452,1.707
74,2021-09-17 02:09:22,515452,1.417
75,2021-09-17 04:09:10,515452,2.164
76,2021-09-17 04:09:54,515452,1.389
77,2021-09-16 09:09:11,515453,1.934
78,2021-09-16 11:09:34,515453,1.535
79,2021-09-16 11:09:19,515454,1.403
80,2021-09-17 04:09:43,515454,1.816
81,2021-09-16 10:09:30,515455,1.488
82,2021-09-17 02:09:07,515455,1.451
83,2021-09-16 11:09:01,515456,1.529
84,2021-09-17 03:09:58,515456,1.428
85,2021-09-16 11:09:21,515457,1.456
86,2021-09-17 02:09:52,515458,1.6
87,2021-09-17 12:09:28,515458,2.308
88,2021-09-17 03:09:23,515459,1.503
89,2021-09-17 12:09:25,515459,1.563
90,2021-09-17 12:09:21,515460,1.398
91,2021-09-17 01:09:15,515461,1.469
92,2021-09-17 04:09:57,515461,1.547
93,2021-09-17 04:09:14,515467,1.512
94,2021-09-17 06:09:39,515467,1.399
95,2021-09-17 07:09:46,515467,1.464
96,2021-09-17 07:09:38,515469,1.949
97,2021-09-17 07:09:58,515469,1.471
98,2021-09-17 08:09:02,515469,1.479
99,2021-09-17 08:09:14,515469,1.569
100,2021-09-17 09:09:01,515469,2.288
101,2021-09-17 01:09:05,515470,1.466
102,2021-09-17 01:09:30,515470,1.449
103,2021-09-17 01:09:48,515470,1.54
104,2021-09-17 02:09:06,515470,1.477
105,2021-09-17 09:09:06,515470,2.369
106,2021-09-17 10:09:11,515470,1.442
107,2021-09-17 10:09:33,515470,1.436
108,2021-09-17 10:09:34,515470,1.892
109,2021-09-17 11:09:27,515470,1.624
110,2021-09-17 11:09:34,515470,1.816
111,2021-09-17 11:09:46,515470,1.614
112,2021-09-17 12:09:15,515470,1.58
113,2021-09-17 12:09:18,515470,1.63
114,2021-09-17 12:09:38,515470,1.44
115,2021-09-17 01:09:51,515471,1.431
116,2021-09-17 01:09:30,515472,1.456
117,2021-09-17 02:09:20,515472,1.501
118,2021-09-17 02:09:23,515472,1.407
119,2021-09-17 02:09:23,515472,2.277
120,2021-09-17 03:09:15,515472,1.78
121,2021-09-17 03:09:36,515472,1.521
122,2021-09-17 03:09:52,515472,1.396
123,2021-09-17 04:09:20,515472,1.397
124,2021-09-17 04:09:34,515472,1.368
125,2021-09-17 04:09:35,515472,1.551
126,2021-09-17 02:09:46,515473,1.444
127,2021-09-17 04:09:34,515474,1.433
128,2021-09-17 05:09:56,515474,1.51
129,2021-09-17 05:09:13,515475,1.388
130,2021-09-17 05:09:18,515475,1.461
131,2021-09-17 05:09:56,515475,1.508
132,2021-09-17 06:09:03,515475,1.408
133,2021-09-17 06:09:56,515475,1.516
134,2021-09-17 05:09:51,515476,1.393
135,2021-09-17 06:09:38,515478,1.464
136,2021-09-17 06:09:47,515478,1.614
137,2021-09-17 07:09:05,515478,1.514
138,2021-09-17 08:09:23,515481,1.407
139,2021-09-17 09:09:09,515481,1.651
140,2021-09-17 09:09:53,515482,1.554
141,2021-09-17 10:09:11,515482,1.45
142,2021-09-18 01:09:58,515487,1.509
143,2021-09-18 02:09:32,515487,1.506
144,2021-09-18 03:09:34,515487,1.457
145,2021-09-18 12:09:52,515487,1.524
146,2021-09-18 02:09:14,515489,1.514
147,2021-09-18 02:09:33,515489,1.487
148,2021-09-18 03:09:03,515489,1.52
149,2021-09-18 03:09:58,515489,2.177
150,2021-09-18 02:09:14,515491,1.801
151,2021-09-18 03:09:52,515492,2.297
152,2021-09-18 04:09:47,515492,1.636
153,2021-09-18 06:09:44,515499,1.448
154,2021-09-18 08:09:27,515503,1.539
155,2021-09-18 09:09:48,515503,3.277
156,2021-09-18 12:09:25,515503,1.455
157,2021-09-19 01:09:53,515504,1.482
158,2021-09-19 02:09:07,515504,1.455
159,2021-09-19 02:09:15,515505,1.452
160,2021-09-19 03:09:45,515505,1.396
161,2021-09-19 08:09:26,515507,1.38
162,2021-09-19 09:09:17,515507,1.409
163,2021-09-20 01:09:30,515507,1.723
164,2021-09-20 01:09:34,515507,1.462
165,2021-09-20 01:09:35,515507,1.389
166,2021-09-20 06:09:09,515507,1.761
167,2021-09-20 08:09:40,515507,2.248
168,2021-09-20 09:09:30,515507,1.477
169,2021-09-20 10:09:04,515507,1.467
170,2021-09-20 11:09:35,515507,1.583
171,2021-09-20 12:09:21,515507,1.466
172,2021-09-20 12:09:54,515507,1.465
173,2021-09-20 01:09:42,515508,1.462
174,2021-09-20 02:09:06,515510,1.423
175,2021-09-20 02:09:58,515510,1.585
176,2021-09-20 03:09:55,515510,1.844
177,2021-09-20 03:09:00,515511,1.442
178,2021-09-20 03:09:30,515511,1.452
179,2021-09-20 03:09:58,515511,1.444
180,2021-09-20 04:09:16,515511,1.574
181,2021-09-20 04:09:31,515511,1.429
182,2021-09-20 04:09:38,515511,2.619
183,2021-09-20 04:09:53,515511,1.664
184,2021-09-20 06:09:28,515511,1.418
185,2021-09-20 07:09:32,515514,2.286
186,2021-09-20 07:09:37,515514,1.552
187,2021-09-20 08:09:04,515514,1.426
188,2021-09-20 08:09:19,515514,1.719
189,2021-09-20 08:09:29,515514,1.639
190,2021-09-20 08:09:42,515514,1.452
191,2021-09-20 08:09:43,515514,1.799
192,2021-09-20 08:09:49,515514,2.484
193,2021-09-20 09:09:44,515514,1.401
194,2021-09-20 09:09:45,515514,1.367
195,2021-09-20 10:09:35,515514,1.383
196,2021-09-20 10:09:27,515515,1.407
197,2021-09-20 10:09:51,515515,1.408
198,2021-09-21 01:09:07,515515,1.404
199,2021-09-21 02:09:21,515515,1.601
200,2021-09-21 08:09:37,515519,1.624
201,2021-09-21 08:09:48,515519,1.512
