index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:36,515219,7142.86
2,2021-09-01 01:09:37,515219,9090.91
3,2021-09-01 02:09:01,515219,6666.67
4,2021-09-01 02:09:02,515219,9090.91
5,2021-09-01 12:09:00,515219,7142.86
6,2021-09-01 12:09:01,515219,9090.91
7,2021-09-01 12:09:02,515219,8333.33
8,2021-09-01 12:09:22,515219,7142.86
9,2021-09-01 12:09:24,515219,8333.33
10,2021-09-01 12:09:59,515219,7692.31
11,2021-09-01 04:09:43,515220,6666.67
12,2021-09-01 04:09:44,515220,6666.67
13,2021-09-01 05:09:49,515220,7142.86
14,2021-09-01 05:09:50,515220,9090.91
15,2021-09-01 06:09:23,515220,7142.86
16,2021-09-01 06:09:24,515220,9090.91
17,2021-09-01 07:09:56,515220,7142.86
18,2021-09-01 07:09:58,515220,9090.91
19,2021-09-01 08:09:48,515222,7142.86
20,2021-09-01 08:09:50,515222,9090.91
21,2021-09-01 01:09:24,515224,7142.86
22,2021-09-01 01:09:25,515224,9090.91
23,2021-09-01 01:09:29,515224,7142.86
24,2021-09-01 01:09:30,515224,9090.91
25,2021-09-01 01:09:45,515224,6666.67
26,2021-09-01 01:09:46,515224,6666.67
27,2021-09-01 01:09:53,515224,7142.86
28,2021-09-01 01:09:54,515224,9090.91
29,2021-09-01 02:09:52,515224,6666.67
30,2021-09-01 02:09:54,515224,9090.91
31,2021-09-01 11:09:13,515224,7142.86
32,2021-09-01 11:09:14,515224,7142.86
33,2021-09-01 11:09:15,515224,9090.91
34,2021-09-01 11:09:15,515224,9090.91
35,2021-09-01 11:09:27,515224,7142.86
36,2021-09-01 11:09:29,515224,9090.91
37,2021-09-01 11:09:56,515224,7692.31
38,2021-09-01 11:09:58,515224,8333.33
39,2021-09-01 12:09:01,515224,9090.91
40,2021-09-01 12:09:17,515224,7142.86
41,2021-09-01 12:09:19,515224,7142.86
42,2021-09-01 12:09:39,515224,7142.86
43,2021-09-01 12:09:40,515224,6666.67
44,2021-09-01 12:09:59,515224,5555.56
45,2021-09-01 01:09:03,515225,6666.67
46,2021-09-01 01:09:05,515225,9090.91
47,2021-09-01 01:09:54,515225,7142.86
48,2021-09-01 01:09:55,515225,9090.91
49,2021-09-01 01:09:56,515225,7142.86
50,2021-09-01 01:09:58,515225,9090.91
51,2021-09-01 02:09:28,515225,7142.86
52,2021-09-01 02:09:29,515225,9090.91
53,2021-09-01 03:09:06,515228,7142.86
54,2021-09-01 03:09:08,515228,8333.33
55,2021-09-01 04:09:17,515228,7142.86
56,2021-09-01 04:09:19,515228,7692.31
57,2021-09-01 04:09:39,515228,7142.86
58,2021-09-01 04:09:41,515228,9090.91
59,2021-09-01 04:09:53,515228,7142.86
60,2021-09-01 04:09:55,515228,9090.91
61,2021-09-01 04:09:54,515230,6666.67
62,2021-09-01 04:09:55,515230,9090.91
63,2021-09-01 10:09:21,515238,7142.86
64,2021-09-01 10:09:23,515238,8333.33
65,2021-09-02 12:09:36,515240,6666.67
66,2021-09-02 12:09:38,515240,9090.91
67,2021-09-02 05:09:27,515242,6666.67
68,2021-09-02 05:09:28,515242,8333.33
69,2021-09-02 06:09:09,515242,7142.86
70,2021-09-02 06:09:11,515242,9090.91
71,2021-09-02 06:09:42,515242,7142.86
72,2021-09-02 06:09:44,515242,9090.91
73,2021-09-02 07:09:48,515242,7142.86
74,2021-09-02 07:09:48,515242,7142.86
