index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:28,531193,0.597
2,2021-09-01 05:09:43,531193,0.788
3,2021-09-01 06:09:11,531193,0.624
4,2021-09-01 06:09:15,531193,0.589
5,2021-09-01 06:09:16,531193,0.664
6,2021-09-01 06:09:26,531193,0.593
7,2021-09-01 07:09:17,531193,0.579
8,2021-09-01 07:09:54,531193,0.75
9,2021-09-01 08:09:06,531194,0.597
10,2021-09-01 11:09:18,531195,0.854
11,2021-09-01 02:09:13,531197,0.66
12,2021-09-01 02:09:40,531197,0.576
13,2021-09-01 03:09:14,531199,0.598
14,2021-09-01 04:09:01,531199,0.573
15,2021-09-01 04:09:31,531199,0.684
16,2021-09-01 09:09:51,531204,0.673
17,2021-09-01 11:09:18,531205,0.735
18,2021-09-02 06:09:27,531206,0.695
19,2021-09-02 06:09:35,531206,0.598
20,2021-09-02 07:09:49,531206,0.607
21,2021-09-02 08:09:07,531206,0.58
22,2021-09-02 09:09:55,531206,0.593
23,2021-09-02 01:09:31,531208,0.598
24,2021-09-02 02:09:14,531208,0.797
25,2021-09-02 09:09:09,531208,0.613
26,2021-09-02 10:09:56,531208,0.717
27,2021-09-02 12:09:06,531208,0.556
28,2021-09-02 01:09:07,531209,0.622
29,2021-09-02 02:09:07,531210,0.577
30,2021-09-02 04:09:02,531212,0.612
31,2021-09-02 04:09:30,531212,0.649
32,2021-09-02 04:09:54,531212,0.618
33,2021-09-02 05:09:51,531212,0.83
34,2021-09-02 05:09:49,531213,0.663
35,2021-09-02 06:09:21,531213,0.607
36,2021-09-02 06:09:24,531213,0.595
37,2021-09-02 07:09:09,531213,0.589
38,2021-09-02 07:09:21,531213,0.584
39,2021-09-02 11:09:17,531217,0.653
40,2021-09-03 01:09:02,531217,0.565
41,2021-09-03 02:09:41,531217,0.583
42,2021-09-03 07:09:16,531218,0.564
43,2021-09-03 07:09:33,531218,0.68
44,2021-09-03 09:09:08,531218,0.617
45,2021-09-03 09:09:46,531218,0.595
46,2021-09-03 09:09:57,531218,0.586
47,2021-09-03 01:09:35,531221,0.667
48,2021-09-03 01:09:50,531221,0.615
49,2021-09-03 02:09:27,531221,0.566
50,2021-09-03 12:09:56,531221,0.63
51,2021-09-03 12:09:59,531221,0.576
52,2021-09-03 02:09:12,531223,0.584
53,2021-09-03 07:09:10,531230,0.579
54,2021-09-03 08:09:36,531230,0.616
55,2021-09-03 10:09:29,531234,0.615
56,2021-09-04 01:09:08,531234,0.585
57,2021-09-05 05:09:00,531234,0.752
58,2021-09-05 08:09:13,531234,0.606
59,2021-09-06 07:09:19,531234,0.572
60,2021-09-06 08:09:38,531234,0.603
61,2021-09-06 08:09:04,531236,0.593
62,2021-09-06 08:09:14,531236,0.591
63,2021-09-06 09:09:45,531236,0.55
64,2021-09-06 11:09:18,531237,0.672
65,2021-09-06 11:09:49,531238,0.557
66,2021-09-06 12:09:09,531238,0.564
67,2021-09-06 01:09:03,531239,0.605
68,2021-09-06 02:09:11,531239,0.56
69,2021-09-06 03:09:01,531240,0.574
70,2021-09-06 03:09:06,531240,0.6
71,2021-09-06 03:09:49,531240,0.615
72,2021-09-06 04:09:33,531240,0.618
73,2021-09-06 05:09:06,531244,0.59
74,2021-09-06 07:09:44,531244,0.599
75,2021-09-06 07:09:59,531244,0.676
76,2021-09-06 08:09:29,531244,0.61
77,2021-09-06 11:09:05,531246,0.593
78,2021-09-06 11:09:46,531246,0.826
79,2021-09-07 06:09:00,531247,0.625
80,2021-09-07 06:09:12,531247,0.574
81,2021-09-07 06:09:54,531247,0.611
82,2021-09-07 07:09:00,531247,0.586
83,2021-09-07 07:09:43,531247,0.608
84,2021-09-07 08:09:32,531247,0.623
85,2021-09-07 08:09:56,531247,0.611
86,2021-09-07 09:09:47,531247,0.583
87,2021-09-07 09:09:53,531247,0.637
88,2021-09-07 10:09:26,531247,0.595
89,2021-09-07 11:09:13,531247,0.636
90,2021-09-07 11:09:23,531247,0.665
91,2021-09-07 11:09:32,531247,0.606
92,2021-09-07 09:09:36,531248,0.701
93,2021-09-07 01:09:26,531249,0.67
94,2021-09-07 02:09:33,531249,0.589
95,2021-09-07 03:09:07,531249,0.613
96,2021-09-07 03:09:46,531249,0.646
97,2021-09-07 12:09:09,531249,0.61
98,2021-09-07 01:09:04,531250,0.582
99,2021-09-07 01:09:59,531250,0.583
100,2021-09-07 02:09:23,531251,0.806
101,2021-09-07 04:09:12,531251,0.578
102,2021-09-07 03:09:09,531252,0.617
103,2021-09-07 03:09:11,531252,0.628
104,2021-09-07 04:09:00,531252,0.667
105,2021-09-07 04:09:21,531252,0.61
106,2021-09-07 05:09:12,531252,0.604
107,2021-09-07 05:09:29,531252,0.706
108,2021-09-07 07:09:52,531257,0.61
109,2021-09-07 08:09:11,531257,0.618
110,2021-09-07 08:09:59,531257,0.664
111,2021-09-07 10:09:02,531258,0.603
112,2021-09-07 10:09:19,531258,0.577
113,2021-09-07 11:09:26,531258,0.639
114,2021-09-07 11:09:43,531258,0.665
115,2021-09-08 12:09:04,531259,0.737
116,2021-09-08 06:09:16,531260,0.658
117,2021-09-08 06:09:37,531260,0.592
118,2021-09-08 06:09:41,531260,0.721
119,2021-09-08 06:09:53,531260,0.613
120,2021-09-08 07:09:17,531260,0.588
121,2021-09-08 07:09:44,531260,0.652
122,2021-09-08 01:09:28,531264,0.74
123,2021-09-08 01:09:33,531264,0.815
124,2021-09-08 01:09:41,531264,0.617
125,2021-09-08 01:09:42,531264,0.587
126,2021-09-08 02:09:34,531264,0.567
127,2021-09-08 02:09:51,531264,0.584
128,2021-09-08 03:09:03,531264,0.591
129,2021-09-08 03:09:12,531264,0.741
130,2021-09-08 03:09:47,531264,0.646
131,2021-09-08 03:09:57,531264,0.606
132,2021-09-08 04:09:02,531267,0.568
133,2021-09-08 04:09:31,531267,0.595
134,2021-09-08 05:09:06,531267,0.597
135,2021-09-08 05:09:09,531267,0.751
136,2021-09-08 09:09:32,531267,0.621
137,2021-09-08 09:09:37,531267,0.598
138,2021-09-08 10:09:40,531267,0.591
139,2021-09-08 10:09:21,531269,0.6
140,2021-09-08 11:09:15,531269,0.574
141,2021-09-08 11:09:16,531269,0.682
142,2021-09-08 11:09:26,531269,0.612
143,2021-09-08 11:09:29,531269,0.762
144,2021-09-08 11:09:42,531269,0.632
145,2021-09-08 11:09:52,531269,0.908
146,2021-09-09 12:09:06,531269,0.641
147,2021-09-09 02:09:05,531270,0.596
148,2021-09-09 03:09:46,531270,0.604
149,2021-09-09 05:09:14,531270,0.858
150,2021-09-09 06:09:04,531270,0.61
151,2021-09-09 10:09:11,531270,0.838
152,2021-09-09 10:09:40,531270,0.591
153,2021-09-09 11:09:15,531270,1.572
154,2021-09-09 11:09:37,531270,0.58
155,2021-09-09 11:09:43,531270,0.574
156,2021-09-09 12:09:00,531270,0.615
157,2021-09-09 12:09:10,531270,0.608
158,2021-09-09 01:09:29,531271,0.57
159,2021-09-09 01:09:27,531272,0.605
160,2021-09-09 01:09:59,531272,0.576
161,2021-09-09 02:09:03,531272,0.79
162,2021-09-09 03:09:03,531272,0.609
163,2021-09-09 04:09:53,531274,0.615
164,2021-09-09 05:09:48,531274,0.642
165,2021-09-09 05:09:06,531275,0.604
166,2021-09-09 05:09:08,531276,0.693
167,2021-09-09 05:09:19,531276,0.604
168,2021-09-09 07:09:14,531278,0.59
169,2021-09-09 08:09:51,531279,0.611
170,2021-09-09 08:09:31,531280,0.585
171,2021-09-09 08:09:48,531280,0.611
172,2021-09-09 09:09:31,531280,0.659
173,2021-09-09 11:09:57,531284,0.81
174,2021-09-10 12:09:41,531284,0.594
175,2021-09-10 01:09:38,531285,0.632
176,2021-09-10 02:09:14,531285,0.608
177,2021-09-10 01:09:08,531286,0.63
178,2021-09-10 01:09:10,531286,0.586
179,2021-09-10 02:09:14,531286,0.581
180,2021-09-10 02:09:20,531286,0.614
181,2021-09-10 02:09:20,531286,0.66
182,2021-09-10 02:09:42,531286,0.584
183,2021-09-10 03:09:29,531286,0.608
184,2021-09-10 03:09:36,531286,0.58
185,2021-09-10 03:09:43,531286,0.6
186,2021-09-10 03:09:53,531286,0.589
187,2021-09-10 03:09:59,531286,0.6
188,2021-09-10 04:09:25,531286,0.597
189,2021-09-10 04:09:51,531286,0.629
190,2021-09-10 04:09:53,531286,0.575
191,2021-09-10 04:09:56,531286,0.582
192,2021-09-10 04:09:57,531286,0.609
193,2021-09-10 05:09:30,531286,0.578
194,2021-09-10 05:09:49,531286,0.588
195,2021-09-10 06:09:01,531286,0.579
196,2021-09-10 06:09:24,531286,0.567
197,2021-09-10 06:09:43,531286,0.599
198,2021-09-10 06:09:58,531286,0.605
199,2021-09-10 07:09:22,531286,0.56
200,2021-09-10 07:09:24,531286,0.602
201,2021-09-10 07:09:33,531286,0.747
202,2021-09-10 07:09:43,531286,0.557
203,2021-09-10 08:09:12,531286,0.57
204,2021-09-10 08:09:13,531286,0.606
205,2021-09-10 08:09:20,531286,0.611
206,2021-09-10 10:09:16,531286,0.609
207,2021-09-10 10:09:42,531286,0.653
208,2021-09-10 12:09:48,531286,0.64
209,2021-09-10 05:09:45,531287,0.617
210,2021-09-10 05:09:59,531287,0.598
211,2021-09-10 07:09:07,531289,0.626
212,2021-09-13 04:09:35,531291,0.614
213,2021-09-11 01:09:44,531293,0.579
214,2021-09-11 12:09:17,531293,0.608
215,2021-09-11 01:09:49,531294,0.657
216,2021-09-11 01:09:04,531295,0.663
217,2021-09-11 02:09:06,531295,0.595
218,2021-09-11 02:09:51,531298,0.599
219,2021-09-11 03:09:46,531299,0.598
220,2021-09-11 05:09:00,531299,0.622
221,2021-09-11 05:09:55,531299,0.582
222,2021-09-11 08:09:34,531299,0.582
223,2021-09-12 03:09:34,531300,0.597
224,2021-09-12 05:09:34,531300,0.593
225,2021-09-13 05:09:35,531300,0.67
226,2021-09-13 06:09:06,531300,0.604
227,2021-09-13 01:09:34,531301,0.612
228,2021-09-13 06:09:31,531301,0.594
229,2021-09-13 07:09:40,531301,0.594
230,2021-09-13 11:09:05,531301,0.592
231,2021-09-13 11:09:42,531301,0.688
232,2021-09-13 12:09:48,531301,0.62
233,2021-09-14 04:09:53,531306,0.6
234,2021-09-14 04:09:54,531307,0.622
235,2021-09-14 06:09:47,531307,0.6
236,2021-09-14 07:09:20,531307,0.843
237,2021-09-14 08:09:27,531307,0.599
238,2021-09-14 08:09:52,531307,0.587
239,2021-09-14 09:09:20,531307,0.736
240,2021-09-14 09:09:40,531307,0.618
241,2021-09-14 10:09:11,531307,0.608
242,2021-09-14 11:09:27,531307,0.6
243,2021-09-14 10:09:48,531308,0.746
244,2021-09-14 11:09:47,531311,0.584
245,2021-09-15 12:09:06,531313,0.575
246,2021-09-15 03:09:17,531318,0.567
247,2021-09-15 03:09:39,531319,0.623
248,2021-09-15 08:09:09,531320,0.606
249,2021-09-15 09:09:04,531320,0.573
250,2021-09-15 01:09:52,531321,0.596
251,2021-09-15 02:09:14,531321,0.599
252,2021-09-15 03:09:01,531321,0.647
253,2021-09-15 03:09:02,531321,0.595
254,2021-09-15 03:09:23,531321,0.588
255,2021-09-15 03:09:30,531321,0.586
256,2021-09-15 03:09:42,531321,0.609
257,2021-09-15 04:09:12,531321,0.651
258,2021-09-15 04:09:30,531321,0.578
259,2021-09-15 04:09:48,531321,0.625
260,2021-09-15 04:09:50,531321,0.59
261,2021-09-15 05:09:19,531321,0.598
262,2021-09-15 06:09:01,531321,0.596
263,2021-09-15 06:09:26,531321,0.559
264,2021-09-15 06:09:40,531321,0.656
265,2021-09-15 06:09:44,531321,0.797
266,2021-09-15 06:09:58,531321,0.628
267,2021-09-15 08:09:28,531321,0.606
268,2021-09-15 08:09:45,531321,0.6
269,2021-09-15 08:09:53,531321,0.592
270,2021-09-15 07:09:02,531323,0.588
271,2021-09-15 07:09:29,531323,0.704
272,2021-09-15 08:09:08,531323,0.598
273,2021-09-15 08:09:42,531323,0.82
274,2021-09-15 09:09:08,531323,0.61
275,2021-09-15 10:09:41,531323,0.661
276,2021-09-15 11:09:11,531323,0.591
