index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:39,531193,0.8118
2,2021-09-01 05:09:35,531193,0.854
3,2021-09-01 06:09:03,531193,0.83
4,2021-09-01 06:09:32,531193,0.798
5,2021-09-01 06:09:43,531193,0.824
6,2021-09-01 06:09:50,531193,0.8638
7,2021-09-01 07:09:01,531193,0.8324
8,2021-09-01 07:09:34,531193,0.82
9,2021-09-01 08:09:56,531193,0.8118
10,2021-09-01 08:09:30,531194,0.826
11,2021-09-01 11:09:24,531195,0.8236
12,2021-09-01 02:09:13,531197,0.824
13,2021-09-01 02:09:41,531197,0.8258
14,2021-09-01 03:09:23,531199,0.8378
15,2021-09-01 04:09:57,531199,0.8278
16,2021-09-01 08:09:13,531204,0.826
17,2021-09-01 11:09:23,531205,0.8202
18,2021-09-02 05:09:59,531206,0.8302
19,2021-09-02 06:09:33,531206,0.8202
20,2021-09-02 07:09:19,531206,0.8098
21,2021-09-02 08:09:58,531206,0.826
22,2021-09-02 09:09:58,531206,0.818
23,2021-09-02 01:09:00,531208,0.8262
24,2021-09-02 09:09:26,531208,0.8422
25,2021-09-02 10:09:54,531208,0.8302
26,2021-09-02 12:09:26,531208,0.8398
27,2021-09-02 01:09:59,531209,0.8178
28,2021-09-02 02:09:05,531210,0.8304
29,2021-09-02 03:09:44,531210,0.8378
30,2021-09-02 04:09:11,531212,0.8082
31,2021-09-02 04:09:31,531212,0.826
32,2021-09-02 04:09:38,531212,0.8304
33,2021-09-02 05:09:15,531212,0.8302
34,2021-09-02 05:09:22,531213,0.8358
35,2021-09-02 06:09:19,531213,0.83
36,2021-09-02 06:09:22,531213,0.8542
37,2021-09-02 07:09:39,531213,0.82
38,2021-09-02 11:09:38,531217,0.854
39,2021-09-03 01:09:42,531217,0.844
40,2021-09-03 02:09:28,531217,0.82
41,2021-09-03 03:09:50,531217,0.7958
42,2021-09-03 12:09:55,531217,0.844
43,2021-09-03 06:09:11,531218,0.828
44,2021-09-03 09:09:10,531218,0.8302
45,2021-09-03 09:09:36,531218,0.8198
46,2021-09-03 09:09:47,531218,0.8398
47,2021-09-03 10:09:24,531218,0.822
48,2021-09-03 01:09:42,531221,0.828
49,2021-09-03 02:09:44,531221,0.82
50,2021-09-03 12:09:00,531221,0.8382
51,2021-09-03 12:09:37,531221,0.864
52,2021-09-03 12:09:41,531221,0.8424
53,2021-09-03 02:09:31,531223,0.844
54,2021-09-03 07:09:15,531230,0.82
55,2021-09-03 08:09:24,531230,0.84
56,2021-09-03 10:09:34,531234,0.836
57,2021-09-04 01:09:00,531234,0.81
58,2021-09-05 05:09:36,531234,0.814
59,2021-09-05 07:09:22,531234,0.8162
60,2021-09-06 07:09:01,531234,0.844
61,2021-09-06 07:09:12,531236,0.82
62,2021-09-06 08:09:29,531236,0.8
63,2021-09-06 08:09:57,531236,0.816
64,2021-09-06 10:09:23,531237,0.826
65,2021-09-06 11:09:33,531238,0.82
66,2021-09-06 01:09:54,531239,0.8238
67,2021-09-06 03:09:19,531240,0.824
68,2021-09-06 03:09:48,531240,0.802
69,2021-09-06 03:09:59,531240,0.81
70,2021-09-06 05:09:27,531244,0.8318
71,2021-09-06 07:09:00,531244,0.8242
72,2021-09-06 07:09:51,531244,0.824
73,2021-09-06 08:09:57,531244,0.8378
74,2021-09-06 11:09:27,531246,0.8344
75,2021-09-06 11:09:55,531246,0.808
76,2021-09-07 05:09:03,531247,0.818
77,2021-09-07 06:09:03,531247,0.8236
78,2021-09-07 06:09:03,531247,0.8358
79,2021-09-07 07:09:10,531247,0.814
80,2021-09-07 08:09:48,531247,0.822
81,2021-09-07 08:09:55,531247,0.814
82,2021-09-07 09:09:33,531247,0.8458
83,2021-09-07 09:09:33,531248,0.802
84,2021-09-07 01:09:45,531249,0.824
85,2021-09-07 01:09:55,531249,0.8356
86,2021-09-07 12:09:41,531249,0.826
87,2021-09-07 01:09:26,531250,0.816
88,2021-09-07 01:09:34,531250,0.8262
89,2021-09-07 02:09:39,531251,0.818
90,2021-09-07 02:09:04,531252,0.8244
91,2021-09-07 03:09:38,531252,0.824
92,2021-09-07 07:09:22,531257,0.8238
93,2021-09-07 08:09:16,531257,0.8258
