index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:19,515219,7170.0
2,2021-09-01 02:09:14,515219,7158.0
3,2021-09-01 02:09:25,515219,7069.0
4,2021-09-01 12:09:14,515219,7161.0
5,2021-09-01 12:09:38,515219,7270.0
6,2021-09-01 12:09:49,515219,7081.0
7,2021-09-01 04:09:01,515220,7239.0
8,2021-09-01 04:09:58,515220,7260.0
9,2021-09-01 05:09:02,515220,7090.0
10,2021-09-01 05:09:37,515220,7241.0
11,2021-09-01 06:09:39,515220,7179.0
12,2021-09-01 08:09:02,515222,7121.0
13,2021-09-01 01:09:00,515224,7109.0
14,2021-09-01 01:09:08,515224,7030.0
15,2021-09-01 01:09:08,515224,7280.0
16,2021-09-01 01:09:38,515224,7141.0
17,2021-09-01 02:09:08,515224,7132.0
18,2021-09-01 11:09:10,515224,7190.0
19,2021-09-01 11:09:29,515224,7160.0
20,2021-09-01 11:09:30,515224,7160.0
21,2021-09-01 11:09:40,515224,7110.0
22,2021-09-01 12:09:08,515224,7210.0
23,2021-09-01 12:09:21,515224,7050.0
24,2021-09-01 12:09:49,515224,7190.0
25,2021-09-01 12:09:52,515224,7199.0
26,2021-09-01 01:09:07,515225,7190.0
27,2021-09-01 01:09:10,515225,7210.0
28,2021-09-01 01:09:17,515225,7260.0
29,2021-09-01 02:09:59,515225,7031.0
30,2021-09-01 03:09:19,515228,7149.0
31,2021-09-01 04:09:08,515230,7321.0
32,2021-09-01 05:09:12,515230,7199.0
33,2021-09-01 05:09:15,515230,7140.0
34,2021-09-01 05:09:39,515230,7228.0
35,2021-09-01 10:09:37,515238,7009.0
36,2021-09-01 11:09:30,515238,7150.0
37,2021-09-02 12:09:50,515240,7191.0
38,2021-09-02 05:09:41,515242,7280.0
39,2021-09-02 06:09:23,515242,7190.0
40,2021-09-02 06:09:56,515242,7121.0
41,2021-09-02 07:09:01,515242,7140.0
42,2021-09-02 08:09:16,515243,7220.0
43,2021-09-02 09:09:03,515243,7101.0
44,2021-09-02 09:09:11,515243,7099.0
45,2021-09-02 11:09:19,515243,7180.0
46,2021-09-02 11:09:51,515243,7120.0
47,2021-09-02 12:09:37,515243,7090.0
48,2021-09-02 01:09:03,515244,7039.0
49,2021-09-02 01:09:11,515244,7230.0
50,2021-09-02 11:09:47,515244,7150.0
51,2021-09-02 12:09:00,515244,7211.0
52,2021-09-02 12:09:10,515244,7131.0
53,2021-09-02 12:09:26,515244,7229.0
54,2021-09-02 12:09:34,515244,7109.0
55,2021-09-02 12:09:37,515244,7031.0
56,2021-09-02 12:09:45,515244,7050.0
57,2021-09-02 02:09:20,515246,7200.0
58,2021-09-02 03:09:28,515246,7031.0
59,2021-09-02 03:09:41,515246,7192.0
60,2021-09-02 03:09:43,515246,7070.0
61,2021-09-02 03:09:12,515247,7170.0
62,2021-09-02 04:09:33,515247,7110.0
63,2021-09-02 03:09:49,515248,7310.0
64,2021-09-02 04:09:58,515248,7159.0
65,2021-09-02 05:09:31,515251,7218.0
66,2021-09-02 06:09:57,515251,7179.0
67,2021-09-02 07:09:21,515252,7271.0
68,2021-09-02 07:09:59,515252,7161.0
69,2021-09-02 07:09:39,515254,7160.0
70,2021-09-02 09:09:27,515257,7150.0
71,2021-09-02 09:09:46,515257,7241.0
72,2021-09-03 01:09:09,515260,7131.0
73,2021-09-03 01:09:24,515260,7071.0
74,2021-09-03 01:09:52,515260,7179.0
75,2021-09-03 02:09:09,515260,7048.0
76,2021-09-03 12:09:56,515260,7160.0
77,2021-09-03 05:09:44,515262,7222.0
78,2021-09-03 06:09:54,515262,7120.0
79,2021-09-03 07:09:09,515262,7442.0
80,2021-09-03 07:09:18,515262,7061.0
81,2021-09-03 09:09:25,515263,7150.0
82,2021-09-03 09:09:32,515263,7181.0
83,2021-09-03 09:09:34,515263,7160.0
84,2021-09-03 09:09:55,515263,7321.0
85,2021-09-03 10:09:48,515264,7179.0
86,2021-09-03 10:09:52,515264,7089.0
87,2021-09-03 12:09:38,515265,7181.0
88,2021-09-03 01:09:21,515266,7180.0
89,2021-09-03 01:09:33,515266,7139.0
90,2021-09-03 01:09:59,515266,7269.0
91,2021-09-03 03:09:22,515268,7520.0
92,2021-09-03 04:09:10,515268,7168.0
93,2021-09-03 04:09:30,515268,7090.0
94,2021-09-03 05:09:14,515268,7189.0
95,2021-09-03 04:09:02,515269,7249.0
96,2021-09-03 05:09:24,515269,7160.0
97,2021-09-03 06:09:49,515272,7129.0
98,2021-09-03 10:09:24,515275,7168.0
99,2021-09-03 11:09:16,515275,7220.0
100,2021-09-03 11:09:04,515277,7170.0
101,2021-09-04 01:09:05,515277,7079.0
102,2021-09-04 01:09:10,515277,7099.0
103,2021-09-04 01:09:26,515277,7150.0
104,2021-09-04 01:09:39,515277,7141.0
105,2021-09-04 01:09:39,515277,7100.0
106,2021-09-04 01:09:55,515277,7130.0
107,2021-09-04 02:09:13,515277,7050.0
108,2021-09-04 02:09:45,515277,7121.0
109,2021-09-04 12:09:21,515277,7400.0
110,2021-09-04 12:09:42,515277,7121.0
111,2021-09-04 02:09:09,515278,7140.0
112,2021-09-04 03:09:55,515278,7120.0
113,2021-09-04 06:09:35,515279,7220.0
114,2021-09-04 06:09:38,515279,7180.0
115,2021-09-04 06:09:47,515279,7160.0
116,2021-09-04 06:09:59,515279,7130.0
117,2021-09-04 10:09:33,515281,7299.0
118,2021-09-04 11:09:05,515281,7171.0
119,2021-09-04 11:09:16,515281,7119.0
120,2021-09-04 11:09:24,515281,7120.0
121,2021-09-05 05:09:19,515282,7081.0
122,2021-09-05 05:09:26,515282,7118.0
123,2021-09-05 07:09:39,515282,7131.0
124,2021-09-05 08:09:55,515282,7220.0
125,2021-09-06 01:09:23,515282,7150.0
126,2021-09-06 06:09:35,515282,7270.0
127,2021-09-06 06:09:41,515282,7190.0
128,2021-09-06 08:09:33,515282,7230.0
129,2021-09-06 08:09:56,515282,7189.0
130,2021-09-06 09:09:12,515282,7090.0
131,2021-09-06 09:09:21,515282,7138.0
132,2021-09-06 10:09:36,515282,7171.0
133,2021-09-06 10:09:40,515282,7101.0
134,2021-09-06 11:09:05,515282,7139.0
135,2021-09-06 11:09:33,515282,7138.0
136,2021-09-06 11:09:41,515282,7157.0
137,2021-09-06 12:09:05,515282,7211.0
138,2021-09-06 12:09:28,515282,7121.0
139,2021-09-06 12:09:49,515282,7080.0
140,2021-09-06 01:09:42,515283,7149.0
141,2021-09-06 12:09:22,515283,7230.0
142,2021-09-06 01:09:02,515284,7210.0
143,2021-09-06 02:09:47,515284,7150.0
144,2021-09-06 01:09:44,515285,7269.0
145,2021-09-06 02:09:07,515285,7179.0
146,2021-09-06 03:09:02,515286,7429.0
147,2021-09-06 03:09:13,515286,7159.0
148,2021-09-06 03:09:42,515286,7130.0
149,2021-09-06 04:09:14,515286,7139.0
150,2021-09-06 04:09:20,515286,7150.0
151,2021-09-06 04:09:52,515286,7170.0
152,2021-09-06 06:09:36,515290,7090.0
153,2021-09-06 06:09:39,515290,7160.0
154,2021-09-06 07:09:39,515290,7080.0
155,2021-09-06 07:09:41,515290,7081.0
156,2021-09-06 07:09:43,515290,7079.0
157,2021-09-06 07:09:18,515291,7160.0
158,2021-09-06 08:09:32,515291,7191.0
159,2021-09-06 09:09:01,515291,7161.0
160,2021-09-06 09:09:36,515291,7160.0
161,2021-09-06 08:09:16,515292,7219.0
162,2021-09-06 09:09:07,515292,7180.0
163,2021-09-06 09:09:28,515293,7149.0
164,2021-09-06 09:09:56,515293,7162.0
165,2021-09-06 10:09:18,515293,7150.0
166,2021-09-06 09:09:30,515294,7190.0
167,2021-09-06 09:09:48,515294,7170.0
168,2021-09-06 10:09:55,515294,7329.0
169,2021-09-06 10:09:43,515295,7400.0
