index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:30,515218,2590.25502204895
2,2021-09-01 01:09:37,515219,2607.145071029663
3,2021-09-01 01:09:45,515219,2650.2599716186523
4,2021-09-01 02:09:15,515219,2596.4269638061523
5,2021-09-01 12:09:34,515219,2713.986873626709
6,2021-09-01 12:09:49,515219,2877.5901794433594
7,2021-09-01 12:09:58,515219,2661.8800163269043
8,2021-09-01 03:09:01,515220,2838.0329608917236
9,2021-09-01 04:09:29,515220,2659.7859859466553
10,2021-09-01 04:09:30,515220,2928.5409450531006
11,2021-09-01 05:09:01,515220,2853.3010482788086
12,2021-09-01 05:09:28,515220,2587.455987930298
13,2021-09-01 06:09:11,515220,2573.843002319336
14,2021-09-01 08:09:18,515222,2912.062168121338
15,2021-09-01 09:09:48,515222,2580.5110931396484
16,2021-09-01 01:09:49,515224,2619.849920272827
17,2021-09-01 01:09:50,515224,2599.7250080108643
18,2021-09-01 03:09:59,515224,2658.0898761749268
19,2021-09-01 10:09:18,515224,2569.411039352417
20,2021-09-01 10:09:34,515224,2614.023208618164
21,2021-09-01 11:09:17,515224,2579.426050186157
22,2021-09-01 11:09:24,515224,2892.7698135375977
23,2021-09-01 12:09:22,515224,2598.015785217285
24,2021-09-01 12:09:46,515224,2709.9108695983887
25,2021-09-01 12:09:48,515224,2696.559190750122
26,2021-09-01 12:09:53,515224,2640.868902206421
27,2021-09-01 12:09:59,515224,2765.194892883301
28,2021-09-01 01:09:27,515225,2691.579818725586
29,2021-09-01 01:09:27,515225,2603.709936141968
30,2021-09-01 01:09:33,515225,2634.9589824676514
31,2021-09-01 02:09:10,515225,2633.1610679626465
32,2021-09-01 02:09:38,515225,2734.6558570861816
33,2021-09-01 03:09:03,515228,2821.4900493621826
34,2021-09-01 04:09:05,515230,2577.05020904541
35,2021-09-01 05:09:06,515230,2583.9381217956543
36,2021-09-01 09:09:18,515238,2644.5400714874268
37,2021-09-01 11:09:43,515240,2607.992172241211
38,2021-09-02 05:09:10,515242,2668.828010559082
39,2021-09-02 05:09:41,515242,2603.231191635132
40,2021-09-02 05:09:45,515242,2616.8649196624756
41,2021-09-02 07:09:00,515243,2633.9058876037598
42,2021-09-02 08:09:27,515243,2627.4759769439697
43,2021-09-02 09:09:14,515243,2716.7630195617676
44,2021-09-02 09:09:58,515243,2661.7119312286377
45,2021-09-02 11:09:30,515243,2618.5078620910645
46,2021-09-02 11:09:59,515243,2853.0519008636475
47,2021-09-02 12:09:24,515243,2658.233880996704
48,2021-09-02 01:09:49,515244,2623.460054397583
49,2021-09-02 11:09:12,515244,2735.002040863037
50,2021-09-02 11:09:46,515244,2658.597946166992
51,2021-09-02 12:09:06,515244,2736.346960067749
52,2021-09-02 12:09:18,515244,2725.749969482422
53,2021-09-02 12:09:18,515244,2655.679941177368
54,2021-09-02 12:09:40,515244,2610.283136367798
55,2021-09-02 12:09:54,515244,2602.025032043457
56,2021-09-02 02:09:39,515246,2633.345127105713
57,2021-09-02 03:09:36,515246,2647.768974304199
58,2021-09-02 02:09:37,515247,2636.326789855957
59,2021-09-02 04:09:11,515247,2797.9819774627686
60,2021-09-02 03:09:36,515248,2603.037118911743
61,2021-09-02 05:09:17,515251,2702.354907989502
62,2021-09-02 05:09:20,515251,2624.4959831237793
63,2021-09-02 07:09:45,515251,2647.969961166382
64,2021-09-02 06:09:33,515252,2568.2051181793213
65,2021-09-02 07:09:41,515254,2740.699052810669
66,2021-09-03 10:09:00,515254,3657.132863998413
67,2021-09-03 10:09:16,515254,2629.0080547332764
68,2021-09-03 10:09:20,515254,2605.217933654785
69,2021-09-02 08:09:55,515257,2585.5021476745605
70,2021-09-02 09:09:53,515257,2599.423885345459
71,2021-09-03 01:09:00,515260,2620.4159259796143
72,2021-09-03 01:09:43,515260,2671.7569828033447
73,2021-09-03 12:09:24,515260,2621.917963027954
74,2021-09-03 12:09:31,515260,2606.9958209991455
75,2021-09-03 05:09:31,515262,2705.353021621704
76,2021-09-03 06:09:17,515262,2595.918893814087
77,2021-09-03 06:09:52,515262,2610.5759143829346
78,2021-09-03 07:09:10,515262,2609.5399856567383
79,2021-09-03 08:09:38,515263,2649.466037750244
80,2021-09-03 09:09:09,515263,2665.3189659118652
81,2021-09-03 09:09:10,515263,2738.4021282196045
82,2021-09-03 09:09:22,515263,3697.005033493042
83,2021-09-03 09:09:43,515263,2707.6940536499023
84,2021-09-03 10:09:40,515263,2646.034002304077
85,2021-09-03 09:09:18,515264,2707.965135574341
86,2021-09-03 10:09:27,515264,2674.9701499938965
87,2021-09-03 01:09:12,515265,2644.33217048645
88,2021-09-03 12:09:02,515265,2638.6349201202393
89,2021-09-03 01:09:07,515266,2935.8320236206055
90,2021-09-03 01:09:55,515266,2608.581066131592
91,2021-09-03 02:09:27,515266,2924.0550994873047
92,2021-09-03 12:09:50,515266,2597.0818996429443
93,2021-09-03 03:09:12,515268,2637.5391483306885
94,2021-09-03 03:09:27,515268,2616.007089614868
95,2021-09-03 04:09:47,515268,2667.2229766845703
96,2021-09-03 04:09:09,515269,2620.1279163360596
97,2021-09-03 05:09:00,515272,2675.1019954681396
98,2021-09-03 06:09:50,515272,2642.35520362854
99,2021-09-03 10:09:03,515275,2635.7901096343994
100,2021-09-03 11:09:31,515275,2602.189064025879
101,2021-09-03 11:09:07,515277,2623.396873474121
102,2021-09-03 11:09:21,515277,3562.285900115967
103,2021-09-04 01:09:08,515277,2650.6619453430176
104,2021-09-04 01:09:40,515277,2627.3651123046875
105,2021-09-04 02:09:25,515277,2617.3670291900635
106,2021-09-04 12:09:14,515277,2662.2400283813477
107,2021-09-04 12:09:14,515277,2632.848024368286
108,2021-09-04 12:09:44,515277,2879.6639442443848
109,2021-09-04 02:09:09,515278,2880.9478282928467
110,2021-09-04 05:09:03,515279,2913.0921363830566
111,2021-09-04 05:09:11,515279,2651.8540382385254
112,2021-09-04 06:09:36,515279,2624.433994293213
113,2021-09-04 10:09:28,515281,2887.911081314087
114,2021-09-04 11:09:12,515281,2618.9069747924805
115,2021-09-05 04:09:22,515282,2572.798013687134
116,2021-09-05 05:09:24,515282,2598.9558696746826
117,2021-09-05 07:09:41,515282,2699.773073196411
118,2021-09-05 08:09:07,515282,2592.4229621887207
119,2021-09-06 01:09:02,515282,2680.438995361328
120,2021-09-06 01:09:40,515282,2685.007095336914
121,2021-09-06 01:09:58,515282,2848.3879566192627
122,2021-09-06 05:09:38,515282,2909.7349643707275
123,2021-09-06 06:09:11,515282,2824.3908882141113
124,2021-09-06 08:09:01,515282,2709.230899810791
125,2021-09-06 08:09:07,515282,3016.402006149292
126,2021-09-06 08:09:57,515282,2681.72287940979
127,2021-09-06 09:09:02,515282,2662.8119945526123
128,2021-09-06 09:09:25,515282,2600.0990867614746
129,2021-09-06 09:09:59,515282,2706.294059753418
130,2021-09-06 10:09:04,515282,2620.2878952026367
131,2021-09-06 10:09:34,515282,2609.976053237915
132,2021-09-06 10:09:45,515282,2675.201177597046
133,2021-09-06 11:09:14,515282,2607.145071029663
134,2021-09-06 11:09:18,515282,2676.621913909912
135,2021-09-06 11:09:34,515282,2745.465040206909
136,2021-09-06 11:09:35,515282,2608.083963394165
137,2021-09-06 12:09:04,515282,2761.0960006713867
138,2021-09-06 12:09:16,515282,2823.798179626465
139,2021-09-06 12:09:30,515282,2682.752847671509
140,2021-09-06 12:09:33,515282,2915.6858921051025
141,2021-09-06 12:09:34,515282,2691.992998123169
142,2021-09-06 12:09:59,515282,2598.681926727295
143,2021-09-06 12:09:18,515283,2579.6189308166504
144,2021-09-06 01:09:50,515284,2618.1468963623047
145,2021-09-06 02:09:36,515284,2597.2020626068115
146,2021-09-06 01:09:08,515285,2686.1259937286377
147,2021-09-06 03:09:00,515286,2653.8031101226807
148,2021-09-06 03:09:24,515286,2800.1461029052734
149,2021-09-06 03:09:40,515286,2637.6290321350098
150,2021-09-06 04:09:22,515286,2679.8250675201416
151,2021-09-06 04:09:28,515286,2634.2360973358154
152,2021-09-06 04:09:56,515286,2699.742078781128
153,2021-09-06 05:09:12,515286,2657.9320430755615
154,2021-09-06 05:09:43,515290,2832.047939300537
155,2021-09-06 06:09:22,515290,2669.0330505371094
156,2021-09-06 07:09:07,515291,2611.301898956299
157,2021-09-06 08:09:22,515291,2720.4270362854004
158,2021-09-06 08:09:58,515292,2610.183000564575
159,2021-09-06 09:09:13,515293,2680.5830001831055
160,2021-09-06 09:09:44,515293,3947.3588466644287
161,2021-09-06 10:09:20,515293,2626.7240047454834
162,2021-09-06 11:09:02,515293,2622.6611137390137
163,2021-09-06 11:09:18,515293,2557.4851036071777
164,2021-09-06 09:09:19,515294,2625.4148483276367
165,2021-09-06 09:09:39,515294,2578.9430141448975
166,2021-09-06 09:09:40,515294,2615.13090133667
167,2021-09-06 10:09:33,515294,2625.3340244293213
168,2021-09-06 10:09:41,515294,2657.135009765625
169,2021-09-06 10:09:45,515295,2601.5501022338867
170,2021-09-06 11:09:11,515295,2618.364095687866
171,2021-09-06 11:09:34,515295,2568.748950958252
172,2021-09-07 01:09:27,515296,2634.0548992156982
173,2021-09-07 02:09:23,515296,3110.4769706726074
174,2021-09-07 02:09:32,515296,2665.771007537842
175,2021-09-07 12:09:45,515296,2614.1061782836914
176,2021-09-07 01:09:00,515297,2913.1860733032227
177,2021-09-07 03:09:53,515297,2865.1490211486816
178,2021-09-07 05:09:06,515303,2774.7809886932373
179,2021-09-07 06:09:30,515303,2871.603012084961
180,2021-09-07 05:09:11,515304,2658.0121517181396
181,2021-09-07 06:09:43,515304,2622.699975967407
182,2021-09-07 08:09:42,515304,2624.150037765503
183,2021-09-07 09:09:36,515304,2637.1021270751953
184,2021-09-07 10:09:06,515308,2935.2009296417236
185,2021-09-07 10:09:27,515308,2831.3400745391846
186,2021-09-07 11:09:27,515308,2952.285051345825
187,2021-09-07 11:09:43,515308,2876.4121532440186
188,2021-09-07 12:09:03,515308,2712.2981548309326
189,2021-09-07 12:09:26,515308,2954.2529582977295
190,2021-09-07 12:09:32,515308,2876.838207244873
191,2021-09-07 12:09:54,515308,2926.145076751709
192,2021-09-07 01:09:12,515309,2888.1640434265137
193,2021-09-07 01:09:15,515309,2620.6979751586914
194,2021-09-07 01:09:27,515309,2983.476161956787
195,2021-09-07 01:09:37,515309,2964.829921722412
196,2021-09-07 02:09:02,515309,2963.5539054870605
197,2021-09-07 02:09:06,515309,2965.4619693756104
198,2021-09-07 02:09:23,515309,3001.87087059021
199,2021-09-07 02:09:27,515309,2911.797046661377
200,2021-09-07 02:09:43,515309,2669.071912765503
201,2021-09-07 03:09:03,515309,3007.097005844116
202,2021-09-07 03:09:11,515309,2901.076078414917
203,2021-09-07 03:09:44,515309,2942.3041343688965
204,2021-09-07 03:09:45,515309,2966.671943664551
205,2021-09-07 03:09:48,515309,2988.363027572632
206,2021-09-07 03:09:49,515309,2913.1860733032227
207,2021-09-07 03:09:52,515309,3174.592971801758
208,2021-09-07 03:09:56,515309,2942.234992980957
209,2021-09-07 06:09:17,515309,2972.1858501434326
210,2021-09-07 06:09:25,515309,4035.771131515503
