index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:47,531193,1359.6229553222656
2,2021-09-01 05:09:21,531193,1357.752549648285
3,2021-09-01 06:09:03,531193,1353.020739555359
4,2021-09-01 06:09:14,531193,1358.5572004318237
5,2021-09-01 06:09:55,531193,1354.796552658081
6,2021-09-01 07:09:02,531193,1357.2545528411865
7,2021-09-01 07:09:10,531193,1354.8887968063354
8,2021-09-01 07:09:20,531193,1353.9517998695374
9,2021-09-01 08:09:37,531193,1351.2879967689514
10,2021-09-01 08:09:46,531193,1345.4482555389404
11,2021-09-01 08:09:15,531194,1355.4967999458313
12,2021-09-01 11:09:30,531195,1336.7021560668945
13,2021-09-01 02:09:06,531197,1355.0552010536194
14,2021-09-01 02:09:37,531197,1353.3938527107239
15,2021-09-01 04:09:04,531199,1358.2044005393982
16,2021-09-01 04:09:29,531199,1354.288899898529
17,2021-09-01 09:09:02,531204,1348.8362550735474
18,2021-09-01 11:09:49,531205,1330.3842544555664
19,2021-09-02 05:09:44,531206,1352.5375962257385
20,2021-09-02 06:09:40,531206,1348.711597919464
21,2021-09-02 07:09:48,531206,1346.7812061309814
22,2021-09-02 08:09:24,531206,1345.9628582000732
23,2021-09-02 01:09:35,531208,1346.3019490242004
24,2021-09-02 09:09:11,531208,1351.1432528495789
25,2021-09-02 10:09:20,531208,1347.1705436706543
26,2021-09-02 12:09:42,531208,1347.7121949195862
27,2021-09-02 01:09:01,531209,1340.9263491630554
28,2021-09-02 02:09:41,531210,1348.5620498657227
29,2021-09-02 04:09:26,531210,1349.7883439064026
30,2021-09-02 04:09:07,531212,1370.378303527832
31,2021-09-02 04:09:36,531212,1356.1102032661438
32,2021-09-02 04:09:47,531212,1372.4196434020996
33,2021-09-02 05:09:03,531213,1371.323001384735
34,2021-09-02 06:09:29,531213,1369.307041168213
35,2021-09-02 11:09:20,531217,1373.3954548835754
36,2021-09-03 01:09:11,531217,1373.0789542198181
37,2021-09-03 02:09:07,531217,1374.4884014129639
38,2021-09-03 03:09:40,531217,1372.3183512687683
39,2021-09-03 06:09:06,531218,1369.8792934417725
40,2021-09-03 09:09:00,531218,1369.1223978996277
41,2021-09-03 09:09:12,531218,1374.7743606567383
42,2021-09-03 09:09:12,531218,1374.2099523544312
43,2021-09-03 01:09:56,531221,1371.9085574150085
44,2021-09-03 02:09:23,531221,1375.6511569023132
45,2021-09-03 03:09:50,531221,1373.3713030815125
46,2021-09-03 12:09:10,531221,1374.384605884552
47,2021-09-03 12:09:11,531221,1371.1925029754639
48,2021-09-03 12:09:12,531221,1374.115800857544
49,2021-09-03 02:09:37,531223,1368.483591079712
50,2021-09-03 07:09:06,531230,1364.6661043167114
51,2021-09-03 08:09:41,531230,1367.3129558563232
52,2021-09-03 10:09:37,531234,1368.6269402503967
53,2021-09-04 01:09:46,531234,1362.9992485046387
54,2021-09-05 05:09:05,531234,1365.990149974823
55,2021-09-05 06:09:03,531234,1362.9512548446655
56,2021-09-05 08:09:01,531234,1362.7357959747314
57,2021-09-06 07:09:52,531234,1366.9227004051208
58,2021-09-06 07:09:48,531236,1361.1307501792908
59,2021-09-06 08:09:56,531236,1365.0296568870544
60,2021-09-06 11:09:13,531237,1365.686297416687
61,2021-09-06 11:09:03,531238,1363.4867429733276
62,2021-09-06 01:09:18,531239,1361.701500415802
63,2021-09-06 03:09:15,531240,1370.3114986419678
64,2021-09-06 03:09:49,531240,1368.2474493980408
65,2021-09-06 03:09:53,531240,1340.7628417015076
66,2021-09-06 05:09:19,531244,1342.2086000442505
67,2021-09-06 06:09:02,531244,1333.8964462280273
68,2021-09-06 07:09:42,531244,1336.353051662445
69,2021-09-06 07:09:45,531244,1338.7348055839539
70,2021-09-06 08:09:57,531244,1322.5381016731262
71,2021-09-06 11:09:16,531246,1339.3855094909668
72,2021-09-06 11:09:46,531246,1336.8414521217346
73,2021-09-07 06:09:01,531247,1340.1039481163025
74,2021-09-07 06:09:18,531247,1337.4142527580261
75,2021-09-07 06:09:55,531247,1339.3226504325867
76,2021-09-07 07:09:32,531247,1343.6909437179565
77,2021-09-07 07:09:50,531247,1343.468701839447
78,2021-09-07 08:09:39,531247,1340.4401421546936
79,2021-09-07 09:09:09,531247,1340.580141544342
80,2021-09-07 09:09:49,531247,1341.4738059043884
81,2021-09-07 09:09:25,531248,1339.3062472343445
82,2021-09-07 01:09:38,531249,1341.1373496055603
83,2021-09-07 02:09:25,531249,1337.7784967422485
84,2021-09-07 12:09:25,531249,1335.8569025993347
85,2021-09-07 01:09:26,531250,1360.446047782898
86,2021-09-07 01:09:44,531250,1354.418396949768
87,2021-09-07 02:09:15,531251,1358.631706237793
88,2021-09-07 03:09:05,531252,1360.7441544532776
89,2021-09-07 03:09:09,531252,1358.6745500564575
90,2021-09-07 07:09:12,531257,1360.5461597442627
91,2021-09-07 08:09:58,531257,1354.8447966575623
92,2021-09-07 10:09:15,531258,1357.5812458992004
93,2021-09-07 10:09:26,531258,1366.0184979438782
94,2021-09-07 11:09:31,531258,1353.3933997154236
95,2021-09-07 11:09:48,531258,1360.4708552360535
96,2021-09-08 12:09:20,531259,1356.1414003372192
97,2021-09-08 06:09:05,531260,1362.5025033950806
98,2021-09-08 06:09:38,531260,1355.7040452957153
99,2021-09-08 06:09:42,531260,1358.1111550331116
100,2021-09-08 06:09:47,531260,1361.0646486282349
101,2021-09-08 07:09:09,531260,1358.617091178894
102,2021-09-08 01:09:11,531264,1354.67209815979
103,2021-09-08 01:09:11,531264,1357.2864055633545
104,2021-09-08 01:09:19,531264,1354.304552078247
105,2021-09-08 01:09:46,531264,1354.6196460723877
106,2021-09-08 04:09:37,531267,1355.808699131012
107,2021-09-08 04:09:55,531267,1357.5183510780334
108,2021-09-08 04:09:59,531267,1352.5725483894348
109,2021-09-08 10:09:26,531267,1356.2160968780518
110,2021-09-08 10:09:27,531269,1358.4148526191711
111,2021-09-08 10:09:43,531269,1360.7917070388794
112,2021-09-08 11:09:21,531269,1353.7492990493774
113,2021-09-08 11:09:33,531269,1358.054256439209
114,2021-09-08 11:09:52,531269,1355.4498553276062
115,2021-09-08 11:09:56,531269,1354.2420506477356
116,2021-09-09 12:09:24,531269,1357.2540998458862
117,2021-09-09 02:09:05,531270,1355.0601959228516
118,2021-09-09 05:09:41,531270,1358.4624528884888
119,2021-09-09 09:09:42,531270,1357.816243171692
120,2021-09-09 10:09:36,531270,1361.8198990821838
121,2021-09-09 11:09:50,531270,1353.6816000938416
122,2021-09-09 11:09:52,531270,1357.6647520065308
123,2021-09-09 01:09:08,531271,1361.9741082191467
124,2021-09-09 01:09:33,531272,1355.365550518036
125,2021-09-09 01:09:42,531272,1361.038601398468
126,2021-09-09 02:09:38,531272,1352.9221057891846
127,2021-09-09 04:09:55,531274,1359.5125555992126
128,2021-09-09 05:09:39,531275,1371.0996508598328
129,2021-09-09 05:09:02,531276,1358.7432026863098
130,2021-09-09 05:09:52,531276,1359.8724484443665
131,2021-09-09 07:09:04,531278,1342.9330945014954
132,2021-09-09 08:09:02,531279,1356.3693046569824
133,2021-09-09 08:09:10,531280,1351.4896035194397
134,2021-09-09 08:09:17,531280,1350.9442448616028
135,2021-09-09 11:09:48,531284,1358.4353923797607
136,2021-09-10 02:09:04,531285,1352.0605087280273
137,2021-09-10 02:09:48,531285,1352.6743412017822
138,2021-09-10 01:09:47,531286,1352.4343967437744
139,2021-09-10 01:09:53,531286,1355.2296996116638
140,2021-09-10 02:09:07,531286,1356.5315008163452
141,2021-09-10 02:09:11,531286,1351.6530513763428
142,2021-09-10 02:09:24,531286,1352.631652355194
143,2021-09-10 02:09:47,531286,1353.8455605506897
144,2021-09-10 03:09:03,531286,1355.332350730896
145,2021-09-10 03:09:04,531286,1358.289349079132
146,2021-09-10 03:09:33,531286,1343.1882977485657
147,2021-09-10 03:09:58,531286,1351.4562487602234
148,2021-09-10 04:09:36,531286,1351.2120008468628
149,2021-09-10 05:09:22,531286,1350.8668541908264
150,2021-09-10 05:09:33,531286,1356.0278415679932
151,2021-09-10 06:09:25,531286,1352.2342085838318
152,2021-09-10 06:09:29,531286,1352.37694978714
153,2021-09-10 06:09:30,531286,1351.5239596366882
154,2021-09-10 06:09:54,531286,1354.8176050186157
155,2021-09-10 07:09:38,531286,1353.6831974983215
156,2021-09-10 10:09:28,531286,1351.7245531082153
157,2021-09-10 10:09:59,531286,1352.5982022285461
158,2021-09-10 12:09:12,531286,1351.5565037727356
159,2021-09-10 05:09:01,531287,1339.7637963294983
160,2021-09-10 05:09:51,531287,1350.0632405281067
161,2021-09-10 07:09:16,531289,1358.035397529602
162,2021-09-13 04:09:51,531291,1349.2435932159424
163,2021-09-11 12:09:23,531293,1350.6721019744873
164,2021-09-11 12:09:39,531294,1351.1193990707397
165,2021-09-11 01:09:14,531295,1352.7909517288208
166,2021-09-11 02:09:57,531295,1347.2469925880432
167,2021-09-11 02:09:27,531298,1353.488802909851
168,2021-09-11 03:09:11,531299,1348.2085943222046
169,2021-09-11 05:09:47,531299,1349.403440952301
170,2021-09-11 08:09:03,531299,1352.077603340149
171,2021-09-12 02:09:39,531300,1348.6105918884277
172,2021-09-12 05:09:34,531300,1348.7930059432983
173,2021-09-13 05:09:21,531300,1353.3594489097595
174,2021-09-13 10:09:09,531301,1350.7856488227844
175,2021-09-13 11:09:47,531301,1365.135896205902
176,2021-09-13 12:09:42,531301,1352.118992805481
177,2021-09-14 12:09:32,531301,1346.1876511573792
178,2021-09-14 04:09:16,531306,1355.9947490692139
179,2021-09-14 04:09:34,531307,1354.6534419059753
180,2021-09-14 06:09:17,531307,1356.5224528312683
181,2021-09-14 07:09:23,531307,1354.2748928070068
182,2021-09-14 08:09:42,531307,1366.786241531372
183,2021-09-14 08:09:49,531307,1359.6996426582336
184,2021-09-14 09:09:17,531307,1362.7461075782776
185,2021-09-14 10:09:33,531308,1356.6634058952332
186,2021-09-14 11:09:47,531311,1360.2109551429749
187,2021-09-15 12:09:54,531313,1332.8362584114075
188,2021-09-15 03:09:17,531318,1333.6248517036438
189,2021-09-15 06:09:46,531319,1334.3618512153625
190,2021-09-15 07:09:22,531319,1328.145146369934
191,2021-09-15 08:09:28,531320,1332.7462077140808
192,2021-09-15 09:09:26,531320,1325.8558511734009
193,2021-09-15 02:09:10,531321,1330.748450756073
194,2021-09-15 02:09:17,531321,1385.3828072547913
195,2021-09-15 02:09:18,531321,1330.7836532592773
196,2021-09-15 02:09:35,531321,1327.3816466331482
197,2021-09-15 03:09:05,531321,1329.1983008384705
198,2021-09-15 03:09:18,531321,1335.7241988182068
199,2021-09-15 03:09:27,531321,1333.2727432250977
200,2021-09-15 04:09:11,531321,1334.6807956695557
201,2021-09-15 04:09:15,531321,1330.3045511245728
202,2021-09-15 04:09:54,531321,1331.881296634674
203,2021-09-15 04:09:57,531321,1330.031955242157
204,2021-09-15 05:09:13,531321,1330.152952671051
205,2021-09-15 06:09:30,531321,1334.4555020332336
206,2021-09-15 06:09:51,531321,1330.4581999778748
207,2021-09-15 07:09:09,531321,1330.0603985786438
208,2021-09-15 08:09:00,531321,1335.8984589576721
209,2021-09-15 07:09:00,531323,1334.301245212555
210,2021-09-15 08:09:03,531323,1331.5025448799133
211,2021-09-15 08:09:08,531323,1331.659495830536
212,2021-09-15 08:09:11,531323,1401.3309478759766
213,2021-09-15 08:09:29,531323,1332.8975081443787
214,2021-09-15 09:09:11,531323,1330.1759004592896
215,2021-09-16 01:09:39,531324,1333.6881041526794
216,2021-09-16 01:09:12,531325,1329.3719410896301
217,2021-09-15 11:09:58,531326,1332.0497512817383
218,2021-09-16 12:09:15,531326,1330.8501958847046
219,2021-09-16 02:09:18,531329,1333.8356971740723
220,2021-09-16 02:09:19,531330,1329.550302028656
221,2021-09-16 06:09:07,531333,1333.1998944282532
222,2021-09-16 08:09:12,531333,1331.9367408752441
223,2021-09-16 07:09:08,531334,1330.1666498184204
224,2021-09-16 07:09:15,531334,1338.142204284668
225,2021-09-16 08:09:25,531334,1333.8899970054626
226,2021-09-16 08:09:52,531334,1331.4331531524658
227,2021-09-16 09:09:42,531335,1325.9162545204163
228,2021-09-16 09:09:51,531335,1326.30535364151
229,2021-09-16 01:09:13,531336,1327.6968955993652
230,2021-09-16 01:09:23,531336,1326.7701506614685
231,2021-09-16 01:09:28,531336,1330.759346485138
232,2021-09-16 03:09:13,531336,1328.9733529090881
233,2021-09-16 09:09:51,531336,1332.306706905365
234,2021-09-16 09:09:57,531336,1329.3269991874695
235,2021-09-16 10:09:25,531336,1334.9272012710571
236,2021-09-16 06:09:03,531337,1324.9842405319214
237,2021-09-16 06:09:08,531337,1326.8525004386902
238,2021-09-16 06:09:54,531337,1329.468047618866
239,2021-09-16 08:09:02,531337,1330.43794631958
240,2021-09-16 08:09:08,531337,1319.2402601242065
241,2021-09-16 08:09:21,531337,1333.4851503372192
242,2021-09-16 11:09:55,531340,1329.0820956230164
243,2021-09-16 09:09:18,531341,1330.9872031211853
244,2021-09-16 11:09:55,531341,1330.4467558860779
245,2021-09-16 11:09:24,531344,1328.3672094345093
246,2021-09-16 11:09:47,531345,1328.254759311676
247,2021-09-17 12:09:14,531345,1335.6589555740356
248,2021-09-16 11:09:10,531346,1333.64599943161
249,2021-09-17 12:09:28,531346,1335.1558446884155
250,2021-09-17 12:09:56,531346,1331.275999546051
251,2021-09-17 06:09:17,531349,1328.7264585494995
252,2021-09-17 06:09:28,531349,1323.7259984016418
253,2021-09-17 07:09:11,531349,1328.3978462219238
254,2021-09-17 01:09:13,531350,1338.3754968643188
255,2021-09-17 01:09:17,531350,1331.7282915115356
256,2021-09-17 01:09:38,531350,1327.8481483459473
257,2021-09-17 02:09:09,531350,1327.4755477905273
258,2021-09-17 02:09:58,531350,1332.0915460586548
259,2021-09-17 04:09:28,531350,1322.3402500152588
260,2021-09-17 05:09:30,531350,1333.7484002113342
261,2021-09-17 11:09:46,531350,1331.0845971107483
262,2021-09-17 05:09:03,531351,1331.6134452819824
263,2021-09-17 09:09:08,531358,1336.3141417503357
264,2021-09-17 09:09:11,531358,1334.668755531311
265,2021-09-17 11:09:36,531358,1331.2143564224243
266,2021-09-18 02:09:46,531359,1331.9053053855896
267,2021-09-18 12:09:49,531359,1328.624451160431
268,2021-09-18 09:09:22,531364,1332.8899025917053
269,2021-09-18 10:09:08,531364,1326.6821503639221
270,2021-09-19 05:09:39,531364,1332.0962071418762
271,2021-09-20 06:09:22,531364,1331.5098524093628
