index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:35,531193,43.936
2,2021-09-01 06:09:28,531193,43.936
3,2021-09-01 06:09:32,531193,43.82
4,2021-09-01 06:09:35,531193,44.442
5,2021-09-01 07:09:23,531193,44.278
6,2021-09-01 07:09:43,531193,44.322
7,2021-09-01 08:09:21,531194,43.882
8,2021-09-01 11:09:57,531195,44.504
9,2021-09-01 02:09:20,531197,44.64
10,2021-09-01 03:09:01,531197,44.042
11,2021-09-01 04:09:00,531199,44.162
12,2021-09-01 04:09:15,531199,44.1
13,2021-09-01 09:09:35,531204,44.8
14,2021-09-01 11:09:25,531205,43.76
15,2021-09-02 06:09:26,531206,44.1
16,2021-09-02 06:09:57,531206,44.2
17,2021-09-02 07:09:01,531206,44.244
18,2021-09-02 08:09:07,531206,44.538
19,2021-09-02 01:09:26,531208,44.06
20,2021-09-02 09:09:20,531208,44.08
21,2021-09-02 10:09:11,531208,44.544
22,2021-09-02 12:09:03,531208,44.558
23,2021-09-02 02:09:46,531209,44.06
24,2021-09-02 02:09:38,531210,44.722
25,2021-09-02 04:09:09,531212,44.458
26,2021-09-02 04:09:34,531212,43.978
27,2021-09-02 04:09:35,531212,44.778
28,2021-09-02 05:09:52,531213,44.058
29,2021-09-02 06:09:43,531213,44.202
30,2021-09-03 01:09:06,531217,44.6
31,2021-09-03 02:09:59,531217,44.62
32,2021-09-03 12:09:32,531217,44.4
33,2021-09-03 07:09:32,531218,43.84
34,2021-09-03 09:09:27,531218,44.498
35,2021-09-03 09:09:33,531218,44.322
36,2021-09-03 10:09:20,531218,44.36
37,2021-09-03 01:09:04,531221,44.502
38,2021-09-03 01:09:20,531221,44.8
39,2021-09-03 03:09:33,531221,45.078
40,2021-09-03 12:09:37,531221,44.62
41,2021-09-03 02:09:24,531223,43.82
42,2021-09-03 07:09:08,531230,43.738
43,2021-09-03 08:09:07,531230,43.716
44,2021-09-03 11:09:44,531234,43.982
45,2021-09-04 01:09:55,531234,43.64
46,2021-09-05 05:09:38,531234,43.862
47,2021-09-05 08:09:36,531234,43.78
48,2021-09-06 07:09:03,531234,43.6
49,2021-09-06 08:09:17,531236,44.122
50,2021-09-06 08:09:40,531236,44.364
51,2021-09-06 11:09:15,531237,44.062
52,2021-09-06 12:09:14,531238,44.164
53,2021-09-06 01:09:32,531239,44.002
54,2021-09-06 03:09:03,531240,44.26
55,2021-09-06 03:09:10,531240,43.92
56,2021-09-06 03:09:51,531240,44.162
57,2021-09-06 05:09:27,531244,44.06
58,2021-09-06 07:09:17,531244,44.042
59,2021-09-06 08:09:24,531244,44.14
60,2021-09-06 08:09:48,531244,43.882
61,2021-09-06 11:09:37,531246,43.704
62,2021-09-06 11:09:59,531246,43.958
63,2021-09-07 06:09:31,531247,44.14
64,2021-09-07 06:09:45,531247,44.52
65,2021-09-07 06:09:47,531247,44.04
66,2021-09-07 07:09:12,531247,43.982
67,2021-09-07 08:09:53,531247,44.198
68,2021-09-07 09:09:50,531247,44.14
69,2021-09-07 10:09:52,531247,44.118
70,2021-09-07 11:09:31,531247,44.318
71,2021-09-07 10:09:24,531248,44.3
72,2021-09-07 12:09:09,531249,43.942
73,2021-09-07 12:09:48,531249,44.24
74,2021-09-07 01:09:33,531250,44.8
75,2021-09-07 01:09:44,531250,44.68
76,2021-09-07 03:09:12,531251,44.902
77,2021-09-07 03:09:25,531252,45.38
78,2021-09-07 03:09:28,531252,44.862
79,2021-09-07 04:09:10,531252,44.52
80,2021-09-07 05:09:29,531252,44.518
81,2021-09-07 07:09:58,531257,44.902
82,2021-09-07 08:09:53,531257,45.078
83,2021-09-07 10:09:01,531258,44.5
84,2021-09-07 10:09:37,531258,45.338
85,2021-09-07 11:09:11,531258,45.22
86,2021-09-07 11:09:14,531258,45.08
87,2021-09-07 11:09:42,531258,44.54
88,2021-09-08 12:09:24,531258,44.24
89,2021-09-08 12:09:39,531258,44.038
90,2021-09-08 12:09:02,531259,44.538
91,2021-09-08 06:09:15,531260,44.922
92,2021-09-08 06:09:18,531260,44.602
93,2021-09-08 06:09:42,531260,44.56
94,2021-09-08 01:09:21,531264,44.862
95,2021-09-08 01:09:27,531264,44.94
96,2021-09-08 01:09:30,531264,44.92
97,2021-09-08 01:09:37,531264,44.622
98,2021-09-08 04:09:19,531267,44.8
99,2021-09-08 04:09:56,531267,44.702
100,2021-09-08 05:09:57,531267,44.358
101,2021-09-08 10:09:02,531267,44.738
102,2021-09-08 11:09:36,531267,44.558
103,2021-09-08 11:09:08,531269,44.58
104,2021-09-08 11:09:31,531269,45.018
105,2021-09-08 11:09:42,531269,44.722
106,2021-09-08 11:09:51,531269,44.98
107,2021-09-09 12:09:18,531269,44.76
108,2021-09-09 02:09:51,531270,44.74
109,2021-09-09 06:09:57,531270,44.822
110,2021-09-09 10:09:48,531270,45.342
111,2021-09-09 11:09:05,531270,44.96
112,2021-09-09 11:09:17,531270,44.6
113,2021-09-09 11:09:49,531270,44.6
114,2021-09-09 11:09:56,531270,45.04
115,2021-09-09 12:09:48,531270,45.298
116,2021-09-09 01:09:31,531271,44.822
117,2021-09-09 02:09:31,531271,44.544
118,2021-09-09 01:09:03,531272,44.484
119,2021-09-09 02:09:28,531272,44.942
120,2021-09-09 02:09:54,531272,44.68
121,2021-09-09 04:09:28,531274,44.782
122,2021-09-09 05:09:53,531275,44.6
123,2021-09-09 06:09:31,531276,44.6
124,2021-09-09 06:09:57,531276,44.458
125,2021-09-09 07:09:22,531278,44.258
126,2021-09-09 08:09:37,531279,44.6
127,2021-09-09 08:09:55,531280,44.82
128,2021-09-09 08:09:55,531280,44.716
129,2021-09-09 09:09:17,531280,44.798
130,2021-09-09 11:09:57,531284,44.778
131,2021-09-10 02:09:05,531285,45.3
132,2021-09-10 02:09:29,531285,44.98
133,2021-09-10 03:09:57,531285,45.4
134,2021-09-10 04:09:01,531285,44.98
135,2021-09-10 04:09:21,531285,44.118
136,2021-09-10 01:09:09,531286,44.58
137,2021-09-10 01:09:13,531286,44.862
138,2021-09-10 02:09:33,531286,44.662
139,2021-09-10 03:09:05,531286,44.52
140,2021-09-10 03:09:11,531286,45.04
141,2021-09-10 03:09:36,531286,44.442
142,2021-09-10 03:09:57,531286,45.242
143,2021-09-10 04:09:14,531286,44.942
144,2021-09-10 04:09:40,531286,45.1
145,2021-09-10 04:09:57,531286,44.996
146,2021-09-10 05:09:49,531286,44.9
147,2021-09-10 06:09:24,531286,44.5
148,2021-09-10 06:09:38,531286,44.762
149,2021-09-10 06:09:48,531286,44.558
150,2021-09-10 06:09:58,531286,44.762
151,2021-09-10 07:09:28,531286,44.942
152,2021-09-10 10:09:02,531286,44.738
153,2021-09-10 10:09:23,531286,45.1
154,2021-09-10 05:09:18,531287,44.88
155,2021-09-10 05:09:47,531287,44.782
156,2021-09-10 07:09:54,531287,45.382
157,2021-09-10 07:09:58,531289,44.042
158,2021-09-13 05:09:18,531291,44.84
159,2021-09-11 12:09:26,531293,44.918
160,2021-09-11 12:09:56,531294,44.864
161,2021-09-11 01:09:53,531295,44.72
162,2021-09-11 02:09:54,531298,44.722
