index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:14,515219,10993.0
2,2021-09-01 01:09:42,515219,10753.0
3,2021-09-01 12:09:14,515219,10694.0
4,2021-09-01 12:09:23,515219,10985.0
5,2021-09-01 12:09:51,515219,10884.0
6,2021-09-01 03:09:07,515220,10684.0
7,2021-09-01 04:09:32,515220,10961.0
8,2021-09-01 06:09:05,515220,10414.0
9,2021-09-01 08:09:34,515222,10503.0
10,2021-09-01 01:09:27,515224,10270.0
11,2021-09-01 02:09:29,515224,10196.0
12,2021-09-01 10:09:09,515224,11356.0
13,2021-09-01 10:09:37,515224,10838.0
14,2021-09-01 11:09:33,515224,10455.0
15,2021-09-01 11:09:47,515224,11510.0
16,2021-09-01 12:09:13,515224,11217.0
17,2021-09-01 12:09:18,515224,10063.0
18,2021-09-01 12:09:50,515224,10762.0
19,2021-09-01 12:09:58,515224,10959.0
20,2021-09-01 01:09:05,515225,10977.0
21,2021-09-01 01:09:33,515225,11434.0
22,2021-09-01 01:09:45,515225,11112.0
23,2021-09-01 03:09:01,515228,10858.0
24,2021-09-01 04:09:56,515228,10699.0
25,2021-09-01 04:09:50,515230,10727.0
26,2021-09-01 09:09:23,515238,10540.0
27,2021-09-01 10:09:50,515238,11843.0
28,2021-09-01 11:09:56,515240,11209.0
29,2021-09-02 05:09:15,515242,10425.0
30,2021-09-02 05:09:44,515242,9958.0
31,2021-09-02 05:09:55,515242,10641.0
32,2021-09-02 06:09:44,515242,11607.0
33,2021-09-02 08:09:15,515243,11107.0
34,2021-09-02 09:09:25,515243,11099.0
35,2021-09-02 09:09:30,515243,10992.0
36,2021-09-02 11:09:11,515243,10927.0
37,2021-09-02 11:09:19,515243,10874.0
38,2021-09-02 01:09:02,515244,10402.0
39,2021-09-02 01:09:18,515244,11370.0
40,2021-09-02 01:09:23,515244,10744.0
41,2021-09-02 11:09:17,515244,10643.0
42,2021-09-02 12:09:09,515244,10541.0
43,2021-09-02 12:09:19,515244,11050.0
44,2021-09-02 12:09:28,515244,11103.0
45,2021-09-02 12:09:38,515244,11375.0
46,2021-09-02 12:09:58,515244,10110.0
