index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:10,531193,15790.0
2,2021-09-01 06:09:41,531193,16069.0
3,2021-09-01 06:09:49,531193,16129.0
4,2021-09-01 06:09:54,531193,15741.0
5,2021-09-01 07:09:41,531193,15831.0
6,2021-09-01 07:09:46,531193,16279.0
7,2021-09-01 07:09:48,531193,15821.0
8,2021-09-01 08:09:14,531193,16049.0
9,2021-09-01 08:09:40,531193,15852.0
10,2021-09-01 09:09:45,531193,15931.0
11,2021-09-01 08:09:29,531194,16100.0
12,2021-09-01 09:09:31,531194,15779.0
13,2021-09-01 11:09:26,531195,15860.0
14,2021-09-01 02:09:02,531197,16029.0
15,2021-09-01 03:09:16,531197,16149.0
16,2021-09-01 03:09:34,531197,16070.0
17,2021-09-01 04:09:14,531197,15851.0
18,2021-09-01 04:09:47,531197,15991.0
19,2021-09-01 04:09:54,531197,15920.0
20,2021-09-01 04:09:49,531199,15800.0
21,2021-09-01 05:09:17,531199,15770.0
22,2021-09-01 05:09:29,531199,15641.0
23,2021-09-01 09:09:40,531204,15959.0
24,2021-09-01 11:09:48,531205,16099.0
25,2021-09-02 12:09:17,531205,16010.0
26,2021-09-02 06:09:11,531206,15749.0
27,2021-09-02 06:09:21,531206,15911.0
28,2021-09-02 07:09:00,531206,16031.0
29,2021-09-02 07:09:17,531206,15909.0
30,2021-09-02 08:09:24,531206,15870.0
31,2021-09-02 08:09:27,531206,15861.0
32,2021-09-02 01:09:54,531208,15869.0
33,2021-09-02 02:09:01,531208,15839.0
34,2021-09-02 02:09:02,531208,16351.0
35,2021-09-02 10:09:29,531208,15890.0
36,2021-09-02 10:09:58,531208,16009.0
37,2021-09-02 11:09:56,531208,16061.0
38,2021-09-02 12:09:49,531208,15669.0
39,2021-09-02 02:09:01,531209,14400.0
40,2021-09-02 03:09:38,531209,14231.0
41,2021-09-02 03:09:48,531210,16019.0
42,2021-09-02 04:09:49,531210,15860.0
43,2021-09-02 04:09:35,531212,14480.0
44,2021-09-02 04:09:59,531212,16040.0
45,2021-09-02 05:09:17,531212,16040.0
46,2021-09-02 05:09:19,531212,15980.0
47,2021-09-02 06:09:00,531212,15780.0
48,2021-09-02 05:09:04,531213,15939.0
49,2021-09-02 06:09:53,531213,16020.0
50,2021-09-02 07:09:18,531213,16060.0
51,2021-09-02 07:09:46,531213,15960.0
52,2021-09-03 01:09:18,531217,15570.0
53,2021-09-03 01:09:30,531217,15881.0
54,2021-09-03 02:09:06,531217,16040.0
55,2021-09-03 02:09:41,531217,15749.0
56,2021-09-03 03:09:46,531217,15919.0
57,2021-09-03 12:09:58,531217,15869.0
58,2021-09-03 07:09:58,531218,15871.0
59,2021-09-03 08:09:21,531218,15990.0
60,2021-09-03 09:09:04,531218,16002.0
61,2021-09-03 10:09:02,531218,16050.0
62,2021-09-03 10:09:39,531218,15949.0
63,2021-09-03 10:09:49,531218,15890.0
64,2021-09-03 01:09:18,531221,15520.0
65,2021-09-03 01:09:30,531221,16089.0
66,2021-09-03 01:09:57,531221,15851.0
67,2021-09-03 03:09:55,531221,16030.0
68,2021-09-03 12:09:41,531221,16061.0
69,2021-09-03 02:09:17,531223,15852.0
70,2021-09-03 03:09:17,531223,15871.0
71,2021-09-03 08:09:53,531230,14180.0
72,2021-09-03 08:09:56,531230,14090.0
73,2021-09-03 08:09:56,531230,14059.0
74,2021-09-03 09:09:30,531230,14113.0
75,2021-09-03 11:09:59,531234,14271.0
76,2021-09-04 01:09:53,531234,14029.0
77,2021-09-05 05:09:28,531234,14390.0
78,2021-09-05 06:09:07,531234,14109.0
79,2021-09-05 08:09:38,531234,14190.0
80,2021-09-05 09:09:36,531234,14180.0
81,2021-09-06 07:09:47,531234,14068.0
82,2021-09-06 08:09:55,531234,14350.0
83,2021-09-06 08:09:12,531236,13951.0
84,2021-09-06 08:09:26,531236,14120.0
85,2021-09-06 09:09:25,531236,13999.0
86,2021-09-06 09:09:35,531236,14070.0
87,2021-09-06 11:09:28,531237,14020.0
88,2021-09-06 12:09:30,531237,14020.0
89,2021-09-06 01:09:43,531238,14209.0
90,2021-09-06 12:09:43,531238,14190.0
91,2021-09-06 02:09:48,531239,14138.0
92,2021-09-06 03:09:40,531239,14268.0
93,2021-09-06 03:09:15,531240,14189.0
94,2021-09-06 04:09:12,531240,13970.0
95,2021-09-06 04:09:22,531240,14352.0
96,2021-09-06 04:09:33,531240,15750.0
97,2021-09-06 04:09:53,531240,15740.0
98,2021-09-06 05:09:34,531240,14351.0
99,2021-09-06 05:09:59,531244,14361.0
100,2021-09-06 07:09:42,531244,14081.0
101,2021-09-06 08:09:11,531244,14400.0
102,2021-09-06 08:09:44,531244,14289.0
103,2021-09-06 08:09:52,531244,14260.0
104,2021-09-06 09:09:21,531244,14100.0
105,2021-09-06 11:09:59,531246,14211.0
106,2021-09-07 12:09:42,531246,14312.0
107,2021-09-07 06:09:22,531247,14540.0
108,2021-09-07 06:09:24,531247,14238.0
109,2021-09-07 06:09:38,531247,14071.0
110,2021-09-07 07:09:03,531247,14260.0
111,2021-09-07 07:09:31,531247,14050.0
112,2021-09-07 08:09:04,531247,14261.0
113,2021-09-07 08:09:07,531247,14317.0
114,2021-09-07 08:09:32,531247,14139.0
115,2021-09-07 08:09:37,531247,14109.0
116,2021-09-07 08:09:57,531247,14010.0
117,2021-09-07 09:09:31,531247,14329.0
118,2021-09-07 09:09:45,531247,14069.0
119,2021-09-07 10:09:40,531247,14139.0
120,2021-09-07 11:09:21,531247,14199.0
121,2021-09-07 11:09:36,531247,14270.0
122,2021-09-07 10:09:29,531248,14240.0
123,2021-09-07 11:09:01,531248,14031.0
124,2021-09-07 01:09:26,531249,14159.0
125,2021-09-07 12:09:08,531249,14240.0
126,2021-09-07 12:09:31,531249,14029.0
127,2021-09-07 01:09:35,531250,13900.0
128,2021-09-07 01:09:53,531250,14108.0
129,2021-09-07 02:09:15,531250,14430.0
130,2021-09-07 02:09:41,531250,14169.0
131,2021-09-07 03:09:17,531251,14310.0
132,2021-09-07 04:09:48,531251,14100.0
133,2021-09-07 03:09:28,531252,13890.0
134,2021-09-07 04:09:06,531252,14180.0
135,2021-09-07 04:09:50,531252,14090.0
136,2021-09-07 04:09:57,531252,14260.0
137,2021-09-07 08:09:00,531257,14160.0
138,2021-09-07 08:09:09,531257,14058.0
139,2021-09-07 08:09:48,531257,13800.0
140,2021-09-07 10:09:28,531258,14240.0
141,2021-09-07 10:09:31,531258,14019.0
142,2021-09-07 11:09:03,531258,14202.0
143,2021-09-07 11:09:19,531258,14070.0
144,2021-09-07 11:09:29,531258,14111.0
145,2021-09-07 11:09:56,531258,14150.0
146,2021-09-08 12:09:33,531258,13951.0
147,2021-09-08 12:09:49,531258,14320.0
148,2021-09-08 01:09:16,531259,14191.0
149,2021-09-08 12:09:32,531259,13981.0
150,2021-09-08 06:09:09,531260,14290.0
151,2021-09-08 06:09:45,531260,14081.0
152,2021-09-08 06:09:56,531260,14211.0
153,2021-09-08 07:09:13,531260,14090.0
154,2021-09-08 07:09:48,531260,14301.0
155,2021-09-08 07:09:59,531260,14169.0
156,2021-09-08 01:09:26,531264,14052.0
157,2021-09-08 01:09:44,531264,14120.0
158,2021-09-08 02:09:03,531264,14030.0
159,2021-09-08 02:09:05,531264,13909.0
160,2021-09-08 02:09:13,531264,14000.0
161,2021-09-08 02:09:23,531264,14180.0
162,2021-09-08 03:09:41,531264,15180.0
163,2021-09-08 03:09:55,531264,14180.0
164,2021-09-08 04:09:20,531267,14340.0
165,2021-09-08 05:09:40,531267,15060.0
166,2021-09-08 05:09:57,531267,14150.0
167,2021-09-08 06:09:11,531267,14109.0
168,2021-09-08 06:09:23,531267,14120.0
169,2021-09-08 10:09:52,531267,14089.0
170,2021-09-08 11:09:44,531267,13988.0
171,2021-09-08 11:09:09,531269,14521.0
172,2021-09-08 11:09:21,531269,14089.0
173,2021-09-08 11:09:47,531269,14089.0
174,2021-09-08 11:09:54,531269,14308.0
175,2021-09-09 12:09:33,531269,14190.0
176,2021-09-09 12:09:52,531269,14190.0
177,2021-09-09 12:09:53,531269,14090.0
178,2021-09-09 12:09:54,531269,14211.0
179,2021-09-09 01:09:11,531270,14189.0
180,2021-09-09 02:09:56,531270,14219.0
181,2021-09-09 06:09:48,531270,14101.0
182,2021-09-09 07:09:51,531270,14411.0
183,2021-09-09 10:09:53,531270,14042.0
184,2021-09-09 11:09:37,531270,14020.0
185,2021-09-09 11:09:41,531270,14160.0
186,2021-09-09 11:09:44,531270,14271.0
187,2021-09-09 12:09:15,531270,14201.0
188,2021-09-09 12:09:33,531270,14102.0
189,2021-09-09 01:09:34,531271,13980.0
190,2021-09-09 02:09:29,531271,14180.0
191,2021-09-09 02:09:03,531272,13990.0
192,2021-09-09 02:09:19,531272,14120.0
193,2021-09-09 02:09:51,531272,14130.0
194,2021-09-09 02:09:59,531272,14179.0
195,2021-09-09 03:09:06,531272,14281.0
196,2021-09-09 03:09:47,531272,14140.0
197,2021-09-09 04:09:55,531274,13911.0
198,2021-09-09 05:09:17,531274,14503.0
199,2021-09-09 05:09:02,531275,15671.0
200,2021-09-09 06:09:56,531275,16089.0
201,2021-09-09 07:09:02,531275,16040.0
202,2021-09-09 07:09:14,531275,15709.0
203,2021-09-09 06:09:10,531276,14100.0
204,2021-09-09 06:09:16,531276,14379.0
205,2021-09-09 07:09:07,531276,13989.0
206,2021-09-09 07:09:52,531276,14110.0
207,2021-09-09 07:09:10,531278,16211.0
208,2021-09-09 08:09:35,531278,15970.0
209,2021-09-09 09:09:16,531278,16071.0
210,2021-09-09 09:09:57,531278,15909.0
211,2021-09-09 08:09:03,531279,14252.0
212,2021-09-09 09:09:02,531279,14342.0
213,2021-09-09 08:09:12,531280,14341.0
214,2021-09-09 09:09:16,531280,14070.0
215,2021-09-09 09:09:30,531280,14080.0
216,2021-09-09 09:09:42,531280,14120.0
217,2021-09-10 01:09:22,531284,14000.0
218,2021-09-10 12:09:08,531284,14019.0
219,2021-09-10 02:09:35,531285,14119.0
220,2021-09-10 02:09:52,531285,14319.0
221,2021-09-10 03:09:07,531285,14219.0
222,2021-09-10 03:09:32,531285,14138.0
223,2021-09-10 04:09:06,531285,13970.0
224,2021-09-10 04:09:13,531285,14091.0
225,2021-09-10 01:09:15,531286,14220.0
226,2021-09-10 01:09:32,531286,14280.0
227,2021-09-10 01:09:53,531286,14130.0
228,2021-09-10 02:09:42,531286,14300.0
229,2021-09-10 02:09:51,531286,14071.0
230,2021-09-10 02:09:53,531286,14180.0
231,2021-09-10 03:09:17,531286,14139.0
232,2021-09-10 03:09:22,531286,14141.0
233,2021-09-10 03:09:41,531286,16121.0
234,2021-09-10 03:09:59,531286,14181.0
235,2021-09-10 04:09:04,531286,15669.0
236,2021-09-10 04:09:13,531286,14119.0
237,2021-09-10 04:09:17,531286,13980.0
238,2021-09-10 04:09:18,531286,14090.0
239,2021-09-10 05:09:14,531286,14260.0
240,2021-09-10 05:09:31,531286,14100.0
241,2021-09-10 05:09:32,531286,14020.0
242,2021-09-10 05:09:46,531286,16009.0
243,2021-09-10 05:09:50,531286,15980.0
