index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:02,531193,2.75967
2,2021-09-01 06:09:20,531193,3.43491
3,2021-09-01 06:09:56,531193,2.47536
4,2021-09-01 06:09:56,531193,5.65713
5,2021-09-01 07:09:18,531193,3.37148
6,2021-09-01 07:09:42,531193,2.49258
7,2021-09-01 08:09:53,531193,2.70626
8,2021-09-01 08:09:48,531194,3.9072
9,2021-09-01 11:09:54,531195,3.50614
10,2021-09-01 02:09:23,531197,2.1086
11,2021-09-01 03:09:01,531197,3.20038
12,2021-09-01 03:09:59,531197,3.93054
13,2021-09-01 04:09:55,531199,3.77987
14,2021-09-01 05:09:05,531199,3.67224
15,2021-09-01 05:09:27,531199,2.67059
16,2021-09-01 05:09:29,531199,2.77911
17,2021-09-01 09:09:33,531204,2.71766
18,2021-09-01 10:09:34,531204,3.87206
19,2021-09-01 11:09:59,531205,7.02875
20,2021-09-02 12:09:57,531205,3.13937
21,2021-09-02 06:09:13,531206,10.2034
22,2021-09-02 06:09:20,531206,4.29477
23,2021-09-02 07:09:46,531206,3.76173
24,2021-09-02 08:09:44,531206,5.77431
25,2021-09-02 02:09:09,531208,7.03979
26,2021-09-02 10:09:37,531208,3.68666
27,2021-09-02 10:09:49,531208,4.02264
28,2021-09-02 11:09:41,531208,3.91607
29,2021-09-02 12:09:58,531208,3.11647
30,2021-09-02 02:09:50,531209,3.8024
31,2021-09-02 03:09:42,531210,4.30739
32,2021-09-02 04:09:08,531212,2.65083
33,2021-09-02 04:09:30,531212,4.1626
34,2021-09-02 05:09:42,531212,2.53572
35,2021-09-02 06:09:29,531213,3.92129
36,2021-09-02 06:09:44,531213,4.21204
37,2021-09-02 07:09:04,531213,3.29405
38,2021-09-02 07:09:07,531213,6.77459
39,2021-09-02 08:09:47,531213,3.62422
40,2021-09-02 08:09:48,531213,3.37154
41,2021-09-03 01:09:34,531217,4.4001
42,2021-09-03 01:09:41,531217,3.49951
43,2021-09-03 02:09:20,531217,2.9808
44,2021-09-03 03:09:14,531217,3.88566
45,2021-09-03 12:09:57,531217,2.77611
46,2021-09-03 07:09:02,531218,2.98553
