index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:14,515219,46715.0
2,2021-09-01 01:09:42,515219,52703.8
3,2021-09-01 12:09:13,515219,50130.8
4,2021-09-01 12:09:23,515219,47385.4
5,2021-09-01 12:09:51,515219,50168.8
6,2021-09-01 03:09:07,515220,50290.2
7,2021-09-01 04:09:32,515220,51646.4
8,2021-09-01 06:09:05,515220,47635.4
9,2021-09-01 08:09:34,515222,48642.8
10,2021-09-01 01:09:27,515224,47308.6
11,2021-09-01 02:09:29,515224,74255.2
12,2021-09-01 10:09:09,515224,52405.6
13,2021-09-01 10:09:37,515224,49932.2
14,2021-09-01 11:09:33,515224,47009.8
15,2021-09-01 11:09:47,515224,53563.2
16,2021-09-01 12:09:13,515224,60821.4
17,2021-09-01 12:09:18,515224,48219.4
18,2021-09-01 12:09:50,515224,54189.6
19,2021-09-01 12:09:58,515224,49591.8
20,2021-09-01 01:09:05,515225,50573.8
21,2021-09-01 01:09:33,515225,52447.6
22,2021-09-01 01:09:45,515225,51615.0
23,2021-09-01 03:09:01,515228,47135.0
24,2021-09-01 04:09:56,515228,50033.8
25,2021-09-01 04:09:50,515230,48684.8
26,2021-09-01 09:09:23,515238,50512.2
27,2021-09-01 10:09:50,515238,55021.2
28,2021-09-01 11:09:56,515240,50649.8
29,2021-09-02 05:09:15,515242,43335.6
30,2021-09-02 05:09:44,515242,59514.8
31,2021-09-02 05:09:55,515242,48843.0
32,2021-09-02 06:09:44,515242,58055.8
33,2021-09-02 08:09:15,515243,53293.2
34,2021-09-02 09:09:25,515243,53655.0
35,2021-09-02 09:09:30,515243,65276.6
36,2021-09-02 11:09:10,515243,48824.0
37,2021-09-02 11:09:19,515243,44242.0
38,2021-09-02 01:09:02,515244,45822.0
39,2021-09-02 01:09:18,515244,52407.8
40,2021-09-02 01:09:23,515244,48370.2
41,2021-09-02 11:09:17,515244,51911.0
42,2021-09-02 12:09:09,515244,49177.6
43,2021-09-02 12:09:19,515244,47165.0
44,2021-09-02 12:09:28,515244,46688.4
45,2021-09-02 12:09:38,515244,58565.8
46,2021-09-02 12:09:58,515244,43387.8
47,2021-09-02 02:09:18,515246,57946.4
48,2021-09-02 03:09:29,515247,48720.6
49,2021-09-02 03:09:57,515248,50724.4
50,2021-09-02 04:09:53,515248,48578.6
51,2021-09-02 05:09:15,515251,49111.6
52,2021-09-02 06:09:17,515251,45687.4
53,2021-09-02 06:09:40,515252,51206.6
54,2021-09-02 07:09:28,515254,54594.2
55,2021-09-02 08:09:01,515257,68391.6
56,2021-09-03 01:09:17,515260,47793.8
57,2021-09-03 01:09:37,515260,53049.6
58,2021-09-03 01:09:49,515260,59571.2
59,2021-09-03 12:09:51,515260,46661.0
60,2021-09-03 12:09:53,515260,51125.6
61,2021-09-03 05:09:11,515262,47827.2
62,2021-09-03 07:09:02,515262,46578.0
63,2021-09-03 09:09:13,515263,71139.4
64,2021-09-03 09:09:20,515263,51966.4
65,2021-09-03 09:09:38,515263,54021.6
66,2021-09-03 09:09:40,515263,49341.2
67,2021-09-03 10:09:05,515263,50413.0
68,2021-09-03 09:09:39,515264,49683.2
69,2021-09-03 12:09:54,515265,52847.6
