index_1based,timestamp,sut_version,value
1,2021-09-15 03:09:38,515416,126.351
2,2021-09-15 04:09:56,515416,124.82
3,2021-09-15 08:09:52,515429,124.841
4,2021-09-15 09:09:43,515429,125.91
5,2021-09-15 09:09:59,515429,124.99
6,2021-09-15 10:09:58,515429,121.67
7,2021-09-15 11:09:33,515429,129.17
8,2021-09-16 01:09:36,515429,127.11
9,2021-09-16 12:09:48,515429,126.56
10,2021-09-15 09:09:19,515430,123.47
11,2021-09-15 09:09:41,515430,123.93
12,2021-09-15 09:09:53,515431,122.12
13,2021-09-15 11:09:28,515431,126.261
14,2021-09-16 02:09:09,515431,128.999
15,2021-09-16 02:09:36,515431,124.259
16,2021-09-15 10:09:59,515432,127.49
17,2021-09-16 01:09:42,515432,126.82
18,2021-09-16 02:09:20,515432,128.26
19,2021-09-16 03:09:15,515432,126.6
20,2021-09-16 03:09:26,515432,123.6
21,2021-09-16 01:09:06,515434,126.449
22,2021-09-16 03:09:39,515434,124.37
23,2021-09-16 01:09:40,515435,124.26
24,2021-09-16 01:09:57,515435,124.181
25,2021-09-16 03:09:36,515435,126.26
26,2021-09-16 03:09:48,515435,126.39
27,2021-09-16 02:09:10,515436,125.64
28,2021-09-16 02:09:27,515436,121.06
29,2021-09-16 02:09:31,515436,122.919
30,2021-09-16 04:09:50,515436,126.491
31,2021-09-16 03:09:09,515438,126.57
32,2021-09-16 04:09:49,515438,130.41
33,2021-09-16 06:09:12,515438,124.42
34,2021-09-16 06:09:37,515438,123.22
35,2021-09-16 03:09:21,515442,121.69
36,2021-09-16 05:09:10,515442,119.41
37,2021-09-16 07:09:28,515444,129.51
38,2021-09-16 08:09:30,515444,127.15
39,2021-09-16 09:09:06,515446,125.34
40,2021-09-16 09:09:24,515446,125.85
41,2021-09-16 09:09:31,515446,125.53
42,2021-09-16 09:09:44,515446,125.02
43,2021-09-16 09:09:52,515446,127.5
44,2021-09-16 11:09:04,515446,125.639
45,2021-09-16 11:09:34,515446,126.081
46,2021-09-16 11:09:55,515446,128.79
47,2021-09-16 12:09:50,515446,122.28
48,2021-09-16 01:09:12,515449,124.89
49,2021-09-16 01:09:15,515449,126.31
50,2021-09-16 01:09:26,515449,127.07
51,2021-09-16 01:09:47,515449,125.09
52,2021-09-16 06:09:34,515449,121.14
53,2021-09-16 06:09:51,515449,125.35
54,2021-09-16 08:09:38,515449,127.791
55,2021-09-16 08:09:49,515449,121.85
56,2021-09-16 10:09:07,515449,124.53
57,2021-09-16 10:09:22,515449,119.9
58,2021-09-16 10:09:49,515449,123.92
59,2021-09-16 10:09:50,515449,120.74
60,2021-09-16 12:09:30,515449,128.75
61,2021-09-16 06:09:24,515451,125.5
62,2021-09-16 06:09:27,515451,127.12
63,2021-09-16 07:09:25,515451,126.67
64,2021-09-16 07:09:33,515451,126.449
65,2021-09-16 08:09:39,515451,127.06
66,2021-09-16 09:09:04,515451,121.03
67,2021-09-16 11:09:12,515451,123.89
68,2021-09-16 11:09:26,515451,126.96
