index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:02,531193,9118.67
2,2021-09-01 06:09:20,531193,9149.51
3,2021-09-01 06:09:56,531193,9129.3
4,2021-09-01 06:09:56,531193,9203.63
5,2021-09-01 07:09:18,531193,9053.55
6,2021-09-01 07:09:42,531193,9188.28
7,2021-09-01 08:09:53,531193,9195.01
8,2021-09-01 08:09:48,531194,9109.18
9,2021-09-01 11:09:54,531195,9113.52
10,2021-09-01 02:09:23,531197,9066.93
11,2021-09-01 03:09:01,531197,9028.76
12,2021-09-01 03:09:59,531197,9089.46
13,2021-09-01 04:09:55,531199,9166.55
14,2021-09-01 05:09:05,531199,9060.83
15,2021-09-01 05:09:27,531199,9029.14
16,2021-09-01 05:09:29,531199,9021.03
17,2021-09-01 09:09:33,531204,9000.68
18,2021-09-01 10:09:34,531204,8948.55
19,2021-09-01 11:09:59,531205,9182.41
20,2021-09-02 12:09:57,531205,9116.21
21,2021-09-02 06:09:13,531206,9057.47
22,2021-09-02 06:09:20,531206,8999.09
23,2021-09-02 07:09:46,531206,9055.44
24,2021-09-02 08:09:44,531206,9072.16
25,2021-09-02 02:09:09,531208,9102.13
26,2021-09-02 10:09:37,531208,9120.97
27,2021-09-02 10:09:49,531208,9071.69
28,2021-09-02 11:09:41,531208,8982.19
29,2021-09-02 12:09:58,531208,9189.53
30,2021-09-02 02:09:50,531209,9056.97
31,2021-09-02 03:09:42,531210,9084.21
32,2021-09-02 04:09:08,531212,8952.03
33,2021-09-02 04:09:30,531212,9020.09
34,2021-09-02 05:09:42,531212,9127.85
35,2021-09-02 06:09:29,531213,9055.41
36,2021-09-02 06:09:44,531213,8940.33
37,2021-09-02 07:09:05,531213,9116.19
38,2021-09-02 07:09:07,531213,9052.64
39,2021-09-02 08:09:47,531213,9005.75
40,2021-09-02 08:09:48,531213,9018.33
41,2021-09-03 01:09:34,531217,9057.44
42,2021-09-03 01:09:41,531217,9015.13
43,2021-09-03 02:09:20,531217,9137.03
44,2021-09-03 03:09:14,531217,8877.63
45,2021-09-03 12:09:57,531217,9114.75
46,2021-09-03 07:09:02,531218,9208.45
47,2021-09-03 09:09:33,531218,9065.45
48,2021-09-03 10:09:32,531218,9047.87
49,2021-09-03 10:09:51,531218,9108.09
50,2021-09-03 11:09:19,531218,8999.64
51,2021-09-03 01:09:30,531221,9255.43
52,2021-09-03 01:09:42,531221,9114.9
53,2021-09-03 02:09:54,531221,9119.61
54,2021-09-03 03:09:08,531221,9165.74
55,2021-09-03 04:09:15,531221,9149.99
56,2021-09-03 04:09:45,531221,9073.77
57,2021-09-03 04:09:52,531221,9121.27
58,2021-09-03 06:09:09,531221,9056.56
59,2021-09-03 06:09:22,531221,9036.58
60,2021-09-03 06:09:23,531221,8985.28
61,2021-09-03 06:09:49,531221,9053.02
62,2021-09-03 12:09:33,531221,9056.25
63,2021-09-03 03:09:06,531223,9245.58
64,2021-09-03 04:09:32,531223,9040.82
65,2021-09-03 08:09:21,531230,9039.02
66,2021-09-03 08:09:59,531230,8987.56
67,2021-09-03 09:09:59,531230,9092.88
68,2021-09-03 10:09:24,531230,9021.35
69,2021-09-03 10:09:30,531230,9045.09
70,2021-09-03 11:09:12,531234,9023.72
71,2021-09-04 01:09:40,531234,8985.39
72,2021-09-05 05:09:41,531234,9098.91
73,2021-09-05 08:09:53,531234,8944.09
74,2021-09-06 07:09:56,531234,9037.17
75,2021-09-06 08:09:49,531236,9038.27
76,2021-09-06 08:09:58,531236,9130.09
77,2021-09-06 09:09:50,531236,8955.28
78,2021-09-06 11:09:03,531237,9097.71
79,2021-09-06 01:09:51,531238,8969.33
80,2021-09-06 12:09:45,531238,9176.21
81,2021-09-06 02:09:08,531239,9017.95
82,2021-09-06 02:09:40,531239,9076.55
83,2021-09-06 04:09:29,531240,8996.43
84,2021-09-06 04:09:39,531240,8999.83
85,2021-09-06 04:09:50,531240,8998.76
86,2021-09-06 05:09:48,531244,9096.14
87,2021-09-06 07:09:37,531244,9012.43
88,2021-09-06 08:09:31,531244,9015.83
89,2021-09-06 09:09:07,531244,9038.28
90,2021-09-06 09:09:27,531244,9006.85
91,2021-09-06 09:09:34,531244,8820.32
92,2021-09-06 11:09:25,531246,9010.79
93,2021-09-07 12:09:51,531246,9039.4
94,2021-09-07 06:09:38,531247,9129.27
95,2021-09-07 06:09:46,531247,8998.07
96,2021-09-07 06:09:50,531247,8991.08
97,2021-09-07 07:09:20,531247,9074.8
98,2021-09-07 08:09:08,531247,8988.32
99,2021-09-07 09:09:41,531247,9046.14
100,2021-09-07 10:09:36,531247,9059.81
101,2021-09-07 10:09:29,531248,9104.93
102,2021-09-07 01:09:14,531249,9047.95
103,2021-09-07 12:09:53,531249,9047.6
104,2021-09-07 01:09:46,531250,9040.97
105,2021-09-07 01:09:47,531250,9025.12
106,2021-09-07 02:09:52,531250,8964.69
107,2021-09-07 03:09:03,531251,9059.39
108,2021-09-07 03:09:52,531252,9046.79
109,2021-09-07 04:09:47,531252,8987.82
110,2021-09-07 05:09:35,531252,9020.59
111,2021-09-07 08:09:32,531257,9085.76
112,2021-09-07 09:09:16,531257,8987.79
113,2021-09-07 09:09:38,531257,9060.05
114,2021-09-07 10:09:04,531258,9105.82
115,2021-09-07 10:09:48,531258,9071.94
116,2021-09-07 11:09:35,531258,8987.55
117,2021-09-08 12:09:15,531258,9039.88
118,2021-09-08 12:09:46,531259,9037.42
119,2021-09-08 06:09:20,531260,9007.1
120,2021-09-08 06:09:28,531260,9049.17
121,2021-09-08 06:09:31,531260,9058.15
122,2021-09-08 07:09:22,531260,8998.84
123,2021-09-08 01:09:17,531264,9013.35
124,2021-09-08 01:09:51,531264,8978.12
125,2021-09-08 02:09:18,531264,9112.51
126,2021-09-08 02:09:26,531264,9067.95
127,2021-09-08 05:09:34,531267,9107.66
128,2021-09-08 05:09:35,531267,9107.29
129,2021-09-08 05:09:42,531267,9064.65
130,2021-09-08 06:09:56,531267,8962.92
131,2021-09-08 10:09:15,531267,9159.71
132,2021-09-08 11:09:04,531267,9077.58
133,2021-09-08 11:09:01,531269,9042.4
134,2021-09-08 11:09:07,531269,9099.23
135,2021-09-08 11:09:16,531269,8992.84
136,2021-09-08 11:09:19,531269,9028.6
137,2021-09-09 12:09:01,531269,9038.16
138,2021-09-09 01:09:00,531270,8987.66
139,2021-09-09 01:09:09,531270,9073.15
140,2021-09-09 01:09:39,531270,9051.79
141,2021-09-09 02:09:44,531270,9118.94
142,2021-09-09 03:09:35,531270,9081.64
143,2021-09-09 06:09:48,531270,9084.2
144,2021-09-09 10:09:37,531270,9070.92
145,2021-09-09 11:09:10,531270,9240.84
146,2021-09-09 11:09:18,531270,9039.81
147,2021-09-09 11:09:21,531270,9171.96
148,2021-09-09 12:09:04,531270,9395.89
149,2021-09-09 01:09:09,531271,9080.11
150,2021-09-09 02:09:09,531272,9201.9
151,2021-09-09 02:09:31,531272,9077.76
152,2021-09-09 02:09:43,531272,9064.39
153,2021-09-09 02:09:59,531272,8926.6
154,2021-09-09 04:09:37,531274,8987.24
155,2021-09-09 05:09:48,531275,9042.01
156,2021-09-09 06:09:02,531276,8985.82
157,2021-09-09 06:09:59,531276,9214.26
158,2021-09-09 07:09:50,531276,9004.26
159,2021-09-09 07:09:50,531278,9000.36
160,2021-09-09 08:09:33,531279,9092.28
161,2021-09-09 08:09:09,531280,9051.25
162,2021-09-09 09:09:39,531280,8983.5
