index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:42,531193,13.9993
2,2021-09-01 06:09:34,531193,13.9266
3,2021-09-01 06:09:38,531193,14.0688
4,2021-09-01 06:09:59,531193,13.9705
5,2021-09-01 07:09:40,531193,13.9085
6,2021-09-01 07:09:45,531193,13.8658
7,2021-09-01 07:09:55,531193,13.9656
8,2021-09-01 08:09:23,531193,14.3192
9,2021-09-01 08:09:33,531193,13.9824
10,2021-09-01 08:09:41,531193,14.062
11,2021-09-01 08:09:41,531193,13.8599
12,2021-09-01 08:09:58,531193,13.9863
13,2021-09-01 08:09:24,531194,13.9314
14,2021-09-01 11:09:33,531195,14.0125
15,2021-09-01 02:09:58,531197,13.9205
16,2021-09-01 03:09:35,531197,13.8987
17,2021-09-01 04:09:33,531199,13.8336
18,2021-09-01 04:09:48,531199,13.9368
19,2021-09-01 05:09:29,531199,13.9667
20,2021-09-01 09:09:12,531204,13.8503
21,2021-09-01 11:09:36,531205,14.4068
22,2021-09-02 12:09:37,531205,14.083
23,2021-09-02 06:09:51,531206,13.8897
24,2021-09-02 06:09:59,531206,14.0371
25,2021-09-02 07:09:24,531206,14.0442
26,2021-09-02 07:09:52,531206,14.2449
27,2021-09-02 08:09:24,531206,13.9779
28,2021-09-02 01:09:23,531208,13.9766
29,2021-09-02 01:09:48,531208,14.0789
30,2021-09-02 02:09:41,531208,13.9203
31,2021-09-02 09:09:27,531208,14.1204
32,2021-09-02 10:09:18,531208,13.9116
33,2021-09-02 10:09:18,531208,13.9862
34,2021-09-02 12:09:33,531208,13.944
35,2021-09-02 02:09:29,531209,13.9555
36,2021-09-02 03:09:23,531210,14.1274
37,2021-09-02 04:09:09,531212,14.0618
38,2021-09-02 04:09:20,531212,13.9416
39,2021-09-02 04:09:46,531212,13.9304
40,2021-09-02 05:09:55,531212,14.0048
41,2021-09-02 05:09:06,531213,14.031
42,2021-09-02 06:09:46,531213,13.8351
43,2021-09-02 07:09:06,531213,14.0165
44,2021-09-02 08:09:51,531213,14.1703
45,2021-09-02 08:09:51,531213,13.9972
46,2021-09-03 01:09:20,531217,14.0189
47,2021-09-03 02:09:17,531217,14.0214
48,2021-09-03 02:09:59,531217,14.032
49,2021-09-03 12:09:37,531217,13.974
50,2021-09-03 07:09:39,531218,14.0659
51,2021-09-03 08:09:38,531218,13.9128
52,2021-09-03 09:09:05,531218,13.9213
53,2021-09-03 10:09:14,531218,14.1372
54,2021-09-03 10:09:19,531218,13.8784
55,2021-09-03 10:09:26,531218,13.9436
56,2021-09-03 10:09:53,531218,14.0037
57,2021-09-03 11:09:03,531218,13.9505
58,2021-09-03 11:09:03,531218,13.7931
59,2021-09-03 01:09:05,531221,14.1609
60,2021-09-03 01:09:15,531221,14.0089
61,2021-09-03 01:09:18,531221,13.9974
62,2021-09-03 02:09:31,531221,14.0794
63,2021-09-03 02:09:56,531221,13.9127
64,2021-09-03 03:09:46,531221,13.9229
65,2021-09-03 12:09:13,531221,14.1701
66,2021-09-03 02:09:43,531223,14.2937
67,2021-09-03 03:09:12,531223,13.9706
68,2021-09-03 07:09:35,531230,13.9975
69,2021-09-03 08:09:58,531230,13.9018
70,2021-09-03 09:09:02,531230,13.9655
71,2021-09-03 10:09:23,531230,14.1849
72,2021-09-03 10:09:29,531230,13.8969
73,2021-09-03 11:09:48,531234,13.8285
74,2021-09-04 01:09:22,531234,13.8671
75,2021-09-05 05:09:22,531234,13.8817
76,2021-09-05 06:09:11,531234,13.9176
77,2021-09-05 08:09:32,531234,14.0029
78,2021-09-06 07:09:36,531234,14.0822
79,2021-09-06 08:09:29,531236,14.1023
80,2021-09-06 08:09:37,531236,14.0611
81,2021-09-06 11:09:42,531237,14.0433
82,2021-09-06 01:09:29,531238,13.7535
83,2021-09-06 12:09:22,531238,14.3233
84,2021-09-06 01:09:19,531239,13.9165
85,2021-09-06 03:09:09,531240,14.0829
86,2021-09-06 03:09:25,531240,13.9325
87,2021-09-06 04:09:19,531240,14.0266
88,2021-09-06 04:09:47,531240,13.9019
89,2021-09-06 05:09:14,531240,13.9287
90,2021-09-06 05:09:26,531244,13.9737
91,2021-09-06 07:09:16,531244,14.0618
92,2021-09-06 08:09:10,531244,13.9622
93,2021-09-06 08:09:49,531244,13.7805
94,2021-09-06 11:09:05,531246,13.9621
95,2021-09-07 01:09:17,531246,13.7866
96,2021-09-07 01:09:22,531246,13.9936
97,2021-09-07 01:09:50,531246,13.9575
98,2021-09-07 12:09:08,531246,14.1028
99,2021-09-07 12:09:27,531246,14.0832
100,2021-09-07 06:09:14,531247,14.145
101,2021-09-07 06:09:22,531247,14.1161
102,2021-09-07 06:09:28,531247,13.9151
103,2021-09-07 07:09:01,531247,14.0565
104,2021-09-07 08:09:17,531247,13.9948
105,2021-09-07 08:09:48,531247,13.9552
106,2021-09-07 10:09:13,531247,13.9632
107,2021-09-07 10:09:00,531248,13.9362
108,2021-09-07 11:09:01,531248,13.9474
109,2021-09-07 12:09:28,531248,14.0375
110,2021-09-07 12:09:39,531248,13.7787
111,2021-09-07 01:09:53,531249,13.9572
112,2021-09-07 12:09:29,531249,13.9654
113,2021-09-07 01:09:25,531250,13.7796
114,2021-09-07 01:09:25,531250,13.8562
115,2021-09-07 03:09:43,531251,13.994
116,2021-09-07 03:09:30,531252,13.9553
117,2021-09-07 04:09:27,531252,13.983
118,2021-09-07 04:09:37,531252,13.962
119,2021-09-07 08:09:11,531257,14.0733
120,2021-09-07 08:09:17,531257,14.0002
121,2021-09-07 09:09:16,531257,13.9043
122,2021-09-07 09:09:44,531257,13.9493
123,2021-09-07 10:09:27,531258,14.1657
124,2021-09-07 10:09:43,531258,14.0101
125,2021-09-07 11:09:11,531258,13.9407
126,2021-09-07 11:09:14,531258,13.8109
127,2021-09-07 11:09:53,531258,13.827
128,2021-09-08 12:09:25,531259,13.9902
129,2021-09-08 06:09:00,531260,14.0999
130,2021-09-08 06:09:07,531260,14.0006
131,2021-09-08 06:09:11,531260,14.0456
132,2021-09-08 07:09:33,531260,13.9542
133,2021-09-08 01:09:02,531264,14.045
134,2021-09-08 01:09:30,531264,14.0555
135,2021-09-08 01:09:56,531264,14.0745
136,2021-09-08 02:09:00,531264,14.0515
137,2021-09-08 02:09:30,531264,13.9529
138,2021-09-08 03:09:00,531264,14.0855
139,2021-09-08 03:09:04,531264,14.1162
140,2021-09-08 03:09:18,531264,14.0329
141,2021-09-08 04:09:21,531267,14.137
142,2021-09-08 04:09:49,531267,13.8431
143,2021-09-08 05:09:17,531267,14.1114
144,2021-09-08 06:09:08,531267,13.8725
145,2021-09-08 10:09:56,531267,13.9446
146,2021-09-08 11:09:45,531269,13.9497
147,2021-09-08 11:09:47,531269,14.1883
148,2021-09-08 11:09:51,531269,14.0255
149,2021-09-08 11:09:56,531269,14.2399
150,2021-09-09 01:09:35,531269,14.032
151,2021-09-09 12:09:43,531269,14.1504
152,2021-09-09 02:09:22,531270,14.1222
153,2021-09-09 06:09:28,531270,14.0396
154,2021-09-09 10:09:22,531270,14.1282
155,2021-09-09 11:09:12,531270,13.8139
156,2021-09-09 11:09:54,531270,13.986
157,2021-09-09 11:09:58,531270,13.9073
158,2021-09-09 12:09:41,531270,13.9484
159,2021-09-09 01:09:49,531271,14.3282
160,2021-09-09 02:09:47,531271,13.915
161,2021-09-09 01:09:47,531272,14.0079
162,2021-09-09 02:09:12,531272,14.0843
163,2021-09-09 02:09:17,531272,13.7593
164,2021-09-09 04:09:16,531274,14.1116
165,2021-09-09 05:09:26,531275,14.0585
166,2021-09-09 06:09:33,531276,14.158
167,2021-09-09 06:09:41,531276,13.8685
168,2021-09-09 07:09:28,531278,13.8294
169,2021-09-09 08:09:06,531279,13.9081
170,2021-09-09 08:09:16,531280,13.9966
171,2021-09-09 08:09:44,531280,13.9883
172,2021-09-09 09:09:24,531280,14.0559
173,2021-09-09 10:09:22,531280,13.9033
174,2021-09-09 10:09:45,531280,14.0187
175,2021-09-09 11:09:18,531284,13.9056
176,2021-09-10 01:09:58,531285,14.0492
177,2021-09-10 02:09:27,531285,14.0644
178,2021-09-10 03:09:16,531285,13.9187
179,2021-09-10 01:09:27,531286,14.0368
180,2021-09-10 01:09:32,531286,13.9484
181,2021-09-10 02:09:33,531286,14.1117
182,2021-09-10 02:09:34,531286,14.1422
183,2021-09-10 03:09:05,531286,14.025
184,2021-09-10 03:09:35,531286,14.0339
185,2021-09-10 03:09:55,531286,14.0112
186,2021-09-10 03:09:57,531286,13.9245
187,2021-09-10 04:09:02,531286,14.0014
188,2021-09-10 04:09:07,531286,14.0512
189,2021-09-10 04:09:47,531286,14.069
190,2021-09-10 05:09:12,531286,13.9274
191,2021-09-10 05:09:51,531286,14.0374
192,2021-09-10 06:09:08,531286,14.0533
193,2021-09-10 06:09:17,531286,14.783
194,2021-09-10 06:09:23,531286,14.0271
195,2021-09-10 07:09:01,531286,14.0866
196,2021-09-10 07:09:27,531286,13.7589
197,2021-09-10 07:09:41,531286,13.8842
198,2021-09-10 08:09:45,531286,14.0352
199,2021-09-10 10:09:10,531286,13.9265
200,2021-09-10 10:09:40,531286,14.0085
201,2021-09-10 05:09:01,531287,14.0586
202,2021-09-10 05:09:25,531287,13.9926
203,2021-09-10 07:09:26,531289,14.0633
204,2021-09-13 05:09:57,531291,13.902
205,2021-09-11 12:09:35,531293,14.0571
206,2021-09-11 01:09:18,531294,13.9875
207,2021-09-11 02:09:27,531294,14.039
208,2021-09-11 01:09:23,531295,13.8029
209,2021-09-11 02:09:06,531298,14.0041
210,2021-09-11 04:09:08,531299,13.9246
211,2021-09-11 05:09:23,531299,13.9676
212,2021-09-11 08:09:50,531299,14.0429
213,2021-09-11 09:09:18,531299,14.1254
214,2021-09-12 03:09:01,531300,14.0838
215,2021-09-12 04:09:54,531300,13.8615
216,2021-09-12 06:09:04,531300,14.0354
217,2021-09-13 05:09:10,531300,13.8098
218,2021-09-13 01:09:55,531301,13.965
219,2021-09-13 07:09:01,531301,14.0148
220,2021-09-13 11:09:05,531301,13.9244
221,2021-09-13 11:09:29,531301,14.1042
222,2021-09-13 12:09:11,531301,13.744
223,2021-09-14 04:09:20,531306,13.9822
224,2021-09-14 04:09:12,531307,14.1111
225,2021-09-14 06:09:09,531307,13.9648
226,2021-09-14 06:09:11,531307,14.015
227,2021-09-14 07:09:38,531307,14.0373
228,2021-09-14 07:09:53,531307,14.0672
229,2021-09-14 09:09:17,531307,13.9429
230,2021-09-14 09:09:52,531307,14.0342
231,2021-09-14 10:09:00,531307,13.8724
232,2021-09-14 10:09:14,531307,14.0271
233,2021-09-14 10:09:37,531307,14.0589
234,2021-09-14 10:09:58,531307,14.0139
235,2021-09-14 11:09:11,531308,14.0338
236,2021-09-14 11:09:10,531311,14.0283
237,2021-09-15 01:09:40,531313,14.0051
238,2021-09-15 12:09:28,531313,13.9266
239,2021-09-15 03:09:47,531318,13.9941
240,2021-09-15 04:09:02,531319,14.191
241,2021-09-15 08:09:30,531320,14.0531
242,2021-09-15 02:09:09,531321,13.9875
243,2021-09-15 02:09:35,531321,14.2459
244,2021-09-15 03:09:05,531321,13.8572
245,2021-09-15 03:09:21,531321,14.0663
246,2021-09-15 03:09:35,531321,13.9341
247,2021-09-15 03:09:48,531321,13.9164
248,2021-09-15 04:09:06,531321,14.0585
249,2021-09-15 04:09:11,531321,13.7785
250,2021-09-15 04:09:44,531321,14.0331
251,2021-09-15 04:09:45,531321,14.0311
252,2021-09-15 04:09:57,531321,13.9975
253,2021-09-15 06:09:01,531321,13.8617
254,2021-09-15 06:09:24,531321,14.0087
255,2021-09-15 06:09:46,531321,14.0143
256,2021-09-15 06:09:53,531321,13.7236
257,2021-09-15 07:09:46,531323,14.0453
258,2021-09-15 08:09:29,531323,14.0114
259,2021-09-15 09:09:08,531323,14.036
260,2021-09-15 09:09:30,531323,13.9014
261,2021-09-15 09:09:30,531323,13.9715
262,2021-09-15 10:09:59,531323,13.9809
263,2021-09-17 08:09:27,531323,14.0419
264,2021-09-15 10:09:29,531324,14.0968
265,2021-09-15 10:09:29,531325,14.2797
