index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:51,515219,86647.0
2,2021-09-01 12:09:17,515219,86325.0
3,2021-09-01 12:09:24,515219,82916.0
4,2021-09-01 12:09:45,515219,87795.0
5,2021-09-01 03:09:35,515220,86369.0
6,2021-09-01 04:09:43,515220,82442.0
7,2021-09-01 04:09:59,515220,86710.0
8,2021-09-01 06:09:18,515220,80654.0
9,2021-09-01 07:09:27,515220,86078.0
10,2021-09-01 08:09:41,515222,86343.0
11,2021-09-01 02:09:45,515224,86591.0
12,2021-09-01 11:09:06,515224,86134.0
13,2021-09-01 11:09:08,515224,85743.0
14,2021-09-01 11:09:26,515224,87197.0
15,2021-09-01 11:09:57,515224,86554.0
16,2021-09-01 12:09:15,515224,81558.0
17,2021-09-01 12:09:17,515224,83784.0
18,2021-09-01 12:09:38,515224,86254.0
19,2021-09-01 12:09:47,515224,84486.0
20,2021-09-01 01:09:43,515225,86979.0
21,2021-09-01 01:09:43,515225,86532.0
22,2021-09-01 01:09:46,515225,86704.0
23,2021-09-01 03:09:55,515228,86622.0
24,2021-09-01 04:09:45,515230,85981.0
25,2021-09-01 10:09:53,515238,86782.0
26,2021-09-01 11:09:26,515240,86536.0
27,2021-09-02 05:09:18,515242,86649.0
28,2021-09-02 05:09:39,515242,87722.0
29,2021-09-02 06:09:24,515242,84365.0
30,2021-09-02 08:09:44,515243,86195.0
31,2021-09-02 09:09:28,515243,80443.0
32,2021-09-02 09:09:47,515243,84703.0
33,2021-09-02 11:09:30,515243,86450.0
34,2021-09-02 11:09:53,515243,87000.0
35,2021-09-02 12:09:10,515243,85925.0
36,2021-09-02 01:09:09,515244,82559.0
37,2021-09-02 11:09:27,515244,84533.0
38,2021-09-02 12:09:25,515244,85582.0
39,2021-09-02 12:09:30,515244,82544.0
40,2021-09-02 12:09:49,515244,80864.0
41,2021-09-02 12:09:51,515244,82517.0
42,2021-09-02 02:09:49,515246,86727.0
43,2021-09-02 03:09:43,515247,84975.0
44,2021-09-02 03:09:18,515248,85940.0
45,2021-09-02 05:09:04,515251,85721.0
46,2021-09-02 05:09:47,515251,87739.0
47,2021-09-02 06:09:25,515252,85277.0
48,2021-09-02 07:09:55,515254,84835.0
49,2021-09-02 08:09:24,515257,84502.0
50,2021-09-03 01:09:27,515260,87410.0
51,2021-09-03 12:09:32,515260,86583.0
52,2021-09-03 12:09:34,515260,84982.0
53,2021-09-03 05:09:08,515262,85580.0
54,2021-09-03 07:09:44,515262,84840.0
55,2021-09-03 09:09:06,515263,85164.0
56,2021-09-03 09:09:08,515263,85838.0
57,2021-09-03 09:09:32,515263,85952.0
58,2021-09-03 09:09:57,515263,86569.0
59,2021-09-03 10:09:08,515264,85944.0
60,2021-09-03 12:09:14,515265,86042.0
61,2021-09-03 01:09:59,515266,86329.0
62,2021-09-03 12:09:30,515266,85216.0
63,2021-09-03 03:09:46,515268,80586.0
64,2021-09-03 03:09:46,515268,84150.0
65,2021-09-03 04:09:21,515269,86285.0
66,2021-09-03 06:09:17,515272,86303.0
67,2021-09-03 10:09:45,515275,79995.0
68,2021-09-03 11:09:16,515275,86185.0
69,2021-09-03 11:09:41,515277,85047.0
70,2021-09-04 01:09:21,515277,80713.0
71,2021-09-04 01:09:49,515277,80470.0
72,2021-09-04 01:09:56,515277,82216.0
73,2021-09-04 12:09:14,515277,84219.0
74,2021-09-04 12:09:48,515277,85462.0
75,2021-09-04 02:09:53,515278,88135.0
76,2021-09-04 05:09:13,515279,83618.0
77,2021-09-04 06:09:02,515279,84706.0
78,2021-09-04 06:09:30,515279,79953.0
79,2021-09-04 06:09:36,515279,82074.0
80,2021-09-04 10:09:35,515281,86837.0
81,2021-09-05 04:09:57,515282,86174.0
82,2021-09-05 07:09:09,515282,86233.0
83,2021-09-06 05:09:37,515282,84991.0
84,2021-09-06 08:09:01,515282,81222.0
85,2021-09-06 08:09:36,515282,85073.0
86,2021-09-06 08:09:44,515282,86181.0
87,2021-09-06 09:09:14,515282,85594.0
88,2021-09-06 10:09:58,515282,86276.0
89,2021-09-06 11:09:03,515282,87248.0
90,2021-09-06 11:09:19,515282,86844.0
91,2021-09-06 11:09:33,515282,86693.0
92,2021-09-06 12:09:44,515282,84757.0
93,2021-09-06 12:09:57,515283,81289.0
94,2021-09-06 01:09:34,515284,87390.0
95,2021-09-06 01:09:20,515285,84518.0
96,2021-09-06 03:09:09,515286,85948.0
97,2021-09-06 03:09:41,515286,86306.0
98,2021-09-06 03:09:48,515286,86033.0
99,2021-09-06 06:09:18,515290,84346.0
100,2021-09-06 06:09:34,515290,85861.0
101,2021-09-06 07:09:55,515291,85987.0
102,2021-09-06 08:09:33,515291,81399.0
103,2021-09-06 09:09:01,515291,84037.0
104,2021-09-06 09:09:35,515291,87821.0
105,2021-09-06 08:09:51,515292,85440.0
106,2021-09-06 09:09:01,515293,85039.0
107,2021-09-06 09:09:27,515293,84502.0
108,2021-09-06 09:09:02,515294,80996.0
109,2021-09-06 09:09:14,515294,84807.0
110,2021-09-06 10:09:11,515294,84124.0
111,2021-09-06 10:09:44,515294,75621.0
112,2021-09-06 10:09:23,515295,85816.0
113,2021-09-06 11:09:09,515295,84534.0
114,2021-09-07 12:09:54,515296,85517.0
115,2021-09-07 02:09:58,515297,81532.0
116,2021-09-07 05:09:27,515303,81751.0
117,2021-09-07 05:09:56,515304,86191.0
118,2021-09-07 06:09:07,515304,82197.0
119,2021-09-07 08:09:19,515304,84926.0
120,2021-09-07 10:09:28,515308,85769.0
121,2021-09-07 10:09:53,515308,86973.0
122,2021-09-07 12:09:03,515308,80267.0
123,2021-09-07 01:09:17,515309,83381.0
124,2021-09-07 01:09:36,515309,85232.0
125,2021-09-07 01:09:43,515309,86948.0
126,2021-09-07 01:09:53,515309,89941.0
127,2021-09-07 02:09:40,515309,85517.0
128,2021-09-07 02:09:23,515310,86345.0
129,2021-09-07 02:09:32,515310,86147.0
130,2021-09-07 02:09:13,515311,86761.0
131,2021-09-07 02:09:48,515311,81784.0
132,2021-09-07 03:09:02,515311,85760.0
133,2021-09-07 03:09:29,515311,87435.0
134,2021-09-07 05:09:07,515313,86682.0
135,2021-09-07 05:09:19,515313,85631.0
136,2021-09-07 06:09:17,515313,85378.0
137,2021-09-07 06:09:20,515313,86636.0
138,2021-09-07 06:09:52,515313,81896.0
139,2021-09-07 07:09:19,515314,84095.0
140,2021-09-07 08:09:17,515314,82325.0
141,2021-09-07 08:09:36,515314,85164.0
142,2021-09-07 10:09:03,515314,81779.0
143,2021-09-07 10:09:23,515314,80350.0
144,2021-09-07 11:09:53,515317,87132.0
145,2021-09-08 01:09:43,515317,87201.0
146,2021-09-08 01:09:06,515318,84806.0
147,2021-09-08 05:09:58,515318,80803.0
148,2021-09-08 06:09:09,515318,87395.0
149,2021-09-08 06:09:33,515318,85391.0
150,2021-09-08 06:09:57,515318,86496.0
151,2021-09-08 07:09:01,515318,86144.0
152,2021-09-08 10:09:01,515318,81518.0
153,2021-09-08 11:09:01,515318,87807.0
154,2021-09-08 11:09:07,515318,87252.0
155,2021-09-08 11:09:46,515318,81229.0
156,2021-09-08 11:09:47,515318,87304.0
157,2021-09-08 12:09:26,515318,85543.0
158,2021-09-08 12:09:36,515318,86394.0
159,2021-09-08 02:09:01,515320,85090.0
160,2021-09-08 02:09:33,515320,81847.0
161,2021-09-08 02:09:32,515321,84918.0
162,2021-09-08 02:09:46,515321,79024.0
163,2021-09-08 02:09:53,515321,80294.0
164,2021-09-08 03:09:28,515321,80989.0
165,2021-09-08 04:09:14,515321,86600.0
166,2021-09-08 04:09:31,515323,85223.0
167,2021-09-08 05:09:09,515323,79944.0
168,2021-09-08 05:09:47,515323,86924.0
169,2021-09-08 06:09:21,515323,87345.0
170,2021-09-08 04:09:43,515324,86347.0
171,2021-09-08 05:09:17,515324,86795.0
172,2021-09-08 05:09:47,515324,85436.0
173,2021-09-08 06:09:05,515325,83033.0
174,2021-09-08 10:09:04,515325,85144.0
175,2021-09-08 11:09:16,515325,86453.0
176,2021-09-08 11:09:35,515326,86919.0
177,2021-09-08 11:09:50,515326,85756.0
178,2021-09-08 11:09:15,515327,85538.0
179,2021-09-09 02:09:21,515334,85991.0
180,2021-09-09 03:09:35,515335,86285.0
181,2021-09-09 04:09:50,515335,85942.0
182,2021-09-09 03:09:16,515336,79804.0
183,2021-09-09 03:09:32,515336,85210.0
184,2021-09-09 04:09:19,515336,86129.0
185,2021-09-09 06:09:57,515337,87617.0
186,2021-09-09 07:09:42,515338,86732.0
187,2021-09-09 09:09:15,515341,80664.0
188,2021-09-09 09:09:42,515341,86360.0
189,2021-09-09 09:09:43,515341,87331.0
190,2021-09-09 11:09:00,515341,85607.0
191,2021-09-09 11:09:07,515341,81893.0
192,2021-09-09 11:09:20,515341,84637.0
193,2021-09-09 11:09:33,515341,85493.0
194,2021-09-09 11:09:33,515341,85122.0
195,2021-09-09 12:09:50,515341,81916.0
196,2021-09-09 12:09:53,515341,85441.0
197,2021-09-09 01:09:36,515342,79988.0
198,2021-09-09 02:09:08,515342,84601.0
199,2021-09-09 04:09:02,515344,82169.0
200,2021-09-09 04:09:14,515344,83496.0
201,2021-09-09 04:09:49,515344,85056.0
202,2021-09-09 05:09:43,515345,85566.0
203,2021-09-09 07:09:59,515347,84423.0
204,2021-09-09 09:09:07,515348,85411.0
205,2021-09-09 10:09:58,515350,83863.0
206,2021-09-09 11:09:00,515350,85093.0
207,2021-09-10 12:09:27,515350,80471.0
208,2021-09-09 11:09:19,515351,81536.0
209,2021-09-09 11:09:27,515351,86039.0
210,2021-09-09 11:09:44,515351,86396.0
211,2021-09-10 12:09:13,515351,86558.0
212,2021-09-10 01:09:44,515352,81889.0
213,2021-09-10 12:09:11,515352,85965.0
214,2021-09-10 12:09:12,515352,83197.0
215,2021-09-10 02:09:06,515356,88593.0
216,2021-09-10 03:09:18,515356,85602.0
217,2021-09-10 03:09:44,515356,85784.0
218,2021-09-10 04:09:51,515357,84212.0
219,2021-09-10 05:09:38,515357,86531.0
220,2021-09-10 05:09:01,515358,86548.0
221,2021-09-10 06:09:07,515362,85506.0
222,2021-09-10 07:09:28,515364,81387.0
223,2021-09-10 07:09:30,515364,80736.0
224,2021-09-10 01:09:42,515366,85201.0
225,2021-09-10 01:09:47,515366,87686.0
226,2021-09-10 01:09:48,515366,81106.0
227,2021-09-10 01:09:54,515366,86618.0
228,2021-09-10 01:09:58,515366,85914.0
229,2021-09-10 02:09:28,515366,87374.0
230,2021-09-10 02:09:44,515366,85801.0
231,2021-09-10 02:09:46,515366,85190.0
232,2021-09-10 03:09:20,515366,86568.0
233,2021-09-10 08:09:22,515366,86078.0
234,2021-09-10 09:09:57,515366,85639.0
235,2021-09-10 10:09:28,515366,86424.0
236,2021-09-10 02:09:50,515367,86207.0
237,2021-09-10 03:09:07,515367,85634.0
238,2021-09-10 03:09:22,515367,81868.0
239,2021-09-10 03:09:25,515368,87141.0
240,2021-09-10 04:09:21,515369,86294.0
241,2021-09-10 05:09:31,515371,85246.0
242,2021-09-10 06:09:32,515373,86225.0
243,2021-09-13 04:09:18,515375,86479.0
244,2021-09-10 09:09:29,515377,86139.0
245,2021-09-10 11:09:33,515378,81718.0
246,2021-09-10 11:09:31,515379,85915.0
247,2021-09-11 12:09:50,515379,86774.0
248,2021-09-11 01:09:17,515380,83407.0
249,2021-09-11 02:09:48,515380,81307.0
250,2021-09-11 12:09:12,515380,85509.0
251,2021-09-11 01:09:14,515381,85589.0
252,2021-09-11 01:09:34,515381,84683.0
253,2021-09-13 04:09:21,515381,85733.0
254,2021-09-13 06:09:45,515382,86303.0
255,2021-09-11 02:09:24,515385,85473.0
256,2021-09-11 06:09:06,515387,84772.0
257,2021-09-11 12:09:23,515388,82389.0
258,2021-09-11 08:09:36,515389,79452.0
259,2021-09-11 09:09:00,515389,86746.0
260,2021-09-12 05:09:51,515390,86583.0
261,2021-09-12 03:09:31,515391,86735.0
262,2021-09-13 04:09:04,515391,83450.0
263,2021-09-13 05:09:21,515391,84202.0
264,2021-09-13 05:09:22,515391,87515.0
265,2021-09-13 05:09:43,515391,85702.0
266,2021-09-13 06:09:14,515391,84596.0
267,2021-09-13 06:09:40,515391,86094.0
268,2021-09-13 07:09:10,515391,86481.0
269,2021-09-13 07:09:48,515391,85956.0
270,2021-09-13 01:09:46,515393,82723.0
271,2021-09-13 10:09:47,515393,82519.0
272,2021-09-13 11:09:15,515393,85252.0
273,2021-09-13 11:09:25,515393,81007.0
274,2021-09-13 01:09:30,515394,87096.0
275,2021-09-13 11:09:29,515394,85433.0
276,2021-09-13 11:09:45,515394,84595.0
277,2021-09-14 12:09:27,515396,80857.0
278,2021-09-14 12:09:53,515396,85677.0
279,2021-09-14 01:09:15,515397,86400.0
280,2021-09-14 02:09:12,515397,84545.0
281,2021-09-14 07:09:15,515397,85761.0
282,2021-09-14 08:09:05,515397,87869.0
283,2021-09-14 09:09:08,515397,84173.0
284,2021-09-14 11:09:24,515397,90558.0
285,2021-09-14 11:09:30,515397,87437.0
286,2021-09-13 02:09:03,515398,85188.0
287,2021-09-14 09:09:45,515398,86808.0
288,2021-09-14 09:09:12,515399,85890.0
289,2021-09-14 09:09:31,515401,85936.0
290,2021-09-14 02:09:39,515403,87425.0
291,2021-09-14 09:09:06,515403,77112.0
292,2021-09-14 09:09:07,515403,88505.0
293,2021-09-14 09:09:25,515403,85877.0
294,2021-09-14 09:09:26,515403,85792.0
295,2021-09-14 11:09:21,515403,85187.0
296,2021-09-14 11:09:45,515403,80295.0
297,2021-09-14 12:09:33,515403,87162.0
298,2021-09-14 05:09:31,515405,81334.0
299,2021-09-14 05:09:49,515405,84916.0
300,2021-09-14 07:09:02,515405,87010.0
301,2021-09-14 07:09:10,515405,85725.0
302,2021-09-14 07:09:16,515405,85514.0
303,2021-09-14 07:09:27,515405,85299.0
304,2021-09-14 08:09:28,515405,73232.0
305,2021-09-14 09:09:07,515405,84876.0
306,2021-09-14 08:09:29,515406,86376.0
307,2021-09-14 09:09:01,515406,85400.0
308,2021-09-14 09:09:02,515406,89451.0
309,2021-09-14 09:09:07,515406,81470.0
310,2021-09-14 09:09:12,515406,82046.0
311,2021-09-14 09:09:46,515406,86217.0
312,2021-09-14 10:09:48,515406,85005.0
313,2021-09-14 11:09:45,515407,84885.0
314,2021-09-14 07:09:39,515409,80473.0
315,2021-09-14 11:09:39,515410,77379.0
316,2021-09-14 11:09:48,515410,81324.0
317,2021-09-14 11:09:50,515410,79526.0
318,2021-09-14 11:09:58,515410,86047.0
319,2021-09-15 12:09:00,515410,82120.0
320,2021-09-15 12:09:25,515410,85036.0
321,2021-09-15 12:09:40,515410,82646.0
322,2021-09-15 02:09:29,515412,83056.0
323,2021-09-15 12:09:21,515412,81227.0
324,2021-09-15 03:09:09,515415,82280.0
325,2021-09-15 03:09:15,515415,80981.0
326,2021-09-15 03:09:40,515416,85603.0
327,2021-09-15 03:09:42,515416,85926.0
328,2021-09-15 03:09:57,515416,86551.0
329,2021-09-15 04:09:00,515416,85323.0
330,2021-09-15 01:09:10,515418,83562.0
331,2021-09-15 01:09:26,515418,86273.0
332,2021-09-15 01:09:37,515418,78410.0
333,2021-09-15 02:09:22,515418,86330.0
334,2021-09-15 03:09:04,515418,85987.0
335,2021-09-15 03:09:33,515418,86398.0
336,2021-09-15 03:09:57,515418,85411.0
337,2021-09-15 08:09:46,515418,86326.0
338,2021-09-15 08:09:49,515418,88428.0
339,2021-09-15 03:09:43,515420,85159.0
340,2021-09-15 06:09:10,515420,81626.0
341,2021-09-15 06:09:59,515422,88406.0
342,2021-09-15 06:09:47,515423,84882.0
343,2021-09-15 06:09:20,515424,82036.0
344,2021-09-15 07:09:08,515428,85595.0
345,2021-09-15 07:09:10,515428,85336.0
346,2021-09-15 07:09:26,515428,84963.0
347,2021-09-15 08:09:29,515428,85883.0
348,2021-09-15 08:09:33,515428,86480.0
349,2021-09-16 01:09:27,515428,84919.0
350,2021-09-16 12:09:15,515428,84065.0
351,2021-09-15 09:09:08,515429,81195.0
352,2021-09-15 09:09:22,515429,77692.0
353,2021-09-15 09:09:46,515429,85497.0
354,2021-09-15 09:09:54,515429,88105.0
355,2021-09-16 01:09:01,515429,84026.0
356,2021-09-15 09:09:53,515430,85863.0
357,2021-09-15 10:09:28,515430,85605.0
358,2021-09-15 09:09:38,515431,77035.0
359,2021-09-16 01:09:59,515431,82900.0
360,2021-09-15 10:09:22,515432,83868.0
361,2021-09-16 01:09:11,515432,84973.0
362,2021-09-16 02:09:31,515434,82677.0
363,2021-09-16 01:09:03,515435,88780.0
364,2021-09-16 01:09:08,515435,83797.0
365,2021-09-16 01:09:21,515436,86252.0
366,2021-09-16 02:09:30,515436,86533.0
367,2021-09-16 02:09:52,515436,86872.0
368,2021-09-16 02:09:10,515438,86672.0
369,2021-09-16 05:09:06,515442,84969.0
370,2021-09-16 05:09:13,515442,86163.0
371,2021-09-16 06:09:26,515444,87631.0
372,2021-09-16 08:09:42,515444,86623.0
373,2021-09-16 08:09:50,515444,86341.0
374,2021-09-16 08:09:53,515444,85658.0
375,2021-09-16 04:09:15,515446,85247.0
376,2021-09-16 04:09:58,515446,91187.0
377,2021-09-16 08:09:25,515446,83008.0
378,2021-09-16 08:09:52,515446,90434.0
379,2021-09-16 09:09:37,515446,84175.0
380,2021-09-16 09:09:41,515446,81979.0
381,2021-09-16 09:09:42,515446,85761.0
382,2021-09-16 09:09:50,515446,81280.0
383,2021-09-16 12:09:31,515446,85903.0
384,2021-09-16 01:09:31,515449,82651.0
385,2021-09-16 01:09:31,515449,84815.0
386,2021-09-16 01:09:36,515449,86352.0
387,2021-09-16 05:09:37,515449,85335.0
388,2021-09-16 05:09:47,515449,84911.0
389,2021-09-16 05:09:58,515449,84847.0
390,2021-09-16 06:09:41,515449,80272.0
391,2021-09-16 08:09:31,515449,84847.0
392,2021-09-16 10:09:06,515449,80769.0
393,2021-09-16 12:09:59,515449,84081.0
394,2021-09-16 06:09:01,515451,83400.0
395,2021-09-16 06:09:03,515451,83718.0
396,2021-09-16 06:09:06,515451,85728.0
397,2021-09-16 06:09:07,515451,85854.0
398,2021-09-16 06:09:09,515451,86424.0
399,2021-09-16 08:09:55,515451,86130.0
400,2021-09-16 09:09:13,515451,85156.0
401,2021-09-17 02:09:01,515451,84552.0
402,2021-09-17 03:09:28,515451,86349.0
403,2021-09-17 03:09:46,515451,85568.0
404,2021-09-16 09:09:09,515452,73165.0
405,2021-09-16 09:09:20,515452,85248.0
406,2021-09-17 02:09:10,515452,81711.0
407,2021-09-17 02:09:18,515452,80031.0
408,2021-09-16 11:09:33,515453,88577.0
409,2021-09-16 11:09:37,515453,84193.0
410,2021-09-16 11:09:23,515454,85139.0
411,2021-09-16 11:09:37,515455,86014.0
412,2021-09-16 11:09:47,515456,85631.0
413,2021-09-17 02:09:49,515456,85772.0
414,2021-09-16 11:09:23,515457,85682.0
415,2021-09-17 04:09:36,515457,85102.0
416,2021-09-17 12:09:44,515458,89089.0
417,2021-09-17 12:09:03,515459,87265.0
418,2021-09-17 12:09:37,515460,84779.0
419,2021-09-17 12:09:20,515461,85257.0
420,2021-09-17 04:09:08,515467,85482.0
421,2021-09-17 06:09:19,515467,81876.0
422,2021-09-17 07:09:02,515469,79746.0
423,2021-09-17 07:09:42,515469,85681.0
424,2021-09-17 08:09:48,515469,85489.0
425,2021-09-17 08:09:48,515469,84025.0
426,2021-09-17 01:09:02,515470,81590.0
427,2021-09-17 01:09:34,515470,85489.0
428,2021-09-17 01:09:54,515470,85650.0
429,2021-09-17 09:09:04,515470,86420.0
430,2021-09-17 10:09:28,515470,84517.0
431,2021-09-17 10:09:44,515470,86556.0
432,2021-09-17 11:09:14,515470,85598.0
433,2021-09-17 11:09:31,515470,85506.0
434,2021-09-17 12:09:21,515470,80369.0
435,2021-09-17 01:09:16,515471,85888.0
436,2021-09-17 01:09:10,515472,84359.0
437,2021-09-17 02:09:19,515472,83064.0
438,2021-09-17 02:09:29,515472,85600.0
439,2021-09-17 02:09:34,515472,81773.0
440,2021-09-17 02:09:40,515472,86433.0
441,2021-09-17 02:09:41,515472,85704.0
442,2021-09-17 03:09:33,515472,85109.0
443,2021-09-17 02:09:44,515473,82314.0
444,2021-09-17 04:09:20,515474,84477.0
445,2021-09-17 05:09:32,515475,82576.0
446,2021-09-17 05:09:34,515475,85415.0
447,2021-09-17 05:09:56,515475,82405.0
448,2021-09-17 05:09:09,515476,85331.0
449,2021-09-17 06:09:19,515478,86266.0
450,2021-09-17 06:09:24,515478,79907.0
451,2021-09-17 08:09:26,515481,85559.0
452,2021-09-17 09:09:53,515482,83035.0
453,2021-09-18 12:09:38,515487,86737.0
454,2021-09-18 12:09:45,515487,86569.0
455,2021-09-18 01:09:18,515489,83089.0
456,2021-09-18 01:09:26,515489,81512.0
457,2021-09-18 02:09:58,515491,84510.0
458,2021-09-18 02:09:03,515492,85052.0
459,2021-09-18 06:09:20,515499,84608.0
460,2021-09-18 08:09:11,515503,84691.0
461,2021-09-18 12:09:18,515503,81681.0
462,2021-09-19 01:09:57,515504,85031.0
463,2021-09-19 02:09:28,515505,85026.0
464,2021-09-19 08:09:39,515507,82991.0
465,2021-09-20 06:09:36,515507,85741.0
466,2021-09-20 08:09:47,515507,81058.0
467,2021-09-20 10:09:13,515507,85505.0
468,2021-09-20 11:09:41,515507,81080.0
469,2021-09-20 12:09:04,515507,86035.0
470,2021-09-20 12:09:27,515507,85545.0
471,2021-09-20 12:09:42,515507,85185.0
472,2021-09-20 01:09:24,515508,85007.0
473,2021-09-20 01:09:36,515510,83565.0
474,2021-09-20 02:09:08,515510,86045.0
475,2021-09-20 03:09:17,515511,85338.0
476,2021-09-20 03:09:23,515511,85523.0
477,2021-09-20 03:09:31,515511,84034.0
478,2021-09-20 03:09:53,515511,86046.0
479,2021-09-20 05:09:51,515511,85980.0
480,2021-09-20 07:09:44,515514,83916.0
481,2021-09-20 07:09:52,515514,83275.0
482,2021-09-20 08:09:32,515514,86183.0
483,2021-09-20 08:09:45,515514,85129.0
484,2021-09-20 09:09:35,515514,76485.0
485,2021-09-20 10:09:57,515514,86376.0
486,2021-09-20 10:09:04,515515,86124.0
487,2021-09-21 01:09:26,515515,79358.0
488,2021-09-21 07:09:57,515519,82633.0
489,2021-09-21 08:09:28,515519,84515.0
490,2021-09-21 08:09:40,515519,81993.0
491,2021-09-21 10:09:31,515519,85158.0
492,2021-09-21 01:09:01,515520,83505.0
493,2021-09-21 01:09:53,515520,84992.0
494,2021-09-21 10:09:35,515520,85142.0
495,2021-09-21 03:09:05,515522,85733.0
496,2021-09-21 04:09:38,515523,85533.0
497,2021-09-21 03:09:22,515524,85433.0
498,2021-09-21 03:09:52,515524,87242.0
499,2021-09-21 05:09:36,515524,85911.0
500,2021-09-21 05:09:57,515525,86020.0
501,2021-09-21 06:09:46,515526,81396.0
502,2021-09-21 06:09:49,515527,85415.0
503,2021-09-21 06:09:37,515528,80270.0
504,2021-09-21 07:09:11,515529,85465.0
505,2021-09-21 06:09:16,515530,85390.0
506,2021-09-21 08:09:11,515530,82284.0
507,2021-09-21 08:09:34,515530,85435.0
508,2021-09-21 08:09:47,515530,84528.0
509,2021-09-21 09:09:39,515531,84848.0
510,2021-09-21 09:09:07,515532,86450.0
511,2021-09-21 11:09:13,515536,81468.0
512,2021-09-22 02:09:08,515538,85782.0
